Time\ number,r1_2_200,r2_1_300,Time\ Probability,r1_2_200,r2_1_300
0,2e+24,600,0,9.999999999e-11,3.0000000000000002e-18
10,1.9999999980000758e+24,1999944156952105,10,9.999999999e-11,9.999620791344657e-06
20,1.999999996000603e+24,3999476954665172,20,9.999999999e-11,1.9996984885924788e-05
30,1.999999994001758e+24,6198242066665975,30,9.999999999e-11,3.09902499079767e-05
40,1.9999999920045866e+24,7995733190715970,40,9.999999999e-11,3.9977067723743524e-05
50,1.9999999900088283e+24,9991670767008512,50,9.999999999e-11,4.995585812260634e-05
60,1.9999999880143434e+24,12185656621752052,60,9.999999999e-11,6.0924571079245255e-05
70,1.9999999860228127e+24,14177187176675060,70,9.999999999e-11,7.088091142363277e-05
80,1.9999999840340974e+24,16165902548937284,80,9.999999999e-11,8.082297986260554e-05
90,1.9999999820500378e+24,17951573372084920,90,9.999999999e-11,8.974981110882833e-05
100,1.999999980066388e+24,20133611979272488,100,9.999999999e-11,0.00010065792685815245
110,1.9999999780882075e+24,22111792561587160,110,9.999999999e-11,0.00011054674087492288
120,1.999999976117292e+24,23885560314180664,120,9.999999999e-11,0.00011941354027431058
130,1.9999999741487274e+24,25854614571287704,130,9.999999999e-11,0.00012925636348914404
140,1.9999999721814122e+24,28018587786208028,140,9.999999999e-11,0.00014007331564858512
150,1.999999970227443e+24,29776989880901020,150,9.999999999e-11,0.00014886278597614684
160,1.999999968275166e+24,31729867165547984,160,9.999999999e-11,0.00015862417020849013
170,1.9999999663237563e+24,33876243756346520,170,9.999999999e-11,0.00016935253364318035
180,1.9999999643901335e+24,35616207891943536,180,9.999999999e-11,0.00017804933224955556
190,1.9999999624507988e+24,37749201084808472,190,9.999999999e-11,0.00018871038709229667
200,1.999999960525053e+24,39674946911468136,200,9.999999999e-11,0.00019833538982703042
210,1.9999999586152995e+24,41393265637198840,210,9.999999999e-11,0.00020692350198857224
220,1.9999999567057139e+24,43303660185832312,220,9.999999999e-11,0.00021647143090274283
230,1.9999999548044102e+24,45205805302817152,230,9.999999999e-11,0.0002259779489382736
240,1.9999999529117158e+24,47099373411834160,240,9.999999999e-11,0.00023544142134206876
250,1.9999999510280414e+24,48983952659277256,250,9.999999999e-11,0.00024485979229401685
260,1.999999949153702e+24,50859228156078864,260,9.999999999e-11,0.00025423149069344616
270,1.9999999472747068e+24,52925293244873896,270,9.999999999e-11,0.00026455645758388224
280,1.9999999454336602e+24,54581231325519992,280,9.999999999e-11,0.00027283169917717136
290,1.9999999435882953e+24,56427620441376352,290,9.999999999e-11,0.00028205852275056166
300,1.9999999417367124e+24,58463287634183640,300,9.999999999e-11,0.000292231014241712
310,1.9999999399119386e+24,60288061315351280,310,9.999999999e-11,0.00030134946770082584
320,1.9999999381172508e+24,61901902415073616,320,9.999999999e-11,0.00030941374557794484
330,1.999999936295081e+24,63904919190782904,330,9.999999999e-11,0.0003194225325982475
340,1.9999999345253348e+24,65496106933597376,340,9.999999999e-11,0.00032737332627606194
350,1.9999999327470224e+24,67275600030852664,350,9.999999999e-11,0.0003362648880437011
360,1.9999999309568421e+24,69243157966640216,360,9.999999999e-11,0.0003460959659449933
370,1.9999999292010276e+24,70998972429559536,370,9.999999999e-11,0.00035486888551670314
380,1.9999999274841828e+24,72542119313607424,380,9.999999999e-11,0.0003625790852917079
390,1.999999925727629e+24,74472370940701472,390,9.999999999e-11,0.00037222325296267037
400,1.999999924038749e+24,75990112456710016,400,9.999999999e-11,0.00037980625468352427
410,1.9999999223350112e+24,77695159626960768,410,9.999999999e-11,0.00038832494329252266
420,1.999999920613138e+24,79586862055153424,420,9.999999999e-11,0.0003977760215489878
430,1.9999999189348089e+24,81265191172428016,430,9.999999999e-11,0.0004061609221372188
440,1.9999999173040718e+24,82730135528875776,440,9.999999999e-11,0.00041347964151047594
450,1.9999999156543856e+24,84381200454538112,450,9.999999999e-11,0.00042172807266750527
460,1.9999999139814338e+24,86218566193001168,460,9.999999999e-11,0.00043090707001630966
470,1.9999999123971624e+24,87641225603236240,470,9.999999999e-11,0.00043801418751505413
480,1.9999999107892122e+24,89250598264976832,480,9.999999999e-11,0.00044605393842057174
490,1.9999999091544956e+24,91045504365216176,490,9.999999999e-11,0.0004550203840242811
500,1.999999907574184e+24,92625816022643504,500,9.999999999e-11,0.0004629146908582695
510,1.999999906052748e+24,93991403033438272,510,9.999999999e-11,0.000469736259316847
520,1.99999990450328e+24,95542339851021664,520,9.999999999e-11,0.0004774835997533037
530,1.9999999029214713e+24,97278528575095152,530,9.999999999e-11,0.00048615618008619337
540,1.9999999014490956e+24,98599489768738768,540,9.999999999e-11,0.0004927545221213818
550,1.9999998998942812e+24,100305718856660576,550,9.999999999e-11,0.0005012771894391372
560,1.9999998984546412e+24,101596942368560704,560,9.999999999e-11,0.0005077267943934587
