Name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
H2O,10000000000000,10000000000999,10000000001964,10000000002908,10000000003840,10000000004752,10000000005660,10000000006550,10000000007380,10000000008205,10000000009041,10000000009858,10000000010677,10000000011446,10000000012280,10000000013064,10000000013794,10000000014478,10000000015232,10000000015934,10000000016671,10000000017356,10000000018027,10000000018658,10000000019316,10000000020002,10000000020604,10000000021237,10000000021826,10000000022414,10000000023052,10000000023608,10000000024178,10000000024749,10000000025269,10000000025865,10000000026459,10000000027019,10000000027545,10000000028098,10000000028593,10000000029089,10000000029606,10000000030116,10000000030601,10000000031080,10000000031523,10000000032008,10000000032424,10000000032848,10000000033285,10000000033707,10000000034124,10000000034552,10000000034965,10000000035368,10000000035782,10000000036179,10000000036599,10000000036999,10000000037380,10000000037770,10000000038135,10000000038522,10000000038885,10000000039235,10000000039595,10000000039951,10000000040321,10000000040720,10000000041091,10000000041406,10000000041730,10000000042074,10000000042438,10000000042766,10000000043087,10000000043401,10000000043704,10000000044010,10000000044317,10000000044657,10000000044965,10000000045271,10000000045561,10000000045870,10000000046156,10000000046440,10000000046721,10000000047020,10000000047280,10000000047566,10000000047850,10000000048105,10000000048383,10000000048665,10000000048950,10000000049181,10000000049453,10000000049703,10000000049947
OH-,100000,99001,98036,97092,96160,95248,94340,93450,92620,91795,90959,90142,89323,88554,87720,86936,86206,85522,84768,84066,83329,82644,81973,81342,80684,79998,79396,78763,78174,77586,76948,76392,75822,75251,74731,74135,73541,72981,72455,71902,71407,70911,70394,69884,69399,68920,68477,67992,67576,67152,66715,66293,65876,65448,65035,64632,64218,63821,63401,63001,62620,62230,61865,61478,61115,60765,60405,60049,59679,59280,58909,58594,58270,57926,57562,57234,56913,56599,56296,55990,55683,55343,55035,54729,54439,54130,53844,53560,53279,52980,52720,52434,52150,51895,51617,51335,51050,50819,50547,50297,50053
H+,100000,99001,98036,97092,96160,95248,94340,93450,92620,91795,90959,90142,89323,88554,87720,86936,86206,85522,84768,84066,83329,82644,81973,81342,80684,79998,79396,78763,78174,77586,76948,76392,75822,75251,74731,74135,73541,72981,72455,71902,71407,70911,70394,69884,69399,68920,68477,67992,67576,67152,66715,66293,65876,65448,65035,64632,64218,63821,63401,63001,62620,62230,61865,61478,61115,60765,60405,60049,59679,59280,58909,58594,58270,57926,57562,57234,56913,56599,56296,55990,55683,55343,55035,54729,54439,54130,53844,53560,53279,52980,52720,52434,52150,51895,51617,51335,51050,50819,50547,50297,50053
a,1000000,999033,998061,997088,996082,995096,994099,993067,992045,991032,990050,989059,988038,987010,986035,985050,984092,983114,982143,981231,980296,979376,978458,977463,976552,975595,974627,973698,972756,971825,970912,969981,969051,968089,967132,966232,965266,964301,963356,962365,961441,960445,959433,958495,957581,956667,955709,954766,953779,952858,951870,950939,949978,949004,948061,947104,946143,945172,944260,943286,942360,941434,940501,939559,938611,937715,936753,935802,934887,933975,933078,932154,931249,930295,929373,928442,927480,926515,925616,924682,923800,922877,921990,921107,920150,919254,918317,917457,916561,915682,914790,913913,912983,912077,911143,910213,909311,908445,907513,906620,905714
b,100000,55824,17367,606,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,10000,5025,4999,5089,4995,5105,4919,4998,4868,4823,5058,5045,4987,5034,5061,5045,4881,4975,4900,4983,5032,5097,5034,5041,4915,5095,4841,4824,4854,4867,4915,4907,4867,4898,4794,4987,4670,4692,4901,4880,4843,4916,4767,4906,4673,4823,4811,4579,4776,4894,4746,4709,4762,4649,4695,4629,4651,4551,4482,4549,4657,4542,4539,4582,4487,4646,4512,4502,4433,4402,4512,4311,4420,4332,4386,4398,4276,4462,4380,4188,4357,4172,4267,4296,4179,4192,4213,4095,4085,4075,4024,3938,4059,4042,3960,3947,3917,3935,3941,3975,3903
r,0,0,0,0,0,0,0,0,0,1,3,5,6,7,7,8,8,8,9,11,13,16,21,27,32,36,39,42,48,50,52,54,58,62,66,73,81,88,93,95,106,118,126,130,136,150,157,169,181,192,205,211,221,232,243,254,264,274,283,297,313,326,339,357,373,390,407,428,443,469,486,510,526,548,571,584,605,628,653,671,693,715,743,770,789,811,836,858,885,909,941,968,1004,1034,1065,1091,1120,1149,1180,1199,1232
H2O:=C1_1,10000000000,9999955826,9999917371,9999900610,9999900010,9999900004,9999900004,9999900004,9999900005,9999900006,9999900006,9999900007,9999900007,9999900008,9999900010,9999900011,9999900013,9999900015,9999900016,9999900016,9999900016,9999900019,9999900019,9999900020,9999900021,9999900022,9999900024,9999900025,9999900025,9999900026,9999900027,9999900028,9999900028,9999900031,9999900032,9999900032,9999900033,9999900033,9999900033,9999900034,9999900034,9999900034,9999900034,9999900035,9999900036,9999900037,9999900037,9999900037,9999900037,9999900038,9999900038,9999900038,9999900038,9999900038,9999900038,9999900038,9999900041,9999900044,9999900044,9999900044,9999900046,9999900047,9999900047,9999900047,9999900047,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900048,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900050,9999900051,9999900052,9999900052,9999900052,9999900052,9999900052,9999900052,9999900052
OH-:=C1_1,100,98,96,96,96,96,96,96,95,94,94,93,93,92,90,89,87,85,84,84,84,81,81,80,79,78,76,75,75,74,73,72,72,69,68,68,67,67,67,66,66,66,66,65,64,63,63,63,63,62,62,62,62,62,62,62,59,56,56,56,54,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,48,48,48,48,48
H+:=C1_1,100,98,96,96,96,96,96,96,95,94,94,93,93,92,90,89,87,85,84,84,84,81,81,80,79,78,76,75,75,74,73,72,72,69,68,68,67,67,67,66,66,66,66,65,64,63,63,63,63,62,62,62,62,62,62,62,59,56,56,56,54,53,53,53,53,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,48,48,48,48,48
