Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,n:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,0,10000000,10000000,10000000,1000,500,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
100,10000000000999,99001,99001,999033,55824,5025,0,9999955826,98,98,18,43227,4975,3000,2000,949,75834,0,0,0,9955824,10044176,10044176,1000,500,300,1000000005,95,95,0,24166,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
200,10000000001964,98036,98036,998061,17367,4999,0,9999917371,96,96,1,80695,5001,3000,2000,1936,57075,2,0,0,9917367,10082633,10082633,1000,500,300,1000000001,99,99,0,42923,99996,2,10000,1000000,1000000,1000000,5000,3000,2000
300,10000000002908,97092,97092,997088,606,5089,0,9999900610,96,96,0,96482,4909,3000,2000,2908,42710,4,0,2,9900606,10099394,10099394,1000,500,300,1000000003,95,95,0,57286,99992,2,10000,999998,1000002,1000002,5000,3000,2000
400,10000000003840,96160,96160,996082,6,4995,0,9999900010,96,96,8,96084,5001,3000,2000,3905,31914,5,0,4,9900006,10099994,10099994,1000,500,300,1000000002,94,94,0,68081,99990,1,10000,999996,1000004,1000004,5000,3000,2000
500,10000000004752,95248,95248,995096,0,5105,0,9999900004,96,96,0,95096,4886,3000,2000,4895,23766,9,0,9,9900000,10100000,10100000,1000,500,300,999999995,96,96,0,76225,99982,0,10000,999991,1000009,1000009,5000,3000,2000
600,10000000005660,94340,94340,994099,0,4919,0,9999900004,96,96,7,94106,5071,3000,2000,5883,17661,11,1,10,9900000,10100000,10100000,1000,500,300,999999992,97,97,0,82328,99978,0,10000,999989,1000011,1000011,5000,3000,2000
700,10000000006550,93450,93450,993067,0,4998,0,9999900004,96,96,0,93067,4987,3000,2000,6918,13149,15,0,15,9900000,10100000,10100000,1000,500,300,999999987,98,98,0,86836,99970,0,10000,999985,1000015,1000015,5000,3000,2000
800,10000000007380,92620,92620,992045,0,4868,0,9999900005,95,95,11,92056,5115,3000,2000,7927,9785,17,0,17,9900000,10100000,10100000,1000,500,300,999999982,101,101,0,90198,99966,0,10000,999983,1000017,1000017,5000,3000,2000
900,10000000008205,91795,91795,991032,0,4823,1,9999900006,94,94,11,91043,5159,3000,2000,8939,7292,18,0,17,9900000,10100000,10100000,1000,500,300,999999984,98,98,0,92690,99964,0,10000,999982,1000018,1000018,5000,3000,2000
1000,10000000009041,90959,90959,990050,0,5058,3,9999900006,94,94,0,90050,4922,3000,2000,9927,5394,23,1,17,9900000,10100000,10100000,1000,500,300,999999978,101,101,0,94583,99954,2,10000,999979,1000021,1000021,5000,3000,2000
1100,10000000009858,90142,90142,989059,0,5045,5,9999900007,93,93,2,89061,4930,3000,2000,10911,4040,28,1,20,9900000,10100000,10100000,1000,500,300,999999975,99,99,0,95932,99944,2,10000,999974,1000026,1000026,5000,3000,2000
1200,10000000010677,89323,89323,988038,0,4987,6,9999900007,93,93,1,88039,4985,3000,2000,11928,3020,33,0,22,9900000,10100000,10100000,1000,500,300,999999965,107,107,0,96947,99934,5,10000,999972,1000028,1000028,5000,3000,2000
