Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,10000000001003,98997,98997,995093,3511,0,0,9999962863,99,99,1,36197,1818,3000,2000,590,57216,94,66,9962862,10037138,10037138,1000,500,300,9999962875,100,100,13,36169,2108,3000,2000,583,57180,81,71,9962875,10037125,10037125,1000,500,300,9999992607,100,100,0,6405,1938,3000,2000,777,91203,51,38,9992607,10007393,10007393,1000,100,300,9999992586,99,99,1,6410,2208,3000,2000,781,91313,43,44,9992585,10007415,10007415,1000,100,300,9999992583,99,99,1,6417,1672,3000,2000,784,91331,50,37,9992582,10007418,10007418,1000,100,300,999999902,105,105,7,21173,99807,100,10000,999907,1000093,1000093,5000,3000,2000,999999935,98,98,4,21271,99853,80,10000,999933,1000067,1000067,5000,3000,2000,999999930,101,101,7,21244,99818,113,10000,999931,1000069,1000069,5000,3000,2000,999999917,100,100,1,21211,99817,100,10000,999917,1000083,1000083,5000,3000,2000,999999908,103,103,2,8588,99791,120,10000,999911,1000089,1000089,5000,1000,2000,999999909,104,104,2,8465,99778,135,10000,999913,1000087,1000087,5000,1000,2000,999999906,107,107,5,8457,99788,125,10000,999913,1000087,1000087,5000,1000,2000
200,10000000001932,98068,98068,990030,0,0,32,9999961563,98,98,0,36494,1417,3000,2000,833,32126,239,460,9961561,10038439,10038439,1000,500,300,9999961485,99,99,10,36600,1667,3000,2000,768,32176,211,500,9961484,10038516,10038516,1000,500,300,9999992345,100,100,11,5632,1703,3000,2000,1280,83185,162,266,9992345,10007655,10007655,1000,100,300,9999992322,99,99,1,5599,1930,3000,2000,1323,83199,144,319,9992321,10007679,10007679,1000,100,300,9999992290,99,99,8,5735,1420,3000,2000,1265,83334,158,286,9992289,10007711,10007711,1000,100,300,999999618,99,99,0,33243,99409,208,10000,999617,1000383,1000383,5000,3000,2000,999999676,101,101,2,33521,99481,196,10000,999677,1000323,1000323,5000,3000,2000,999999626,96,96,1,33342,99420,202,10000,999622,1000378,1000378,5000,3000,2000,999999652,103,103,0,33335,99433,222,10000,999655,1000345,1000345,5000,3000,2000,999999566,99,99,10,16082,99267,298,10000,999565,1000435,1000435,5000,1000,2000,999999532,102,102,1,16045,99244,290,10000,999534,1000466,1000466,5000,1000,2000,999999550,103,103,1,15956,99290,263,10000,999553,1000447,1000447,5000,1000,2000
300,10000000002909,97091,97091,985105,0,0,126,9999961564,97,97,0,35496,856,3000,2000,926,17883,493,1001,9961561,10038439,10038439,1000,500,300,9999961485,99,99,11,35651,1049,3000,2000,883,17975,385,1095,9961484,10038516,10038516,1000,500,300,9999992346,99,99,18,4630,1183,3000,2000,1562,75644,292,772,9992345,10007655,10007655,1000,100,300,9999992322,99,99,3,4596,1446,3000,2000,1645,75821,250,788,9992321,10007679,10007679,1000,100,300,9999992291,98,98,1,4765,998,3000,2000,1588,76043,289,686,9992289,10007711,10007711,1000,100,300,999999201,96,96,4,39904,98968,229,10000,999197,1000803,1000803,5000,3000,2000,999999281,101,101,6,40206,99025,257,10000,999282,1000718,1000718,5000,3000,2000,999999233,95,95,3,40047,99008,220,10000,999228,1000772,1000772,5000,3000,2000,999999255,102,102,1,40000,99014,243,10000,999257,1000743,1000743,5000,3000,2000,999998910,105,105,1,22894,98538,377,10000,998915,1001085,1001085,5000,1000,2000,999998947,97,97,7,22748,98569,375,10000,998944,1001056,1001056,5000,1000,2000,999998997,103,103,10,22609,98652,348,10000,999000,1001000,1001000,5000,1000,2000
400,10000000003841,96159,96159,980211,0,0,309,9999961564,97,97,1,34533,307,3000,2000,965,9917,840,1507,9961561,10038439,10038439,1000,500,300,9999961485,99,99,16,34644,469,3000,2000,949,9949,678,1622,9961484,10038516,10038516,1000,500,300,9999992347,98,98,0,3676,654,3000,2000,1706,68945,504,1277,9992345,10007655,10007655,1000,100,300,9999992323,98,98,4,3576,858,3000,2000,1775,69062,485,1342,9992321,10007679,10007679,1000,100,300,9999992291,98,98,17,3820,527,3000,2000,1718,69273,524,1128,9992289,10007711,10007711,1000,100,300,999998761,94,94,0,43409,98503,252,10000,998755,1001245,1001245,5000,3000,2000,999998828,100,100,0,43733,98556,272,10000,998828,1001172,1001172,5000,3000,2000,999998801,93,93,7,43556,98520,274,10000,998794,1001206,1001206,5000,3000,2000,999998815,103,103,6,43585,98570,248,10000,998818,1001182,1001182,5000,3000,2000,999998169,105,105,9,28791,97736,438,10000,998174,1001826,1001826,5000,1000,2000,999998123,98,98,3,28613,97675,446,10000,998121,1001879,1001879,5000,1000,2000,999998287,107,107,4,28558,97831,463,10000,998294,1001706,1001706,5000,1000,2000
500,10000000004789,95211,95211,975447,0,0,538,9999961565,96,96,9,33535,62,3000,2000,963,5345,1566,1701,9961561,10038439,10038439,1000,500,300,9999961489,95,95,3,33646,113,3000,2000,993,5470,1277,1931,9961484,10038516,10038516,1000,500,300,9999992347,98,98,1,2737,228,3000,2000,1813,62712,876,1656,9992345,10007655,10007655,1000,100,300,9999992324,97,97,2,2627,324,3000,2000,1789,62872,795,1830,9992321,10007679,10007679,1000,100,300,9999992293,96,96,1,2918,166,3000,2000,1722,62983,1013,1451,9992289,10007711,10007711,1000,100,300,999998279,95,95,1,45176,98000,274,10000,998274,1001726,1001726,5000,3000,2000,999998344,94,94,7,45546,98067,271,10000,998338,1001662,1001662,5000,3000,2000,999998311,96,96,10,45275,98039,268,10000,998307,1001693,1001693,5000,3000,2000,999998346,104,104,0,45388,98094,256,10000,998350,1001650,1001650,5000,3000,2000,999997361,115,115,6,34189,96901,475,10000,997376,1002624,1002624,5000,1000,2000,999997281,96,96,8,33873,96745,532,10000,997277,1002723,1002723,5000,1000,2000,999997440,104,104,3,33949,96932,512,10000,997444,1002556,1002556,5000,1000,2000
600,10000000005630,94370,94370,970575,0,0,805,9999961565,96,96,2,32581,4,3000,2000,949,2907,2495,1710,9961561,10038439,10038439,1000,500,300,9999961492,92,92,0,32648,9,3000,2000,1000,3013,2168,1969,9961484,10038516,10038516,1000,500,300,9999992347,98,98,12,1772,42,3000,2000,1877,57085,1592,1793,9992345,10007655,10007655,1000,100,300,9999992326,95,95,9,1634,68,3000,2000,1889,57128,1453,2024,9992321,10007679,10007679,1000,100,300,9999992294,95,95,1,1964,16,3000,2000,1826,57235,1747,1560,9992289,10007711,10007711,1000,100,300,999997795,100,100,3,45930,97537,258,10000,997795,1002205,1002205,5000,3000,2000,999997837,93,93,2,46259,97559,271,10000,997830,1002170,1002170,5000,3000,2000,999997836,94,94,5,45987,97556,274,10000,997830,1002170,1002170,5000,3000,2000,999997832,100,100,1,46138,97582,250,10000,997832,1002168,1002168,5000,3000,2000,999996468,106,106,2,38911,95996,478,10000,996474,1003526,1003526,5000,1000,2000,999996364,99,99,13,38729,95857,506,10000,996363,1003637,1003637,5000,1000,2000,999996561,99,99,3,38847,96082,478,10000,996560,1003440,1003440,5000,1000,2000
700,10000000006548,93452,93452,965718,0,0,1084,9999961567,94,94,7,31649,0,3000,2000,949,1616,3424,1665,9961561,10038439,10038439,1000,500,300,9999961493,91,91,2,31654,1,3000,2000,979,1638,3177,1918,9961484,10038516,10038516,1000,500,300,9999992347,98,98,4,797,0,3000,2000,1905,52016,2461,1781,9992345,10007655,10007655,1000,100,300,9999992326,95,95,0,680,3,3000,2000,1880,51959,2359,2022,9992321,10007679,10007679,1000,100,300,9999992295,94,94,13,964,2,3000,2000,1892,52172,2644,1524,9992289,10007711,10007711,1000,100,300,999997320,97,97,1,46101,97071,246,10000,997317,1002683,1002683,5000,3000,2000,999997380,95,95,5,46448,97094,281,10000,997375,1002625,1002625,5000,3000,2000,999997296,94,94,0,46163,97023,267,10000,997290,1002710,1002710,5000,3000,2000,999997349,106,106,1,46317,97095,260,10000,997355,1002645,1002645,5000,3000,2000,999995560,103,103,8,43039,95055,508,10000,995563,1004437,1004437,5000,1000,2000,999995395,97,97,10,42932,94891,501,10000,995392,1004608,1004608,5000,1000,2000,999995653,96,96,2,42975,95147,502,10000,995649,1004351,1004351,5000,1000,2000
800,10000000007444,92556,92556,961024,0,0,1347,9999961567,94,94,10,30721,0,3000,2000,937,891,4360,1615,9961561,10038439,10038439,1000,500,300,9999961494,90,90,8,30763,0,3000,2000,923,892,4093,1852,9961484,10038516,10038516,1000,500,300,9999992347,98,98,165,0,0,3000,2000,1787,47305,3367,1732,9992345,10007655,10007655,1000,100,300,9999992326,95,95,261,0,0,3000,2000,1651,47281,3278,1972,9992321,10007679,10007679,1000,100,300,9999992296,93,93,32,16,0,3000,2000,1869,47496,3545,1482,9992289,10007711,10007711,1000,100,300,999996873,100,100,0,45977,96607,266,10000,996873,1003127,1003127,5000,3000,2000,999996894,89,89,5,46356,96617,266,10000,996883,1003117,1003117,5000,3000,2000,999996812,104,104,2,46056,96552,264,10000,996816,1003184,1003184,5000,3000,2000,999996902,110,110,1,46225,96621,291,10000,996912,1003088,1003088,5000,3000,2000,999994656,101,101,7,46834,94139,518,10000,994657,1005343,1005343,5000,1000,2000,999994472,98,98,0,46691,93972,498,10000,994470,1005530,1005530,5000,1000,2000,999994750,96,96,11,46689,94185,561,10000,994746,1005254,1005254,5000,1000,2000
900,10000000008259,91741,91741,956291,0,0,1603,9999961567,94,94,8,29832,0,3000,2000,889,511,5304,1574,9961561,10038439,10038439,1000,500,300,9999961495,89,89,13,29826,0,3000,2000,931,474,5041,1797,9961484,10038516,10038516,1000,500,300,9999992347,98,98,1124,0,0,3000,2000,1053,42975,4234,1675,9992345,10007655,10007655,1000,100,300,9999992326,95,95,1249,0,0,3000,2000,1001,43016,4055,1917,9992321,10007679,10007679,1000,100,300,9999992297,92,92,973,0,0,3000,2000,1124,43120,4469,1434,9992289,10007711,10007711,1000,100,300,999996439,96,96,0,45745,96183,252,10000,996435,1003565,1003565,5000,3000,2000,999996392,85,85,2,46028,96101,276,10000,996377,1003623,1003623,5000,3000,2000,999996339,105,105,5,45775,96072,272,10000,996344,1003656,1003656,5000,3000,2000,999996418,118,118,1,45998,96175,261,10000,996436,1003564,1003564,5000,3000,2000,999993790,100,100,0,50423,93398,392,10000,993790,1006210,1006210,5000,1000,2000,999993699,94,94,1,50307,93323,370,10000,993693,1006307,1006307,5000,1000,2000,999993819,103,103,3,50296,93416,406,10000,993822,1006178,1006178,5000,1000,2000
