Name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
H2O,10000000000000,10000000001003,10000000001932,10000000002909,10000000003841,10000000004789,10000000005630,10000000006548,10000000007444,10000000008259,10000000009077,10000000009923,10000000010737,10000000011549,10000000012326,10000000013105,10000000013875,10000000014608,10000000015340,10000000016032,10000000016738,10000000017383,10000000018061,10000000018727,10000000019372,10000000019954,10000000020592,10000000021230,10000000021866,10000000022467,10000000023053,10000000023623,10000000024210,10000000024763,10000000025299,10000000025857,10000000026405,10000000026962,10000000027486,10000000027999,10000000028520,10000000029026,10000000029530,10000000030034,10000000030506,10000000030995,10000000031468,10000000031970,10000000032435,10000000032861,10000000033291,10000000033786,10000000034221,10000000034674,10000000035111,10000000035516,10000000035950,10000000036365,10000000036746,10000000037113,10000000037502,10000000037873,10000000038271,10000000038660,10000000039010,10000000039397,10000000039794,10000000040151,10000000040526,10000000040872,10000000041198,10000000041535,10000000041882,10000000042203,10000000042537,10000000042862,10000000043207,10000000043534,10000000043834,10000000044130,10000000044437,10000000044762,10000000045038,10000000045350,10000000045644,10000000045914,10000000046201,10000000046507,10000000046772,10000000047050,10000000047364,10000000047635,10000000047929,10000000048189,10000000048426,10000000048700,10000000048978,10000000049244,10000000049506,10000000049758,10000000050006
OH-,100000,98997,98068,97091,96159,95211,94370,93452,92556,91741,90923,90077,89263,88451,87674,86895,86125,85392,84660,83968,83262,82617,81939,81273,80628,80046,79408,78770,78134,77533,76947,76377,75790,75237,74701,74143,73595,73038,72514,72001,71480,70974,70470,69966,69494,69005,68532,68030,67565,67139,66709,66214,65779,65326,64889,64484,64050,63635,63254,62887,62498,62127,61729,61340,60990,60603,60206,59849,59474,59128,58802,58465,58118,57797,57463,57138,56793,56466,56166,55870,55563,55238,54962,54650,54356,54086,53799,53493,53228,52950,52636,52365,52071,51811,51574,51300,51022,50756,50494,50242,49994
H+,100000,98997,98068,97091,96159,95211,94370,93452,92556,91741,90923,90077,89263,88451,87674,86895,86125,85392,84660,83968,83262,82617,81939,81273,80628,80046,79408,78770,78134,77533,76947,76377,75790,75237,74701,74143,73595,73038,72514,72001,71480,70974,70470,69966,69494,69005,68532,68030,67565,67139,66709,66214,65779,65326,64889,64484,64050,63635,63254,62887,62498,62127,61729,61340,60990,60603,60206,59849,59474,59128,58802,58465,58118,57797,57463,57138,56793,56466,56166,55870,55563,55238,54962,54650,54356,54086,53799,53493,53228,52950,52636,52365,52071,51811,51574,51300,51022,50756,50494,50242,49994
a,1000000,995093,990030,985105,980211,975447,970575,965718,961024,956291,951520,946797,942153,937502,932937,928330,923751,919197,914704,910076,905529,901033,896571,892121,887714,883295,879010,874632,870213,866055,861759,857545,853257,849052,844860,840660,836536,832394,828240,824117,819947,815965,811906,808050,803997,800097,796216,792240,788299,784438,780534,776582,772744,768967,765168,761407,757650,753906,750257,746551,742816,739088,735507,731838,728233,724597,721048,717540,713959,710584,706983,703407,699883,696374,692839,689334,685941,682608,679326,676058,672731,669359,666063,662769,659425,656034,652838,649682,646420,643189,640012,636742,633639,630512,627378,624275,621171,618088,615056,612061,608937
b,100000,3511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,0,32,126,309,538,805,1084,1347,1603,1857,2082,2302,2553,2765,3001,3202,3392,3589,3775,3958,4141,4290,4465,4625,4774,4930,5086,5203,5339,5485,5629,5738,5859,5981,6106,6222,6335,6426,6517,6635,6718,6815,6916,7002,7090,7162,7237,7333,7402,7473,7547,7612,7692,7756,7842,7898,7957,8020,8086,8146,8197,8268,8329,8391,8432,8483,8523,8570,8618,8662,8697,8729,8757,8792,8832,8865,8896,8944,8974,9004,9032,9065,9093,9118,9149,9186,9201,9225,9257,9287,9312,9327,9340,9357,9374,9396,9411,9429,9457,9468
H2O:=C1_1,10000000000,9999962863,9999961563,9999961564,9999961564,9999961565,9999961565,9999961567,9999961567,9999961567,9999961567,9999961568,9999961569,9999961572,9999961574,9999961574,9999961574,9999961574,9999961574,9999961574,9999961576,9999961576,9999961576,9999961577,9999961578,9999961580,9999961580,9999961580,9999961580,9999961580,9999961581,9999961583,9999961584,9999961584,9999961585,9999961585,9999961585,9999961585,9999961585,9999961585,9999961586,9999961587,9999961587,9999961588,9999961588,9999961588,9999961588,9999961589,9999961589,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961591,9999961593,9999961594,9999961594,9999961594,9999961595,9999961595,9999961595,9999961596,9999961596,9999961596,9999961597,9999961598,9999961598,9999961598,9999961598,9999961599,9999961599,9999961600,9999961600,9999961601,9999961601,9999961601,9999961601,9999961601,9999961601,9999961601,9999961602,9999961602,9999961602,9999961602,9999961602,9999961602,9999961602,9999961602,9999961603,9999961603,9999961603,9999961603,9999961603,9999961604,9999961605
OH-:=C1_1,100,99,98,97,97,96,96,94,94,94,94,93,92,89,87,87,87,87,87,87,85,85,85,84,83,81,81,81,81,81,80,78,77,77,76,76,76,76,76,76,75,74,74,73,73,73,73,72,72,70,70,70,70,70,70,70,70,70,70,70,68,67,67,67,66,66,66,65,65,65,64,63,63,63,63,62,62,61,61,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,58,58,58,58,58,57,56
H+:=C1_1,100,99,98,97,97,96,96,94,94,94,94,93,92,89,87,87,87,87,87,87,85,85,85,84,83,81,81,81,81,81,80,78,77,77,76,76,76,76,76,76,75,74,74,73,73,73,73,72,72,70,70,70,70,70,70,70,70,70,70,70,68,67,67,67,66,66,66,65,65,65,64,63,63,63,63,62,62,61,61,60,60,60,60,60,60,60,59,59,59,59,59,59,59,59,58,58,58,58,58,57,56
