Name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000
H2O,200000000000000,200000000002583,200000031737193,200000031737309,200000031737312,200000031737237,200000031735297,200000031735435,200000031735431,200000031737316,200000031735355,200000031735423,200000031735413,200000031737311,200000031735468,200000031735425,200000031737195,200000031735340,200000031735274,200000031737226,200000031737233,200000031737323,200000031737235,200000031735360,200000031737207,200000031735369,200000031737199,200000031735353,200000031737203,200000031737298,200000031737212,200000031737286,200000031735451,200000031737325,200000031737292,200000031737310,200000031735336,200000031735254,200000031737218,200000031737314,200000031737187,200000031735412,200000031737296,200000031737305,200000031737317,200000031735305,200000031737226,200000031737195,200000031737209,200000031737316,200000031737206,200000031735253,200000031735303,200000031737197,200000031737319,200000031737206,200000031735380,200000031737203,200000031737211,200000031737314,200000031737317,200000031737311,200000031737254,200000031737295,200000031735309,200000031735382,200000031737238,200000031735408,200000031737200,200000031737231,200000031737222,200000031735347,200000031737216,200000031735289,200000031737285,200000031737286,200000031737195,200000031735374,200000031737210,200000031735471,200000031737303,200000031737207,200000031737187,200000031735234,200000031735324,200000031737183,200000031735314,200000031735404,200000031737284,200000031735394,200000031737284,200000031737206,200000031735379,200000031735376,200000031737211,200000031735379,200000031735296,200000031735283,200000031735331,200000031737239,200000031737179
OH-,31737400,31734817,207,91,88,163,2103,1965,1969,84,2045,1977,1987,89,1932,1975,205,2060,2126,174,167,77,165,2040,193,2031,201,2047,197,102,188,114,1949,75,108,90,2064,2146,182,86,213,1988,104,95,83,2095,174,205,191,84,194,2147,2097,203,81,194,2020,197,189,86,83,89,146,105,2091,2018,162,1992,200,169,178,2053,184,2111,115,114,205,2026,190,1929,97,193,213,2166,2076,217,2086,1996,116,2006,116,194,2021,2024,189,2021,2104,2117,2069,161,221
H3PO4,20000000000000,19323672404989,15912627858123,15548330890374,15340865848007,15382709947977,15493135771077,15333108123275,15339132463810,15341527562841,15469352767314,15431000378553,15371687125060,15486716933087,15456126326750,15494473189131,15525640607549,15492615774597,15472271468984,15397356840510,15528178490111,15457104599532,15469989689421,15385980066387,15191293155825,15506273492328,15529127820780,15492321086406,15533061409032,15402145195453,15361142755912,15282143055988,15256530356629,15364966721630,15408878088322,15536285196224,15384484970295,15491351787363,15333963621208,15426425774411,15376960139764,15331480207867,15236147539505,15608021684670,15282237977988,15288686213844,15421747501551,15424300586460,15313542822991,15348916360191,15371487072496,15540871374163,15394421680838,15583496487418,15411339361064,15516123823960,15272229276072,15583183997200,15393394500330,15475510097135,15493436712871,15468223097340,15596609468422,15514372783196,15263474379506,15379227395905,15398033093479,15232839062840,15310317337133,15577746573593,15505228614811,15267439742241,15505704195775,15278543637795,15400229869346,15255512025388,15417955549499,15531185613209,15271845769125,15244084810627,15515835458655,15515287957431,15470673641114,15432822877811,15496209405759,15428575330239,15405817255849,15447121610947,15291640400786,15437887939053,15473708278856,15458349554591,15424620356269,15387198779293,15269800362101,15365191963581,15428625688111,15428085567515,15245836231889,15364131431362,15356465934352
H2PO4_1-,0,676327595011,4087355935570,4451655046605,4659124721234,4617270691611,4506843669480,4666875440128,4660848331515,4658455394831,4530627928531,4568988257781,4628301017927,4513262965278,4543854336902,4505512690361,4474343586721,4507372174923,4527707740966,4602626614228,4471800159854,4542878948777,4529996243133,4614002033753,4808691108450,4493709056869,4470856983504,4507658517115,4466927025828,4597838218055,4638842449672,4717846107246,4743449327629,4635013339675,4591105294679,4463695858359,4615505506678,4508630475889,4666023859206,4573554837423,4623019994050,4668507225684,4763835141620,4391965015764,4717744191862,4711295798179,4578234775774,4575681049454,4686440611208,4651072285794,4628494320623,4459106688943,4605563320525,4416488457424,4588647480345,4483855457410,4727759035788,4416802009098,4606590384450,4524467486055,4506551625598,4531755898351,4403378608149,4485609683787,4736513097363,4620754647233,4601952592795,4767140488600,4689667010653,4422235092716,4494753870245,4732546850934,4494279650082,4721437473587,4599757847186,4744473589589,4582023899466,4468799943182,4728143975079,4755901910657,4484152299017,4484691201739,4529308654030,4567160808914,4503774435700,4571413617231,4594172227185,4552867734351,4708344066265,4562098462968,4526275503760,4541638367441,4575365291450,4612781609202,4730184049599,4634787952999,4571357286804,4571897932004,4754146344267,4635854754291,4643523710935
HPO4_2-,0,0,16205873,14062624,9430396,19359995,20558973,16436098,19204351,17041743,19303696,11363144,11856475,20101202,19335978,14120204,15805209,12049967,20789531,16544733,21349723,16451161,14067053,17899551,15735309,17450345,15195261,20396007,11564723,16586155,14793805,10836412,20315351,19938285,16616623,18944931,9522639,17736265,12519113,19387769,19865700,12566002,17318563,13299115,17829616,17987577,17722261,18363704,16565353,11353616,18606423,21936528,14998188,15054539,13158038,20718252,11687837,13993210,15114785,22416345,11661138,21003865,11923044,17532609,12522637,17956494,14313233,20448131,15651675,18333213,17514432,13406376,16153788,18888118,12283071,14384638,20550488,14443184,10255458,13278270,12241960,20840357,17704474,16312851,16158126,11052143,10516635,10654160,15532333,13597599,16216984,12077622,14351891,19611115,15587799,20083042,17024701,16499997,17423457,13813729,10354310
PO4_3-,0,0,434,397,363,417,470,499,324,585,459,522,538,433,370,304,521,513,519,529,312,530,393,309,416,458,455,472,417,337,611,354,391,410,376,486,388,483,473,397,486,447,312,451,534,400,414,382,448,399,458,366,449,619,553,378,303,492,435,465,393,444,385,408,494,368,493,429,539,478,512,449,355,500,397,385,547,425,338,446,368,473,382,424,415,387,331,542,616,380,400,346,390,390,501,378,384,484,387,618,403
H+,31737400,676359329828,4087388348825,4451683173135,4659143583203,4617309413015,4506884790939,4666908315786,4660886743158,4658489480156,4530666539345,4569010987612,4628324734478,4513303169070,4543893011900,4505540933656,4474375198907,4507396278456,4527749323711,4602659705455,4471842860403,4542911852766,4530024378583,4614037835822,4808722580509,4493743960964,4470887375592,4507699312592,4466950156722,4597871391478,4638872039303,4717867781246,4743489961453,4635053217550,4591138529161,4463733749769,4615524555184,4508665952014,4666048899033,4573593614238,4623059727121,4668532361017,4763869779786,4391991615442,4717779852779,4711331776628,4578270221712,4575717778213,4686473743449,4651094994307,4628531535037,4459150565244,4605593320345,4416518568562,4588673798161,4483896895242,4727782414391,4416829997191,4606620615514,4524512320226,4506574949136,4531797907502,4403402455538,4485644750334,4736538146210,4620790563343,4601981220902,4767181388141,4689698315820,4422271760745,4494788900823,4732573667086,4494311958907,4721475253434,4599782414634,4744502360134,4582065002288,4468828832851,4728164487199,4755928470464,4484176784138,4484732884065,4529344064337,4567193438054,4503806755273,4571435722895,4594193263534,4552889046293,4708375132895,4562125661312,4526307939044,4541662523917,4575393998423,4612820834626,4730215226889,4634828122238,4571391339462,4571930935567,4754181194411,4635882383764,4643544420985
