Time,H2O,OH-,H3PO4,H2PO4_1-,HPO4_2-,PO4_3-,H+
0,200000000000000,31737400,20000000000000,0,0,0,31737400
10,200000000002583,31734817,19323672404989,676327595011,0,0,676359329828
20,200000031737193,207,15912627858123,4087355935570,16205873,434,4087388348825
30,200000031737309,91,15548330890374,4451655046605,14062624,397,4451683173135
40,200000031737312,88,15340865848007,4659124721234,9430396,363,4659143583203
50,200000031737237,163,15382709947977,4617270691611,19359995,417,4617309413015
60,200000031735297,2103,15493135771077,4506843669480,20558973,470,4506884790939
70,200000031735435,1965,15333108123275,4666875440128,16436098,499,4666908315786
80,200000031735431,1969,15339132463810,4660848331515,19204351,324,4660886743158
90,200000031737316,84,15341527562841,4658455394831,17041743,585,4658489480156
100,200000031735355,2045,15469352767314,4530627928531,19303696,459,4530666539345
110,200000031735423,1977,15431000378553,4568988257781,11363144,522,4569010987612
120,200000031735413,1987,15371687125060,4628301017927,11856475,538,4628324734478
130,200000031737311,89,15486716933087,4513262965278,20101202,433,4513303169070
140,200000031735468,1932,15456126326750,4543854336902,19335978,370,4543893011900
150,200000031735425,1975,15494473189131,4505512690361,14120204,304,4505540933656
160,200000031737195,205,15525640607549,4474343586721,15805209,521,4474375198907
170,200000031735340,2060,15492615774597,4507372174923,12049967,513,4507396278456
180,200000031735274,2126,15472271468984,4527707740966,20789531,519,4527749323711
190,200000031737226,174,15397356840510,4602626614228,16544733,529,4602659705455
200,200000031737233,167,15528178490111,4471800159854,21349723,312,4471842860403
210,200000031737323,77,15457104599532,4542878948777,16451161,530,4542911852766
220,200000031737235,165,15469989689421,4529996243133,14067053,393,4530024378583
230,200000031735360,2040,15385980066387,4614002033753,17899551,309,4614037835822
240,200000031737207,193,15191293155825,4808691108450,15735309,416,4808722580509
250,200000031735369,2031,15506273492328,4493709056869,17450345,458,4493743960964
260,200000031737199,201,15529127820780,4470856983504,15195261,455,4470887375592
270,200000031735353,2047,15492321086406,4507658517115,20396007,472,4507699312592
280,200000031737203,197,15533061409032,4466927025828,11564723,417,4466950156722
290,200000031737298,102,15402145195453,4597838218055,16586155,337,4597871391478
300,200000031737212,188,15361142755912,4638842449672,14793805,611,4638872039303
310,200000031737286,114,15282143055988,4717846107246,10836412,354,4717867781246
320,200000031735451,1949,15256530356629,4743449327629,20315351,391,4743489961453
330,200000031737325,75,15364966721630,4635013339675,19938285,410,4635053217550
340,200000031737292,108,15408878088322,4591105294679,16616623,376,4591138529161
350,200000031737310,90,15536285196224,4463695858359,18944931,486,4463733749769
360,200000031735336,2064,15384484970295,4615505506678,9522639,388,4615524555184
370,200000031735254,2146,15491351787363,4508630475889,17736265,483,4508665952014
380,200000031737218,182,15333963621208,4666023859206,12519113,473,4666048899033
390,200000031737314,86,15426425774411,4573554837423,19387769,397,4573593614238
400,200000031737187,213,15376960139764,4623019994050,19865700,486,4623059727121
410,200000031735412,1988,15331480207867,4668507225684,12566002,447,4668532361017
420,200000031737296,104,15236147539505,4763835141620,17318563,312,4763869779786
430,200000031737305,95,15608021684670,4391965015764,13299115,451,4391991615442
440,200000031737317,83,15282237977988,4717744191862,17829616,534,4717779852779
450,200000031735305,2095,15288686213844,4711295798179,17987577,400,4711331776628
460,200000031737226,174,15421747501551,4578234775774,17722261,414,4578270221712
470,200000031737195,205,15424300586460,4575681049454,18363704,382,4575717778213
480,200000031737209,191,15313542822991,4686440611208,16565353,448,4686473743449
490,200000031737316,84,15348916360191,4651072285794,11353616,399,4651094994307
500,200000031737206,194,15371487072496,4628494320623,18606423,458,4628531535037
510,200000031735253,2147,15540871374163,4459106688943,21936528,366,4459150565244
520,200000031735303,2097,15394421680838,4605563320525,14998188,449,4605593320345
530,200000031737197,203,15583496487418,4416488457424,15054539,619,4416518568562
540,200000031737319,81,15411339361064,4588647480345,13158038,553,4588673798161
550,200000031737206,194,15516123823960,4483855457410,20718252,378,4483896895242
560,200000031735380,2020,15272229276072,4727759035788,11687837,303,4727782414391
570,200000031737203,197,15583183997200,4416802009098,13993210,492,4416829997191
580,200000031737211,189,15393394500330,4606590384450,15114785,435,4606620615514
590,200000031737314,86,15475510097135,4524467486055,22416345,465,4524512320226
600,200000031737317,83,15493436712871,4506551625598,11661138,393,4506574949136
610,200000031737311,89,15468223097340,4531755898351,21003865,444,4531797907502
620,200000031737254,146,15596609468422,4403378608149,11923044,385,4403402455538
630,200000031737295,105,15514372783196,4485609683787,17532609,408,4485644750334
640,200000031735309,2091,15263474379506,4736513097363,12522637,494,4736538146210
650,200000031735382,2018,15379227395905,4620754647233,17956494,368,4620790563343
660,200000031737238,162,15398033093479,4601952592795,14313233,493,4601981220902
670,200000031735408,1992,15232839062840,4767140488600,20448131,429,4767181388141
680,200000031737200,200,15310317337133,4689667010653,15651675,539,4689698315820
690,200000031737231,169,15577746573593,4422235092716,18333213,478,4422271760745
700,200000031737222,178,15505228614811,4494753870245,17514432,512,4494788900823
710,200000031735347,2053,15267439742241,4732546850934,13406376,449,4732573667086
720,200000031737216,184,15505704195775,4494279650082,16153788,355,4494311958907
730,200000031735289,2111,15278543637795,4721437473587,18888118,500,4721475253434
740,200000031737285,115,15400229869346,4599757847186,12283071,397,4599782414634
750,200000031737286,114,15255512025388,4744473589589,14384638,385,4744502360134
760,200000031737195,205,15417955549499,4582023899466,20550488,547,4582065002288
770,200000031735374,2026,15531185613209,4468799943182,14443184,425,4468828832851
780,200000031737210,190,15271845769125,4728143975079,10255458,338,4728164487199
790,200000031735471,1929,15244084810627,4755901910657,13278270,446,4755928470464
800,200000031737303,97,15515835458655,4484152299017,12241960,368,4484176784138
810,200000031737207,193,15515287957431,4484691201739,20840357,473,4484732884065
820,200000031737187,213,15470673641114,4529308654030,17704474,382,4529344064337
830,200000031735234,2166,15432822877811,4567160808914,16312851,424,4567193438054
840,200000031735324,2076,15496209405759,4503774435700,16158126,415,4503806755273
850,200000031737183,217,15428575330239,4571413617231,11052143,387,4571435722895
860,200000031735314,2086,15405817255849,4594172227185,10516635,331,4594193263534
870,200000031735404,1996,15447121610947,4552867734351,10654160,542,4552889046293
880,200000031737284,116,15291640400786,4708344066265,15532333,616,4708375132895
