,Name,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0,A,100000,99118,99085,99140,99068,99067,99098,99060,99090,99110,99177
1,B,10000,9118,9085,9140,9068,9067,9098,9060,9090,9110,9177
2,C,0,882,915,860,932,933,902,940,910,890,823
