,Time,A,B,C
0,0,100000,10000,0
1000,1000,99118,9118,882
2000,2000,99085,9085,915
3000,3000,99140,9140,860
4000,4000,99068,9068,932
5000,5000,99067,9067,933
6000,6000,99098,9098,902
7000,7000,99060,9060,940
8000,8000,99090,9090,910
9000,9000,99110,9110,890
10000,10000,99177,9177,823
