Time,A,B,C
2990,99124,9124,876
3000,99127,9127,873
3010,99128,9128,872
3020,99124,9124,876
3030,99151,9151,849
3040,99139,9139,861
3050,99132,9132,868
3060,99124,9124,876
3070,99118,9118,882
3080,99110,9110,890
3090,99115,9115,885
3100,99086,9086,914
3110,99092,9092,908
3120,99093,9093,907
3130,99089,9089,911
3140,99102,9102,898
3150,99087,9087,913
3160,99118,9118,882
3170,99106,9106,894
3180,99115,9115,885
3190,99123,9123,877
3200,99121,9121,879
3210,99119,9119,881
3220,99110,9110,890
3230,99115,9115,885
3240,99103,9103,897
3250,99089,9089,911
3260,99078,9078,922
3270,99058,9058,942
3280,99062,9062,938
3290,99063,9063,937
3300,99065,9065,935
3310,99061,9061,939
3320,99062,9062,938
3330,99055,9055,945
3340,99066,9066,934
3350,99073,9073,927
3360,99073,9073,927
3370,99080,9080,920
3380,99098,9098,902
3390,99078,9078,922
3400,99086,9086,914
3410,99097,9097,903
3420,99115,9115,885
3430,99114,9114,886
3440,99107,9107,893
3450,99121,9121,879
3460,99103,9103,897
3470,99093,9093,907
3480,99089,9089,911
3490,99087,9087,913
3500,99101,9101,899
3510,99097,9097,903
3520,99074,9074,926
3530,99070,9070,930
3540,99065,9065,935
3550,99048,9048,952
3560,99029,9029,971
3570,99065,9065,935
3580,99042,9042,958
3590,99063,9063,937
3600,99065,9065,935
3610,99066,9066,934
3620,99072,9072,928
3630,99088,9088,912
3640,99098,9098,902
3650,99088,9088,912
3660,99055,9055,945
3670,99052,9052,948
3680,99065,9065,935
3690,99071,9071,929
3700,99062,9062,938
3710,99043,9043,957
3720,99047,9047,953
3730,99066,9066,934
3740,99064,9064,936
3750,99063,9063,937
3760,99050,9050,950
3770,99034,9034,966
3780,99050,9050,950
3790,99048,9048,952
3800,99058,9058,942
3810,99048,9048,952
3820,99043,9043,957
3830,99039,9039,961
3840,99056,9056,944
3850,99057,9057,943
3860,99078,9078,922
3870,99075,9075,925
3880,99065,9065,935
3890,99043,9043,957
3900,99029,9029,971
3910,99021,9021,979
3920,99048,9048,952
3930,99057,9057,943
3940,99070,9070,930
3950,99056,9056,944
3960,99047,9047,953
3970,99056,9056,944
3980,99057,9057,943
3990,99067,9067,933
4000,99056,9056,944
4010,99044,9044,956
4020,99035,9035,965
4030,99055,9055,945
4040,99055,9055,945
4050,99054,9054,946
4060,99069,9069,931
4070,99053,9053,947
4080,99079,9079,921
4090,99080,9080,920
4100,99069,9069,931
4110,99090,9090,910
4120,99108,9108,892
4130,99083,9083,917
4140,99091,9091,909
4150,99101,9101,899
4160,99116,9116,884
4170,99103,9103,897
4180,99108,9108,892
4190,99094,9094,906
4200,99094,9094,906
4210,99092,9092,908
4220,99090,9090,910
4230,99098,9098,902
4240,99080,9080,920
4250,99092,9092,908
4260,99064,9064,936
4270,99062,9062,938
4280,99084,9084,916
4290,99078,9078,922
4300,99085,9085,915
4310,99098,9098,902
