Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O:=C1_2,OH-:=C1_2,H+:=C1_2,a:=C1_2,b:=C1_2,c:=C1_2,en_X:=C1_2,en_Z:=C1_2,l:=C1_2,m:=C1_2,q:=C1_2,r:=C1_2,ATP:=C1_2,ADP:=C1_2,Pi:=C1_2,mem_P1:=C1_2,mem_P2:=C1_2,mem_P6:=C1_2,H2O:=C2_1,OH-:=C2_1,H+:=C2_1,a:=C2_1,b:=C2_1,c:=C2_1,en_X:=C2_1,en_Z:=C2_1,l:=C2_1,m:=C2_1,q:=C2_1,r:=C2_1,ATP:=C2_1,ADP:=C2_1,Pi:=C2_1,mem_P1:=C2_1,mem_P2:=C2_1,mem_P6:=C2_1,H2O:=C2_2,OH-:=C2_2,H+:=C2_2,a:=C2_2,b:=C2_2,c:=C2_2,en_X:=C2_2,en_Z:=C2_2,l:=C2_2,m:=C2_2,q:=C2_2,r:=C2_2,ATP:=C2_2,ADP:=C2_2,Pi:=C2_2,mem_P1:=C2_2,mem_P2:=C2_2,mem_P6:=C2_2,H2O:=C2_3,OH-:=C2_3,H+:=C2_3,a:=C2_3,b:=C2_3,c:=C2_3,en_X:=C2_3,en_Z:=C2_3,l:=C2_3,m:=C2_3,q:=C2_3,r:=C2_3,ATP:=C2_3,ADP:=C2_3,Pi:=C2_3,mem_P1:=C2_3,mem_P2:=C2_3,mem_P6:=C2_3,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1,H2O::C1_1::M1_2,OH-::C1_1::M1_2,H+::C1_1::M1_2,l::C1_1::M1_2,m::C1_1::M1_2,n::C1_1::M1_2,q::C1_1::M1_2,en_Y::C1_1::M1_2,ATP::C1_1::M1_2,ADP::C1_1::M1_2,Pi::C1_1::M1_2,mem_P3::C1_1::M1_2,mem_P4::C1_1::M1_2,mem_P5::C1_1::M1_2,H2O::C1_2::M1_1,OH-::C1_2::M1_1,H+::C1_2::M1_1,l::C1_2::M1_1,m::C1_2::M1_1,n::C1_2::M1_1,q::C1_2::M1_1,en_Y::C1_2::M1_1,ATP::C1_2::M1_1,ADP::C1_2::M1_1,Pi::C1_2::M1_1,mem_P3::C1_2::M1_1,mem_P4::C1_2::M1_1,mem_P5::C1_2::M1_1,H2O::C1_2::M1_2,OH-::C1_2::M1_2,H+::C1_2::M1_2,l::C1_2::M1_2,m::C1_2::M1_2,n::C1_2::M1_2,q::C1_2::M1_2,en_Y::C1_2::M1_2,ATP::C1_2::M1_2,ADP::C1_2::M1_2,Pi::C1_2::M1_2,mem_P3::C1_2::M1_2,mem_P4::C1_2::M1_2,mem_P5::C1_2::M1_2,H2O::C2_1::M2_1,OH-::C2_1::M2_1,H+::C2_1::M2_1,l::C2_1::M2_1,m::C2_1::M2_1,n::C2_1::M2_1,q::C2_1::M2_1,en_Y::C2_1::M2_1,ATP::C2_1::M2_1,ADP::C2_1::M2_1,Pi::C2_1::M2_1,mem_P3::C2_1::M2_1,mem_P4::C2_1::M2_1,mem_P5::C2_1::M2_1,H2O::C2_2::M2_1,OH-::C2_2::M2_1,H+::C2_2::M2_1,l::C2_2::M2_1,m::C2_2::M2_1,n::C2_2::M2_1,q::C2_2::M2_1,en_Y::C2_2::M2_1,ATP::C2_2::M2_1,ADP::C2_2::M2_1,Pi::C2_2::M2_1,mem_P3::C2_2::M2_1,mem_P4::C2_2::M2_1,mem_P5::C2_2::M2_1,H2O::C2_3::M2_1,OH-::C2_3::M2_1,H+::C2_3::M2_1,l::C2_3::M2_1,m::C2_3::M2_1,n::C2_3::M2_1,q::C2_3::M2_1,en_Y::C2_3::M2_1,ATP::C2_3::M2_1,ADP::C2_3::M2_1,Pi::C2_3::M2_1,mem_P3::C2_3::M2_1,mem_P4::C2_3::M2_1,mem_P5::C2_3::M2_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,500,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,10000000,10000000,10000000,1000,100,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,1000,2000
100,9999999902285,197715,197715,995118,3537,0,0,9999962819,200,200,0,36125,2176,3000,2000,611,57204,66,66,9962919,10037081,10037081,1000,500,300,9999962756,212,212,0,36185,1885,3000,2000,598,57209,76,83,9962868,10037132,10037132,1000,500,300,9999992445,196,196,1,6450,1968,3000,2000,796,91205,47,31,9992541,10007459,10007459,1000,100,300,9999992477,218,218,0,6411,2013,3000,2000,786,91285,39,35,9992595,10007405,10007405,1000,100,300,9999992513,201,201,1,6412,1703,3000,2000,757,91246,54,40,9992614,10007386,10007386,1000,100,300,999999920,103,103,3,21214,99807,116,10000,999923,1000077,1000077,5000,3000,2000,999999943,102,102,4,21244,99855,90,10000,999945,1000055,1000055,5000,3000,2000,999999911,102,102,2,21257,99828,85,10000,999913,1000087,1000087,5000,3000,2000,999999927,101,101,2,21189,99827,101,10000,999928,1000072,1000072,5000,3000,2000,999999927,95,95,6,8588,99793,129,10000,999922,1000078,1000078,5000,1000,2000,999999924,102,102,0,8507,99792,134,10000,999926,1000074,1000074,5000,1000,2000,999999910,96,96,4,8541,99787,119,10000,999906,1000094,1000094,5000,1000,2000
200,9999999808054,291946,291946,990293,0,0,24,9999961442,278,278,6,36455,1776,3000,2000,863,32222,208,455,9961620,10038380,10038380,1000,500,300,9999961226,309,309,1,36659,1523,3000,2000,855,32072,233,440,9961435,10038565,10038565,1000,500,300,9999992098,282,282,9,5746,1697,3000,2000,1230,83075,147,300,9992280,10007720,10007720,1000,100,300,9999992097,309,309,1,5737,1756,3000,2000,1261,83340,144,288,9992306,10007694,10007694,1000,100,300,9999992163,296,296,1,5714,1458,3000,2000,1210,83266,173,283,9992359,10007641,10007641,1000,100,300,999999626,99,99,6,33440,99430,195,10000,999625,1000375,1000375,5000,3000,2000,999999699,102,102,6,33288,99520,181,10000,999701,1000299,1000299,5000,3000,2000,999999646,112,112,2,33559,99479,179,10000,999658,1000342,1000342,5000,3000,2000,999999664,100,100,3,33323,99475,189,10000,999664,1000336,1000336,5000,3000,2000,999999559,92,92,5,16186,99261,290,10000,999551,1000449,1000449,5000,1000,2000,999999575,89,89,0,15964,99304,260,10000,999564,1000436,1000436,5000,1000,2000,999999546,96,96,7,16024,99290,252,10000,999542,1000458,1000458,5000,1000,2000
300,9999999719844,380156,380156,985325,0,0,115,9999961354,366,366,0,35479,1157,3000,2000,921,17794,384,1055,9961620,10038380,10038380,1000,500,300,9999961140,395,395,0,35681,930,3000,2000,932,17800,425,1015,9961435,10038565,10038565,1000,500,300,9999992000,380,380,0,4763,1260,3000,2000,1564,75697,286,718,9992280,10007720,10007720,1000,100,300,9999992021,385,385,13,4713,1313,3000,2000,1576,76044,280,715,9992306,10007694,10007694,1000,100,300,9999992105,354,354,11,4713,1034,3000,2000,1511,75934,304,688,9992359,10007641,10007641,1000,100,300,999999208,102,102,1,40220,98962,248,10000,999210,1000790,1000790,5000,3000,2000,999999319,102,102,2,40009,99061,260,10000,999321,1000679,1000679,5000,3000,2000,999999259,112,112,1,40272,99028,243,10000,999271,1000729,1000729,5000,3000,2000,999999265,101,101,1,39978,99022,244,10000,999266,1000734,1000734,5000,3000,2000,999998981,94,94,14,22924,98621,354,10000,998975,1001025,1001025,5000,1000,2000,999998995,90,90,2,22553,98597,388,10000,998985,1001015,1001015,5000,1000,2000,999998991,96,96,8,22657,98591,396,10000,998987,1001013,1001013,5000,1000,2000
400,9999999637612,462388,462388,980476,0,0,280,9999961263,457,457,0,34555,519,3000,2000,890,9889,694,1656,9961620,10038380,10038380,1000,500,300,9999961051,484,484,9,34717,383,3000,2000,984,9847,747,1519,9961435,10038565,10038565,1000,500,300,9999991906,474,474,8,3785,716,3000,2000,1709,69021,462,1233,9992280,10007720,10007720,1000,100,300,9999991941,465,465,0,3722,745,3000,2000,1717,69237,493,1254,9992306,10007694,10007694,1000,100,300,9999992023,436,436,7,3721,525,3000,2000,1692,69238,540,1170,9992359,10007641,10007641,1000,100,300,999998739,103,103,2,43729,98498,244,10000,998742,1001258,1001258,5000,3000,2000,999998836,105,105,9,43458,98578,263,10000,998841,1001159,1001159,5000,3000,2000,999998830,108,108,0,43846,98576,262,10000,998838,1001162,1001162,5000,3000,2000,999998831,99,99,0,43443,98560,270,10000,998830,1001170,1001170,5000,3000,2000,999998262,93,93,1,28754,97775,480,10000,998255,1001745,1001745,5000,1000,2000,999998217,87,87,3,28511,97748,456,10000,998204,1001796,1001796,5000,1000,2000,999998244,98,98,11,28545,97783,459,10000,998242,1001758,1001758,5000,1000,2000
500,9999999562859,537141,537141,975731,0,0,514,9999961180,540,540,9,33567,128,3000,2000,972,5489,1201,1987,9961620,10038380,10038380,1000,500,300,9999960996,539,539,4,33755,76,3000,2000,977,5425,1370,1774,9961435,10038565,10038565,1000,500,300,9999991814,566,566,1,2870,264,3000,2000,1756,62872,865,1641,9992280,10007720,10007720,1000,100,300,9999991870,536,536,11,2796,265,3000,2000,1724,63085,869,1698,9992306,10007694,10007694,1000,100,300,9999991952,507,507,12,2780,168,3000,2000,1746,63092,1055,1485,9992359,10007641,10007641,1000,100,300,999998313,107,107,2,45502,98059,261,10000,998320,1001680,1001680,5000,3000,2000,999998350,115,115,2,45172,98104,261,10000,998365,1001635,1001635,5000,3000,2000,999998370,110,110,6,45569,98096,284,10000,998380,1001620,1001620,5000,3000,2000,999998357,101,101,2,45181,98079,279,10000,998358,1001642,1001642,5000,3000,2000,999997411,89,89,10,34044,96916,484,10000,997400,1002600,1002600,5000,1000,2000,999997358,90,90,0,33741,96826,522,10000,997348,1002652,1002652,5000,1000,2000,999997369,101,101,1,33794,96886,484,10000,997370,1002630,1002630,5000,1000,2000
600,9999999495564,604436,604436,970898,0,0,771,9999961111,609,609,0,32562,16,3000,2000,997,3025,2006,2041,9961620,10038380,10038380,1000,500,300,9999960916,619,619,0,32767,8,3000,2000,976,2982,2252,1806,9961435,10038565,10038565,1000,500,300,9999991765,615,615,2,1957,40,3000,2000,1802,57226,1483,1816,9992280,10007720,10007720,1000,100,300,9999991796,610,610,12,1853,49,3000,2000,1785,57391,1521,1852,9992306,10007694,10007694,1000,100,300,9999991881,578,578,15,1788,17,3000,2000,1847,57388,1776,1584,9992359,10007641,10007641,1000,100,300,999997864,106,106,9,46231,97569,301,10000,997870,1002130,1002130,5000,3000,2000,999997881,117,117,2,45934,97621,277,10000,997898,1002102,1002102,5000,3000,2000,999997894,110,110,4,46294,97592,312,10000,997904,1002096,1002096,5000,3000,2000,999997881,103,103,4,45910,97594,290,10000,997884,1002116,1002116,5000,3000,2000,999996565,93,93,10,38823,96049,509,10000,996558,1003442,1003442,5000,1000,2000,999996484,96,96,7,38560,95951,529,10000,996480,1003520,1003520,5000,1000,2000,999996491,107,107,4,38610,95998,500,10000,996498,1003502,1003502,5000,1000,2000
700,9999999436346,663654,663654,966049,0,0,1026,9999961060,660,660,0,31621,0,3000,2000,947,1627,3014,2009,9961620,10038380,10038380,1000,500,300,9999960879,656,656,0,31781,0,3000,2000,990,1606,3240,1766,9961435,10038565,10038565,1000,500,300,9999991702,678,678,12,1039,0,3000,2000,1806,52190,2378,1801,9992280,10007720,10007720,1000,100,300,9999991728,678,678,3,854,2,3000,2000,1890,52173,2390,1846,9992306,10007694,10007694,1000,100,300,9999991831,628,628,2,771,1,3000,2000,1914,52237,2701,1549,9992359,10007641,10007641,1000,100,300,999997321,112,112,2,46394,97057,276,10000,997333,1002667,1002667,5000,3000,2000,999997402,109,109,0,46169,97133,278,10000,997411,1002589,1002589,5000,3000,2000,999997387,104,104,2,46469,97092,299,10000,997391,1002609,1002609,5000,3000,2000,999997399,102,102,7,46140,97123,278,10000,997401,1002599,1002599,5000,3000,2000,999995629,94,94,1,42936,95126,497,10000,995623,1004377,1004377,5000,1000,2000,999995568,96,96,8,42885,95058,506,10000,995564,1004436,1004436,5000,1000,2000,999995547,110,110,12,42819,95056,501,10000,995557,1004443,1004443,5000,1000,2000
800,9999999384038,715962,715962,961251,0,0,1299,9999961004,716,716,1,30660,0,3000,2000,969,879,3965,1947,9961620,10038380,10038380,1000,500,300,9999960835,700,700,12,30818,0,3000,2000,922,889,4270,1711,9961435,10038565,10038565,1000,500,300,9999991662,718,718,27,46,0,3000,2000,1874,47501,3244,1749,9992280,10007720,10007720,1000,100,300,9999991678,728,728,76,5,0,3000,2000,1764,47431,3309,1796,9992306,10007694,10007694,1000,100,300,9999991749,710,710,162,0,0,3000,2000,1740,47483,3640,1498,9992359,10007641,10007641,1000,100,300,999996854,102,102,4,46305,96593,263,10000,996856,1003144,1003144,5000,3000,2000,999996928,109,109,4,46073,96664,273,10000,996937,1003063,1003063,5000,3000,2000,999996840,108,108,6,46301,96561,287,10000,996848,1003152,1003152,5000,3000,2000,999996912,102,102,7,45998,96627,287,10000,996914,1003086,1003086,5000,3000,2000,999994764,93,93,0,46699,94200,557,10000,994757,1005243,1005243,5000,1000,2000,999994651,92,92,13,46657,94088,555,10000,994643,1005357,1005357,5000,1000,2000,999994611,106,106,9,46625,94108,509,10000,994617,1005383,1005383,5000,1000,2000
900,9999999338715,761285,761285,956399,0,0,1543,9999960967,753,753,10,29692,0,3000,2000,919,464,4946,1892,9961620,10038380,10038380,1000,500,300,9999960788,747,747,2,29818,0,3000,2000,1004,476,5236,1662,9961435,10038565,10038565,1000,500,300,9999991596,784,784,935,0,0,3000,2000,1175,43133,4131,1697,9992280,10007720,10007720,1000,100,300,9999991621,785,785,1001,0,0,3000,2000,1079,43056,4161,1749,9992306,10007694,10007694,1000,100,300,9999991697,762,762,1163,0,0,3000,2000,1078,43110,4455,1457,9992359,10007641,10007641,1000,100,300,999996369,97,97,0,45994,96073,293,10000,996366,1003634,1003634,5000,3000,2000,999996440,106,106,1,45774,96159,287,10000,996446,1003554,1003554,5000,3000,2000,999996361,104,104,0,46036,96085,280,10000,996365,1003635,1003635,5000,3000,2000,999996428,103,103,0,45745,96172,259,10000,996431,1003569,1003569,5000,3000,2000,999993879,91,91,2,50324,93457,413,10000,993870,1006130,1006130,5000,1000,2000,999993803,88,88,0,50329,93385,406,10000,993791,1006209,1006209,5000,1000,2000,999993797,105,105,6,50333,93443,359,10000,993802,1006198,1006198,5000,1000,2000
