Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,9998660000000,100000,100000,1340000000,10,10,0,0,1000,0,0,0,1000000000,1000000000,1000000000,1000000000,1000000000,0,99866000000,0,1000,1000,0,0,134000000,0,10,10,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,100000000,0,0,0,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,1000,6000,9998650004243,9997393,9997330,1339997365,1318,1337,0,0,1000,0,0,0,999900309,1000099691,1000099691,1000000044,999999956,0,99865900126,0,100998,101076,0,0,133999718,0,168,134,0,0,0,0,0,0,0,0,100000000,100000000,0,200000000,0,99999956,44,0,44,0,0,100000000,0,100000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10490,62869,1000000,6000000,1000,6000,9998470835895,95797850,98399884,1339972019,13711,14290,76823,989510,1000,6414,1003198,1825374,906527528,1093472472,1093480504,998901170,1001098830,500585,99864584324,30692,526110,2029220,265369,267416,133996308,38,692,2508,512,524,5915352,5930717,936045,253170,504,3,99746830,99952624,47376,199691422,31,98550784,1449216,1244147,225959,1750,321591,99988261,11739,99701738,298262,308102,1000,1000,1000,1000,1000,1000,1000
3000,10590,64539,2000000,12000000,1000,6000,9998382101711,100189323,104915966,1339972313,13522,14185,74848,1989410,1000,636,1350199,3829124,822231323,1177768677,1177822590,998239705,1001760295,1616812,99863290313,209936,388955,3213866,1750697,1781680,133993042,210,501,3729,2748,2772,11829752,11934825,2552233,742037,7608,6,99257963,99942772,57228,199146822,551,96280529,3719471,3398348,452017,2110,862113,99986112,13888,99233137,766863,846115,1000,1000,1000,1000,1000,1000,1000
4000,10470,63465,3000000,18000000,1000,6000,9998307463673,98501018,105110595,1339971591,13957,14472,74074,2989530,1000,600,1455659,5830912,745994120,1254005880,1254147573,997777751,1002222249,2932184,99861910528,526640,349343,3597444,4271318,4395484,133989396,454,483,3921,6220,6448,17672388,17935935,4293253,1253587,30492,57,98746413,99940811,59189,198545531,2198,93913992,6086008,5719371,676479,2052,1443069,99985101,14899,98791134,1208866,1426118,1000,1000,1000,1000,1000,1000,1000
5000,10590,62775,4000000,24000000,1000,6000,9998242928988,93950246,102361025,1339972048,13248,14724,74106,3989410,1000,5730,1480621,7830608,677038160,1322961840,1323230220,997385055,1002614945,4316689,99860573116,917264,312202,3518178,7271912,7575588,133985148,736,520,4028,10324,10804,23472495,23931495,6063038,1756739,74604,120,98243261,99939647,60353,197914528,5260,91541578,8458422,8079046,898974,2276,2033298,99984986,15014,98382394,1617606,2016008,1000,1000,1000,1000,1000,1000,1000
6000,10460,62882,5000000,30000000,1000,6000,9998179549851,94805978,104992193,1339972281,12962,14777,76034,4989540,1000,6838,1480428,9827012,614679753,1385320247,1385748622,997013839,1002986161,5721441,99859221407,1339212,316146,3352291,10397980,10975584,133981084,1030,433,3871,14632,15508,29260159,29930280,7837658,2250116,141822,219,97749884,99939372,60628,197260881,10316,89172948,10827052,10445052,1119410,2273,2625143,99984524,15476,97995438,2004562,2607394,1000,1000,1000,1000,1000,1000,1000
7000,10670,61309,6000000,36000000,1000,6000,9998120471096,97301848,109256331,1339972047,13649,14324,77649,5989330,1000,1080,1470853,11823362,558295398,1441704602,1442324182,996652204,1003347796,7136509,99857847253,1774848,358381,3232530,13512516,14452516,133977261,1274,531,3716,18512,19760,35049550,35937611,9609289,2731184,230703,312,97268816,99939035,60965,196588271,17188,86807638,13192362,12807191,1339057,2515,3216000,99984417,15583,97624334,2375666,3197902,1000,1000,1000,1000,1000,1000,1000
8000,10770,63973,7000000,42000000,1000,6000,9998073166010,93383484,107102638,1339971867,13127,15026,80508,6989230,1000,7017,1459406,13817444,507299178,1492700822,1493539773,996291813,1003708187,8553460,99856555032,2218268,332700,3077799,16581663,17972088,133973589,1530,521,3518,22392,24204,40819111,41929010,11374830,3202299,341169,453,96797701,99939055,60945,195897805,25749,84452427,15547573,15161152,1555797,2392,3804578,99984136,15864,97264100,2735900,3786322,1000,1000,1000,1000,1000,1000,1000
9000,10470,62864,8000000,48000000,1000,6000,9998026341267,93832836,109320665,1339972132,12914,14974,84189,7989530,1000,1125,1449164,15810682,461177897,1538822103,1539904291,995929507,1004070493,9970232,99855239721,2667596,343843,3003448,19595302,21517696,133969664,1792,567,3745,26044,28768,46601317,47936011,13133219,3664657,471456,681,96335343,99939077,60923,195192232,36570,82107157,17892843,17505420,1769957,2469,4391286,99983384,16616,96914653,3085347,4372201,1000,1000,1000,1000,1000,1000,1000
10000,11070,62934,9000000,54000000,1000,6000,9997985279485,92885899,110136841,1339971562,12908,15550,88056,8988930,1000,6223,1434330,17801748,419446321,1580553679,1581900925,995571340,1004428660,11390594,99853922531,3124486,366005,2965294,22577517,25111432,133965581,2084,489,3462,30488,34172,52367558,53930843,14889837,4122275,621171,921,95877725,99939002,60998,194469481,49231,79766557,20233443,19847495,1982494,2303,4976824,99983137,16863,96572366,3427634,4957658,1000,1000,1000,1000,1000,1000,1000
11000,10520,63486,10000000,60000000,1000,6000,9997948287003,91857353,110875466,1339971597,12809,15614,92896,9989480,1000,6313,1419833,19793168,381726839,1618273161,1619907511,995212817,1004787183,12813902,99852636365,3587576,373157,2931032,25522471,28741236,133961578,2354,554,3320,34568,39128,58135236,59930201,16636598,4570295,788757,1140,95429705,99938723,61277,193734078,63737,77441753,22558247,22176360,2192083,2359,5559433,99982688,17312,96239972,3760028,5539762,1000,1000,1000,1000,1000,1000,1000
12000,10720,63143,11000000,66000000,1000,6000,9997912530232,93190989,113983090,1339971562,12752,15706,97949,10989280,1000,1092,1411215,21782662,347625688,1652374312,1654314302,994847421,1005152579,14231261,99851351722,4057556,391449,2931365,28431783,32411452,133957160,2660,574,3410,38876,44588,63905657,65935765,18377982,5015137,974874,1428,94984863,99938891,61109,192983764,80173,75126775,24873225,24498089,2398822,2418,6140186,99982339,17661,95916423,4083577,6120107,1000,1000,1000,1000,1000,1000,1000
13000,10840,63391,12000000,72000000,1000,6000,9997885490643,89030759,111592439,1339972035,12347,15638,103957,11989160,1000,663,1397656,23770406,316767924,1683232076,1685495822,994485775,1005514225,15653090,99850073846,4533970,413722,2950614,31316416,36121328,133953102,2944,503,3451,42964,49996,69667489,71935946,20115012,5453800,1176627,1758,94546200,99938648,61352,192221102,98404,72820440,27179560,26813929,2603091,2482,6719660,99981739,18261,95600537,4399463,6698917,1000,1000,1000,1000,1000,1000,1000
