,Name,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0,H2O,2000000000000000000000000,1999999847680487011334411,1999999807191152705608834,1999999800992964297932735,1999999800131936336234088,1999999800015986012944949,1999999800000749463271504,1999999799991572438449193,1999999800001883165394148,1999999800002558471289226,1999999799999120338025788
1,H+,600,152319512988666189,192808847294391766,199007035702067865,199868063663766512,199984013987055651,199999250536729096,200008427561551407,199998116834606452,199997441528711374,200000879661974812
2,OH-,600,152319512988666189,192808847294391766,199007035702067865,199868063663766512,199984013987055651,199999250536729096,200008427561551407,199998116834606452,199997441528711374,200000879661974812
