Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989101022,9999581,9999581,0,0,2000,0,0,0,9999000603,10000999397,10000999397,10000000000,0,0,99999901313,0,99687,99687,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900034,0,100966,100966,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901330,0,99670,99670,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1890500,1278391,20000000,120000000,20000,120000,9998987371737,85935934,113737101,1638,18109500,2000,960,6591143,36215724,9298174171,10701825829,10872539029,9978863657,21136343,73681,100015575064,54916500,120368,18183155,620400,471965000,16973039,39606289,29572071,33697358,98843700,966302642,999996602,3398,1409368744,991174173,8825827,39429427,5012900,1,9857360,999999997,3,999792644,207356,9857356,1000,1000,1000,1000,1000,1000,1000,100015583987,54822400,120453,18721310,55500,471094400,15191462,37782062,29490397,33596206,98780700,966403794,999999886,114,1409462280,991193983,8806017,39316317,5029700,11783,9850340,999987363,12637,999815280,184720,9825920,1000,1000,1000,1000,1000,1000,1000,100015705146,54897300,56306,18436970,139800,471825000,18705398,41332298,29493348,33789766,98927400,966210234,999987150,12850,1409356084,991322736,8677264,39324464,4963100,12084,9843200,1000000000,0,999812384,187616,9831116,1000,1000,1000,1000,1000,1000,1000
3000,2723850,1271912,40000000,240000000,20000,120000,9998126709301,84187391,121063062,1540,37276150,2000,126948,7520451,74549220,8731020492,11268979508,11650636408,9970934869,29065131,290089,100051308942,140100000,34418,29701714,659500,1224480000,21746650,80764150,66718736,110148030,261353400,889851970,999999950,50,1262432620,991930184,8069816,88949616,15090200,4,22256980,999973904,26096,999834120,165880,22230880,1000,1000,1000,1000,1000,1000,1000,100050883170,139722500,133273,30452148,302900,1220813000,14671042,73506542,66680696,109382891,260600100,890617109,999998672,1328,1262982081,991621885,8378115,88899215,15098400,2,22243660,999974861,25139,999832981,167019,22218519,1000,1000,1000,1000,1000,1000,1000,100051185288,140000300,58607,29586189,754300,1223656600,25351948,84330448,66714107,109842917,260973300,890157083,999984782,15218,1263537965,991956158,8043842,88952142,15005400,3,22238040,999999998,2,999805265,194735,22238035,1000,1000,1000,1000,1000,1000,1000
4000,3361190,1257369,60000000,360000000,20000,120000,9997319612031,83105382,123664589,1619,56638810,2000,11511,7783925,113274382,8220811513,11779188487,12370162087,9967799595,32200405,574877,100090863078,230688000,108768,40083258,707700,2028476000,23020106,120963856,104929752,198107422,435909000,801892578,999998104,1896,1104448082,994303130,5696870,139901970,26881900,4,34985320,999986902,13098,999828282,171718,34972218,1000,1000,1000,1000,1000,1000,1000,100090442498,230125500,40571,40426202,705900,2022991000,16226339,113897589,104860434,196625532,434425500,803374468,999987055,12945,1106506123,993874789,6125211,139813911,26870800,12840,34966320,999999997,3,999829523,170477,34953477,1000,1000,1000,1000,1000,1000,1000,100090742108,230480700,107950,39947952,750300,2026585400,26018175,123869675,104853948,197555933,435290700,802444067,999995619,4381,1105764086,994373638,5626362,139805262,26746400,12620,34963940,999999994,6,999826386,173614,34951314,1000,1000,1000,1000,1000,1000,1000
5000,3893640,1272865,80000000,480000000,20000,120000,9996561974474,81353205,123581133,1568,76106360,2000,10548,7910844,152209584,7760149779,12239850221,13039525321,9966570956,33429044,888040,100130595208,321710300,103972,51391628,666600,2836022200,20669619,157707219,143402296,286864951,611424600,713135049,999999611,389,944629660,995863364,4136636,191194636,39382100,4,47817620,999974724,25276,999842760,157240,47792340,1000,1000,1000,1000,1000,1000,1000,100130346976,321412100,117064,52122242,80600,2833181800,17965817,154863167,143344878,285460189,609996900,714539811,999996769,3231,949635080,995717402,4282598,191122098,39337800,12742,47803180,999986782,13218,999840180,159820,47777220,1000,1000,1000,1000,1000,1000,1000,100130408058,321468500,119551,51708942,233600,2833807400,29216801,166146201,143332194,285971010,610481100,714028990,999972313,27687,947732703,995966909,4033091,191109591,39172600,12500,47789900,999999997,3,999832303,167697,47777397,1000,1000,1000,1000,1000,1000,1000
6000,4366310,1242623,100000000,600000000,20000,120000,9995847818725,80059487,123217875,1564,95633690,2000,186,7964836,191264252,7343755612,12656244388,13667561988,9966020924,33979076,1214476,100169683962,412434400,116941,64071937,288000,3640147200,21330956,197285856,182109897,374702656,786041700,625297344,999994257,5743,785799801,996460304,3539696,242813196,52111700,1,60703300,1000000000,0,999821301,178699,60703299,1000,1000,1000,1000,1000,1000,1000,100169696341,412241300,15851,64195258,56400,3638363400,19193485,195061035,182037071,373218462,784542300,626781538,999997826,2174,791883664,996451993,3548007,242711707,52065200,1,60687800,999986837,13163,999831564,168436,60674636,1000,1000,1000,1000,1000,1000,1000,100169545810,412262300,114688,63957566,300400,3638452600,30539800,206410300,182081504,373747892,785002500,626252108,999996058,3942,789318066,996550562,3449438,242775338,51893800,4,60693840,999999998,2,999827466,172534,60693834,1000,1000,1000,1000,1000,1000,1000
7000,4791990,1255552,120000000,720000000,20000,120000,9995171713053,80474873,124305733,1617,115208010,2000,89,8050174,230412786,6967329026,13032670974,14253748574,9965768766,34231234,1549452,100208803568,503171200,113418,76136872,715500,4444148000,21888149,236750999,220809716,461956551,960150000,538043449,999997413,2587,628406262,996877746,3122254,294412954,64989500,13460,73616700,999999998,2,999842262,157738,73603238,1000,1000,1000,1000,1000,1000,1000,100208821858,502985500,23480,76535674,140700,4442488600,23698769,238481119,220746120,460532901,958718100,539467099,999995747,4253,634659146,996946326,3053674,294319574,64878000,8,73599220,999974242,25758,999847346,152654,73573454,1000,1000,1000,1000,1000,1000,1000,100208634482,502919100,101648,76407458,335300,4441754200,28767491,243512241,220754380,460834856,958947000,539165144,999995666,4334,632521510,996956130,3043870,294339170,64764600,12440,73597240,999999990,10,999844810,155190,73584790,1000,1000,1000,1000,1000,1000,1000
8000,5186650,1256621,140000000,840000000,20000,120000,9994530408018,81903613,126178135,19766,134813350,2000,96,8036754,269587168,6626830131,13373169869,14805102869,9965653646,34346354,1891414,100247946829,593970500,20463,88660188,780200,5248651400,26347335,280141735,259635329,549420156,1134464700,450579844,999994720,5280,470716664,997133735,2866265,346176165,77897200,3,86553660,999987179,12821,999840864,159136,86540836,1000,1000,1000,1000,1000,1000,1000,100247727163,593879300,111695,89307875,265800,5247666600,21880486,275624736,259663746,548202679,1133223300,451797321,999973865,26135,476389286,997101340,2898660,346213960,77782400,2,86563320,999986896,13104,999840586,159414,86550214,1000,1000,1000,1000,1000,1000,1000,100247728148,593695400,11952,89325272,57700,5245999600,29313762,282976812,259587000,548252776,1133231400,451747224,999986076,13924,475040100,997171000,2829000,346116000,77669800,13020,86542020,1000000000,0,999840300,159700,86529000,1000,1000,1000,1000,1000,1000,1000
9000,5551960,1254587,160000000,960000000,20000,120000,9993927226728,77696074,122459895,19699,154448040,2000,1047,8083739,308856682,6318923602,13681076398,15324179698,9965554341,34445659,2234423,100286835380,684773000,109449,101645000,687000,6053026000,26840329,319557829,298491174,636793032,1308730200,363206968,999972675,27325,313162943,997287569,2712431,397988231,90821200,13060,99510120,999999997,3,999840943,159057,99497057,1000,1000,1000,1000,1000,1000,1000,100286854971,684767000,18729,101595129,689900,6052856400,21885022,314592672,298542600,635681911,1307545500,364318089,999993811,6189,318814600,997261200,2738800,398056800,90745600,13300,99527500,1000000000,0,999837500,162500,99514200,1000,1000,1000,1000,1000,1000,1000,100286749415,684556700,9885,101447885,736400,6050896600,31982415,324593865,298464600,635757164,1307606100,364242836,999985164,14836,316638700,997326500,2673500,397952800,90609800,12700,99500900,1000000000,0,999845600,154400,99488200,1000,1000,1000,1000,1000,1000,1000
