,Time\ information,r2_2_100,r1_1_150,r1_1_200,r1_1_300,r1_+_400,r1_2_450,r1_1_500,Time\ infoAddUp,r2_2_100,r1_1_150,r1_1_200,r1_1_300,r1_+_400,r1_2_450,r1_1_500,Time\ entropy,r2_2_100,r1_1_150,r1_1_200,r1_1_300,r1_+_400,r1_2_450,r1_1_500
0,0,2.3061195459228836,0.0,0.0,0.0,0,1.4355292977070055,0.0,0,2.3061195459228836,0.0,0.0,0.0,0,1.4355292977070055,0.0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - 
1000,1000,8.386907133915882,8.109171629040539,6.928874144602117,8.366906272308412,0,1.8782901646450845,7.934781121907282,1000,5453.060645881778,4883.937481274462,3988.3270060590385,3638.6986096104224,0,1605.2111363788183,4494.394760973406,1000,  - ,  - ,  - ,  - ,  - ,  - ,  - 
2000,2000,8.576654067052308,6.568209768603418,5.840884694952402,6.127687495887067,0,1.4355292977070055,7.062970892490205,2000,13744.625175620746,13441.966362947172,11745.516448298997,11456.848832154054,0,3157.284503233159,12734.000618420232,2000,  - ,  - ,  - ,  - ,  - ,  - ,  - 
