Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4,H2O::Cell_1::Mitochondria_5,H2O_created::Cell_1::Mitochondria_5,OH-::Cell_1::Mitochondria_5,H+::Cell_1::Mitochondria_5,H+_inter::Cell_1::Mitochondria_5,H+_inter_created::Cell_1::Mitochondria_5,O2::Cell_1::Mitochondria_5,O2_in::Cell_1::Mitochondria_5,CO2::Cell_1::Mitochondria_5,ATP::Cell_1::Mitochondria_5,ATP_created::Cell_1::Mitochondria_5,ADP::Cell_1::Mitochondria_5,GDP::Cell_1::Mitochondria_5,GTP::Cell_1::Mitochondria_5,Pi::Cell_1::Mitochondria_5,NAD+::Cell_1::Mitochondria_5,NADH::Cell_1::Mitochondria_5,NADH_created::Cell_1::Mitochondria_5,NADH_in::Cell_1::Mitochondria_5,Pyruvate-::Cell_1::Mitochondria_5,Pyruvate-_in::Cell_1::Mitochondria_5,CoA-SH::Cell_1::Mitochondria_5,Acetyl_CoA::Cell_1::Mitochondria_5,FAD::Cell_1::Mitochondria_5,FADH2::Cell_1::Mitochondria_5,FADH2_created::Cell_1::Mitochondria_5,Pyruvate_transport::Cell_1::Mitochondria_5,ATP_synthase::Cell_1::Mitochondria_5,ADP_ATP_transport::Cell_1::Mitochondria_5,NADH_shuttle::Cell_1::Mitochondria_5,Pi_transport::Cell_1::Mitochondria_5,Commp1-3-4::Cell_1::Mitochondria_5,Commp2-3-4::Cell_1::Mitochondria_5
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989106285,9994246,9994246,0,0,1000,0,0,0,9999000531,10000999469,10000999469,10000000000,0,0,99999900422,0,100578,100578,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899741,0,101259,101259,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899932,0,101068,101068,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900750,0,100250,100250,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900104,0,100896,100896,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10393870,1259662,20000000,120000000,20000,120000,9998959293870,98558974,107584934,1498,9606130,1000,8,1043296,19209264,9271351644,10728648356,10896182956,9992022644,7977356,5308,100007409679,22051100,235287,5410719,216400,192287000,13983481,23245031,10879134,1343096,40325100,998656904,999995818,4182,1465650722,998238388,1761612,14505512,2251200,3842,3630220,1000000000,0,999901622,98378,3626378,1000,1000,1000,1000,1000,1000,1000,100007405572,22128800,277374,5459026,220500,192939200,14436279,23728879,10910734,1379376,40648800,998620624,999999558,442,1464578682,998239748,1760252,14545152,2256700,2,3641900,999992520,7480,999909182,90818,3634418,1000,1000,1000,1000,1000,1000,1000,100007425315,22017400,203145,5556925,20800,191953200,17277193,26522093,10862340,1406207,40442100,998593793,999998927,1073,1464935520,998250580,1749420,14483120,2228500,4380,3625160,1000000000,0,999906820,93180,3620780,1000,1000,1000,1000,1000,1000,1000,100007408910,22049800,236516,5567949,43000,192251600,13654043,22913543,10874575,1393262,40407600,998606738,999995804,4196,1465360942,998254367,1745633,14499433,2234400,3941,3628800,999999999,1,999905942,94058,3624858,1000,1000,1000,1000,1000,1000,1000,100007430615,22095900,238371,5405905,220900,192678200,13050384,22330784,10892816,1339200,40509600,998660800,999999262,738,1465067762,998246146,1753854,14523754,2255800,3640,3634580,999999998,2,999904162,95838,3630938,1000,1000,1000,1000,1000,1000,1000
3000,20459940,1255417,40000000,240000000,20000,120000,9998084388335,96065801,106229137,10805,19540060,1000,11174,1029926,39058510,8685290436,11314709564,11714358764,9990881474,9118526,14884,100020020044,50495800,180928,8455012,209900,444846800,24603237,46094187,22781928,1319834,94584900,998680166,999991758,8242,1419035024,999109996,890004,30375904,5982100,4,7593980,1000000000,0,999919924,80076,7593976,1000,1000,1000,1000,1000,1000,1000,100020086325,50589300,189895,8478534,179600,445693000,29512012,51044162,22792739,1305308,95053200,998694692,999999948,52,1417501040,999135701,864299,30389099,6014500,3921,7603940,999996341,3659,999928640,71360,7596360,1000,1000,1000,1000,1000,1000,1000,100020086124,50490100,124696,8391416,191700,444765000,27962071,49448621,22767080,1331206,94627500,998668794,999999946,54,1418746040,999136860,863140,30354840,5964400,3720,7595280,999996200,3800,999929240,70760,7587760,1000,1000,1000,1000,1000,1000,1000,100020097841,50615800,155759,8444619,219300,445878000,23921155,45461555,22836480,1326711,94697100,998673289,999995911,4089,1419353800,999109520,890480,30445880,5990400,0,7617680,999991720,8280,999925600,74400,7609400,1000,1000,1000,1000,1000,1000,1000,100020007452,50522000,198714,8474146,215000,445058400,25183984,46684884,22796634,1318129,94605300,998681871,999995551,4449,1419096822,999112388,887612,30395512,5973700,3942,7602820,1000000000,0,999921322,78678,7598878,1000,1000,1000,1000,1000,1000,1000
4000,30498210,1271391,60000000,360000000,20000,120000,9997263963776,95329473,105734704,840,29501790,1000,11659,1046731,59001900,8150779049,11849220951,12475343051,9990666249,9333751,24749,100032300066,78690000,112157,12301433,23900,694740000,36010409,69595409,34763117,1346167,148066200,998653833,999999608,392,1373678841,999377424,622576,46349376,9923200,1,11590600,999995660,4340,999933741,66259,11586259,1000,1000,1000,1000,1000,1000,1000,100032285945,78751200,168978,12346953,40300,695285600,39780442,73391892,34772716,1373875,148507800,998626125,999992016,7984,1371946841,999375125,624875,46362375,9957100,2,11593400,999996261,3739,999938641,61359,11589659,1000,1000,1000,1000,1000,1000,1000,100032179834,78552000,152449,12155845,211200,693497600,41509725,75034325,34717917,1287028,147720300,998712972,999991689,8311,1374095461,999358044,641956,46290556,9897800,1,11572640,1000000000,0,999930161,69839,11572639,1000,1000,1000,1000,1000,1000,1000,100032337445,78793600,143335,12336374,18100,695680000,35763390,69394190,34789639,1356698,148239600,998643302,999999958,42,1373677960,999390621,609379,46383579,9955400,1,11601760,999992181,7819,999938060,61940,11593940,1000,1000,1000,1000,1000,1000,1000,100032210350,78562700,137793,12302689,41400,693631000,37769534,71301134,34716057,1328770,147851100,998671230,999995551,4449,1373765081,999365724,634276,46288076,9909900,1,11572020,1000000000,0,999927481,72519,11572019,1000,1000,1000,1000,1000,1000,1000
5000,40526510,1259066,80000000,480000000,20000,120000,9996492895186,96098087,106507529,10101,39473490,1000,1092,1027864,78926778,7666018573,12333981427,13186069527,9990653216,9346784,34794,100044345338,106697300,125671,16168602,49200,942897000,49254993,94848893,46717794,1299233,201172800,998700767,999999536,464,1328354203,999484509,515491,62290391,13903400,4040,15576640,999999997,3,999936903,63097,15572597,1000,1000,1000,1000,1000,1000,1000,100044429355,106731600,90928,15923764,250600,943238400,50630424,96241374,46702617,1304544,201491400,998695456,999998905,1095,1326905061,999488144,511856,62270156,13953900,4041,15571580,1000000000,0,999942161,57839,15567539,1000,1000,1000,1000,1000,1000,1000,100044310537,106587700,98552,15978822,197300,941873800,52942300,98485950,46679213,1274851,200848500,998725149,999992414,7586,1328871863,999486150,513850,62238950,13861800,3981,15563720,999999998,2,999940663,59337,15559737,1000,1000,1000,1000,1000,1000,1000,100044407480,106806700,136440,16165679,54800,943885400,49551260,95193260,46744799,1315592,201347100,998684408,999999632,368,1328378540,999500041,499959,62325159,13936100,1,15584080,999996281,3719,999942340,57660,15580360,1000,1000,1000,1000,1000,1000,1000,100044370770,106642300,90170,15954728,203100,942411800,48399915,93970365,46688738,1324417,200953200,998675583,999999897,103,1328873980,999500442,499558,62249058,13890000,2,15568100,999992222,7778,999941080,58920,15560320,1000,1000,1000,1000,1000,1000,1000
6000,50548700,1252310,100000000,600000000,20000,120000,9995769622257,95325697,105707150,10082,49451300,1000,94,1033817,98882436,7227153954,12772846046,13850685246,9990697343,9302657,44979,100056510875,134767700,75945,20055485,23800,1191617800,60838415,118468565,58682200,1338117,254437500,998661883,999999557,443,1282803940,999562540,437460,78240360,17950000,0,19565880,999992280,7720,999949240,50760,19558160,1000,1000,1000,1000,1000,1000,1000,100056435375,134638400,80685,19863005,219100,1190474400,59222934,116797784,58638500,1306722,254328000,998693278,999999142,858,1282138220,999547320,452680,78183380,17930300,0,19548740,999996140,3860,999943820,56180,19544880,1000,1000,1000,1000,1000,1000,1000,100056346653,134636300,125007,20085366,35700,1190335800,65895649,123462099,58670019,1343351,253986900,998656649,999999671,329,1283791120,999565801,434199,78224099,17839600,1,19561860,999992221,7779,999949320,50680,19554080,1000,1000,1000,1000,1000,1000,1000,100056470772,134722400,60828,20072347,21400,1191189600,62966251,120575301,58691359,1316985,254300100,998683015,999999485,515,1283079400,999533441,466559,78253859,17926500,1,19566360,999996141,3859,999941800,58200,19562500,1000,1000,1000,1000,1000,1000,1000,100056383328,134670200,117981,20102172,21200,1190703600,61858647,119443847,58670094,1290160,254075400,998709840,999999263,737,1283749903,999555409,444591,78226791,17888400,4100,19560800,999999997,3,999943103,56897,19556697,1000,1000,1000,1000,1000,1000,1000
7000,60566490,1248939,120000000,720000000,20000,120000,9995090119530,92596768,103073656,10749,59433510,1000,83,1039566,118845522,6829776698,13170223302,14473951802,9990617754,9382246,55076,100068522960,162687800,50120,23766119,230000,1438958800,72245539,141844489,70629159,1254701,307306500,998745299,999999661,339,1237714960,999603301,396699,94171099,21933600,4021,23549300,999996661,3339,999947960,52040,23541940,1000,1000,1000,1000,1000,1000,1000,100068413821,162546100,70505,23953997,68700,1437687400,71470752,141007952,70591074,1278954,307316400,998721046,999987696,12304,1236676142,999578168,421832,94121432,21903100,2,23530360,1000000000,0,999941342,58658,23530358,1000,1000,1000,1000,1000,1000,1000,100068335157,162631500,114852,23893240,209100,1438266200,79668138,149230838,70676391,1319263,306958800,998680737,999991766,8234,1238667703,999571312,428688,94235188,21812800,3,23558800,1000000000,0,999947303,52697,23558797,1000,1000,1000,1000,1000,1000,1000,100068484453,162720200,63690,23826146,203800,1439186000,75130478,144739578,70675037,1285295,307247100,998714705,999999876,124,1238177681,999594744,405256,94232056,21889400,1,23561000,999996020,3980,999944981,55019,23557019,1000,1000,1000,1000,1000,1000,1000,100068384561,162650500,140199,24045237,34300,1438549000,72350121,141928121,70636038,1333622,307092300,998666378,999999942,58,1238542120,999612082,387918,94180118,21869300,3542,23551420,999996202,3798,999950420,49580,23544080,1000,1000,1000,1000,1000,1000,1000
8000,70581650,1254920,140000000,840000000,20000,120000,9994443220836,95109430,105571643,10781,69418350,1000,126245,1033975,138815138,6470430766,13529569234,15058846234,9990636945,9363055,65183,100080503920,190683900,55886,27710878,281300,1686920600,84996324,166593374,82635294,1277801,360335700,998722199,999995303,4697,1192476902,999608808,391192,110180392,25915100,2,27545100,1000000000,0,999944702,55298,27545098,1000,1000,1000,1000,1000,1000,1000,100080377403,190536400,133246,28003737,37200,1685623200,83699325,165233725,82563554,1299856,360277500,998700144,999999639,361,1191873183,999616429,383571,110083271,25901500,0,27524120,999995597,4403,999947883,52117,27519717,1000,1000,1000,1000,1000,1000,1000,100080453436,190676100,61604,27924224,60900,1686732200,91818821,173405071,82666220,1302626,360232800,998697374,999999606,394,1192932880,999637060,362940,110219040,25812800,0,27560580,999992240,7760,999950780,49220,27552820,1000,1000,1000,1000,1000,1000,1000,100080419380,190710500,116009,27802198,269100,1687069800,88386071,169989121,82671712,1264348,360245100,998735652,999992011,7989,1192991563,999601951,398049,110228949,25870800,2,27557240,999999999,1,999947163,52837,27557237,1000,1000,1000,1000,1000,1000,1000,100080454202,190554200,57038,27760758,196800,1685776400,81855794,163397544,82573260,1267287,359843100,998732713,999992367,7633,1194015480,999628420,371580,110097680,25886700,4520,27528940,1000000000,0,999946280,53720,27524420,1000,1000,1000,1000,1000,1000,1000
9000,80595300,1260814,160000000,960000000,20000,120000,9993833215115,94991886,105483731,776,79404700,1000,126939,1060297,158807848,6144849001,13855150999,15608560099,9990644003,9355997,75551,100092517295,218662100,50725,31909845,31700,1934721000,94951144,188538444,94607580,1330816,413412600,998669184,999995356,4644,1147165440,999649460,350540,126143440,29894200,4420,31540280,1000000000,0,999951640,48360,31535860,1000,1000,1000,1000,1000,1000,1000,100092409607,218523600,107693,31934053,58500,1933518400,94931084,188460534,94542600,1296698,413071800,998703302,999999298,702,1147798500,999632900,367100,126056800,29904500,3560,31517760,1000000000,0,999950500,49500,31514200,1000,1000,1000,1000,1000,1000,1000,100092465478,218620900,31825,31731781,204200,1934256200,104131024,197694424,94630497,1282140,413167500,998717860,999995641,4359,1147706401,999643504,356496,126173996,29815200,4161,31547660,1000000000,0,999950601,49399,31543499,1000,1000,1000,1000,1000,1000,1000,100092427473,218672600,126507,31829744,195300,1934766000,104012354,197601154,94628537,1266427,413161500,998733573,999999587,413,1148251660,999650723,349277,126170077,29861800,3803,31549260,999996083,3917,999953460,46540,31541540,1000,1000,1000,1000,1000,1000,1000,100092396303,218517000,131160,31979836,17800,1933473200,92790241,186317691,94532157,1334480,412805100,998665520,999999601,399,1149147821,999650564,349436,126041636,29900600,3841,31517040,999996280,3720,999952621,47379,31509479,1000,1000,1000,1000,1000,1000,1000
