,Time,H2O,H+,OH-
0,0,20000000000000000000,600,600
1000,1000,19999998476813289014,1523186711586,1523186711586
2000,2000,19999998071983126616,1928016873984,1928016873984
3000,3000,19999998009902789279,1990097211321,1990097211321
4000,4000,19999998001341254472,1998658746128,1998658746128
5000,5000,19999998000233884352,1999766116248,1999766116248
6000,6000,19999998000036583580,1999963417020,1999963417020
7000,7000,19999998000008223738,1999991776862,1999991776862
8000,8000,19999997999993765985,2000006234615,2000006234615
9000,9000,19999998000030393454,1999969607146,1999969607146
10000,10000,19999998000016113655,1999983886945,1999983886945
