,Time\ information,r1_2_200,r2_1_300,Time\ infoAddUp,r1_2_200,r2_1_300,Time\ entropy,r1_2_200,r2_1_300
0,0,17.96982504212678,7.513971669251441,0,17.96982504212678,7.513971669251441,0,  - ,  - 
1000,1000,17.10546435585471,16.66387903278744,1000,17537.357240365072,15881.989906293547,1000,  - ,  - 
2000,2000,19.873144751614767,16.728862388437665,2000,35029.426005239926,33218.8254732808,2000,  - ,  - 
3000,3000,16.818596942307515,16.851855027575034,3000,52559.327928716775,50706.26280298264,3000,  - ,  - 
4000,4000,16.79518389095343,17.98086451898621,4000,70041.14506753512,68195.11071693806,4000,  - ,  - 
5000,5000,16.84054295526226,19.08538818631335,5000,87579.95551405076,85716.58899035676,5000,  - ,  - 
6000,6000,16.953985886731445,17.06281660938128,6000,105053.00133248264,103210.38662246335,6000,  - ,  - 
7000,7000,16.918846090992968,20.579020495147923,7000,122477.60139834543,120741.43877317282,7000,  - ,  - 
8000,8000,18.434668220644514,17.505036878774554,8000,140026.2213768915,138229.15095075723,8000,  - ,  - 
9000,9000,16.851281345655476,18.404598466070976,9000,157435.17836927157,155744.32541798806,9000,  - ,  - 
10000,10000,16.776994799889707,16.77326814106601,10000,174961.96776716583,173288.01456224275,10000,  - ,  - 
