,Name,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0,H2O,20000000000000000000,19999998476813289014,19999998071983126616,19999998009902789279,19999998001341254472,19999998000233884352,19999998000036583580,19999998000008223738,19999997999993765985,19999998000030393454,19999998000016113655
1,H+,600,1523186711586,1928016873984,1990097211321,1998658746128,1999766116248,1999963417020,1999991776862,2000006234615,1999969607146,1999983886945
2,OH-,600,1523186711586,1928016873984,1990097211321,1998658746128,1999766116248,1999963417020,1999991776862,2000006234615,1999969607146,1999983886945
