Time,H2O,OH-,H+,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_channel:=Cell_1,glucose_in:=Cell_1,O2:=Cell_1,O2_in:=Cell_1,Pyruvate:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,Pi-:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,H2O:=Cell_2,OH-:=Cell_2,H+:=Cell_2,glucose:=Cell_2,glucose_channel:=Cell_2,glucose_in:=Cell_2,O2:=Cell_2,O2_in:=Cell_2,Pyruvate:=Cell_2,Pyruvate-:=Cell_2,Pyruvate_created:=Cell_2,ATP:=Cell_2,ADP:=Cell_2,Pi:=Cell_2,Pi-:=Cell_2,NAD+:=Cell_2,NADH:=Cell_2,Lactic:=Cell_2,H2O::Cell_1::Mito_1,OH-::Cell_1::Mito_1,H+::Cell_1::Mito_1,O2::Cell_1::Mito_1,O2_in::Cell_1::Mito_1,CO2::Cell_1::Mito_1,ATP::Cell_1::Mito_1,ATP_created::Cell_1::Mito_1,ADP::Cell_1::Mito_1,Pi::Cell_1::Mito_1,NAD+::Cell_1::Mito_1,NADH::Cell_1::Mito_1,NADH_created::Cell_1::Mito_1,Pyruvate::Cell_1::Mito_1,Pyruvate_trans::Cell_1::Mito_1,Pyruvate-::Cell_1::Mito_1,Pyruvate-_in::Cell_1::Mito_1,CoA-SH::Cell_1::Mito_1,Acetyl_CoA::Cell_1::Mito_1,FAD::Cell_1::Mito_1,GDP::Cell_1::Mito_1,GTP::Cell_1::Mito_1,FADH2::Cell_1::Mito_1,FADH2_created::Cell_1::Mito_1,ADP_ATP_trans::Cell_1::Mito_1,NADH_shuttle::Cell_1::Mito_1,Pi_trans::Cell_1::Mito_1,H2O::Cell_1::Mito_2,OH-::Cell_1::Mito_2,H+::Cell_1::Mito_2,O2::Cell_1::Mito_2,O2_in::Cell_1::Mito_2,CO2::Cell_1::Mito_2,ATP::Cell_1::Mito_2,ATP_created::Cell_1::Mito_2,ADP::Cell_1::Mito_2,Pi::Cell_1::Mito_2,NAD+::Cell_1::Mito_2,NADH::Cell_1::Mito_2,NADH_created::Cell_1::Mito_2,Pyruvate::Cell_1::Mito_2,Pyruvate_trans::Cell_1::Mito_2,Pyruvate-::Cell_1::Mito_2,Pyruvate-_in::Cell_1::Mito_2,CoA-SH::Cell_1::Mito_2,Acetyl_CoA::Cell_1::Mito_2,FAD::Cell_1::Mito_2,GDP::Cell_1::Mito_2,GTP::Cell_1::Mito_2,FADH2::Cell_1::Mito_2,FADH2_created::Cell_1::Mito_2,ADP_ATP_trans::Cell_1::Mito_2,NADH_shuttle::Cell_1::Mito_2,Pi_trans::Cell_1::Mito_2,H2O::Cell_1::Mito_3,OH-::Cell_1::Mito_3,H+::Cell_1::Mito_3,O2::Cell_1::Mito_3,O2_in::Cell_1::Mito_3,CO2::Cell_1::Mito_3,ATP::Cell_1::Mito_3,ATP_created::Cell_1::Mito_3,ADP::Cell_1::Mito_3,Pi::Cell_1::Mito_3,NAD+::Cell_1::Mito_3,NADH::Cell_1::Mito_3,NADH_created::Cell_1::Mito_3,Pyruvate::Cell_1::Mito_3,Pyruvate_trans::Cell_1::Mito_3,Pyruvate-::Cell_1::Mito_3,Pyruvate-_in::Cell_1::Mito_3,CoA-SH::Cell_1::Mito_3,Acetyl_CoA::Cell_1::Mito_3,FAD::Cell_1::Mito_3,GDP::Cell_1::Mito_3,GTP::Cell_1::Mito_3,FADH2::Cell_1::Mito_3,FADH2_created::Cell_1::Mito_3,ADP_ATP_trans::Cell_1::Mito_3,NADH_shuttle::Cell_1::Mito_3,Pi_trans::Cell_1::Mito_3
0,10000000000000,1000000,1000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000
100,10000000091088,908912,908912,729000,20000,9999990575282,0,258398,1095,50,130300,0,1120300,0,256814,258410,90752292,109247708,109266308,0,9992796,7204,6,9999990576547,0,256336,2517,50,130700,839700,839700,0,256351,256366,90732913,109267087,109267087,0,9743649,256351,15,100000001371,1,67,439258,0,2136,138,7038,9999862,9992962,9999834,166,0,0,50,8,560,9999976,24,9999886,10000000,0,114,528,2000,2000,2000,100000001322,0,49,298938,0,1819,418,6018,9999582,9993972,9800051,199949,0,0,50,0,460,9999993,7,9999901,9999990,10,99,453,2000,2000,2000,100000001395,1,69,378666,0,1958,326,6426,9999674,9993574,9948732,51268,0,0,50,16,570,9999914,86,9999910,10000000,0,90,468,2000,2000,2000
200,10000000166629,833371,833371,1235600,20000,9999981914743,0,746814,2614,50,376300,100,2319700,0,738223,747372,82678215,117321785,117437885,0,9599907,400093,279,9999981919281,0,749120,2766,50,378100,1640300,1640300,0,749894,750668,82569949,117430051,117430051,0,9250106,749894,774,100000003176,0,3,973786,0,10693,346,36346,9999654,9963654,9999997,3,0,0,50,36,2740,9999959,41,9999475,10000000,0,525,2663,2000,2000,2000,100000003428,0,0,553104,0,11660,1044,39644,9998956,9960356,9853000,147000,0,0,50,23,3010,9999904,96,9999441,10000000,0,559,2891,2000,2000,2000,100000003432,0,38,771962,0,12268,82,41582,9999918,9958410,9799962,200038,0,0,50,41,3120,9999984,16,9999383,9999992,8,617,3063,2000,2000,2000
300,10000000230745,769255,769255,1652200,20000,9999974013933,0,1328086,993,50,667800,0,3459100,0,1308030,1333614,75552647,124447353,124752453,0,9269550,730450,2764,9999974044411,0,1323182,1810,50,670000,2500900,2500900,0,1329781,1336380,75280791,124719209,124719209,0,8670219,1329781,6599,100000007148,0,16,1341782,0,30046,2,102102,9999998,9897802,9799684,200316,0,0,50,82,7640,9999938,62,9998510,9999904,96,1490,7496,2000,2000,2000,100000007309,0,4,981400,0,31004,1000,105400,9999000,9894531,9799896,200104,0,0,50,16,7800,9999956,44,9998460,9999931,69,1540,7740,2000,2000,2000,100000006727,0,217,1081894,0,29227,34,98634,9999966,9901307,9799783,200217,0,0,50,11,7380,9999917,83,9998516,9999941,59,1484,7286,2000,2000,2000
400,10000000285664,714336,714336,2003400,20000,9999966787920,0,1942166,4272,50,992400,0,4498900,0,1916511,1976256,69237476,130762524,131335824,0,8643489,1356511,17045,9999966854611,0,1929080,1229,50,994200,3461100,3461100,0,1957511,1985942,68740553,131259447,131259447,0,8042489,1957511,28431,100000012616,0,202,1664598,0,58872,78,199478,9999922,9800522,9798898,201102,0,0,50,89,14870,9999916,84,9997037,10000000,0,2963,14697,2000,2000,2000,100000011944,0,461,1386030,0,56911,30,191930,9999970,9808070,9798239,201761,0,0,50,16,14330,9999885,115,9997091,10000000,0,2909,14199,2000,2000,2000,100000011791,0,53,1347076,0,53593,36,182036,9999964,9817881,9799447,200553,0,0,50,62,13500,9999947,53,9997323,9999917,83,2677,13385,2000,2000,2000
500,10000000333595,666405,666405,2310100,20000,9999960150638,0,2556976,4301,50,1341600,0,5598400,0,2545027,2674598,63677736,136322264,137274764,0,7988913,2011087,58811,9999960280839,0,2498770,4702,50,1338300,4361600,4361600,0,2582983,2667196,62848035,137151965,137151965,0,7417017,2582983,84213,100000020148,0,188,2102240,0,95788,440,325040,9999560,9674960,9798012,201988,0,0,50,51,24160,9999784,216,9995227,10000000,0,4773,23893,2000,2000,2000,100000019488,0,475,1743456,0,94715,116,320416,9999884,9679584,9797625,202375,0,0,50,25,23790,9999885,115,9995198,10000000,0,4802,23650,2000,2000,2000,100000019116,0,49,1584506,0,90539,66,307666,9999934,9692334,9798951,201049,0,0,50,125,22810,9999933,67,9995480,10000000,0,4520,22618,2000,2000,2000
600,10000000375129,624871,624871,2599300,20000,9999954041178,0,3085606,1557,50,1693900,0,6538400,0,3130696,3384686,58729664,141270336,142674136,0,7372454,2627546,149540,9999954270846,0,3000770,2448,50,1696800,5421600,5421600,0,3194737,3388704,57559550,142440450,142440450,0,6805263,3194737,193967,100000028793,0,575,2475678,0,140445,2158,475558,9997842,9524293,9796225,203775,0,0,50,35,35330,9999755,245,9992924,9999851,149,7076,35050,2000,2000,2000,100000028972,0,3,2016554,0,139413,2494,473994,9997506,9526006,9797297,202703,0,0,50,127,35050,9999907,93,9993052,10000000,0,6948,34830,2000,2000,2000,100000027651,0,688,1797612,0,135668,32,458932,9999968,9540885,9797612,202388,0,0,50,33,34070,9999840,160,9993119,9999817,183,6881,33877,2000,2000,2000
700,10000000411896,588104,588104,2863100,20000,9999948399364,0,3507348,5136,50,2066800,0,7598600,0,3673138,4123328,54341692,145658308,147577308,0,6794262,3205738,307990,9999948760809,0,3361272,4617,50,2060100,6361400,6361400,0,3736119,4110966,52771775,147228225,147228225,0,6263881,3736119,374847,100000038805,0,659,2825158,0,191229,138,647938,9999862,9351845,9795641,204359,0,0,50,123,48030,9999867,133,9990340,9999783,217,9660,47774,2000,2000,2000,100000038260,0,426,2227978,0,187796,58,637058,9999942,9362942,9796374,203626,0,0,50,152,47260,9999788,212,9990578,10000000,0,9422,46896,2000,2000,2000,100000038576,0,9,2206770,0,186559,70,634270,9999930,9365574,9797291,202709,0,0,50,181,46910,9999881,119,9990700,9999844,156,9300,46610,2000,2000,2000
800,10000000444712,555288,555288,3113700,20000,9999943165897,0,3802018,4535,50,2446000,0,8639600,0,4157694,4882930,50441127,149558873,152051173,0,6269126,3730874,540456,9999943709548,0,3588280,4696,50,2430300,7320400,7320400,0,4219744,4851208,48460756,151539244,151539244,0,5780256,4219744,631464,100000050660,0,108,3170788,0,248128,2868,843268,9997132,9156732,9795792,204208,0,0,50,215,62370,9999836,164,9987613,10000000,0,12387,61991,2000,2000,2000,100000050020,0,6,2394468,0,244226,2648,830348,9997352,9169652,9795594,204406,0,0,50,117,61310,9999818,182,9987833,10000000,0,12167,61011,2000,2000,2000,100000049596,0,306,2633374,0,243016,1014,825214,9998986,9174786,9796594,203406,0,0,50,76,61100,9999640,360,9987878,10000000,0,12122,60664,2000,2000,2000
900,10000000473856,526144,526144,3355800,20000,9999938304476,0,3936788,5547,50,2827400,20000,9779500,0,4560957,5643706,46943982,153056018,156151818,0,5822753,4177247,853459,9999939061375,0,3686146,1830,50,2806800,8180500,8180500,0,4648043,5609940,44571315,155428685,155428685,0,5351957,4648043,961897,100000062836,0,7,3474666,0,307897,3426,1046826,9996574,8953014,9795293,204707,0,0,50,177,77230,9999895,105,9984630,9999840,160,15370,76948,2000,2000,2000,100000061330,0,630,2758928,0,303750,8,1030608,9999992,8969198,9794570,205430,0,0,50,216,76260,9999858,142,9984722,9999806,194,15278,75902,2000,2000,2000,100000061728,0,15,2978214,0,301825,4354,1026154,9995646,8973846,9796485,203515,0,0,50,58,75800,9999619,381,9985001,10000000,0,14999,75361,2000,2000,2000
