Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r1_2_600:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100:=Cell_2,r2_1_110:=Cell_2,r2_3_300:=Cell_2,r1_2_400:=Cell_2,rM_500:=Cell_2,r1_2_600:=Cell_2,r3_2_700:=Cell_2,r2_2_800:=Cell_2,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r2_2_800::Cell_1::Mito_1,r2_2_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,r1_2_100::Cell_1::Mito_2,r2_1_110::Cell_1::Mito_2,rM_300::Cell_1::Mito_2,rM_400::Cell_1::Mito_2,rM_500::Cell_1::Mito_2,r2_2_510::Cell_1::Mito_2,rM_600::Cell_1::Mito_2,rM_700::Cell_1::Mito_2,rM_710::Cell_1::Mito_2,r2_2_800::Cell_1::Mito_2,r2_2_810::Cell_1::Mito_2,rM_900::Cell_1::Mito_2,r1_1_1100::Cell_1::Mito_2,r1_2_100::Cell_1::Mito_3,r2_1_110::Cell_1::Mito_3,rM_300::Cell_1::Mito_3,rM_400::Cell_1::Mito_3,rM_500::Cell_1::Mito_3,r2_2_510::Cell_1::Mito_3,rM_600::Cell_1::Mito_3,rM_700::Cell_1::Mito_3,rM_710::Cell_1::Mito_3,r2_2_800::Cell_1::Mito_3,r2_2_810::Cell_1::Mito_3,rM_900::Cell_1::Mito_3,r1_1_1100::Cell_1::Mito_3,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r1_2_600:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100:=Cell_2,r2_1_110:=Cell_2,r2_3_300:=Cell_2,r1_2_400:=Cell_2,rM_500:=Cell_2,r1_2_600:=Cell_2,r3_2_700:=Cell_2,r2_2_800:=Cell_2,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r2_2_800::Cell_1::Mito_1,r2_2_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,r1_2_100::Cell_1::Mito_2,r2_1_110::Cell_1::Mito_2,rM_300::Cell_1::Mito_2,rM_400::Cell_1::Mito_2,rM_500::Cell_1::Mito_2,r2_2_510::Cell_1::Mito_2,rM_600::Cell_1::Mito_2,rM_700::Cell_1::Mito_2,rM_710::Cell_1::Mito_2,r2_2_800::Cell_1::Mito_2,r2_2_810::Cell_1::Mito_2,rM_900::Cell_1::Mito_2,r1_1_1100::Cell_1::Mito_2,r1_2_100::Cell_1::Mito_3,r2_1_110::Cell_1::Mito_3,rM_300::Cell_1::Mito_3,rM_400::Cell_1::Mito_3,rM_500::Cell_1::Mito_3,r2_2_510::Cell_1::Mito_3,rM_600::Cell_1::Mito_3,rM_700::Cell_1::Mito_3,rM_710::Cell_1::Mito_3,r2_2_800::Cell_1::Mito_3,r2_2_810::Cell_1::Mito_3,rM_900::Cell_1::Mito_3,r1_1_1100::Cell_1::Mito_3
0,10000000000000.0,1000000,10000000050160.0,100000,0,0.0,0,0.0,0,100000000,10000000000000.0,100000,0,0.0,0,0.0,0,100000000,100000000000.0,1000,0,0,0,0,0,0,0,2000,2000,0,0.0,100000000000.0,1000,0,0,0,0,0,0,0,2000,2000,0,0.0,100000000000.0,1000,0,0,0,0,0,0,0,2000,2000,0,0.0,0,9.999999999e-11,0.0009990009990009992,9.99999000001e-07,0.5,0.0049751243781094535,0.999000999000999,0.7553563831844375,0.999999999999999,0.0,0.000999001004006982,9.99999000001e-07,0.5,0.0049751243781094535,0.999000999000999,0.7553563831844375,0.999999999999999,0.0,0.0009990010040042874,9.99999000001e-07,0.5,4.999750012499375e-05,0.8264462809917354,0.5779171247182413,0.9999999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999999001996,0.999999999,0.9950149254726359,0.9999999999999,9.99999000001e-07,0.5,4.999750012499375e-05,0.8264462809917354,0.5779171247183268,0.9999999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999999,0.9999999990196079,0.9950149254726359,0.9999999999999,9.99999000001e-07,0.5,4.999750012499375e-05,0.8264462809917354,0.5789491195838096,0.9999999999,0.0,0.9999490025508724,0.9999490025508724,0.9999999999,0.9999999990196079,0.9950149254726359,0.9999999999999
100,10000000091908.0,908912,9999990575282.0,0,50,200.0,3495,0.0,63690,90757578,9999990576547.0,0,50,0.0,2517,0.0,128168,90736697,100000001371.0,1,50,8,29,14,6,636,635,2000,2000,2,200.0,100000001324.0,0,50,0,7,10,4,1999,2000,2000,2000,4,0.0,100000001395.0,1,50,26,108,0,6,635,123,2000,2000,3,0.0,100,9.999999999e-11,0.0009080866291657116,9.99999000001e-07,0.7250360202813432,0.42163100057836894,0.999000999000999,0.758745253301878,0.999999999999999,3.4410905460605736e-06,0.000999000058411318,9.99999000001e-07,0.722313241770753,0.42082705895980543,0.999000999000999,0.7554762140130411,0.999999999999999,6.538019995677304e-06,0.0009990000585375655,9.99999000001e-07,0.07749077490774908,0.02553963179040527,0.8264450788752504,0.5789104600769233,0.9999999999,0.5308085800283094,0.9999490025418728,0.999949002532573,0.9999999999086433,0.9999999990189198,0.9950157748680741,0.9999999999999,9.99999000001e-07,0.0393852065321806,0.02553393431903824,0.8249154828633498,0.5741090110159814,0.9999999999,0.8312929232651117,0.9999490013003755,0.9999519190658968,0.9999999999087191,0.9999999989993968,0.995015774826455,0.9999999999999,9.99999000001e-07,0.1987179487179487,0.025540581362489156,0.8264452742235591,0.5778816011284214,0.9999999999,0.33397492455272165,0.9999490025418728,0.9999489973979209,0.9999999999087191,0.999999998999357,0.9950157748514266,0.9999999999999
200,10000000166629.0,833371,9999981832133.0,0,50,200.0,2614,0.0,200093,82678215,9999981919281.0,0,50,0.0,2766,0.0,376605,82574039,100000003041.0,0,50,36,70,0,3,0,2000,2000,2000,3,0.0,100000003479.0,0,50,23,113,0,20,2000,2000,2000,2000,10,200.0,100000003400.0,0,50,41,16,8,10,2000,2000,2000,2000,0,1.0,200,9.999999999e-11,0.0008326770710765999,9.99999000001e-07,0.8824585901613138,0.5520315369797966,0.999000999000999,0.7556761770848082,0.999999999999999,2.7261959953921514e-05,0.0009989991940869288,9.99999000001e-07,0.8822310156397212,0.5526927894077653,0.999000999000999,0.7507618345196663,0.999999999999999,5.600151860471084e-05,0.0009989991945398224,9.99999000001e-07,0.031007751937984496,0.06909017248735101,0.8264459504120774,0.5750142643015432,0.9999999999,0.23349764462483796,0.9999489821347125,0.9999824453400596,0.9999999999150502,0.9999999989963522,0.9950164002153287,0.9999999999999,9.99999000001e-07,0.0,0.06908757270076964,0.8253261687964899,0.5757227548402855,0.9999999999,0.9680193174331416,0.9999701619998999,0.9999739915429253,0.9999999999149056,0.9999999990157106,0.9950164001936712,0.9999999999999,9.99999000001e-07,0.0583804143126177,0.0690849728996672,0.8264457550687396,0.5776940854373023,0.9999999999,0.4892217561528349,0.999948960446867,0.9999742511586154,0.9999999999149056,0.9999999990155948,0.9950164001214785,0.9999999999999
300,10000000230745.0,769255,9999973938734.0,0,50,0.0,4093,0.0,667073,75552647,9999973969160.0,0,50,200.0,4810,0.0,661591,75280791,100000006929.0,0,50,122,62,96,13,2000,2000,2000,2000,0,0.0,100000007309.0,0,50,16,56,95,1,2000,2000,2000,2000,10,0.0,100000006824.0,0,50,51,124,59,21,2000,2000,2000,2000,4,0.0,300,9.999999999e-11,0.0007686637016042225,9.99999000001e-07,0.9299762059147698,0.6225275554884493,0.999000999000999,0.7523284499777777,0.999999999999999,0.0001203353706541339,0.0009989984055837203,9.99999000001e-07,0.9300761889844825,0.622954528316115,0.999000999000999,0.7431139132243976,0.999999999999999,0.0001722209731032189,0.0009989984086254337,9.99999000001e-07,0.015748031496062992,0.11567266800671736,0.8264435010439772,0.5773636439983776,0.9999999999,0.8038778166320731,0.9999490026213667,0.9999883212376179,0.9999999999200139,0.9999999989896803,0.9950168849658289,0.9999999999999,9.99999000001e-07,0.00398406374501992,0.11613390606677734,0.8233264449889834,0.5718489647335079,0.9999999999,0.9868043295425435,0.9999739326405103,0.9999882322207484,0.9999999999201415,0.9999999989893407,0.9950168849658289,0.9999999999999,9.99999000001e-07,0.08003679852805888,0.11566953985633166,0.8249145243926247,0.5746759672650114,0.9999999999,0.6753560162112378,0.9999489779396837,0.9999882526307798,0.9999999999202728,0.9999999989899873,0.9950168849080756,0.9999999999999
400,10000000286142.0,714336,9999966787920.0,0,50,200.0,4272,0.0,971083,69243860,9999966786424.0,0,50,1.0,1229,0.0,965454,68742381,100000012484.0,0,50,179,84,0,47,2000,2000,2000,2000,0,0.0,100000011722.0,0,50,16,130,74,69,2000,2000,2000,2000,0,0.0,100000011467.0,0,50,132,165,191,48,2000,2000,2000,2000,0,199.0,400,9.999999999e-11,0.0007138260883273686,9.99999000001e-07,0.951175832427645,0.6670440167809816,0.999000999000999,0.7399383103738849,0.999999999999999,0.00021498449068672065,0.0009989976844254538,9.99999000001e-07,0.9507165809135174,0.6666777774074197,0.999000999000999,0.7328576192650668,0.999999999999999,0.00036928795582041353,0.0009989976910812356,9.99999000001e-07,0.1680532445923461,0.16125276293824226,0.8249059060670287,0.5757091037612507,0.9999999999,0.9927957591439854,0.9999491196072171,0.9999933268099905,0.9999999999240115,0.9999999989796462,0.9950172662760639,0.9999999999999,9.99999000001e-07,0.036608863198458574,0.1612590943627972,0.8249012350557099,0.5741471023573416,0.9999999999,0.9458870959886522,0.9999493663164016,0.9999926007459115,0.9999999999239714,0.9999999990005749,0.9950172662760639,0.9999999999999,9.99999000001e-07,0.32840832773673606,0.16082819879073662,0.8249111171597713,0.5714257279287399,0.9999999999,0.9922644719777558,0.9999738770992115,0.9999916077322658,0.9999999999241267,0.9999999989814391,0.9950172699336872,0.9999999999999
500,10000000334046.0,666405,9999960150638.0,0,50,0.0,4301,0.0,1278488,63677736,9999960217589.0,0,50,200.0,8302,0.0,1249385,62848035,100000019950.0,0,50,51,257,0,22,2000,2000,2000,2000,11,0.0,100000019278.0,0,50,165,115,70,68,2000,2000,2000,2000,24,0.0,100000019116.0,0,50,255,67,44,4,2000,2000,2000,2000,2,0.0,500,9.999999999e-11,0.0006659612001264297,9.99999000001e-07,0.9624365177149382,0.6978943234343373,0.999000999000999,0.7320012807764251,0.999999999999999,0.0004414455023027782,0.0009989970220227167,9.99999000001e-07,0.9616716084739474,0.6975471070380788,0.999000999000999,0.7206900753171563,0.999999999999999,0.0006340046574828368,0.0009989970350168156,9.99999000001e-07,0.18633034987794955,0.2032196936045074,0.8248987077764062,0.5734030674427996,0.9999999999,0.9952373562485858,0.999973904830976,0.9999940069760634,0.9999999999273651,0.999999998966404,0.9950175795657187,0.9999999999999,9.99999000001e-07,0.4065281899109792,0.20286312434450438,0.8248990779098258,0.5734247358877127,0.9999999999,0.9953170207096244,0.9999494194237476,0.999994041011175,0.9999999999272898,0.9999999989668903,0.995017579694113,0.9999999999999,9.99999000001e-07,0.046711153479504296,0.2028713848124839,0.8249067585535388,0.5735148792173979,0.9999999999,0.9949933452767047,0.9999738448813738,0.9999940070781356,0.9999999999272594,0.9999999989682568,0.9950175795068696,0.9999999999999
600,10000000375129.0,624871,9999953982554.0,0,50,200.0,5157,0.0,1542803,58731764,9999954270846.0,0,50,0.0,2448,0.0,1500385,57559550,100000028793.0,0,50,35,272,304,60,2000,2000,2000,2000,21,200.0,100000028972.0,0,50,127,193,0,0,2000,2000,2000,2000,24,0.0,100000027468.0,0,50,153,280,183,80,2000,2000,2000,2000,0,0.0,600,9.999999999e-11,0.0006244807800704766,9.99999000001e-07,0.9686087984515348,0.7221681993721001,0.999000999000999,0.719630090426718,0.999999999999999,0.0007771611551365137,0.0009989964122967732,9.99999000001e-07,0.9677208394905832,0.7218900353199655,0.999000999000999,0.706689051833509,0.999999999999999,0.0009584183630028913,0.0009989964352177087,9.99999000001e-07,0.3183367416496251,0.23841878680721998,0.8248845550306411,0.5725156284680525,0.9999999999,0.9965988437303344,0.9999739494394863,0.9999948598316136,0.9999999999300083,0.9999999989500533,0.9950178322619012,0.9999999999999,9.99999000001e-07,0.0029910269192422734,0.23834262441082946,0.8248940550719388,0.5713792359872776,0.9999999999,0.9965389488401065,0.9999738478788598,0.9999948599461204,0.9999999999300334,0.999999998950242,0.9950178350788892,0.9999999999999,9.99999000001e-07,0.44690265486725667,0.23842574681494413,0.8233070928563933,0.5726299239736483,0.9999999999,0.9965070789271754,0.9999738698291991,0.9999951735300258,0.9999999999301348,0.9999999989516004,0.9950178350788892,0.9999999999999
700,10000000412250.0,588104,9999948344823.0,0,50,0.0,8836,0.0,1759986,54343992,9999948760809.0,0,50,200.0,8417,0.0,1680636,52783459,100000038805.0,0,50,273,348,423,65,2000,2000,2000,2000,23,0.0,100000039013.0,0,50,152,331,0,111,2000,2000,2000,2000,0,0.0,100000038234.0,0,50,371,119,156,0,2000,2000,2000,2000,0,0.0,700,9.999999999e-11,0.000587758336970994,9.99999000001e-07,0.9723754769373907,0.7408856528385976,0.999000999000999,0.7060891643000464,0.999999999999999,0.0011082747872609103,0.00099899584924204,9.99999000001e-07,0.9711088871374455,0.7411405348036552,0.999000999000999,0.6922404502267312,0.999999999999999,0.001297123743705113,0.00099899588531436,9.99999000001e-07,0.008919722497522299,0.2686389912834932,0.823296600760973,0.5714892194426202,0.9999999999,0.9973544441263013,0.9999738137744005,0.9999958598129399,0.9999999999321469,0.9999999989528395,0.9950180444424124,0.9999999999999,9.99999000001e-07,0.5265151515151515,0.2691935177757349,0.8248859646052278,0.568792642236655,0.9999999999,0.9973381914518936,0.9999738772771704,0.999995652247304,0.9999999999322389,0.999999998954276,0.9950180444424124,0.9999999999999,9.99999000001e-07,0.16317991631799164,0.2686309678615969,0.8248928278200509,0.5688242376618611,0.9999999999,0.997509100616316,0.9999737505475299,0.9999958599171309,0.999999999932264,0.9999999989545947,0.99501804689155,0.9999999999999
800,10000000445025.0,555288,9999943115455.0,0,50,0.0,4535,0.0,1901009,50443727,9999943661192.0,0,50,200.0,4696,0.0,1797333,48467142,100000050660.0,0,50,215,350,0,85,2000,2000,2000,2000,28,0.0,100000050100.0,0,50,117,182,91,37,2000,2000,2000,2000,26,0.0,100000049872.0,0,50,276,360,192,88,2000,2000,2000,2000,10,0.0,800,9.999999999e-11,0.000554979826362179,9.99999000001e-07,0.9743364825890999,0.7566850774958029,0.999000999000999,0.7070063077486204,0.999999999999999,0.001435700036925374,0.0009989953269404599,9.99999000001e-07,0.9728897371388913,0.7569098378588619,0.999000999000999,0.6772669505753219,0.999999999999999,0.0016441160909106754,0.0009989953811969932,9.99999000001e-07,0.4609164420485175,0.2935346552336083,0.8248817851813264,0.5675347888573714,0.9999999999000001,0.9978351800786598,0.9999738062392554,0.9999961448846229,0.9999999999343409,0.9999999989312294,0.9950182247290832,0.9999999999999,9.99999000001e-07,0.0029910269192422734,0.29351718653675485,0.8248786586278734,0.5703882826141295,0.9999999999000001,0.9980285308788797,0.9999738162399325,0.9999959745311802,0.9999999999342545,0.9999999989327142,0.9950182226015606,0.9999999999999,9.99999000001e-07,0.46865037194473963,0.2935271687550239,0.823301981705308,0.5704335552286435,0.9999999999000001,0.9980368461462097,0.999973654502058,0.9999962968968324,0.9999999999342517,0.9999999989100563,0.9950182246046053,0.9999999999999
900,10000000474140.0,526144,9999938304476.0,0,50,1.0,5547,0.0,1972082,46956858,9999939061375.0,0,50,200.0,6030,0.0,1843073,44579305,100000062844.0,0,50,177,246,160,14,2000,2000,2000,2000,34,1.0,100000061880.0,0,50,216,142,194,63,2000,2000,2000,2000,21,200.0,100000061728.0,0,50,58,381,227,69,2000,2000,2000,2000,43,0.0,900,9.999999999e-11,0.0005258673180658036,9.99999000001e-07,0.9752317441855282,0.7704210477983378,0.999000999000999,0.6722468626850416,0.999999999999999,0.0017546896741336452,0.0009989948417691817,9.99999000001e-07,0.9735879176344494,0.7701941859129037,0.999000999000999,0.6623025645748801,0.999999999999999,0.0019727772548820454,0.0009989949173079295,9.99999000001e-07,0.1289198606271777,0.3134208913938957,0.8248783352200849,0.5677083649620762,0.9999999999000001,0.9981240818701143,0.999949434764389,0.9999967188397695,0.9999999999360577,0.9999999988830183,0.9950183742115274,0.9999999999999,9.99999000001e-07,0.29922915206727396,0.313406749376436,0.8248759342094217,0.5703527512332995,0.9999999999000001,0.9981132482332741,0.9999495573749472,0.9999967169818704,0.9999999999359568,0.9999999989091545,0.9950183743007334,0.9999999999999,9.99999000001e-07,0.005964214711729622,0.3134138204579887,0.8248865555444117,0.5691631821188452,0.9999999999000001,0.9981085364913185,0.9999491464954546,0.9999967188970432,0.9999999999358938,0.9999999989096389,0.9950183760487639,0.9999999999999
