Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989098978,10001708,10001708,0,0,1000,0,0,0,9999000686,10000999314,10000999314,10000000000,0,0,99999900279,0,100721,100721,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901152,0,99848,99848,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900529,0,100471,100471,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999899863,0,101137,101137,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10395490,1278833,20000000,120000000,20000,120000,9998961151482,97084334,107787530,823,9604510,1000,5,1388122,19207374,9261870216,10738129784,10898726484,9990692838,9307162,7912,100008852017,26721100,216263,6587543,280200,232517400,16918952,28111152,13317120,2449750,48877200,997550250,999994810,5190,1457391960,997792840,2207160,17756160,2498700,5280,4444320,1000000000,0,999897660,102340,4439040,1000,1000,1000,1000,1000,1000,1000,100008814617,26682700,236046,6798903,58000,232199800,20112381,31289531,13310018,2556755,48842100,997443245,999999876,124,1457526021,997819403,2180597,17744897,2461600,0,4440260,999994619,5381,999893521,106479,4434879,1000,1000,1000,1000,1000,1000,1000,100008895244,26846100,223499,6815895,35100,233624200,18787001,30032751,13373757,2436846,49107600,997563154,999994427,5573,1457465581,997835324,2164676,17831676,2469900,4901,4462820,1000000000,0,999896681,103319,4457919,1000,1000,1000,1000,1000,1000,1000,100008912373,26812800,190496,6535507,293600,233324000,18056578,29287728,13370894,2506101,49083000,997493899,999999524,476,1457058923,997825329,2174671,17824371,2462100,0,4463940,999989537,10463,999897023,102977,4453477,1000,1000,1000,1000,1000,1000,1000
3000,20462600,1241612,40000000,240000000,20000,120000,9998084617671,97301747,109971128,10720,19537400,1000,11207,1377721,39053360,8674826618,11325173382,11717594582,9988731719,11268281,23379,100024395857,62014900,176789,10592121,53500,545790600,33887364,60247414,28153574,2563825,116325600,997436175,999998607,1393,1398957482,998919108,1080892,37536392,6969800,2,9387940,999994880,5120,999911982,88018,9382818,1000,1000,1000,1000,1000,1000,1000,100024414339,62092000,153104,10608800,39000,546392800,35319927,61707977,28209657,2624527,116390400,997375473,999989808,10192,1399103181,998908524,1091476,37612876,6938800,1,9403220,1000000000,0,999912681,87319,9403219,1000,1000,1000,1000,1000,1000,1000,100024518201,62305700,147419,10630619,32100,548257000,29663547,56141397,28295900,2589516,116584200,997410484,999999956,44,1399773540,998925040,1074960,37726260,6954400,5160,9440340,999995180,4820,999919640,80360,9430360,1000,1000,1000,1000,1000,1000,1000,100024447259,62158100,135387,10595660,27600,546946600,34235993,60650393,28252195,2561650,116427000,997438350,999999032,968,1399392482,998932887,1067113,37667913,6898700,1,9420760,999994959,5041,999913582,86418,9415718,1000,1000,1000,1000,1000,1000,1000
4000,30502140,1275623,60000000,360000000,20000,120000,9997265235261,96468521,109654102,10785,29497860,1000,16,1386731,58974150,8141042382,11858957618,12480754418,9988241789,11758211,40639,100039594462,97010100,91561,14919258,276600,855911400,51528797,92896997,43051378,2460492,182831400,997539508,999994633,5367,1341485141,999251363,748637,57401837,11809500,5200,14355660,999999999,1,999923241,76759,14350459,1000,1000,1000,1000,1000,1000,1000,100039620718,97238400,126922,15257101,20600,857839200,48761855,90222005,43178819,2542447,183121200,997457553,999999927,73,1341912780,999250561,749439,57570039,11781600,4961,14401340,999994841,5159,999926880,73120,14391220,1000,1000,1000,1000,1000,1000,1000,100039715224,97339800,66999,14994535,262400,858722800,43246825,84749525,43224177,2495310,183100500,997504690,999999051,949,1342543441,999222864,777136,57632236,11815900,4741,14412800,1000000000,0,999926341,73659,14408059,1000,1000,1000,1000,1000,1000,1000,100039627120,97103400,67983,15109459,75800,856678000,49451384,90855834,43114797,2464657,182834400,997535343,999999058,942,1342291601,999259704,740296,57486396,11768300,5381,14376980,1000000000,0,999922901,77099,14371599,1000,1000,1000,1000,1000,1000,1000
5000,40530490,1263001,80000000,480000000,20000,120000,9996500169808,92251425,105575864,785,39469510,1000,1033,1403589,78937450,7657783033,12342216967,13193396267,9988137091,11862909,57941,100054583041,131935200,141919,20042419,57000,1165360800,68435642,124778792,57962340,2473413,249215700,997526587,999989933,10067,1284411120,999363280,636720,77283120,16791000,0,19320780,1000000000,0,999928120,71880,19320780,1000,1000,1000,1000,1000,1000,1000,100054731636,132269400,80159,19867540,231700,1168225200,64180684,120661084,58150006,2452271,249570000,997547729,999989636,10364,1284908565,999364259,635741,77533341,16754600,4,19383340,999999999,1,999925265,74735,19383335,1000,1000,1000,1000,1000,1000,1000,100054786911,132306200,53438,19751969,309800,1168534000,56086001,112581101,58155954,2396353,249552000,997603647,999999536,464,1285184583,999385229,614771,77539571,16749400,4840,19393560,999994897,5103,999932383,67617,19383617,1000,1000,1000,1000,1000,1000,1000,100054640390,132184700,139673,19854489,285000,1167440600,64273039,120714989,58114797,2488059,249499500,997511941,999999580,420,1284485021,999378424,621576,77483076,16721600,1,19378240,999990040,9960,999932521,67479,19368279,1000,1000,1000,1000,1000,1000,1000
6000,50552680,1247746,100000000,600000000,20000,120000,9995776338420,92794851,106119602,10766,49447320,1000,125383,1384943,98873108,7219859771,12780140229,13859224029,9988135717,11864283,75525,100069625619,166909900,138564,24747601,254500,1475207800,82115191,153451941,72910318,2439450,315691500,997560550,999994211,5789,1226773961,999444543,555457,97213757,21778800,4640,24308080,999999999,1,999932961,67039,24303439,1000,1000,1000,1000,1000,1000,1000,100069757500,167147300,48858,24928220,43500,1477164200,80036161,151465511,73058588,2407610,315684600,997592390,999994596,5404,1228614986,999433498,566502,97409702,21726900,0,24356360,999994754,5246,999937486,62514,24351114,1000,1000,1000,1000,1000,1000,1000,100069755615,167256700,61991,24995463,27900,1478089400,71152019,142625519,73130394,2503346,316023600,997496654,999999048,952,1227708502,999420808,579192,97507192,21709300,5382,24382180,1000000000,0,999932902,67098,24376798,1000,1000,1000,1000,1000,1000,1000,100069745371,167185500,62052,24949909,47000,1477487800,79639100,151083900,73083178,2455812,315862800,997544188,999989953,10047,1227990341,999431163,568837,97444237,21718300,4960,24366020,999999999,1,999934841,65159,24361059,1000,1000,1000,1000,1000,1000,1000
7000,60570470,1275094,120000000,720000000,20000,120000,9995094673866,92956503,106346526,1566,59429530,1000,86,1403395,118855928,6823765569,13176234431,14483971331,9988106225,11893775,92853,100084679677,201812400,57195,29846380,26500,1784389600,97073144,183370944,87859729,2476042,382029300,997523958,999999466,534,1169629224,999470895,529105,117146305,26761600,3,29286580,999999999,1,999930224,69776,29286576,1000,1000,1000,1000,1000,1000,1000,100084704340,202115100,128446,29954540,25900,1786968600,95066590,181487740,88010516,2534552,382052400,997465448,999998714,1286,1171707062,999489746,510254,117347354,26732400,4900,29341740,999999998,2,999935962,64038,29336838,1000,1000,1000,1000,1000,1000,1000,100084783921,202281300,58808,29897396,66700,1788333800,84676734,171162434,88129671,2532353,382617000,997467647,999993096,6904,1169946143,999471272,528728,117506228,26684000,3,29376560,1000000000,0,999933343,66657,29376557,1000,1000,1000,1000,1000,1000,1000,100084753886,202164200,58617,29880513,55800,1787335600,96265752,182703702,88064397,2514102,382258200,997485898,999989303,10697,1170904201,999477104,522896,117419196,26691300,1,29354800,1000000000,0,999933501,66499,29354799,1000,1000,1000,1000,1000,1000,1000
8000,70585770,1266668,140000000,840000000,20000,120000,9994446708478,97105759,110503230,10110,69414230,1000,10492,1385631,138808240,6465358037,13534641963,15071211763,9988098469,11901531,110309,100099607348,236749500,111512,34854512,28800,2093817400,113963347,215233247,102821940,2533571,448496400,997466429,999989891,10109,1111774420,999507580,492420,137095920,31726600,5400,34279380,1000000000,0,999935720,64280,34273980,1000,1000,1000,1000,1000,1000,1000,100099726599,237045400,110424,34863018,41100,2096388400,108050619,209444219,102960875,2475142,448379400,997524858,999999483,517,1114584041,999533066,466934,137277934,31718000,3,34326760,999990302,9698,999941141,58859,34317059,1000,1000,1000,1000,1000,1000,1000,100099709420,237209500,129220,34883520,86800,2097731800,99533857,200990907,103076460,2452075,448812000,997547925,999998955,1045,1113453780,999523220,476780,137435280,31660200,5500,34364320,1000000000,0,999936580,63420,34358820,1000,1000,1000,1000,1000,1000,1000,100099790388,237103000,28895,34806391,49900,2096822000,111640967,213054467,103008717,2479200,448623000,997520800,999998561,1439,1113664861,999514444,485556,137344956,31691600,5601,34341840,1000000000,0,999939761,60239,34336239,1000,1000,1000,1000,1000,1000,1000
9000,80598920,1279618,160000000,960000000,20000,120000,9993836686647,97454787,110889814,808,79401080,1000,93,1402883,158800544,6141295034,13858704966,15624768866,9988095657,11904343,127801,100114633098,271720900,108822,39590120,236800,2403579400,129663093,245921693,117786578,2460729,514764000,997539271,999999869,131,1055041640,999550962,449038,157045338,36717200,2,39269060,999989702,10298,999944940,55060,39258760,1000,1000,1000,1000,1000,1000,1000,100114698450,271951200,109722,39779006,83900,2405578400,124739556,241094306,117902328,2457002,514682700,997542998,999998626,1374,1057330024,999552696,447304,157203104,36712000,5104,39305880,1000000000,0,999940924,59076,39300776,1000,1000,1000,1000,1000,1000,1000,100114681370,272139800,121756,39895848,56800,2407126800,113880173,230308123,118053774,2487654,515280900,997512346,999989496,10504,1055610842,999520368,479632,157405032,36646600,2,39351260,1000000000,0,999932642,67358,39351258,1000,1000,1000,1000,1000,1000,1000,100114823277,272142600,41546,39762143,73000,2407206000,124963617,241396167,118011178,2520396,515224800,997479604,999994437,5563,1056010241,999550063,449937,157344937,36692600,0,39343660,999990099,9901,999943741,56259,39333759,1000,1000,1000,1000,1000,1000,1000
