,Name,0,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
0,A,100000,93832,91515,90599,90231,90101,90046,90015,90002,90001,90000
1,B,10000,3832,1515,599,231,101,46,15,2,1,0
2,C,0,6168,8485,9401,9769,9899,9954,9985,9998,9999,10000
