,Time\ information,r2_1_100,r2_1_200,r2_1_300,r2_3_400,r3_1_500,rM_600,Time\ infoAddUp,r2_1_100,r2_1_200,r2_1_300,r2_3_400,r3_1_500,rM_600,Time\ entropy,r2_1_100,r2_1_200,r2_1_300,r2_3_400,r3_1_500,rM_600
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,  - ,  - ,  - ,  - ,  - ,  - 
10000,10000,0,0,0,0,0,0,10000,213.5640318375061,0.0,17.073429809638704,3.1699442376326736,0.0,0.0,10000,  - ,  - ,  - ,  - ,  - ,  - 
20000,20000,0,0,0,0,0,0,20000,523.2907759080649,86.23578242647051,251.11209450911267,47.560709818866805,74.98452673968112,3.4079635935659907,20000,  - ,  - ,  - ,  - ,  - ,  - 
30000,30000,0,0,0,0,0,0,30000,706.2021172965243,327.81536214789116,392.5223135912163,72.9384474429686,295.378002405223,13.262224533979227,30000,  - ,  - ,  - ,  - ,  - ,  - 
40000,40000,0,0,0,0,0,0,40000,777.6965020026012,494.8477427756494,414.92911144992013,76.1124755274538,400.22708523711884,17.433711142364945,40000,  - ,  - ,  - ,  - ,  - ,  - 
50000,50000,0,0,0,0,0,0,50000,823.9424805972658,611.0327821005187,428.2169680917607,77.69969214932559,437.14136448478536,18.95096724823557,50000,  - ,  - ,  - ,  - ,  - ,  - 
