,Name,0,200,400,600,800,1000,1200,1400,1600,1800,2000
0,S,10000000,9995927,9521883,1248103,1267132,1258800,1255255,1257422,1255047,1262691,1249697
1,E,0,3118,360890,5195023,4571257,4588827,4592369,4592517,4592265,4588947,4590482
2,I,20,622,74274,1870412,1847157,1844511,1852337,1843363,1846083,1842368,1858177
3,R,0,353,42973,1686482,2314474,2307882,2300059,2306718,2306625,2306014,2301664
