Time,H2O,OH-,H3PO4,H2PO4_1-,HPO4_2-,PO4_3-,H+
910,200000031735433,1967,15482618130043,4517363047552,18822112,293,4517400694622
920,200000031735282,2118,15519233418103,4480755072615,11508840,442,4480778093739
930,200000031735477,1923,15377322363813,4622659715382,17920508,297,4622695559212
940,200000031737206,194,15462794062507,4537184253513,21683661,319,4537227621986
950,200000031737305,95,15362866662603,4637118903440,14433524,433,4637147771882
960,200000031735353,2047,15274071400369,4725909181726,19417451,454,4725948020037
970,200000031737316,84,15248486815557,4751498353641,14830373,429,4751528015758
980,200000031735320,2080,15390329629489,4609659753176,10616888,447,4609680990373
990,200000031735383,2017,15450047430766,4549941633005,10935828,401,4549963507881
1000,200000031737192,208,15396912638229,4603066983649,20377579,543,4603107740644
