Time,x,y
16400,60,0
16500,61,0
16600,64,0
16700,66,0
16800,68,0
16900,68,0
17000,68,0
17100,68,0
17200,71,0
17300,72,0
17400,72,0
17500,73,0
17600,75,0
17700,77,0
17800,78,0
17900,79,0
18000,82,0
18100,84,0
18200,84,0
18300,85,0
18400,87,0
18500,87,0
18600,88,0
18700,88,0
18800,88,0
18900,88,0
19000,88,0
19100,88,0
19200,89,0
19300,89,0
19400,90,0
19500,91,0
19600,93,0
19700,94,0
19800,94,0
19900,94,0
20000,95,0
20100,95,0
20200,96,0
20300,98,0
20400,100,0
20500,101,0
20600,102,0
20700,103,0
20800,103,0
20900,105,0
21000,108,0
21100,108,0
21200,109,0
21300,110,0
21400,112,0
21500,113,0
21600,113,0
21700,116,0
21800,121,0
21900,122,0
22000,123,0
22100,123,0
22200,124,0
22300,127,0
22400,128,0
22500,128,0
22600,128,0
22700,129,0
22800,129,0
22900,131,0
23000,132,0
23100,132,0
23200,135,0
23300,137,0
23400,140,0
23500,141,0
23600,142,0
23700,145,0
23800,147,0
23900,147,0
24000,149,0
24100,149,0
24200,149,0
24300,150,0
24400,152,0
24500,152,0
24600,152,0
24700,155,0
24800,155,0
24900,155,0
25000,156,0
25100,159,0
25200,165,0
25300,167,0
25400,167,0
25500,168,0
25600,169,0
25700,171,0
25800,171,0
25900,171,0
26000,172,0
26100,174,0
26200,177,0
26300,180,0
26400,180,0
26500,181,0
26600,185,0
26700,186,0
26800,187,0
26900,187,0
27000,188,0
27100,189,0
27200,191,0
27300,193,0
27400,195,0
27500,199,0
27600,200,0
27700,203,0
27800,206,0
27900,209,0
28000,211,0
28100,214,0
28200,216,0
28300,218,0
28400,220,0
28500,221,0
28600,224,0
28700,224,0
28800,226,0
28900,230,0
29000,231,0
29100,235,0
29200,236,0
29300,237,0
29400,239,0
29500,244,0
29600,246,0
29700,249,0
29800,250,0
29900,252,0
30000,254,0
30100,255,0
30200,256,0
30300,260,0
30400,262,0
30500,264,0
30600,266,0
30700,270,0
30800,276,0
30900,277,0
31000,279,0
31100,282,0
31200,285,0
31300,289,0
31400,292,0
31500,294,0
31600,294,0
31700,295,0
31800,299,0
31900,303,0
32000,307,0
32100,310,0
32200,314,0
32300,316,0
32400,316,0
32500,319,0
32600,321,0
32700,323,0
32800,328,0
32900,331,0
33000,340,0
33100,345,0
33200,348,0
33300,351,0
