,Name,0,200,400,600,800,1000,1200,1400,1600,1800,2000
0,S,10000000,9986756,6837983,4190656,4246264,4251009,4243722,4245213,4244347,4238780,4246299
1,I,20,8860,1940380,2556994,2564462,2564760,2565660,2555287,2563606,2559680,2561230
2,R,0,4404,1221657,3252370,3189294,3184251,3190638,3199520,3192067,3201560,3192491
