Time\ number,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1,Time\ Probability,r1_2_10:=Cell_1,r2_1_20:=Cell_1,r2_3_100:=Cell_1,r1_1_200:=Cell_1,rM_300:=Cell_1,r3_3_400:=Cell_1,r2_2_500:=Cell_1,r1_2_100::Cell_1::Mitochondria_1,r2_1_110::Cell_1::Mitochondria_1,rM_300::Cell_1::Mitochondria_1,rM_400::Cell_1::Mitochondria_1,rM_500::Cell_1::Mitochondria_1,r2_2_510::Cell_1::Mitochondria_1,rM_600::Cell_1::Mitochondria_1,rM_610::Cell_1::Mitochondria_1,rM_620::Cell_1::Mitochondria_1,rM_700::Cell_1::Mitochondria_1,r3_3_800::Cell_1::Mitochondria_1,rM_900::Cell_1::Mitochondria_1,r1_1_1100::Cell_1::Mitochondria_1
1000,9999912252148.0,10093758,24,200.0,12000,23992,72984219,100052211759.0,492,2000,0,0,0,16,1,170,1,22,0,0.0,1000,9.99999000001e-07,0.9933733327802275,0.4736842105263158,0.999000999000999,0.9987094280353122,0.7821665020516771,0.0009989912483197169,9.99999000001e-07,0.7051886792452831,0.001266961467672069,0.9997979283449079,0.9993529446613257,0.9999989931544572,0.9902047900191359,0.9238755034757876,0.9945633741817923,0.994824503744857,0.9999999498743167,0.999994992156527,0.9999999999999
1100,9999904248340.0,9951743,21,200.0,12032,59982,71439455,100057402893.0,101003,2000,3000,0,0,40,0,145,128,0,0,199.0,1100,9.99999000001e-07,0.9936496941406935,0.4736842105263158,0.999000999000999,0.9986747980001816,0.7859964835059667,0.00099899046314773,9.99999000001e-07,0.9965975168678102,0.0013509184854637376,0.9997981155915244,0.9993553679832208,0.9999989941671754,0.9894624203044989,0.20322304944537237,0.994569262809526,0.9948237696697375,0.9999999498661951,0.9999949922509186,0.9999999999999
1200,9999896361596.0,10037225,23,200.0,9000,18207,70542335,100063035716.0,507,2000,3,5999,5996,167,0,0,37,1670,60,0.0,1200,9.99999000001e-07,0.9939843773075553,0.4736842105263158,0.999000999000999,0.9986524885671242,0.7891387407200067,0.000998990662906517,9.99999000001e-07,0.9951571270140298,0.0014544054025181041,0.9997979483310888,0.9993558957327616,0.9999989999911999,0.9900092260640471,0.9214148716932713,0.9945723096162722,0.9948242927145781,0.9999999498610658,0.999994992304718,0.9999999999999
1300,9999888729745.0,9983954,18,200.0,10012,20027,69737446,100068890708.0,449,2000,3001,3004,3003,322,0,10,1,2000,59,201.0,1300,9.99999000001e-07,0.9941799435733889,0.4736842105263158,0.999000999000999,0.9986061511079696,0.7922951642840619,0.0009989889106203024,9.99999000001e-07,0.9962608016093509,0.0015660634030610038,0.9997972137652826,0.9993540122050761,0.9999989999914,0.991520063563674,0.938585258767944,0.9945764528973776,0.9948238384826128,0.9999999685017097,0.9999949923523749,0.9999999999999
1400,9999881145429.0,10045549,21,200.0,13,77,70093872,100075965341.0,100116,56,0,0,3,294,3,243,1,36,968,200.0,1400,9.99999000001e-07,0.9944203263048974,0.4736842105263158,0.999000999000999,0.9985660591001688,0.026152576051900904,0.0009989881395728489,9.99999000001e-07,0.9971470631868445,0.0003401641252104749,0.9997974466844378,0.9993554007253419,0.9999989999912999,0.9910561938064969,0.9518132173848353,0.9945788960137859,0.9948237820525484,0.999999949839523,0.999994992331318,0.9999999999999
1500,9999863554014.0,20052443,23,200.0,11021,43,70000294,100082592683.0,99909,2000,2000,3998,0,216,0,190,57,12,0,0.0,1500,9.99999000001e-07,0.9964963071953763,0.4736842105263158,0.999000999000999,0.9985168488509271,0.03230844665080801,0.0009989883776842941,9.99999000001e-07,0.9972222916649306,0.0017774071238432824,0.9997973824822477,0.9993565029159789,0.9999989923834263,0.9911506519361448,0.6599333941889051,0.9945813951142526,0.9948239188553467,0.9999999498272378,0.9999949923327133,0.9999999999999
1600,9999855780063.0,20050755,19,200.0,7026,69,70083158,100089304726.0,71592,2000,3000,3000,2998,220,0,16,279,2000,880,201.0,1600,9.99999000001e-07,0.9965893700829161,0.4736842105263158,0.999000999000999,0.9984674649650768,0.8710508642654943,0.00099898760268365,9.99999000001e-07,0.9960597654772412,0.0036294090134398696,0.9997978939842653,0.9993581312626243,0.9999989993605914,0.9898926935677458,0.9382456253346638,0.9945832980243006,0.9948740978362038,0.9999999543607239,0.9999949923330171,0.9999999999999
1700,9999858015497.0,9999135,18,200.0,28000,13298,69563198,100095399741.0,25444,36,0,0,0,226,0,186,129,8,0,200.0,1700,9.99999000001e-07,0.9950002847337844,0.4736842105263158,0.999000999000999,0.9984019878850585,0.023446941803453827,0.0009989858429139986,9.99999000001e-07,0.9900836936257983,0.0004005251749094749,0.9997983900134317,0.9993602899987997,0.9999989925052465,0.9892094265361278,0.9318562039852288,0.9945855159509949,0.9751946813714504,0.9999999497984186,0.9999949923625686,0.9999999999999
1800,9999840298141.0,19977769,23,200.0,20010,165,70118995,100102514492.0,100464,2000,12000,3,3,291,2,317,400,2000,1,400.0,1800,9.99999000001e-07,0.9967526355528669,0.4736842105263158,0.999000999000999,0.9983265195917678,0.8013691951932098,0.0009989850676796186,9.99999000001e-07,0.9909547284157206,0.0039837859031009205,0.9997968456303776,0.9993559756962777,0.9999989999912999,0.9920578306358016,0.7261199338632064,0.9945870824379043,0.9948726583125826,0.9999999652738991,0.9999949923274545,0.9999999999999
1900,9999832410417.0,20035124,27,200.0,10007,89,70883945,100110030907.0,100573,2000,3000,0,0,201,0,0,147,2000,608,401.0,1900,9.99999000001e-07,0.99684360372076,0.4736842105263158,0.999000999000999,0.9982351977886373,0.8031066376243877,0.0009989852688977875,9.99999000001e-07,0.9969593125613839,0.0021419566391465347,0.9997978020862945,0.9993586813443202,0.9999989938838197,0.9908334664363723,0.9486736995926066,0.9945884407748797,0.9948239464313228,0.9999999497574443,0.9999949922849106,0.9999999999999
2000,9999834471573.0,61433,21,200.0,11000,1557,71872879,100117878600.0,417,61,2,7998,0,348,23,0,220,8,0,200.0,2000,9.99999000001e-07,0.9919893381294768,0.4736842105263158,0.999000999000999,0.9981318433812715,0.8043290601308443,0.0009989844863079243,9.99999000001e-07,0.9963439201219668,0.0004559822516406266,0.9997971312884043,0.9993567896140841,0.999999000001,0.9918626183143648,0.7998015180781414,0.9945895340176238,0.9525782630062667,0.9999999497299825,0.9999949922216282,0.9999999999999
2100,9999826590216.0,35371,25,200.0,10012,32459,72949647,100126041500.0,621,2000,2000,6,5003,357,28,0,2,338,624,200.0,2100,9.99999000001e-07,0.9923870433263261,0.4736842105263158,0.999000999000999,0.9979718167825704,0.805709606591748,0.0009989836999331338,9.99999000001e-07,0.9969194845681579,0.0023315476716092415,0.9997967252133375,0.9993559457804047,0.9999989999912999,0.9919198044724044,0.9587303552108811,0.9945883074339451,0.9221566176667175,0.9999999496893086,0.9999949921574242,0.9999999999999
2200,9999818332984.0,10015149,20,201.0,12,94,74293520,100134519997.0,526,2000,2000,1999,5,221,3,1,2,2,469,400.0,2200,9.99999000001e-07,0.9958287381670166,0.4736842105263158,0.999000999000999,0.9977543623554707,0.8070826266267708,0.0009989828760131683,9.99999000001e-07,0.9962773521550409,0.002421698898852331,0.9997975297274003,0.9993588588926369,0.9999989999514977,0.9912682783927267,0.9390568254983278,0.9945919212169742,0.9948233399175066,0.9999999496355243,0.9999949920729672,0.9999999999999
2300,9999809923384.0,10035995,18,200.0,13025,402,75581863,100142798788.0,200971,2000,0,2,6015,301,3,112,263,2000,60,0.0,2300,9.99999000001e-07,0.9959883129929435,0.4736842105263158,0.999000999000999,0.9975760333585668,0.019176311764720663,0.000998982036842218,9.99999000001e-07,0.998218964113908,0.002498721790211051,0.9997962041375581,0.9993550782467784,0.9999989999926999,0.992483926505703,0.9531872175252037,0.9945925253192968,0.9948227251679451,0.9999999697382707,0.9999949919908304,0.9999999999999
2400,9999791548561.0,20053201,20,200.0,19016,9855,75080719,100149662869.0,30657,2000,0,0,0,246,0,0,18,0,0,200.0,2400,9.99999000001e-07,0.9972074963420297,0.4736842105263158,0.999000999000999,0.9972095073683779,0.8088040823337638,0.0009989791973448363,9.99999000001e-07,0.9900849717917447,0.005009932364525656,0.9997982721416102,0.9993609463443645,0.999999000001,0.9899318232146976,0.9439775587013046,0.9945938971903281,0.9948739733442498,0.9999999494956368,0.9999949920198706,0.9999999999999
2500,9999793094232.0,10036114,19,200.0,9034,1069,75156987,100156604625.0,200803,37,0,8,0,376,39,312,231,474,1127,201.0,2500,9.99999000001e-07,0.9962679543119981,0.4736842105263158,0.999000999000999,0.9964970185958418,0.016001749655436298,0.0009989793514765255,9.99999000001e-07,0.998142917365394,0.0005417090922289285,0.9997965574408798,0.9993568247052205,0.9999989875179184,0.9921752260527782,0.9659315181483287,0.9945952423095981,0.9773493105552005,0.9999999493210324,0.9999949920233575,0.9999999999999
2600,9999784732826.0,9983634,22,200.0,7045,14051,75419565,100164410927.0,100471,2000,1,3,5997,216,29,28,2,2000,171,0.0,2600,9.99999000001e-07,0.996360576866036,0.4736842105263158,0.999000999000999,0.9947855537111265,0.8105500049551553,0.0009989785300481674,9.99999000001e-07,0.9972257824680549,0.002741083210915,0.9997975948911407,0.9993602918270501,0.9999989988797464,0.9911777981313431,0.952442850875496,0.994596581457779,0.9948230946951153,0.9999999523736991,0.9999949919991991,0.9999999999999
