Time,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,Lactic_created:=Cell_1,H2O::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,100000000,100000000,100000000,100000000,0,0,0,100000000000,1000,1000,1000,0,0,0,0,0,10000000,5000000,0,15000000,10000000,0,0,0,0,10000000,0,8000000,0,0,2000,2000,2000,2000,2000,2000,2000
100,24000,20000,9999990078093,293149,61877,11000,966000,1000,20000,1678364,1910000,95341042,104658958,101429158,99999636,364,224636,224636,100004619823,100477,233977,0,1146250,0,28000,0,3152800,10000000,5000000,0,18229800,9867500,132500,0,0,7000,10000000,0,8000000,0,7000,2000,2000,2000,2000,2000,2000,2000
200,22000,20000,9999970417931,10619648,10046694,25,1968000,1000,20000,3322998,3935950,91481929,108518071,101361671,99960002,39998,580952,580952,100009852164,636,12236,93000,2254300,0,128000,0,6576400,10000000,5000000,0,22156400,9896400,103600,0,0,32000,10000000,0,8000000,0,32000,2000,2000,2000,2000,2000,2000,2000
300,18000,20000,9999960981727,11095838,9988948,12010,2972000,1000,20000,4812945,5919980,87798545,112201455,101673455,99999855,145,1035035,1035035,100014561562,100741,30238,268600,3416350,0,287997,999,9830000,9999001,5000000,0,25527001,9802903,197097,0,0,72000,9999999,1,7999601,399,71999,2000,2000,2000,2000,2000,2000,2000
400,18000,20000,9999961828950,1652878,86632,30,3972000,1000,0,6376697,7943940,84324768,115675232,99308232,99999003,997,1451243,1451243,100019301374,100438,158326,149800,4528600,0,463988,2996,12886000,9997004,5000000,0,31364004,9793312,206688,0,0,116000,9999996,4,7997804,2196,115996,2000,2000,2000,2000,2000,2000,2000
500,20000,20000,9999952923321,2310716,81390,11000,4970000,1000,20000,7688587,9918000,80605837,119394163,96343363,99999913,87,2057413,2057413,100023316219,100390,223081,49600,5665600,0,687990,0,15382800,10000000,4999003,997,38049803,9828710,171290,0,1,172000,9999998,2,7999603,397,171997,2000,2000,2000,2000,2000,2000,2000
600,16000,20000,9999944387013,2917237,99045,10,5974000,1000,20000,9107594,11947980,78005230,121994770,93932770,99977806,22194,2584386,2584386,100028226056,844,25344,201000,6743550,0,1021000,0,18598000,10000000,5000000,0,43062000,9775500,224500,0,0,256000,9999000,1000,8000000,0,255000,2000,2000,2000,2000,2000,2000,2000
700,25000,20000,9999936103639,3485473,73999,8000,6965000,1000,0,10502513,13914000,76500012,123499988,90362888,99999987,13,3037487,3037487,100034129838,73268,227662,0,7663950,0,1495994,8100,22732000,9991900,4999002,998,48128002,9846606,153394,0,0,374000,9999998,2,7999002,998,373998,2000,2000,2000,2000,2000,2000,2000
800,25000,20100,9999918101919,13938216,9989326,7000,7965000,1000,0,11967005,15916000,74627335,125372665,86610465,99999895,105,3470995,3470995,100039416095,100405,41005,239000,8631750,0,1912000,0,26293200,10000000,5000000,0,53762200,9821400,178600,0,0,478000,10000000,0,8000000,0,478000,2000,2000,2000,2000,2000,2000,2000
900,20000,20000,9999910157957,14467424,9995130,8017,8970000,1000,0,13451586,17923966,73761047,126238953,82917453,99999914,86,3850380,3850380,100045760038,268,226862,24000,9499250,0,2478994,2098,30694800,9997902,5000000,0,58319402,9750406,249594,0,0,622000,9996998,3002,7999602,398,618998,2000,2000,2000,2000,2000,2000,2000
1000,24000,20000,9999902298077,14990542,10071890,12000,9966000,1000,0,14989224,19908000,72984219,127015781,79514381,99999876,124,4182776,4182776,100052141608,492,19892,189000,10361250,0,2944000,0,35151600,10000000,5000000,0,62501400,9792600,207400,0,0,736000,10000000,0,7999800,200,736000,2000,2000,2000,2000,2000,2000,2000
1100,21000,20000,9999894430646,15647273,10036629,32,10969000,1000,0,16291346,21937936,71439455,128560545,74686945,99964054,35946,4775590,4775590,100057340893,807,48107,134000,11311450,0,3480000,0,38653600,10000000,5000000,0,68873600,9820700,179300,0,1000,871000,10000000,0,8000000,0,870000,2000,2000,2000,2000,2000,2000,2000
1200,23000,20000,9999896432231,6531020,61466,9000,11967000,1000,0,17446223,23916000,70524351,129475649,71922549,99999777,223,5447777,5447777,100063036499,507,200501,0,12282600,0,4069991,98,42729200,9999902,5000000,0,72553002,9801009,198991,0,3,1022000,9994001,5999,7999802,198,1015998,2000,2000,2000,2000,2000,2000,2000
1300,18000,20000,9999878874306,17081964,9983954,10012,12972000,1000,20100,18825833,25923976,69737446,130262554,66470554,99999867,133,5907143,5907143,100068890263,449,266437,12000,13098650,0,4751987,1996,46771200,9998004,5000000,0,78790004,9726013,273987,0,3001,1191000,9999997,3,7999804,196,1187996,2000,2000,2000,2000,2000,2000,2000
1400,21000,20000,9999881145429,7825169,48597,13,13969000,1000,20000,20161251,27937974,70093872,129906128,62243228,99999849,151,6391723,6391723,100075864884,100116,353016,0,13830700,0,5540000,97,51900400,9999903,4999997,3,82662800,9748100,251900,0,0,1385000,10000000,0,7999400,600,1385000,2000,2000,2000,2000,2000,2000,2000
1500,23000,20000,9999863554014,18439122,10057950,21,14967000,1000,0,21547043,29933958,70000294,129999706,57812506,99994257,5743,6822915,6822915,100082592683,417,23817,228000,14626550,0,6250000,0,56611200,10000000,5000000,0,87187200,9749600,250400,0,0,1564000,9998000,2000,8000000,0,1562000,2000,2000,2000,2000,2000,2000,2000
1600,19000,20000,9999855780063,19225547,10087237,26,15971000,1000,20100,22775669,31941948,69995158,130004842,54132242,99972031,27969,7415279,7415279,100089220608,71592,264692,2000,15416100,0,6995000,88000,61487600,9912000,5000000,0,90784600,9805900,194100,0,0,1751000,9997000,3000,8000000,0,1748000,2000,2000,2000,2000,2000,2000,2000
1700,18000,20000,9999848135859,19901139,9999135,16000,16972000,1000,20000,23996698,33912000,69563198,130436802,49593602,99986702,13298,7990302,7990302,100095277756,99844,271844,0,16258800,0,7700000,0,65789200,10000000,5000000,0,95843200,9829000,171000,0,0,1925000,10000000,0,8000000,0,1925000,2000,2000,2000,2000,2000,2000,2000
1800,23000,20000,9999840368003,20691712,9987362,10010,17967000,1000,20000,25209465,35913980,70118995,129881005,45478705,99999835,165,8525515,8525515,100102414945,100464,109555,289800,16947500,0,8715991,97,71066400,9999903,5000000,0,99402203,9702109,297891,0,0,2179000,9999997,3,7999603,397,2178997,2000,2000,2000,2000,2000,2000,2000
1900,27000,20000,9999832410417,21583768,10035060,7,18963000,1000,20100,26362489,37925986,70803171,129196829,41227229,99985211,14789,9142497,9142497,100109910627,100573,324873,0,17614700,0,9684000,60800,76622800,9939200,5000000,0,102908800,9776700,223300,0,0,2421000,10000000,0,8000000,0,2421000,2000,2000,2000,2000,2000,2000,2000
2000,21000,20000,9999834481744,12383363,61433,11000,19969000,1000,20000,27593985,39916000,71850907,128149093,37034293,99999915,85,9629015,9629015,100117878183,417,272517,800,18216100,0,10747998,0,82484800,10000000,5000000,0,106114800,9728102,271898,0,2,2693000,9992002,7998,7999800,200,2685000,2000,2000,2000,2000,2000,2000,2000
2100,25000,20000,9999826628070,13035501,35371,12,20965000,1000,0,28917173,41929976,72949647,127050353,32133053,99987327,12673,10042803,10042803,100126040897,621,323403,200,18765550,0,11871982,62497,88555600,9937503,4995003,4997,109849806,9680018,319982,0,2000,2970000,9999994,6,7994406,5594,2967994,2000,2000,2000,2000,2000,2000,2000
2200,20000,20100,9999808434659,23873561,10015325,12,21970000,1000,20000,30081470,43939976,74246596,125753404,27362004,99999730,270,10589506,10589506,100134496974,526,267626,1400,19230350,0,13068000,46995,94878400,9953005,4999995,5,113344400,9734500,265500,0,2000,3269000,10000000,0,7999400,600,3267000,2000,2000,2000,2000,2000,2000,2000
2300,18000,20000,9999809998983,14829630,40384,13025,22972000,1000,0,31128302,45917950,75581863,124418137,24282237,99999598,402,11190648,11190648,100142798788,100318,433912,36000,19783650,0,14395994,83,101342400,9999917,4993985,6015,115129802,9631406,368594,0,0,3599000,9999998,2,7999402,598,3598998,2000,2000,2000,2000,2000,2000,2000
2400,20000,20000,9999791548561,25708790,10040632,14016,23970000,1000,20000,32233955,47911968,75080719,124919281,19826881,99990145,9855,11867013,11867013,100149662869,331,196631,0,20492600,0,15244000,0,106200400,10000000,5000000,0,120092400,9804700,195300,0,0,3811000,10000000,0,8000000,0,3811000,2000,2000,2000,2000,2000,2000,2000
2500,19000,20000,9999793094232,16692317,37611,34,24971000,1000,20100,33282063,49941932,75026281,124973719,14671319,99994837,5163,12540869,12540869,100156567125,100299,452375,0,21124000,0,16475976,112792,111391600,9887208,5000000,0,125189608,9648924,351076,0,0,4119000,9999992,8,7992008,7992,4118992,2000,2000,2000,2000,2000,2000,2000
2600,22000,20000,9999774860873,27376882,9983834,7045,25968000,1000,0,34528631,51921910,75402465,124597535,8909935,99999769,231,13013279,13013279,100164272738,100471,358262,2200,21688300,0,17519990,0,116968800,10000000,4994003,5997,130681603,9741010,258990,0,1,4380000,9999998,2,7994003,5997,4379997,2000,2000,2000,2000,2000,2000,2000
2700,23000,20000,9999766330036,28295826,10028936,4002,26967000,1000,20000,35658603,53925996,76913258,123086742,3976342,99999497,503,13523393,13523393,100173328264,445,127236,183400,22042350,0,18975991,40996,123764400,9959004,4993999,6001,134063403,9690809,309191,0,0,4744000,9999997,3,7982403,17597,4743997,2000,2000,2000,2000,2000,2000,2000
2800,23000,20000,9999757471527,29396403,9991883,12525,27967000,1000,20000,36493965,55908950,78293180,121706820,21920,99989535,10465,14292985,14292985,100182019231,101090,32069,306800,22459550,0,20475979,14093,130512400,9985907,5000000,0,136670807,9763221,236779,0,0,5122000,9995993,4007,7998207,1793,5117993,2000,2000,2000,2000,2000,2000,2000
2900,21000,20000,9999758518169,20457132,49330,10147,28969000,1000,20000,37476752,57917706,79627407,120372593,178193,99966848,33152,15011954,15011954,100190745775,157143,225,395600,23072250,0,21682979,3994,137420400,9996006,5000000,0,135190406,9762321,237679,0,3,5429000,9988997,11003,7999606,394,5417994,2000,2000,2000,2000,2000,2000,2000
3000,24000,20000,9999749338386,21629668,47990,13300,29966000,1000,20100,38323711,59905400,80982754,119017246,46,99999989,11,15810689,15810689,100199803694,309,338506,100,23649400,0,23062994,68699,144514000,9931301,5000000,0,133948501,9662706,337294,0,3,5771000,9993002,6998,7996601,3399,5763999,2000,2000,2000,2000,2000,2000,2000
3100,21000,20000,9999740240597,22471878,30758,13377,30969000,1000,0,39470113,61911246,84131521,115868479,84479,99999987,13,16257133,16257133,100211031506,132494,23994,513200,23897200,0,24708998,129600,153562400,9870400,5000000,0,130654400,9596302,403698,0,2,6184000,9991002,8998,7991200,8800,6175000,2000,2000,2000,2000,2000,2000,2000
3200,19000,20000,9999720773865,33372865,10022997,15123,31971000,1000,0,40561643,63911754,86673384,113326616,268116,99999757,243,16811111,16811111,100221953307,100499,232493,170400,24229100,0,26131994,98,162184000,9999902,5000000,0,128058402,9698606,301394,0,0,6539000,9991998,8002,7999802,198,6530998,2000,2000,2000,2000,2000,2000,2000
3300,18000,20000,9999711108102,34301891,9990133,2084,32972000,1000,0,41627987,65939832,88484825,111515175,255175,99999913,87,17406845,17406845,100232289339,100361,64561,321000,24589150,0,27595998,0,170338000,10000000,5000000,0,126260000,9715802,284198,0,2,6905000,9992002,7998,8000000,0,6897000,2000,2000,2000,2000,2000,2000,2000
3400,22000,20000,9999701426247,35119762,9988130,13164,33968000,1000,0,42777970,67909672,88828181,111171819,69919,99999930,70,17909702,17909702,100241389601,326,42299,356000,25118250,0,28866972,92891,177350400,9907109,5000000,0,126009009,9603028,396972,0,1,7222000,9992992,7008,7998609,1391,7214991,2000,2000,2000,2000,2000,2000,2000
3500,22000,20000,9999691507085,36058095,9993119,13814,34968000,1000,20200,43843348,69908372,90689652,109310348,90148,99999952,48,18460024,18460024,100252156172,428,372828,4700,25411300,0,30380000,162497,185883600,9837503,4999997,3,124057700,9633900,366100,0,10000,7605000,10000000,0,7999800,200,7595000,2000,2000,2000,2000,2000,2000,2000
3600,21000,20000,9999681415942,36973629,9967111,3038,35969000,1000,20100,44925153,71931924,92699295,107300705,140305,99999747,253,19011771,19011771,100263033336,364,89164,273000,25672850,0,31980000,800,194483600,9999200,5000000,0,122159600,9639200,360800,0,0,7995000,10000000,0,8000000,0,7995000,2000,2000,2000,2000,2000,2000,2000
3700,21000,20000,9999680892918,28129428,59072,752,36969000,1000,0,45848170,73936496,94688842,105311158,447958,99982030,17970,19630326,19630326,100274038145,141255,255,539800,25901800,0,33768000,0,203388000,10000000,5000000,0,119863200,9618200,381800,0,16000,8458000,10000000,0,8000000,0,8442000,2000,2000,2000,2000,2000,2000,2000
3800,19000,20000,9999670427793,28987999,25573,15817,37971000,1000,20000,46947720,75910366,97106058,102893942,203242,99999780,220,20045646,20045646,100286403943,305,385957,81200,25948500,0,35667950,208284,213171200,9791716,5000000,0,117482416,9534150,465850,0,2,8917000,9999986,14,7999416,584,8916984,2000,2000,2000,2000,2000,2000,2000
3900,19000,20000,9999649609293,40019241,10020073,10709,38971000,1000,0,47920957,77920582,98877616,101122384,164284,99999543,457,20614625,20614625,100297786042,158,504458,0,26132700,0,37485996,170100,222231600,9829900,5000000,0,115788000,9496704,503296,0,4,9385000,9982004,17996,7999400,600,9367000,2000,2000,2000,2000,2000,2000,2000
4000,20000,20100,9999648795715,30890987,24577,15177,39970000,1000,19900,49043168,79909646,100095148,99904852,375052,99999932,68,21091478,21091478,100308711406,49094,3494,479000,26331650,0,39066998,0,230834800,10000000,5000000,0,114529800,9567602,432398,0,2,9775000,9989002,10998,8000000,0,9764000,2000,2000,2000,2000,2000,2000,2000
4100,24000,20000,9999637803339,31792630,23610,15466,40966000,1000,0,50125674,81901068,102105637,97894363,63,99993626,6374,21544394,21544394,100320921001,326,192599,193500,26400150,0,40923973,15991,240493600,9984009,5000000,0,112878309,9615227,384773,0,0,10231000,9999991,9,7999209,791,10230991,2000,2000,2000,2000,2000,2000,2000
4200,21000,20000,9999616592682,42762791,9982685,1505,41969000,1000,0,51146442,83934990,102833663,97166337,481937,99991558,8442,22125548,22125548,100331749859,568,443941,1000,26652200,0,42603973,85600,249086800,9914400,4991009,8991,111589809,9568627,431373,0,12000,10663000,9999991,9,7991009,8991,10650991,2000,2000,2000,2000,2000,2000,2000
4300,21000,20000,9999605264619,43735930,10036138,16859,42969000,1000,20000,52163395,85904282,104392331,95607669,63369,99958905,41095,22618887,22618887,100343536064,100836,202836,225800,26676650,0,44488000,9700,258475200,9990300,5000000,0,110534600,9673200,326800,0,0,11122000,10000000,0,7999200,800,11122000,2000,2000,2000,2000,2000,2000,2000
4400,24000,20000,9999603716629,34823511,36351,45824,43966000,1000,0,53053146,87840352,105117692,94882308,8,99999954,46,23165206,23165206,100354512839,346257,100361,696300,26808200,0,46487902,205168,267420400,9794832,5000000,0,109677132,9550598,449402,0,2,11622000,9999970,30,7968032,31968,11621968,2000,2000,2000,2000,2000,2000,2000
4500,20000,20000,9999592212958,35673647,36111,2453,44970000,1000,0,54297529,89935094,107607999,92392001,260101,99999971,29,23527565,23527565,100367893970,99851,521530,82800,26753200,0,48399979,92893,277879200,9907107,5000000,0,107039007,9506521,493479,0,10000,12110000,9999993,7,7999607,393,12099993,2000,2000,2000,2000,2000,2000,2000
4600,17000,20000,9999580236707,36880761,17191,10698,45973000,1000,20000,55060917,91924604,108045072,91954928,342928,99999883,117,24275687,24275687,100378768107,137893,4693,578000,26879500,0,50328000,9000,286530000,9991000,5000000,0,106603000,9562200,437800,0,6000,12588000,10000000,0,8000000,0,12582000,2000,2000,2000,2000,2000,2000,2000
4700,21000,20000,9999558406321,47918316,9969816,6700,46969000,1000,0,55969600,93924600,108049837,91950163,63,99993500,6500,24926000,24926000,100389566379,101333,495421,3300,27110150,0,52075987,136400,295024000,9863600,4994004,5996,106807704,9613613,386387,0,10001,13029000,9999997,3,7999004,996,13018996,2000,2000,2000,2000,2000,2000,2000
4800,19000,20000,9999556389151,39080601,12003,3126,47971000,1000,0,56866225,95935748,109010400,90989600,109300,99999075,925,25520523,25520523,100401013143,100675,56357,613400,27165100,0,54195981,95,304170000,9999905,4986001,13999,105866206,9431919,568081,0,1,13549000,9999995,5,7998606,1394,13548994,2000,2000,2000,2000,2000,2000,2000
4900,26000,20000,9999544324314,40167543,33817,7657,48964000,1000,20000,57778930,97912686,110335043,89664957,123257,99999970,30,26089756,26089756,100413434391,100309,520709,600,27146650,0,56148999,56499,314052000,9943501,4999999,1,104485200,9580001,419999,0,1,14044000,9991001,8999,7999800,200,14035000,2000,2000,2000,2000,2000,2000,2000
5000,20000,20000,9999522165300,51325434,9997418,3657,49970000,1000,0,58604535,99932686,110728620,89271380,110480,99999865,135,26794151,26794151,100424636550,550,105550,338700,27277150,0,58136000,1200,322872400,9998800,5000000,0,104159700,9557300,442700,0,0,14534000,10000000,0,8000000,0,14534000,2000,2000,2000,2000,2000,2000,2000
5100,17000,20000,9999509884545,52472030,9964156,13285,50973000,1000,20000,59411528,101919430,111719705,88280295,288595,99999972,28,27466902,27466902,100436712000,309,215100,111400,27274250,0,60163991,97,332502800,9999903,5000000,0,102991603,9674809,325191,0,0,15041000,9999997,3,7999203,797,15040997,2000,2000,2000,2000,2000,2000,2000
5200,19000,20000,9999507586426,43563481,18749,1554,51971000,1000,0,60358830,103938892,112317399,87682601,429801,99964670,35330,28032062,28032062,100448251550,160850,36750,457200,27332600,0,62176999,0,341785600,10000000,5000000,0,102252800,9667901,332099,0,1,15548000,9995001,4999,7995400,4600,15543000,2000,2000,2000,2000,2000,2000,2000
5300,21000,20000,9999485229542,54676591,9996855,22504,52969000,1000,20000,61213128,105892992,113721725,86278275,114175,99999872,128,28558864,28558864,100461050494,100906,561606,1500,27201100,0,64484000,134000,352035600,9866000,5000000,0,101030100,9538800,461200,0,0,16121000,10000000,0,8000000,0,16121000,2000,2000,2000,2000,2000,2000,2000
5400,20000,20000,9999482805183,45727549,36643,9531,53970000,1000,0,62223666,107920938,114978770,85021230,221730,99993634,6366,29043272,29043272,100473563473,100781,214227,374000,27145000,0,66615944,86,361995200,9999914,4976004,23996,99775418,9513556,486444,0,2,16654000,9999984,16,7975218,24782,16653982,2000,2000,2000,2000,2000,2000,2000
5500,19000,20000,9999470280196,46801409,29975,1132,54971000,1000,20100,63168001,109939736,114490341,85509659,441859,99999699,301,29682735,29682735,100484473429,176271,588071,2800,27296050,0,68356000,148000,370628000,9852000,5000000,0,99919800,9586400,413600,0,0,17089000,10000000,0,7999600,400,17089000,2000,2000,2000,2000,2000,2000,2000
5600,25000,20000,9999447527310,58040176,10051974,1782,55965000,1000,0,63902667,111926436,116004822,83995178,392878,99964433,35567,30315769,30315769,100497367227,615,519073,9400,27172600,0,70831957,93,380916000,9999907,4987007,12993,98589214,9473143,526857,0,1,17708000,9999987,13,7986614,13386,17707986,2000,2000,2000,2000,2000,2000,2000
5700,14000,20000,9999444493734,49372564,714,2789,56976000,1000,0,64555236,113946422,118032920,81967080,135880,99980664,19336,31034186,31034186,100511028476,232439,702424,3000,26862750,0,73427984,162193,392136400,9837807,4988998,11002,96658005,9528016,471984,0,1,18357000,9999996,4,7988605,11395,18356995,2000,2000,2000,2000,2000,2000,2000
5800,23000,20100,9999421753068,60223731,9967975,454,57967000,1000,19900,65670418,115933092,119785191,80214809,1651909,99993082,6918,31355674,31355674,100525006435,100486,373665,207800,26641850,0,75607979,142293,403215600,9857707,5000000,0,93420607,9525021,474979,0,5000,18907000,9999993,7,7990807,9193,18901993,2000,2000,2000,2000,2000,2000,2000
5900,18000,20000,9999418529119,51442021,15903,308,58972000,1000,20000,66495283,117943384,120709324,79290676,1414876,99978017,21983,31917101,31917101,100537836875,100473,22625,713800,26434550,0,78123952,134592,413518400,9865408,4980008,19992,92721216,9365048,634952,0,0,19531000,9999984,16,7986616,13384,19530984,2000,2000,2000,2000,2000,2000,2000
6000,23000,20000,9999405137391,52662675,22749,340,59967000,1000,20000,67266047,119933320,121890586,78109414,1336214,99972653,27347,32597273,32597273,100551264467,100833,373433,0,26246450,0,80280000,0,424187200,10000000,5000000,0,91773200,9728400,271600,0,0,20070000,10000000,0,8000000,0,20070000,2000,2000,2000,2000,2000,2000,2000
6100,22000,20000,9999391649374,53974531,39507,333,60968000,1000,0,67976305,121935334,122205639,77794361,1566161,99975995,24005,33265029,33265029,100563485166,130534,56334,545000,26137850,0,82776000,0,434052400,10000000,5000000,0,91228200,9530200,469800,0,0,20694000,10000000,0,7997800,2200,20694000,2000,2000,2000,2000,2000,2000,2000
6200,19000,20000,9999368362652,65022303,10026345,530,61971000,1000,20000,68922341,123940940,123011695,76988305,846505,99977359,22641,33738599,33738599,100576773524,376,473976,0,25912450,0,85080999,0,444518800,10000000,5000000,0,91141800,9527401,472599,0,1,21280000,9987001,12999,8000000,0,21267000,2000,2000,2000,2000,2000,2000,2000
6300,21000,20000,9999364679417,56388584,25960,12063,62969000,1000,0,69551175,125913874,124062275,75937725,345525,99999925,75,34428699,34428699,100590209674,326,447026,1200,25640000,0,87684997,56600,455320000,9943400,5000000,0,90535600,9553103,446897,0,3,21934000,9983003,16997,7999800,200,21917000,2000,2000,2000,2000,2000,2000,2000
6400,18000,20000,9999341267866,67430048,10041738,8561,63972000,1000,0,70505384,127926878,123303992,76696008,206008,99966816,33184,34969494,34969494,100601721252,182048,682548,2800,25619650,0,89808000,250378,464577600,9749622,4999978,22,91239600,9497700,502300,0,0,22452000,10000000,0,7998800,1200,22452000,2000,2000,2000,2000,2000,2000,2000
6500,26000,20000,9999337674091,58635295,25635,3035,64964000,1000,20000,71311985,129921930,124683516,75316484,50084,99999715,285,35503945,35503945,100615493969,255,608531,0,25308300,0,92347976,25592,475490800,9974408,5000000,0,90240808,9411724,588276,0,19000,23106000,9999992,8,7999008,992,23086992,2000,2000,2000,2000,2000,2000,2000
6600,21000,20000,9999313967285,69842068,10043600,10266,65969000,1000,0,72094400,131917468,125003421,74996579,377979,99975400,24600,36144068,36144068,100628367237,263,40163,398800,25151050,0,94637999,0,485719600,10000000,5000000,0,89618600,9574301,425699,0,12001,23679000,9990001,9999,7999800,200,23657000,2000,2000,2000,2000,2000,2000,2000
6700,16000,20000,9999300265338,71046275,10001797,14123,66974000,1000,0,72873538,133919754,125148267,74851733,1947833,99998262,1738,36794216,36794216,100640893279,100942,57721,577800,25050700,0,96987978,145693,495915600,9854307,5000000,0,87758207,9471422,528578,0,5001,24252000,9999994,6,7988407,11593,24246993,2000,2000,2000,2000,2000,2000,2000
6800,21000,20000,9999286367379,72353087,9961253,399,67969000,1000,0,73545234,135937202,126458368,73541632,967332,99999866,134,37472968,37472968,100654685736,100664,599564,0,24706700,0,99648999,18100,507008800,9981900,5000000,0,87556200,9502101,497899,0,1,24919000,9991001,8999,7981400,18600,24910000,2000,2000,2000,2000,2000,2000,2000
6900,19000,20000,9999272434769,73613224,10004674,3705,68971000,1000,20000,74323020,137934590,126847083,73152917,272017,99996980,3020,38064570,38064570,100667750522,100778,178278,451800,24403150,0,102188000,94,517417600,9999906,4999994,6,87880800,9471700,528300,0,0,25547000,10000000,0,8000000,0,25547000,2000,2000,2000,2000,2000,2000,2000
7000,19000,20000,9999258662602,74678000,9988368,14006,69971000,1000,20000,75221928,139913988,127009690,72990310,1440010,99997572,2428,38577060,38577060,100680691498,196820,109402,567000,24249350,0,104423982,74894,527824000,9925106,5000000,0,86475406,9530418,469582,0,9000,26115000,9999994,6,7986406,13594,26105994,2000,2000,2000,2000,2000,2000,2000
7100,24000,20000,9999244666976,75958223,10013133,239,70966000,1000,0,75986366,141931522,127715021,72284979,1973079,99999934,66,39211156,39211156,100694174467,154,21633,501600,24034400,0,106935979,93,538524400,9999907,5000000,0,85311807,9477921,522079,0,0,26734000,9999993,7,7983007,16993,26733993,2000,2000,2000,2000,2000,2000,2000
7200,23000,20000,9999230753966,77084350,9978882,4317,71967000,1000,0,76819849,143925366,128074782,71925218,1652718,99999951,49,39778517,39778517,100707427851,100849,514349,800,23789750,0,109286997,56100,549147200,9943900,5000000,0,85216400,9586703,413297,0,3,27327000,9993003,6997,8000000,0,27320000,2000,2000,2000,2000,2000,2000,2000
7300,20000,20100,9999226466861,68499028,40754,333,72970000,1000,0,77460780,145939334,130396223,69603777,1195977,99979720,20280,40361554,40361554,100722581125,100665,298175,408800,23192050,0,112467904,0,561496000,10000000,4978030,21970,83385830,9394696,605304,0,6,28117000,9999976,24,7998630,1370,28116970,2000,2000,2000,2000,2000,2000,2000
7400,23000,20100,9999212082398,69713443,48869,1402,73967000,1000,0,78223611,147931196,132239637,67760363,502963,99956989,43011,40873585,40873585,100738004118,147194,60282,526800,22587350,0,115335988,119600,573907200,9880400,4991004,8996,82128804,9561112,438888,0,0,28834000,9999996,4,7999404,596,28833996,2000,2000,2000,2000,2000,2000,2000
7500,17000,20000,9999187697617,80928165,10001893,10562,74973000,1000,0,78997652,149924876,131392058,68607942,922542,99999048,952,41528224,41528224,100750357946,554,474554,3200,22502750,0,117596000,97600,583640000,9902400,5000000,0,82587800,9523800,476200,0,0,29399000,10000000,0,8000000,0,29399000,2000,2000,2000,2000,2000,2000,2000
7600,21000,20000,9999183259377,72180374,21670,7591,75969000,1000,0,79764007,151922818,131391369,68608631,1067831,99999893,107,42124811,42124811,100763480484,285,522216,1600,22250550,0,120135926,45995,594162800,9954005,4978018,21982,82472823,9477474,522526,0,5,30034000,9999982,18,7973623,26377,30033977,2000,2000,2000,2000,2000,2000,2000
7700,20000,20000,9999159044763,83263214,10035646,2386,76970000,1000,0,80673830,153935228,131702705,68297295,45995,99966170,33830,42581398,42581398,100776869348,100312,430852,233400,21895500,0,122719940,80,604879600,9999920,5000000,0,83251220,9437060,562940,0,0,30680000,9999980,20,7972020,27980,30679980,2000,2000,2000,2000,2000,2000,2000
7800,16000,20000,9999144620805,84585248,10027006,801,77974000,1000,20000,81359728,155946398,130789451,69210549,701549,99971572,28428,43348670,43348670,100788998930,119291,370,547000,21778400,0,124951979,0,614508000,10000000,4991007,8993,83500007,9572921,427079,0,0,31238000,9999993,7,7991007,8993,31237993,2000,2000,2000,2000,2000,2000,2000
