Name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
H2O,10000000000000,10000000000000,9999999999811,9999999999954,10000000000239,10000000000530,10000000000332,10000000000358,10000000000471,10000000000196,10000000000175,10000000000250,10000000000249,10000000000003,9999999999432,9999999999530,9999999999419,9999999999481,9999999999501,9999999999972,9999999999590,9999999999202,9999999998886,9999999999167,9999999999650,10000000000730,10000000000322,9999999999652,9999999998977,9999999998919,9999999999693,9999999999625,10000000000068,10000000000393,10000000001021,10000000000792,10000000000507,10000000000183,10000000000353,10000000000561,9999999999337,10000000000025,10000000000094,10000000000109,10000000000697,9999999999923,10000000000394,10000000000888,10000000001301,10000000001298,10000000001121,10000000000880,9999999999931,9999999999804,9999999999257,9999999999119,9999999999171,9999999999409,9999999999398,9999999999403,9999999999350,9999999999494,9999999999305,9999999999568,9999999999968,10000000000330,10000000000739,10000000000255,10000000000364,10000000000001,9999999999983,9999999999428,9999999999543,9999999999633,10000000000206,10000000000115,10000000000564,10000000000837,10000000000523,10000000000431,10000000000161,10000000000007,9999999999757,9999999999499,9999999999729,10000000000224,9999999999742,9999999999832,9999999999792,10000000000189,10000000000794,10000000000451,10000000000045,9999999999407,9999999999776,9999999999172,9999999999192,9999999999608,10000000000351,9999999999997,10000000000614
OH-,1000000,1000000,1000189,1000046,999761,999470,999668,999642,999529,999804,999825,999750,999751,999997,1000568,1000470,1000581,1000519,1000499,1000028,1000410,1000798,1001114,1000833,1000350,999270,999678,1000348,1001023,1001081,1000307,1000375,999932,999607,998979,999208,999493,999817,999647,999439,1000663,999975,999906,999891,999303,1000077,999606,999112,998699,998702,998879,999120,1000069,1000196,1000743,1000881,1000829,1000591,1000602,1000597,1000650,1000506,1000695,1000432,1000032,999670,999261,999745,999636,999999,1000017,1000572,1000457,1000367,999794,999885,999436,999163,999477,999569,999839,999993,1000243,1000501,1000271,999776,1000258,1000168,1000208,999811,999206,999549,999955,1000593,1000224,1000828,1000808,1000392,999649,1000003,999386
H+,1000000,1000000,1000189,1000046,999761,999470,999668,999642,999529,999804,999825,999750,999751,999997,1000568,1000470,1000581,1000519,1000499,1000028,1000410,1000798,1001114,1000833,1000350,999270,999678,1000348,1001023,1001081,1000307,1000375,999932,999607,998979,999208,999493,999817,999647,999439,1000663,999975,999906,999891,999303,1000077,999606,999112,998699,998702,998879,999120,1000069,1000196,1000743,1000881,1000829,1000591,1000602,1000597,1000650,1000506,1000695,1000432,1000032,999670,999261,999745,999636,999999,1000017,1000572,1000457,1000367,999794,999885,999436,999163,999477,999569,999839,999993,1000243,1000501,1000271,999776,1000258,1000168,1000208,999811,999206,999549,999955,1000593,1000224,1000828,1000808,1000392,999649,1000003,999386
glucose,0,10000,738100,1244400,1648800,2002200,2324300,2606600,2879200,3129400,3364900,3588800,3796500,3994400,4191800,4377000,4566400,4742600,4913500,5079400,5240700,5403700,5557600,5717800,5869100,6011300,6154800,6293700,6429000,6564300,6696800,6819800,6947700,7073600,7199000,7314900,7431600,7550400,7671200,7790800,7903600,8012500,8121300,8225300,8333200,8439800,8542700,8643500,8753700,8853600,8958500,9054200,9148900,9246600,9348100,9446600,9540200,9630900,9725000,9817600,9908700,10000600,10089600,10183500,10271100,10358700,10449800,10533400,10619200,10705100,10792100,10877600,10960200,11044700,11126000,11208500,11289500,11373200,11449900,11532100,11612300,11688900,11769500,11845800,11923600,12001300,12079600,12154200,12230600,12306100,12379100,12452700,12525100,12600200,12672900,12747600,12819800,12891300,12968100,13038000,13108500
O2,0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
H2O:=Cell_1,10000000000000,9999999900893,9999980389672,9999981738927,9999963852099,9999956620294,9999949982424,9999943855726,9999938263819,9999933005058,9999938025184,9999933467846,9999929178448,9999915167822,9999911455935,9999907792925,9999904476825,9999901160088,9999897920457,9999894448570,9999890811139,9999887509029,9999894322984,9999881280072,9999888156831,9999885005364,9999871684360,9999878783607,9999875645642,9999872942137,9999860103943,9999857197340,9999854295202,9999851682719,9999858747706,9999846288794,9999853484420,9999840712724,9999847879753,9999835286164,9999832384813,9999839825500,9999837256637,9999824387075,9999821648973,9999828889647,9999816390814,9999823747818,9999820782891,9999808123461,9999815455900,9999802718306,9999810146720,9999797446590,9999804845991,9999802257383,9999789403597,9999796904102,9999784116768,9999791761328,9999779144304,9999776270853,9999783320432,9999770764060,9999768027074,9999765300827,9999772771880,9999769931779,9999757217127,9999764884852,9999752268887,9999749563010,9999746630445,9999743897060,9999751275106,9999738785267,9999745967953,9999743149301,9999740406177,9999737965332,9999735383635,9999732603423,9999719907376,9999727283100,9999714250849,9999711627201,9999708794529,9999715990433,9999713343852,9999700905903,9999698471441,9999696012466,9999703336784,9999690797853,9999687870906,9999695696575,9999683263800,9999690490171,9999677603640,9999684604321,9999671734298
OH-:=Cell_1,100000,99388,10097098,95911,10085291,10088159,10077511,10078370,10000165,10002043,88295,80532,90755,10085539,10007883,10092166,10011347,10096746,10250464,10768951,11564473,12131114,2676628,13164703,3809626,4547352,15510282,6106953,6988996,7483469,18150037,18918358,19712179,20245869,11126076,21552461,12341257,23116956,13970049,24602589,25556948,16174854,16811400,27754121,28574946,19422097,30016113,20758127,21823872,32587599,23362741,34210660,24894891,35711667,26432887,27143030,38116617,28743088,39658066,30138863,40880754,41879336,32954639,43639460,44505204,45358655,36016611,36985568,47831083,38289600,49031910,49861212,50919611,51779812,42527751,53145571,44087744,45031809,45900238,46471143,47179683,48086125,58908094,49656716,60812170,61563095,62524402,53456697,54231015,64798764,65363378,65949104,56750538,67413690,68463733,58757984,69306819,60193812,71188172,62293119,73268283
H+:=Cell_1,100000,99388,10359598,850041,11391125,11947695,12382937,12699474,12715963,12654125,2591015,2376414,2040497,11679567,11303769,10921688,10567585,10285024,10107950,10017131,10091739,10004672,88564,10004789,84024,75964,10018104,62009,62346,72651,10050381,10011102,10050319,10000201,47248,10028381,61605,10004246,66833,9997711,10020898,38176,36938,10011525,9994618,44547,10034403,38145,47914,9979899,29899,10028112,39485,10009553,43073,26736,10027521,51700,10016422,36531,10022788,10040480,37587,9994404,9975322,10000149,35883,34886,9996689,20588,10016608,9992268,10002151,10010008,32007,10004931,18484,18173,32442,23573,29813,37439,10001596,16556,9987476,9998877,10026648,40201,15545,10009734,9986950,10022622,40238,9992352,9994913,35190,10012263,29720,9964136,29481,10017491
glucose:=Cell_1,0,0,2443,1548,3537,1688,3741,4736,1531,1603,4919,5476,2997,5780,5648,4947,3149,5025,2256,2586,6026,5082,2710,3761,5205,6829,2957,3289,5493,6060,5089,4293,3506,3175,6271,4317,3508,5628,6363,6807,4238,3829,5864,4074,4517,3181,6193,5981,5597,4116,6931,7159,3523,6206,7367,6240,6009,3600,4200,4044,7502,4923,4683,6693,7135,7211,7661,5970,7156,6042,4564,5984,6263,3423,6589,5939,6346,7168,4531,6274,7697,7267,6762,6777,3477,4622,2971,4119,3424,7349,3702,5035,4758,7517,3210,3502,4799,5280,3661,6619,6189
glucose_channel:=Cell_1,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
glucose_in:=Cell_1,0,0,133900,382300,676100,999200,1339600,1696900,2060400,2433700,2816700,3206700,3604800,4007600,4407500,4815000,5218900,5630500,6047100,6466500,6883100,7304500,7725000,8141900,8567600,8996500,9428700,9862100,10292300,10724900,11158000,11596500,12032400,12472200,12910100,13351600,13793500,14235700,14675100,15118700,15563000,16011500,16459100,16908900,17354300,17799400,18248800,18697600,19141900,19594500,20043500,20497600,20948900,21399200,21850000,22297000,22749900,23203100,23657600,24111000,24568400,25024100,25481200,25933000,26387700,26847900,27303500,27759900,28216300,28675300,29131300,29585500,30043700,30497100,30956300,31416300,31876600,32332700,32793800,33254100,33715100,34175700,34636500,35097200,35558800,36019600,36480000,36942600,37404100,37864500,38327500,38791500,39255300,39718800,40180600,40643400,41108400,41574400,42037600,42502400,42967400
