Time,H2O,OH-,H+,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_channel:=Cell_1,glucose_in:=Cell_1,O2:=Cell_1,O2_in:=Cell_1,Pyruvate:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,Pi-:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,H2O:=Cell_2,OH-:=Cell_2,H+:=Cell_2,glucose:=Cell_2,glucose_channel:=Cell_2,glucose_in:=Cell_2,O2:=Cell_2,O2_in:=Cell_2,Pyruvate:=Cell_2,Pyruvate-:=Cell_2,Pyruvate_created:=Cell_2,ATP:=Cell_2,ADP:=Cell_2,Pi:=Cell_2,Pi-:=Cell_2,NAD+:=Cell_2,NADH:=Cell_2,Lactic:=Cell_2,H2O::Cell_1::Mito_1,OH-::Cell_1::Mito_1,H+::Cell_1::Mito_1,O2::Cell_1::Mito_1,O2_in::Cell_1::Mito_1,CO2::Cell_1::Mito_1,ATP::Cell_1::Mito_1,ATP_created::Cell_1::Mito_1,ADP::Cell_1::Mito_1,Pi::Cell_1::Mito_1,NAD+::Cell_1::Mito_1,NADH::Cell_1::Mito_1,NADH_created::Cell_1::Mito_1,Pyruvate::Cell_1::Mito_1,Pyruvate_trans::Cell_1::Mito_1,Pyruvate-::Cell_1::Mito_1,Pyruvate-_in::Cell_1::Mito_1,CoA-SH::Cell_1::Mito_1,Acetyl_CoA::Cell_1::Mito_1,FAD::Cell_1::Mito_1,GDP::Cell_1::Mito_1,GTP::Cell_1::Mito_1,FADH2::Cell_1::Mito_1,FADH2_created::Cell_1::Mito_1,ADP_ATP_trans::Cell_1::Mito_1,NADH_shuttle::Cell_1::Mito_1,Pi_trans::Cell_1::Mito_1,H2O::Cell_1::Mito_2,OH-::Cell_1::Mito_2,H+::Cell_1::Mito_2,O2::Cell_1::Mito_2,O2_in::Cell_1::Mito_2,CO2::Cell_1::Mito_2,ATP::Cell_1::Mito_2,ATP_created::Cell_1::Mito_2,ADP::Cell_1::Mito_2,Pi::Cell_1::Mito_2,NAD+::Cell_1::Mito_2,NADH::Cell_1::Mito_2,NADH_created::Cell_1::Mito_2,Pyruvate::Cell_1::Mito_2,Pyruvate_trans::Cell_1::Mito_2,Pyruvate-::Cell_1::Mito_2,Pyruvate-_in::Cell_1::Mito_2,CoA-SH::Cell_1::Mito_2,Acetyl_CoA::Cell_1::Mito_2,FAD::Cell_1::Mito_2,GDP::Cell_1::Mito_2,GTP::Cell_1::Mito_2,FADH2::Cell_1::Mito_2,FADH2_created::Cell_1::Mito_2,ADP_ATP_trans::Cell_1::Mito_2,NADH_shuttle::Cell_1::Mito_2,Pi_trans::Cell_1::Mito_2,H2O::Cell_1::Mito_3,OH-::Cell_1::Mito_3,H+::Cell_1::Mito_3,O2::Cell_1::Mito_3,O2_in::Cell_1::Mito_3,CO2::Cell_1::Mito_3,ATP::Cell_1::Mito_3,ATP_created::Cell_1::Mito_3,ADP::Cell_1::Mito_3,Pi::Cell_1::Mito_3,NAD+::Cell_1::Mito_3,NADH::Cell_1::Mito_3,NADH_created::Cell_1::Mito_3,Pyruvate::Cell_1::Mito_3,Pyruvate_trans::Cell_1::Mito_3,Pyruvate-::Cell_1::Mito_3,Pyruvate-_in::Cell_1::Mito_3,CoA-SH::Cell_1::Mito_3,Acetyl_CoA::Cell_1::Mito_3,FAD::Cell_1::Mito_3,GDP::Cell_1::Mito_3,GTP::Cell_1::Mito_3,FADH2::Cell_1::Mito_3,FADH2_created::Cell_1::Mito_3,ADP_ATP_trans::Cell_1::Mito_3,NADH_shuttle::Cell_1::Mito_3,Pi_trans::Cell_1::Mito_3
0,10000000000000,1000000,1000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,10000000000000,100000,100000,0,50,0,0,0,0,0,0,100000000,100000000,100000000,0,10000000,0,0,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,100000000000,1000,1000,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000
100,10000000000000,1000000,1000000,10000,20000,9999999900893,99388,99388,0,50,0,0,0,0,0,0,99900281,100099719,100099719,0,10000000,0,0,9999999900950,99139,99139,0,50,0,0,0,0,0,0,99900089,100099911,100099911,0,10000000,0,0,100000000018,982,982,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,99999999982,1018,1018,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,99999900560,100440,100440,0,0,0,0,0,10000000,10000000,10000000,0,0,0,50,0,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000
200,9999999999811,1000189,1000189,738100,20000,9999980389672,10097098,10359598,2443,50,133900,0,1060100,0,261457,262914,90669284,109330716,109350316,0,9999993,7,207,9999980390765,10096123,10365879,2561,50,138000,939900,939900,0,270317,270878,90657766,109342234,109342234,0,9729683,270317,561,100000000375,1371,1011,299148,0,1560,28,6528,9999972,9993470,9999960,40,0,0,50,0,390,10000000,0,9999994,9999998,2,6,390,2000,2000,2000,99999901272,100384,100117,318696,0,1573,56,6256,9999944,9993744,9938367,61633,0,0,50,1,410,9999979,21,9999980,10000000,0,20,388,2000,2000,2000,100000000458,1360,1002,438734,0,1752,274,7174,9999726,9992800,9799958,200042,0,0,50,3,450,9999988,12,9999987,9999974,26,13,435,2000,2000,2000
300,9999999999954,1000046,1000046,1244400,20000,9999981738927,95911,850041,1548,50,382300,0,2119600,0,749267,761504,82636242,117363758,117503658,0,9390983,609017,3687,9999981748728,91844,838444,850,50,383300,1880400,1880400,0,755750,764900,82505472,117494528,117494528,0,9244250,755750,9150,99999902773,103658,101022,651746,0,10954,206,46206,9999794,9953779,9999936,64,0,0,50,5,2790,9999938,62,9999995,9999985,15,5,2723,2000,2000,2000,99999903596,103124,100350,711076,0,11766,636,49436,9999364,9950564,9859374,140626,0,0,50,30,3000,9999962,38,9999976,10000000,0,24,2932,2000,2000,2000,100000002828,3576,924,731794,0,10858,834,45934,9999166,9954066,9999952,48,0,0,50,8,2760,9999950,50,10000000,10000000,0,0,2702,2000,2000,2000
400,10000000000239,999761,999761,1648800,20000,9999963852099,10085291,11391125,3537,50,676100,0,2960900,0,1303260,1345126,75549616,124450384,124817484,0,9295720,704280,19646,9999973871054,94057,1372457,4595,50,685100,3039100,3039100,0,1319705,1361010,75226121,124773879,124773879,0,8680295,1319705,41305,100000007346,8047,936,879236,0,28829,396,122196,9999604,9877787,9800111,199889,0,0,50,95,7360,9999923,77,10000000,9999983,17,0,7188,2000,2000,2000,100000007456,8356,986,1097676,0,29670,2436,125936,9997564,9874064,9800270,199730,0,0,50,107,7550,9999966,34,9999999,10000000,0,1,7409,2000,2000,2000,100000007401,7911,882,918606,0,28961,566,122366,9999434,9877634,9799929,200071,0,0,50,6,7310,9999915,85,9999979,10000000,0,21,7219,2000,2000,2000
500,10000000000530,999470,999470,2002200,20000,9999956620294,10088159,11947695,1688,50,999200,0,3900600,0,1884380,1995024,69319177,130680823,131396523,0,8714520,1285480,67744,9999956774715,10003512,11755758,4294,50,1008600,4099400,4099400,0,1880429,2008612,68686839,131313161,131313161,0,8119571,1880429,128183,99999914527,113988,100589,1099158,0,56171,38,236538,9999962,9763359,9799799,200201,0,0,50,93,14210,9999901,99,9999896,9999897,103,104,14018,2000,2000,2000,100000014816,14463,650,1377208,0,57507,88,242488,9999912,9757433,9799513,200487,0,0,50,21,14490,9999877,123,9999918,9999921,79,82,14346,2000,2000,2000,99999914667,114075,100507,1297898,0,56102,78,236878,9999922,9763080,9799668,200332,0,0,50,26,14200,9999802,198,9999958,9999958,42,42,13976,2000,2000,2000
600,10000000000332,999668,999668,2324300,20000,9999949982424,10077511,12382937,3741,50,1339600,0,4920500,0,2419292,2671718,63788853,136211147,137368347,0,8178428,1821572,183146,9999950125398,10088229,12205019,4651,50,1346100,5079500,5079500,0,2399844,2682898,62796525,137203475,137203475,0,7600156,2399844,283054,99999924197,122435,99879,1372452,0,91524,2472,387872,9997528,9612128,9800256,199744,0,0,50,24,23100,9999740,260,10000000,10000000,0,0,22816,2000,2000,2000,99999923260,122967,100963,1710702,0,92826,22,390422,9999978,9609423,9799304,200696,0,0,50,37,23320,9999898,102,9999785,9999845,155,215,23181,2000,2000,2000,99999924787,121480,99098,1632176,0,90658,2936,384336,9997064,9615613,9800382,199618,0,0,50,26,22860,9999774,226,10000000,9999949,51,0,22608,2000,2000,2000
700,10000000000358,999642,999642,2606600,20000,9999943855726,10078370,12699474,4736,50,1696900,0,5920500,0,2901786,3384328,58912324,141087676,142781576,0,7696384,2303616,381612,9999954122910,80772,2403872,4933,50,1706500,6079500,6079500,0,2863117,3403134,57506816,142493184,142493184,0,7136883,2863117,540017,99999933163,133741,101292,1641052,0,134131,72,566372,9999928,9433628,9799449,200551,0,0,50,153,33790,9999861,139,9999818,10000000,0,182,33498,2000,2000,2000,100000033706,33806,812,1979430,0,133956,2030,567630,9997970,9432370,9799894,200106,0,0,50,135,33720,9999872,128,9999933,10000000,0,67,33457,2000,2000,2000,99999932998,133837,101266,2000696,0,132769,156,562156,9999844,9437745,9799571,200429,0,0,50,155,33420,9999903,97,9999900,9999901,99,100,33168,2000,2000,2000
800,10000000000471,999529,999529,2879200,20000,9999938263819,10000165,12715963,1531,50,2060400,0,6661400,0,3280978,4117738,54565322,145434678,147718278,0,7317332,2682668,700970,9999948613319,81169,2321681,4531,50,2070400,7338600,7338600,0,3186125,4131738,52726226,147273774,147273774,0,6813875,3186125,945613,100000046274,44526,27,1805876,0,181041,2136,766836,9997864,9233164,9799599,200401,0,0,50,155,45560,9999807,193,9999896,10000000,0,104,45212,2000,2000,2000,100000045185,45306,779,2145650,0,179723,4350,762450,9995650,9237483,9799927,200073,0,0,50,124,45090,9999953,47,9999931,9999933,67,69,44919,2000,2000,2000,99999946488,144706,99808,2304952,0,180182,4472,765272,9995528,9234554,9800298,199702,0,0,50,15,45140,9999894,106,9999997,9999826,174,3,45019,2000,2000,2000
900,10000000000196,999804,999804,3129400,20000,9999933005058,10002043,12654125,1603,50,2433700,0,7681200,0,3584638,4864194,50695895,149304105,152228705,0,7012862,2987138,1106056,9999933631962,10007952,12102598,4157,50,2446900,8318800,8318800,0,3490066,4885486,48425400,151574600,151574600,0,6509934,3490066,1395420,100000058541,57892,765,2086690,0,232723,2290,985490,9997710,9014413,9799627,200373,0,0,50,40,58400,9999761,239,9999849,9999903,97,151,58121,2000,2000,2000,99999959104,156638,99485,2448380,0,229547,3380,974780,9996620,9025154,9800053,199947,0,0,50,36,57560,9999817,183,9999999,9999934,66,1,57341,2000,2000,2000,100000058344,56539,127,2628642,0,229518,2162,972162,9997838,9027743,9800012,199988,0,0,50,18,57540,9999810,190,9999854,9999905,95,146,57332,2000,2000,2000
