Time,H2O,OH-,H+,a,b,c,r,H2O:=C1_1,OH-:=C1_1,H+:=C1_1,a:=C1_1,b:=C1_1,c:=C1_1,en_X:=C1_1,en_Z:=C1_1,l:=C1_1,m:=C1_1,n:=C1_1,q:=C1_1,r:=C1_1,ATP:=C1_1,ADP:=C1_1,Pi:=C1_1,mem_P1:=C1_1,mem_P2:=C1_1,mem_P6:=C1_1,H2O::C1_1::M1_1,OH-::C1_1::M1_1,H+::C1_1::M1_1,l::C1_1::M1_1,m::C1_1::M1_1,n::C1_1::M1_1,q::C1_1::M1_1,en_Y::C1_1::M1_1,ATP::C1_1::M1_1,ADP::C1_1::M1_1,Pi::C1_1::M1_1,mem_P3::C1_1::M1_1,mem_P4::C1_1::M1_1,mem_P5::C1_1::M1_1
0,10000000000000,100000,100000,1000000,100000,10000,0,10000000000,100,100,0,0,0,3000,2000,0,100000,0,0,0,10000000,10000000,10000000,1000,500,300,1000000000,100,100,0,0,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
100,9999999901867,198133,198133,999032,55891,4981,0,9999955797,194,194,0,43141,5019,3000,2000,968,76038,0,0,0,9955891,10044109,10044109,1000,500,300,1000000000,100,100,0,23962,100000,0,10000,1000000,1000000,1000000,5000,3000,2000
200,9999999808058,291942,291942,998036,17473,4979,0,9999917306,267,267,1,80564,5019,3000,2000,1960,57238,3,0,2,9917473,10082527,10082527,1000,500,300,1000000007,91,91,0,42759,99994,1,10000,999998,1000002,1000002,5000,3000,2000
300,9999999719928,380072,380072,997053,629,5045,0,9999900378,351,351,8,96432,4952,3000,2000,2934,42913,5,0,3,9900629,10099371,10099371,1000,500,300,999999999,98,98,0,57082,99990,2,10000,999997,1000003,1000003,5000,3000,2000
400,9999999638092,461908,461908,996015,4,5102,0,9999899677,427,427,3,96014,4893,3000,2000,3976,32138,6,0,5,9900004,10099996,10099996,1000,500,300,999999995,100,100,0,67856,99988,1,10000,999995,1000005,1000005,5000,3000,2000
500,9999999563363,536637,536637,995058,0,5088,0,9999899581,519,519,10,95068,4906,3000,2000,4925,24097,7,0,6,9900000,10100000,10100000,1000,500,300,999999998,96,96,0,75896,99986,1,10000,999994,1000006,1000006,5000,3000,2000
600,9999999496105,603895,603895,994065,0,4900,0,9999899511,589,589,11,94076,5093,3000,2000,5916,17959,8,0,7,9900000,10100000,10100000,1000,500,300,999999997,96,96,0,82033,99984,1,10000,999993,1000007,1000007,5000,3000,2000
700,9999999435708,664292,664292,993067,0,5120,0,9999899458,642,642,2,93069,4871,3000,2000,6919,13307,12,0,9,9900000,10100000,10100000,1000,500,300,999999997,94,94,0,86681,99976,3,10000,999991,1000009,1000009,5000,3000,2000
800,9999999383216,716784,716784,992040,0,4915,0,9999899399,701,701,0,92040,5073,3000,2000,7948,9805,12,0,12,9900000,10100000,10100000,1000,500,300,999999985,103,103,0,90183,99976,0,10000,999988,1000012,1000012,5000,3000,2000
900,9999999338372,761628,761628,991005,0,5070,0,9999899355,745,745,2,91007,4916,3000,2000,8975,7346,18,1,14,9900000,10100000,10100000,1000,500,300,999999982,103,103,0,92636,99964,3,10000,999985,1000015,1000015,5000,3000,2000
