Time\ number,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1,Time\ Probability,r1_2_000,r2_1_001,r1_2_000:=C1_1,r2_1_001:=C1_1,r2_2_100:=C1_1,rM_110:=C1_1,r1_1_120:=C1_1,r1_1_121:=C1_1,r3_2_130:=C1_1,r3_2_140:=C1_1,r2_2_150:=C1_1,r1_2_000::C1_1::M1_1,r2_1_001::C1_1::M1_1,r3_3_100::C1_1::M1_1,r2_2_110::C1_1::M1_1,rM_120::C1_1::M1_1,rM_130::C1_1::M1_1
0,10000000000011.0,100000,9999999553.0,100,1000,500,10000.0,943.0,0,0,0,1000000000.0,100,0,3000,0,0,0,9.999999999e-11,9.999000099990002e-05,9.999999999e-11,9.999000099990002e-05,0.009900990099009901,0.9081818181827264,0.09090909090909091,0.09090909090909091,0.07168458781362007,0.0,0.0002999100269919024,9.999999999e-11,0.0009990009990009992,4.948021038985459e-06,0.09090909090909091,0.0,0.01782352959
100,9999999901867.0,199144,9999955363.0,194,1000,500,5442.0,5019.0,0,0,0,1000000000.0,100,968,3000,0,0,100,9.999999999e-11,0.00019910434956341055,9.999999999e-11,0.0001939623712999678,0.009891500742304144,0.847382220239557,0.09090909090909091,0.09090909090909091,0.9655039161608121,0.055909976962608555,0.0002999100269919024,9.999999999e-11,0.0009990009990009992,4.948021038985459e-06,0.07066479064865738,0.8643267378231784,0.01782352959
200,9999999808140.0,291942,9999916995.0,268,1000,500,5442.0,5019.0,13,0,2,1000000007.0,91,1960,3000,0,1,200,9.999999999e-11,0.00029185679474362893,9.999999999e-11,0.0002679281952436747,0.009881736710206921,0.6353649725993952,0.09090909090909091,0.09090909090909091,0.9665468234919181,0.05596882748848743,0.0002999100269919024,9.999999999e-11,0.0009091726528858739,4.947727096966939e-06,0.05413918152771656,0.8795202319517653,0.01782352634936484
300,9999999720070.0,380072,9999900378.0,351,1000,500,5045.0,5408.0,16,0,3,999999999.0,98,2934,3000,0,2,300,9.999999999e-11,0.0003799276001571531,9.999999999e-11,0.0003508768422283779,0.009872099931470278,0.05911795084210771,0.09090909090909091,0.09090909090909091,0.9667394265381495,0.05483986401860799,0.0002999100269919024,9.999999999e-11,0.000979040540270535,4.947531135427238e-06,0.0411472481405448,0.8846265914467099,0.017823524729022346
400,9999999638320.0,461908,9999899677.0,430,1000,4,5102.0,5369.0,15,0,5,999999995.0,100,3991,3000,0,1,400,9.999999999e-11,0.00046169473950626424,9.999999999e-11,0.0004298151794728267,0.009861923760061226,0.04757094855579694,0.09090909090909091,0.09090909090909091,0.9667350666245125,0.05822326327889475,0.0002999100269919024,9.999999999e-11,0.0009990009990009992,4.947433154599183e-06,0.03113730915827147,0.8870364163743529,0.017823521488349908
500,9999999563363.0,537605,9999899581.0,521,1000,0,5525.0,4906.0,15,0,6,999999998.0,96,4925,3000,0,1,500,9.999999999e-11,0.0005373161361586204,9.999999999e-11,0.0005207287003471191,0.009852541497624568,0.04757094853640134,0.09090909090909091,0.09090909090909091,0.9667250580298068,0.05529568994320081,0.0002999100269919024,9.999999999e-11,0.000959079283887468,4.94733517373232e-06,0.023529997646707292,0.8883950444869135,0.017823519868018178
600,9999999496441.0,603895,9999899511.0,590,1000,0,4900.0,5525.0,19,0,7,999999998.0,96,5000,3000,0,1,600,9.999999999e-11,0.000603530530930024,9.999999999e-11,0.0005896521052578979,0.009842806109448115,0.047570948536401016,0.09090909090909091,0.09090909090909091,0.9667143467824143,0.05931293612453033,0.0002999100269919024,9.999999999e-11,0.000959079283887468,5.853035176465376e-06,0.017642164370077772,0.8892545845401579,0.017823518247678156
700,9999999435708.0,665301,9999899458.0,642,1000,0,5120.0,5337.0,2,0,9,999999997.0,94,5000,3000,0,3,700,9.999999999e-11,0.0006648586688627469,9.999999999e-11,0.0006415881004395178,0.00983302150829819,0.047570948536400766,0.09090909090909091,0.09090909090909091,0.9667032402789382,0.05799700071721979,0.0002999100269919024,9.999999999e-11,0.0009391172298039843,6.84512024575723e-06,0.013132249160422261,0.8898223860404698,0.017823515006987495
800,9999999383216.0,717747,9999899399.0,701,1000,0,4915.0,5542.0,9,0,12,999999985.0,103,5000,3000,0,0,800,9.999999999e-11,0.000717232208733878,9.999999999e-11,0.0007005089432307952,0.009822952383177921,0.04757094853640048,0.09090909090909091,0.09090909090909091,0.9666916403509386,0.05609367743647582,0.0002999100269919024,9.999999999e-11,0.0010289401916026492,7.870083540101238e-06,0.009709795455558251,0.8902166450981055,0.017823510145910687
900,9999999338975.0,761628,9999899356.0,745,1000,0,5512.0,4916.0,10,1,14,999999982.0,103,5000,3000,0,3,900,9.999999999e-11,0.000761048364256428,9.999999999e-11,0.0007444453881858016,0.009812804615618986,0.04757094853640028,0.09090909090909091,0.09090909090909091,0.9666797317723188,0.05538492354944248,0.0002999100269919024,9.999999999e-11,0.0010289401916026492,8.884885657293773e-06,0.00729242981061125,0.8904760323270776,0.01782350528482341
