Time,S,E,I,R
889,1253972,4595382,1841105,2309561
890,1255440,4594496,1840523,2309561
891,1255589,4594083,1841666,2308682
892,1257389,4592828,1842650,2307153
893,1256870,4593547,1841632,2307971
894,1258522,4592429,1841226,2307843
895,1257810,4592881,1840961,2308368
896,1259768,4591440,1842017,2306795
897,1261360,4590238,1841957,2306465
898,1260147,4591403,1842457,2306013
899,1260620,4591064,1843476,2304860
900,1259344,4592210,1843988,2304478
901,1258990,4592110,1844977,2303943
902,1257640,4593053,1844226,2305101
903,1258681,4591297,1843918,2306124
904,1260835,4589489,1844411,2305285
905,1260403,4591207,1844663,2303747
906,1262430,4589306,1845119,2303165
907,1262574,4588050,1845818,2303578
908,1263248,4587487,1846756,2302529
909,1262805,4588836,1847197,2301182
910,1262630,4588802,1847568,2301020
911,1263871,4587380,1848527,2300242
912,1261334,4589423,1848071,2301192
913,1261153,4589173,1848791,2300903
914,1260708,4588841,1849553,2300918
915,1260195,4589579,1848348,2301898
916,1258248,4590787,1848721,2302264
917,1257332,4591962,1849390,2301336
918,1258474,4591334,1850410,2299802
919,1258467,4590374,1850082,2301097
920,1257449,4591036,1849341,2302194
921,1258437,4590717,1848505,2302361
922,1258582,4589888,1848337,2303213
923,1260126,4588739,1848083,2303072
924,1260219,4588111,1847676,2304014
925,1259922,4587802,1848422,2303874
926,1259873,4586768,1849455,2303924
927,1258782,4586403,1850594,2304241
928,1258457,4587307,1850036,2304220
929,1257681,4588819,1848878,2304642
930,1257039,4590146,1849037,2303798
931,1256194,4590445,1849760,2303621
932,1258400,4589061,1849831,2302728
933,1256802,4590519,1848810,2303889
934,1256564,4589869,1849391,2304196
935,1257360,4588581,1849144,2304935
936,1257103,4589865,1848307,2304745
937,1259280,4588251,1848766,2303723
938,1260435,4587699,1849002,2302884
939,1258775,4588782,1848676,2303787
940,1259194,4588515,1849277,2303034
941,1261368,4586550,1850147,2301955
942,1262609,4586014,1848957,2302440
943,1262479,4586608,1848386,2302547
944,1263556,4586067,1849657,2300740
945,1262141,4587259,1849034,2301586
946,1262093,4587010,1848464,2302453
947,1261635,4588313,1847377,2302695
948,1260720,4589950,1847501,2301849
949,1261874,4588824,1848585,2300737
950,1261361,4590570,1848571,2299518
951,1262103,4590045,1849069,2298803
952,1260656,4590707,1849118,2299539
953,1261850,4589346,1850203,2298621
954,1261820,4588201,1851219,2298780
955,1259316,4589998,1851041,2299665
956,1257982,4591145,1849987,2300906
957,1256968,4591280,1851111,2300661
958,1258145,4589974,1850592,2301309
959,1256484,4590836,1851110,2301590
960,1258369,4588866,1851984,2300801
961,1257906,4590123,1851766,2300225
962,1258126,4589283,1851345,2301266
963,1257696,4590006,1851739,2300579
964,1255010,4592539,1851229,2301242
965,1254930,4593533,1850226,2301331
966,1253670,4594083,1851074,2301193
967,1254067,4593001,1850833,2302119
968,1250951,4594937,1850005,2304127
969,1252654,4593588,1850460,2303318
970,1254395,4591851,1850088,2303686
971,1255191,4591852,1849138,2303839
972,1256665,4590432,1849702,2303221
973,1256990,4588754,1849457,2304819
974,1256790,4589767,1848589,2304874
975,1255389,4590622,1849020,2304989
976,1257315,4589562,1849509,2303634
977,1258134,4588612,1850317,2302957
978,1258252,4589123,1849198,2303447
979,1259560,4588226,1849915,2302319
980,1260547,4587652,1849090,2302731
981,1261623,4586299,1850275,2301823
982,1259882,4587202,1850382,2302554
983,1258142,4587905,1850082,2303891
984,1259175,4587346,1850566,2302933
985,1260489,4586245,1851259,2302027
986,1259780,4587942,1850786,2301512
987,1258680,4589070,1851048,2301222
988,1257030,4589850,1850688,2302452
989,1257411,4589142,1850280,2303187
990,1256119,4590152,1849046,2304703
991,1257645,4588855,1849954,2303566
992,1256288,4589495,1849516,2304721
993,1256312,4590257,1849887,2303564
994,1255990,4590183,1850318,2303529
995,1256729,4589838,1851167,2302286
996,1257256,4589775,1850446,2302543
997,1259607,4587748,1851302,2301363
998,1259060,4589105,1851176,2300679
999,1259284,4588127,1850974,2301635
1000,1260090,4587715,1850162,2302053
1001,1258919,4588169,1849959,2302973
1002,1256567,4590332,1848775,2304346
1003,1256543,4589564,1848523,2305390
1004,1256058,4590776,1847663,2305523
1005,1257923,4588467,1848942,2304688
1006,1258596,4587358,1849344,2304722
1007,1259734,4586891,1848917,2304478
1008,1260630,4586151,1849345,2303894
1009,1260768,4585047,1848900,2305305
1010,1258470,4587228,1848043,2306279
1011,1258364,4586489,1847005,2308162
1012,1259532,4585757,1847606,2307125
1013,1261304,4584358,1848675,2305683
1014,1261334,4585290,1848066,2305330
1015,1261839,4583948,1847871,2306362
1016,1259836,4585540,1847157,2307487
1017,1261007,4584293,1848158,2306562
1018,1260552,4585115,1847911,2306442
1019,1259786,4586722,1848442,2305070
1020,1258745,4587902,1847465,2305908
1021,1261135,4586124,1848153,2304608
1022,1262367,4585120,1849230,2303303
1023,1263896,4584442,1849043,2302639
1024,1264973,4583190,1850255,2301602
1025,1265300,4583204,1851025,2300491
1026,1265073,4582973,1850606,2301368
1027,1263527,4584433,1850576,2301484
1028,1263034,4585760,1849650,2301576
1029,1261998,4587022,1849679,2301321
1030,1260944,4588257,1848822,2301997
1031,1260807,4588161,1849396,2301656
1032,1259432,4588836,1850534,2301218
1033,1260316,4588307,1849559,2301838
1034,1261139,4587126,1849544,2302211
1035,1260334,4587382,1848530,2303774
1036,1261629,4586664,1849441,2302286
1037,1261499,4586212,1850280,2302029
1038,1261073,4587247,1850811,2300889
1039,1261565,4586149,1850249,2302057
1040,1262326,4585930,1849163,2302601
1041,1263298,4585344,1848358,2303020
1042,1265118,4583706,1849230,2301966
1043,1264717,4584665,1848441,2302197
1044,1265872,4583998,1849335,2300815
1045,1267848,4582416,1849727,2300029
1046,1264721,4585477,1848485,2301337
1047,1262388,4587655,1847684,2302293
1048,1263476,4587226,1846683,2302635
1049,1261946,4588454,1847363,2302257
1050,1260691,4589777,1847918,2301634
1051,1259207,4590789,1847083,2302941
1052,1258305,4591619,1846243,2303853
1053,1257128,4592040,1845617,2305235
1054,1258708,4591043,1846493,2303776
1055,1259730,4590535,1845909,2303846
1056,1261676,4588977,1846513,2302854
1057,1262070,4587816,1846339,2303795
1058,1260939,4589031,1845218,2304832
1059,1259502,4590391,1844257,2305870
1060,1260896,4589294,1844127,2305703
1061,1261052,4590048,1844197,2304723
1062,1260262,4590569,1843564,2305625
1063,1260307,4589345,1844676,2305692
1064,1258763,4590127,1844253,2306877
1065,1259838,4589669,1844583,2305930
1066,1259973,4589935,1844164,2305948
1067,1260506,4589178,1844989,2305347
1068,1258399,4591856,1843649,2306116
1069,1256328,4593504,1843359,2306829
1070,1255781,4594065,1843074,2307100
1071,1254995,4594354,1842857,2307814
1072,1254123,4594658,1843568,2307671
1073,1254539,4593458,1843056,2308967
1074,1256216,4592586,1842508,2308710
1075,1256980,4591559,1843968,2307513
1076,1255667,4592125,1844940,2307288
1077,1257064,4591216,1845053,2306687
1078,1258250,4590862,1845905,2305003
1079,1258114,4590219,1846394,2305293
1080,1258221,4591247,1845483,2305069
1081,1258502,4590178,1845453,2305887
1082,1259193,4589427,1846413,2304987
1083,1256926,4591798,1845351,2305945
1084,1258052,4591361,1845722,2304885
1085,1256862,4592150,1846176,2304832
1086,1255961,4592810,1846589,2304660
1087,1253588,4595283,1845483,2305666
1088,1253504,4595503,1845154,2305859
1089,1252797,4595431,1844627,2307165
1090,1250871,4596853,1843888,2308408
1091,1248739,4598508,1843555,2309218
1092,1248274,4598467,1844843,2308436
1093,1250089,4597660,1845283,2306988
1094,1251865,4596873,1845406,2305876
1095,1252005,4597969,1845626,2304420
1096,1253813,4596743,1846132,2303332
1097,1253342,4597492,1846876,2302310
1098,1250716,4599277,1846713,2303314
1099,1253260,4596415,1848114,2302231
1100,1254951,4594752,1847956,2302361
1101,1253691,4595423,1847814,2303092
1102,1254679,4594634,1848820,2301887
1103,1256049,4593717,1849252,2301002
1104,1256180,4594074,1848639,2301127
1105,1255491,4594156,1849471,2300902
1106,1254735,4594721,1849122,2301442
1107,1255037,4593367,1850482,2301134
1108,1255893,4592482,1851498,2300147
1109,1257191,4592178,1851720,2298931
1110,1258597,4591204,1851217,2299002
1111,1257302,4592262,1850142,2300314
1112,1258534,4591442,1849749,2300295
1113,1256486,4593436,1849139,2300959
1114,1256989,4593193,1849686,2300152
1115,1256495,4592877,1848954,2301694
1116,1255105,4593622,1849582,2301711
1117,1257478,4591849,1849822,2300871
1118,1258803,4591516,1849893,2299808
1119,1256941,4592323,1849534,2301222
1120,1257561,4591389,1849369,2301701
1121,1260137,4589273,1850073,2300537
1122,1259934,4588540,1850979,2300567
1123,1258592,4589688,1850273,2301467
1124,1258233,4590338,1850732,2300717
1125,1256477,4590917,1851769,2300857
1126,1257556,4590302,1850796,2301366
1127,1259717,4588516,1851503,2300284
1128,1259315,4589312,1851699,2299694
1129,1259292,4589690,1850802,2300236
1130,1258127,4590326,1850062,2301505
1131,1257185,4590690,1849498,2302647
1132,1258509,4590030,1850094,2301387
1133,1258510,4591234,1850093,2300183
1134,1256990,4592668,1849081,2301281
1135,1257927,4591905,1848757,2301431
1136,1259099,4591262,1849658,2300001
1137,1259890,4590188,1850589,2299353
1138,1258148,4591415,1849500,2300957
1139,1258612,4590352,1849883,2301173
1140,1259354,4589823,1850459,2300384
1141,1260403,4589544,1850932,2299141
1142,1260050,4588752,1850460,2300758
1143,1260927,4588250,1850973,2299870
1144,1259863,4588362,1850921,2300874
1145,1258663,4589571,1851345,2300441
1146,1260444,4588534,1850600,2300442
1147,1259143,4589501,1849709,2301667
1148,1257470,4590510,1848809,2303231
1149,1258576,4589930,1848169,2303345
1150,1260730,4588006,1849103,2302181
1151,1261691,4586607,1849996,2301726
1152,1261139,4587506,1848820,2302555
1153,1263484,4585450,1849422,2301664
1154,1263577,4586034,1848383,2302026
1155,1261767,4586865,1847768,2303620
1156,1261164,4588343,1846569,2303944
1157,1261408,4588692,1845872,2304048
1158,1260670,4589682,1846460,2303208
1159,1259378,4590580,1845929,2304133
1160,1260485,4589586,1845653,2304296
1161,1259344,4590280,1846313,2304083
1162,1257171,4592306,1845292,2305251
1163,1257790,4590945,1845279,2306006
1164,1259260,4589640,1845223,2305897
1165,1260288,4588336,1846295,2305101
1166,1260260,4587610,1846100,2306050
1167,1262247,4585281,1847303,2305189
1168,1262784,4585733,1846202,2305301
1169,1262941,4584623,1846980,2305476
1170,1264115,4583709,1847842,2304354
1171,1265528,4583016,1848424,2303052
1172,1264172,4584335,1847595,2303918
1173,1264860,4583584,1848777,2302799
1174,1264071,4585051,1848072,2302826
1175,1262783,4586320,1846951,2303966
1176,1262267,4587762,1847030,2302961
1177,1259043,4590472,1845936,2304569
1178,1257639,4591642,1845890,2304849
1179,1260060,4589263,1846513,2304184
1180,1260529,4587716,1846723,2305052
1181,1260523,4586972,1846254,2306271
1182,1259552,4587604,1846197,2306667
1183,1262033,4585509,1846649,2305829
1184,1263490,4584862,1845800,2305868
1185,1262631,4584458,1846935,2305996
1186,1262463,4584155,1847370,2306032
1187,1262303,4583643,1848022,2306052
1188,1261559,4585070,1846804,2306587
1189,1261714,4584378,1846239,2307689
1190,1260642,4585392,1845465,2308521
1191,1258728,4586402,1846391,2308499
1192,1258340,4587537,1845942,2308201
1193,1260805,4584952,1846752,2307511
1194,1260390,4584819,1847357,2307454
1195,1262568,4583242,1847986,2306224
1196,1261024,4584814,1848414,2305768
1197,1259702,4585919,1847343,2307056
1198,1260823,4585339,1847385,2306473
1199,1262091,4584385,1848486,2305058
1200,1262604,4583853,1849362,2304201
1201,1264193,4583108,1848654,2304065
1202,1262665,4584825,1848581,2303949
1203,1262830,4585095,1847736,2304359
1204,1262760,4585430,1847335,2304495
1205,1262491,4584686,1847181,2305662
1206,1263489,4583524,1848408,2304599
1207,1263485,4584461,1847448,2304626
1208,1263751,4584225,1848231,2303813
1209,1264766,4582871,1848009,2304374
1210,1265807,4582255,1847608,2304350
1211,1263435,4584455,1846787,2305343
1212,1262782,4585951,1847013,2304274
1213,1260150,4588553,1845840,2305477
1214,1258457,4589865,1846681,2305017
1215,1257808,4590149,1846263,2305800
1216,1256561,4591046,1845777,2306636
1217,1257556,4589573,1847116,2305775
1218,1258023,4590661,1847232,2304104
1219,1257116,4591405,1846287,2305212
1220,1258796,4590148,1845772,2305304
1221,1257231,4591834,1845077,2305878
1222,1257720,4590929,1844471,2306900
1223,1258004,4590300,1845365,2306351
1224,1258003,4591319,1844611,2306087
1225,1255630,4593051,1844249,2307090
1226,1257140,4591968,1843917,2306995
1227,1259112,4589972,1844708,2306228
1228,1258894,4590710,1845325,2305091
1229,1257521,4591563,1845873,2305063
1230,1259259,4590740,1846391,2303630
1231,1260624,4589546,1847163,2302687
1232,1261879,4588618,1847794,2301729
1233,1262896,4587562,1848742,2300820
1234,1262090,4588203,1847526,2302201
1235,1263045,4587535,1847978,2301462
1236,1260420,4589246,1847423,2302931
1237,1261539,4588349,1848282,2301850
1238,1260557,4588600,1849033,2301830
1239,1259390,4589950,1848487,2302193
1240,1259778,4590734,1847322,2302186
1241,1258679,4591842,1847644,2301855
1242,1258944,4591866,1847369,2301841
1243,1258179,4592950,1847628,2301263
1244,1256380,4594958,1847324,2301358
1245,1257455,4593575,1848210,2300780
1246,1257184,4594679,1847131,2301026
1247,1257065,4594335,1848300,2300320
1248,1258317,4593031,1849369,2299303
1249,1256923,4593741,1849189,2300167
1250,1257068,4592837,1848347,2301768
1251,1258106,4591311,1849455,2301148
1252,1258603,4590995,1849903,2300519
1253,1257043,4591688,1850487,2300802
1254,1253997,4594562,1849314,2302147
1255,1253128,4595580,1848437,2302875
1256,1252405,4596467,1849228,2301920
1257,1251392,4596777,1849010,2302841
1258,1252036,4595608,1848505,2303871
1259,1249787,4597187,1847789,2305257
1260,1251257,4596041,1848763,2303959
1261,1249831,4596903,1847554,2305732
1262,1248647,4597584,1848642,2305147
1263,1249079,4597682,1848117,2305142
1264,1251162,4594959,1848918,2304981
1265,1253454,4592043,1850329,2304194
1266,1255187,4591181,1849196,2304456
1267,1253812,4591374,1850486,2304348
1268,1253597,4592101,1850094,2304228
1269,1255665,4589354,1851397,2303604
1270,1258007,4587010,1852424,2302579
1271,1258861,4586361,1853338,2301460
1272,1257543,4587476,1852420,2302581
1273,1257762,4586283,1851868,2304107
1274,1256448,4587212,1851120,2305240
1275,1255027,4588019,1851478,2305496
1276,1256168,4586896,1852525,2304431
1277,1256031,4586600,1852878,2304511
1278,1256931,4585546,1852425,2305118
1279,1255845,4586391,1852752,2305032
1280,1254700,4587924,1852807,2304589
1281,1255061,4587156,1852846,2304957
1282,1256074,4586424,1853368,2304154
1283,1255069,4587586,1851650,2305715
1284,1255119,4586509,1851394,2306998
1285,1255246,4587425,1852031,2305318
1286,1253598,4587580,1853583,2305259
1287,1254026,4586323,1854462,2305209
1288,1255024,4585962,1854640,2304394
1289,1256599,4584700,1854377,2304344
1290,1259179,4583016,1854566,2303259
1291,1260404,4582153,1853924,2303539
1292,1260489,4581369,1854817,2303345
1293,1258729,4582729,1854668,2303894
1294,1256080,4585219,1853554,2305167
1295,1255851,4586352,1852478,2305339
1296,1257873,4584567,1853103,2304477
1297,1259165,4583982,1852282,2304591
1298,1258373,4585194,1852723,2303730
1299,1259800,4584470,1852316,2303434
1300,1259154,4585871,1852472,2302523
1301,1257840,4586347,1851970,2303863
1302,1257633,4586154,1852507,2303726
1303,1259415,4584876,1852108,2303621
1304,1258331,4586386,1851972,2303331
1305,1259370,4585745,1851117,2303788
1306,1259533,4585054,1851679,2303754
1307,1257033,4587208,1850721,2305058
1308,1255175,4588196,1851497,2305152
1309,1256794,4587040,1851975,2304211
1310,1255753,4587825,1850948,2305494
1311,1256882,4586399,1851983,2304756
1312,1257680,4585350,1853465,2303525
1313,1257178,4585089,1854766,2302987
1314,1255199,4586814,1853980,2304027
1315,1257789,4584507,1854646,2303078
1316,1259331,4583821,1854069,2302799
1317,1259025,4585228,1854037,2301730
1318,1260299,4584529,1853945,2301247
1319,1261526,4583528,1854637,2300329
1320,1258693,4585839,1853414,2302074
1321,1259282,4585461,1853644,2301633
1322,1258806,4585614,1854040,2301560
1323,1259842,4585174,1853104,2301900
1324,1257169,4587406,1852157,2303288
1325,1255767,4588651,1851473,2304129
1326,1253309,4590604,1850604,2305503
1327,1252742,4591677,1850305,2305296
1328,1252050,4592369,1849464,2306137
1329,1252077,4591753,1850064,2306126
1330,1251868,4592356,1850523,2305273
1331,1253533,4590943,1851716,2303828
1332,1255907,4588771,1852160,2303182
1333,1256213,4587622,1852886,2303299
1334,1255062,4588519,1851985,2304454
1335,1256551,4587661,1850703,2305105
1336,1257897,4586797,1849780,2305546
1337,1255952,4588944,1849005,2306119
1338,1256944,4588364,1849659,2305053
1339,1257230,4587814,1848375,2306601
1340,1255913,4588590,1848828,2306689
1341,1254246,4590360,1848435,2306979
1342,1255126,4589946,1848678,2306270
1343,1255796,4589004,1850002,2305218
1344,1254610,4589650,1848812,2306948
1345,1255766,4588901,1849633,2305720
1346,1256878,4588182,1849309,2305651
1347,1254486,4590498,1848482,2306554
1348,1255134,4590347,1849113,2305426
1349,1252821,4592524,1848311,2306364
1350,1253860,4591288,1848465,2306407
1351,1255588,4590225,1847820,2306387
1352,1255431,4590980,1848417,2305192
1353,1257871,4588623,1849660,2303866
1354,1259311,4587120,1850973,2302616
1355,1259741,4586037,1850294,2303948
1356,1258358,4586970,1850246,2304446
1357,1255593,4589188,1849352,2305887
1358,1255699,4589649,1848323,2306349
1359,1256396,4589200,1847966,2306458
1360,1255194,4589971,1848686,2306169
1361,1255893,4588750,1848579,2306798
1362,1258428,4586646,1849010,2305936
1363,1259901,4585395,1849837,2304887
1364,1261054,4584532,1850363,2304071
1365,1264034,4582289,1850966,2302731
1366,1264376,4582235,1851450,2301959
1367,1263057,4583194,1850551,2303218
1368,1264306,4582523,1850082,2303109
1369,1264571,4582104,1850810,2302535
1370,1265627,4581340,1851759,2301294
1371,1265767,4580815,1851182,2302256
1372,1266138,4580512,1851880,2301490
1373,1264430,4581907,1851120,2302563
1374,1264126,4581670,1852291,2301933
1375,1263679,4581429,1853014,2301898
1376,1264861,4580428,1853996,2300735
1377,1263224,4581674,1853332,2301790
1378,1260164,4584095,1852376,2303385
1379,1261232,4583128,1852101,2303559
1380,1263423,4581532,1852499,2302566
1381,1261870,4582191,1852235,2303724
1382,1261769,4581827,1851712,2304712
1383,1259268,4584486,1850709,2305557
1384,1258308,4585741,1851584,2304387
1385,1258137,4585452,1851916,2304515
1386,1256819,4586551,1852050,2304600
1387,1255718,4586664,1851695,2305943
1388,1255917,4586031,1852170,2305902
1389,1255338,4586899,1851223,2306560
1390,1254291,4587648,1851877,2306204
1391,1254327,4586889,1852324,2306480
1392,1255896,4586004,1852760,2305360
1393,1255305,4587144,1853119,2304452
1394,1254673,4588443,1852160,2304744
1395,1252368,4591099,1851031,2305522
1396,1253734,4589733,1851913,2304640
1397,1253143,4590863,1851018,2304996
1398,1253608,4589593,1851691,2305128
1399,1254840,4588746,1851055,2305379
1400,1254453,4589827,1850965,2304775
1401,1255827,4588873,1849935,2305385
1402,1253950,4590556,1849885,2305629
1403,1252105,4592549,1848800,2306566
1404,1253046,4591169,1849606,2306199
1405,1253643,4590545,1850408,2305424
1406,1255846,4588445,1851268,2304461
1407,1253555,4590065,1850826,2305574
1408,1253845,4589071,1850654,2306450
1409,1253520,4590128,1850794,2305578
1410,1254013,4588498,1850994,2306515
1411,1254371,4587468,1850595,2307586
1412,1255257,4586460,1850405,2307898
1413,1253957,4586744,1851445,2307874
1414,1252405,4587981,1851804,2307830
1415,1253629,4587061,1852641,2306689
1416,1253744,4587878,1853184,2305214
1417,1252887,4589125,1852244,2305764
1418,1253672,4588093,1852718,2305537
1419,1254072,4588621,1851772,2305555
1420,1253565,4589592,1850799,2306064
1421,1252310,4590401,1851169,2306140
1422,1253418,4589524,1851378,2305700
1423,1254819,4588619,1851818,2304764
1424,1257193,4586492,1852553,2303782
1425,1257559,4585338,1852157,2304966
1426,1257052,4586390,1851484,2305094
1427,1257093,4587535,1850686,2304706
1428,1256151,4588481,1850574,2304814
1429,1254810,4589708,1850640,2304862
1430,1254559,4590864,1850811,2303786
1431,1256257,4589718,1850444,2303601
1432,1256086,4589212,1851318,2303404
1433,1255319,4589659,1850577,2304465
1434,1256622,4588763,1849871,2304764
1435,1255035,4590410,1849712,2304863
1436,1252577,4592459,1848654,2306330
1437,1250963,4593319,1848302,2307436
1438,1252521,4592338,1848692,2306469
1439,1254247,4591243,1848239,2306291
1440,1253271,4591866,1847398,2307485
1441,1254165,4590809,1847528,2307518
1442,1253975,4591189,1847586,2307270
1443,1253699,4592100,1847993,2306228
1444,1252927,4592419,1848335,2306339
1445,1253830,4591890,1849276,2305024
1446,1252372,4592551,1848883,2306214
1447,1250827,4593914,1847829,2307450
1448,1253054,4592096,1848603,2306267
1449,1252247,4591950,1849690,2306133
1450,1253585,4591250,1850054,2305131
1451,1254367,4589999,1849858,2305796
1452,1255650,4588988,1850489,2304893
1453,1258018,4586785,1851552,2303665
1454,1257670,4587279,1851812,2303259
1455,1258824,4587049,1851840,2302307
1456,1260803,4585413,1852172,2301632
1457,1262838,4583859,1852317,2301006
1458,1263979,4583334,1852777,2299930
1459,1262182,4585180,1851349,2301309
1460,1263440,4584530,1851608,2300442
1461,1262228,4586186,1850397,2301209
1462,1262706,4585547,1851330,2300437
1463,1262373,4586798,1850710,2300139
1464,1263149,4585915,1850591,2300365
1465,1262141,4586784,1850861,2300234
1466,1263642,4585560,1851456,2299362
1467,1262639,4586512,1850393,2300476
1468,1262416,4585089,1850547,2301968
1469,1261871,4586281,1850754,2301114
1470,1261775,4585695,1850165,2302385
1471,1260544,4586179,1849987,2303310
1472,1259068,4586733,1850849,2303370
1473,1257482,4587471,1851471,2303596
1474,1258254,4586525,1852762,2302479
1475,1256890,4587130,1852369,2303631
1476,1255147,4588035,1852817,2304021
1477,1256798,4587428,1851768,2304026
1478,1255649,4588390,1850723,2305258
1479,1256609,4587235,1851911,2304265
1480,1257742,4586433,1851343,2304502
1481,1258086,4585258,1851104,2305572
1482,1256938,4586592,1850334,2306156
1483,1255415,4587620,1849185,2307800
1484,1254221,4588796,1849494,2307509
1485,1254666,4588075,1849558,2307721
1486,1255842,4586865,1849185,2308128
1487,1255433,4587464,1848384,2308739
1488,1252834,4590074,1847401,2309711
1489,1254003,4588658,1846660,2310699
1490,1254280,4589847,1846529,2309364
1491,1255157,4589422,1846660,2308781
1492,1254582,4590268,1846875,2308295
1493,1254108,4590688,1846160,2309064
1494,1253035,4591719,1846767,2308499
1495,1253774,4590546,1847306,2308394
1496,1251669,4592655,1846385,2309311
1497,1250513,4592675,1847385,2309447
1498,1249496,4593430,1846372,2310722
1499,1247809,4595094,1845531,2311586
1500,1245956,4596845,1844866,2312353
1501,1247560,4595844,1844272,2312344
1502,1247489,4596918,1843600,2312013
1503,1250634,4593861,1844288,2311237
1504,1249932,4594622,1844484,2310982
1505,1247746,4596465,1844020,2311789
1506,1251236,4593770,1844411,2310603
1507,1253303,4592771,1843851,2310095
1508,1255889,4590064,1845005,2309062
1509,1257265,4588755,1844877,2309123
1510,1257084,4589773,1843762,2309401
1511,1257010,4589379,1843204,2310427
1512,1257325,4589157,1844216,2309322
1513,1259162,4587164,1845497,2308197
1514,1258846,4588151,1846135,2306888
1515,1256393,4590413,1845450,2307764
1516,1257287,4589918,1845939,2306876
1517,1259096,4589043,1844807,2307074
1518,1259583,4587798,1845737,2306902
1519,1260366,4586616,1847217,2305821
1520,1258994,4587893,1846234,2306899
1521,1258500,4589212,1846411,2305897
1522,1259376,4589255,1845637,2305752
1523,1260961,4588034,1846589,2304436
1524,1260707,4589016,1846572,2303725
1525,1260040,4590154,1845597,2304229
1526,1259592,4591501,1844485,2304442
1527,1260446,4590365,1845641,2303568
1528,1259557,4591311,1846251,2302901
1529,1261155,4588982,1847494,2302389
1530,1261749,4588395,1848571,2301305
1531,1260428,4589219,1848002,2302371
1532,1258407,4590785,1848284,2302544
1533,1257131,4591464,1847848,2303577
1534,1255640,4592155,1848703,2303522
1535,1257284,4591032,1849707,2301997
1536,1256816,4592652,1849340,2301212
1537,1258111,4591216,1850039,2300654
1538,1259150,4590361,1850568,2299941
1539,1256657,4592255,1849641,2301467
1540,1259161,4589606,1850658,2300595
1541,1259058,4588619,1850221,2302122
1542,1257596,4589446,1849322,2303656
1543,1256233,4590536,1848280,2304971
1544,1255309,4591084,1848008,2305619
1545,1253309,4592639,1847507,2306565
1546,1254079,4592109,1848785,2305047
1547,1254408,4591086,1849945,2304581
1548,1253631,4592448,1850820,2303121
1549,1253349,4593445,1851064,2302162
1550,1252347,4593863,1850551,2303259
1551,1252079,4594426,1851465,2302050
1552,1250546,4595090,1852049,2302335
1553,1249864,4595436,1852408,2302312
1554,1248468,4596483,1852341,2302728
1555,1247460,4596819,1852266,2303475
1556,1245404,4598701,1851156,2304759
1557,1244422,4599148,1851528,2304922
1558,1243061,4599718,1850564,2306677
1559,1244598,4597642,1850681,2307099
1560,1244555,4597640,1850692,2307133
1561,1245531,4597633,1851302,2305554
1562,1246289,4596132,1850945,2306654
1563,1248049,4594966,1851461,2305544
1564,1247321,4595342,1852215,2305142
1565,1247868,4594036,1853042,2305074
1566,1246392,4594795,1852388,2306445
1567,1247282,4592841,1853532,2306365
1568,1248435,4592431,1853600,2305554
1569,1250469,4590809,1854258,2304484
1570,1250914,4589955,1853573,2305578
1571,1253821,4587882,1853836,2304481
1572,1254813,4587145,1854561,2303501
1573,1256842,4585389,1855379,2302410
1574,1258296,4584095,1856394,2301235
1575,1257862,4585182,1856689,2300287
1576,1258469,4584454,1857389,2299708
1577,1258005,4584444,1857488,2300083
1578,1258775,4584308,1857424,2299513
1579,1259424,4583858,1858137,2298601
1580,1257877,4585068,1857055,2300020
1581,1257528,4584241,1857816,2300435
1582,1257905,4584102,1858571,2299442
1583,1259517,4582311,1859256,2298936
1584,1261209,4580346,1859942,2298523
1585,1262873,4579238,1859936,2297973
1586,1262183,4580805,1859957,2297075
1587,1259607,4581862,1860448,2298103
1588,1258620,4581554,1860881,2298965
1589,1258237,4582342,1859785,2299656
1590,1256240,4584106,1858571,2301103
1591,1257444,4583442,1858618,2300516
1592,1256317,4583798,1859480,2300425
1593,1254649,4584627,1858460,2302284
1594,1255479,4583847,1859303,2301391
1595,1256386,4583113,1859482,2301039
1596,1254962,4584082,1858575,2302401
1597,1254207,4585341,1857455,2303017
1598,1251814,4587427,1856356,2304423
1599,1253364,4586993,1855414,2304249
1600,1253654,4587570,1855867,2302929
1601,1253944,4586209,1855358,2304509
1602,1255186,4585631,1854480,2304723
1603,1254250,4587087,1853618,2305065
1604,1255561,4585819,1853235,2305405
1605,1255613,4585168,1852660,2306579
1606,1256030,4584750,1853671,2305569
1607,1254988,4585591,1852813,2306628
1608,1254814,4585032,1851930,2308244
1609,1254300,4585998,1852272,2307450
1610,1254177,4586628,1851165,2308050
1611,1253106,4587514,1851084,2308316
1612,1252165,4588545,1851353,2307957
1613,1252163,4589145,1850672,2308040
1614,1250951,4589603,1850600,2308866
1615,1249827,4590284,1851366,2308543
1616,1252276,4588507,1851857,2307380
1617,1253572,4587956,1852293,2306199
1618,1255126,4586878,1851533,2306483
1619,1255322,4585828,1852466,2306404
1620,1256799,4584749,1851970,2306502
1621,1256713,4584200,1852874,2306233
1622,1257277,4583761,1853987,2304995
1623,1257559,4582638,1854753,2305070
1624,1256845,4583899,1854185,2305091
1625,1257678,4583385,1854808,2304149
1626,1257795,4582643,1855316,2304266
1627,1257606,4581834,1855283,2305297
1628,1257406,4582200,1854109,2306305
1629,1258277,4581676,1854856,2305211
1630,1258003,4581134,1854707,2306176
