Time,S,E,I,R
223,9990193,7503,1497,827
224,9989975,7666,1537,842
225,9989729,7867,1567,857
226,9989479,8067,1596,878
227,9989214,8276,1623,907
228,9988970,8451,1665,934
229,9988715,8659,1699,947
230,9988429,8879,1739,973
231,9988139,9090,1796,995
232,9987870,9281,1852,1017
233,9987581,9494,1904,1041
234,9987280,9718,1958,1064
235,9987007,9918,1994,1101
236,9986703,10126,2072,1119
237,9986390,10370,2110,1150
238,9986072,10606,2159,1183
239,9985703,10892,2200,1225
240,9985331,11189,2259,1241
241,9984951,11485,2300,1284
242,9984628,11716,2359,1317
243,9984245,11996,2435,1344
244,9983858,12312,2475,1375
245,9983478,12580,2551,1411
246,9983127,12846,2607,1440
247,9982731,13136,2674,1479
248,9982313,13464,2737,1506
249,9981884,13807,2786,1543
250,9981413,14154,2867,1586
251,9980973,14487,2945,1615
252,9980506,14849,3016,1649
253,9980013,15226,3087,1694
254,9979543,15591,3158,1728
255,9979050,15954,3254,1762
256,9978520,16378,3308,1814
257,9978040,16746,3381,1853
258,9977522,17153,3423,1922
259,9977024,17510,3518,1968
260,9976490,17907,3624,1999
261,9975949,18304,3723,2044
262,9975351,18764,3830,2075
263,9974759,19207,3917,2137
264,9974132,19722,3991,2175
265,9973476,20213,4079,2252
266,9972805,20717,4186,2312
267,9972181,21199,4283,2357
268,9971564,21638,4413,2405
269,9970854,22190,4490,2486
270,9970154,22721,4589,2556
271,9969386,23306,4688,2640
272,9968677,23862,4787,2694
273,9967905,24437,4900,2778
274,9967197,24959,5032,2832
275,9966388,25586,5120,2926
276,9965642,26152,5222,3004
277,9964859,26736,5337,3088
278,9964028,27362,5488,3142
279,9963166,27983,5640,3231
280,9962242,28720,5746,3312
281,9961292,29427,5914,3387
282,9960356,30147,6055,3462
283,9959388,30918,6189,3525
284,9958388,31702,6339,3591
285,9957416,32435,6504,3665
286,9956343,33239,6663,3775
287,9955337,33971,6840,3872
288,9954256,34791,6989,3984
289,9953223,35571,7140,4086
290,9952122,36404,7327,4167
291,9951001,37236,7507,4276
292,9949780,38195,7653,4392
293,9948599,39055,7861,4505
294,9947368,39961,8066,4625
295,9946047,40947,8305,4721
296,9944735,42016,8458,4811
297,9943416,42973,8694,4937
298,9942108,43944,8926,5042
299,9940774,44930,9136,5180
300,9939336,46038,9364,5282
301,9937784,47255,9552,5429
302,9936345,48326,9772,5577
303,9934745,49530,10026,5719
304,9933239,50639,10290,5852
305,9931620,51890,10584,5926
306,9930008,53120,10830,6062
307,9928310,54412,11101,6197
308,9926583,55712,11399,6326
309,9924913,56959,11676,6472
310,9923147,58249,11998,6626
311,9921257,59685,12262,6816
312,9919399,61130,12500,6991
313,9917431,62616,12831,7142
314,9915371,64127,13205,7317
315,9913344,65662,13532,7482
316,9911305,67203,13869,7643
317,9909203,68829,14173,7815
318,9907041,70442,14538,7999
319,9904713,72273,14849,8185
320,9902333,74083,15207,8397
321,9900026,75781,15588,8625
322,9897613,77644,15953,8810
323,9895137,79498,16338,9047
324,9892631,81420,16671,9298
325,9890057,83416,17036,9511
326,9887478,85324,17494,9724
327,9884770,87345,17909,9996
328,9881836,89604,18327,10253
329,9879018,91669,18793,10540
330,9876151,93811,19286,10772
331,9873120,96066,19763,11071
332,9870096,98346,20226,11352
333,9866950,100707,20744,11619
334,9863764,103047,21290,11919
335,9860411,105635,21774,12200
336,9857268,107993,22305,12454
337,9853840,110605,22862,12713
338,9850422,113157,23391,13050
339,9846633,116060,23886,13441
340,9842806,119005,24454,13755
341,9839224,121636,25120,14040
342,9835454,124447,25707,14412
343,9831572,127353,26344,14751
344,9827512,130419,26964,15125
345,9823353,133610,27566,15491
346,9819024,136969,28221,15806
347,9814977,139936,28866,16241
348,9810477,143301,29664,16578
349,9806007,146678,30325,17010
350,9801171,150505,30929,17415
351,9796439,154094,31619,17868
352,9791548,157783,32403,18286
353,9786354,161735,33127,18804
354,9781392,165443,33967,19218
355,9776162,169405,34756,19697
356,9770660,173667,35472,20221
357,9765377,177576,36323,20744
358,9760026,181596,37152,21246
359,9754233,186031,38048,21708
360,9748607,190146,39041,22226
361,9742772,194541,40004,22703
362,9736582,199209,40962,23267
363,9730192,204143,41953,23732
364,9723896,208829,43045,24250
365,9717105,214084,43949,24882
366,9710607,218804,45096,25513
367,9703680,224007,46115,26218
368,9696684,229255,47224,26857
369,9689545,234589,48370,27516
370,9682315,239994,49540,28171
371,9674837,245552,50802,28829
372,9667120,251329,51989,29582
373,9659422,257043,53266,30289
374,9651423,262996,54593,31008
375,9643352,268952,55953,31763
376,9634751,275580,57164,32525
377,9626190,282010,58577,33243
378,9617255,288681,60004,34080
379,9608250,295388,61553,34829
380,9598567,302958,62774,35721
381,9589282,309893,64246,36599
382,9579807,316917,65872,37424
383,9569846,324370,67422,38382
384,9559492,332297,68966,39265
385,9548698,340576,70513,40233
386,9537726,348886,72134,41274
387,9526900,356915,73822,42383
388,9515425,365684,75456,43455
389,9503942,374557,77089,44432
390,9491838,383834,78787,45561
391,9480016,392774,80659,46571
392,9467768,402085,82644,47523
393,9455628,411057,84714,48621
394,9442838,420777,86601,49804
395,9429771,430634,88623,50992
396,9416697,440382,90639,52302
397,9402912,450708,92716,53684
398,9389291,460720,94958,55051
399,9375629,470860,97321,56210
400,9361784,481045,99863,57328
401,9346761,492474,102130,58655
402,9332280,503351,104506,59883
403,9317005,514999,106718,61298
404,9301191,526867,108965,62997
405,9284856,539313,111282,64569
406,9269214,550596,114115,66095
407,9252569,562844,116895,67712
408,9235406,575577,119681,69356
409,9218156,588300,122501,71063
410,9200500,601223,125325,72972
411,9182021,615260,128237,74502
412,9162609,630066,131048,76297
413,9143539,644599,133954,77928
414,9124213,658816,137263,79728
415,9104430,673823,140176,81591
416,9084843,688118,143706,83353
417,9063237,704478,146844,85461
