Time,S,I,R
1071,4244374,2557652,3197994
1072,4242805,2557775,3199440
1073,4240698,2558250,3201072
1074,4242690,2557565,3199765
1075,4243281,2558053,3198686
1076,4242385,2557644,3199991
1077,4240564,2557889,3201567
1078,4241649,2558419,3199952
1079,4240134,2559369,3200517
1080,4240002,2559893,3200125
1081,4241197,2560485,3198338
1082,4240439,2559947,3199634
1083,4239279,2559658,3201083
1084,4238415,2559297,3202308
1085,4236841,2559284,3203895
1086,4236428,2560115,3203477
1087,4237898,2560458,3201664
1088,4238153,2560107,3201760
1089,4236523,2560077,3203420
1090,4238169,2560492,3201359
1091,4239157,2561420,3199443
1092,4237934,2561905,3200181
1093,4237580,2561780,3200660
1094,4238698,2561757,3199565
1095,4239460,2560750,3199810
1096,4240221,2561267,3198532
1097,4241380,2560931,3197709
1098,4240596,2560178,3199246
1099,4240494,2560218,3199308
1100,4241536,2560657,3197827
1101,4240411,2560430,3199179
1102,4238697,2561160,3200163
1103,4237951,2562127,3199942
1104,4238386,2562150,3199484
1105,4239919,2561768,3198333
1106,4241325,2561578,3197117
1107,4243157,2561160,3195703
1108,4240981,2561565,3197474
1109,4238744,2562198,3199078
1110,4238340,2562357,3199323
1111,4238026,2562858,3199136
1112,4239677,2562466,3197877
1113,4239484,2563157,3197379
1114,4237887,2563196,3198937
1115,4239053,2563254,3197713
1116,4238325,2563855,3197840
1117,4239076,2564307,3196637
1118,4240802,2563978,3195240
1119,4238720,2564508,3196792
1120,4241235,2563599,3195186
1121,4242185,2563762,3194073
1122,4242211,2563249,3194560
1123,4242607,2562561,3194852
1124,4243717,2563202,3193101
1125,4245160,2563263,3191597
1126,4246310,2564413,3189297
1127,4247306,2564621,3188093
1128,4247057,2564956,3188007
1129,4246287,2564660,3189073
1130,4244297,2565054,3190669
1131,4245285,2564888,3189847
1132,4244484,2565139,3190397
1133,4243248,2566545,3190227
1134,4242289,2565815,3191916
1135,4240202,2566623,3193195
1136,4241963,2566465,3191592
1137,4244080,2566017,3189923
1138,4243605,2566798,3189617
1139,4242778,2567238,3190004
1140,4242013,2566793,3191214
1141,4241322,2567517,3191181
1142,4242494,2567788,3189738
1143,4240867,2567660,3191493
1144,4239313,2567597,3193110
1145,4239999,2568098,3191923
1146,4241691,2567785,3190544
1147,4242538,2566769,3190713
1148,4242683,2566176,3191161
1149,4244501,2565641,3189878
1150,4242577,2566363,3191080
1151,4240805,2566601,3192614
1152,4239808,2567334,3192878
1153,4240888,2566938,3192194
1154,4242065,2566943,3191012
1155,4243130,2566955,3189935
1156,4241679,2566745,3191596
1157,4240730,2566595,3192695
1158,4241288,2565557,3193175
1159,4239131,2566459,3194430
1160,4237757,2566228,3196035
1161,4236515,2565954,3197551
1162,4235190,2566262,3198568
1163,4237208,2565500,3197312
1164,4236485,2566332,3197203
1165,4235746,2565202,3199072
1166,4237887,2564732,3197401
1167,4236331,2564878,3198811
1168,4235696,2564012,3200312
1169,4235722,2563806,3200492
1170,4236428,2562867,3200725
1171,4238225,2562359,3199436
1172,4239074,2563208,3197738
1173,4241051,2562567,3196402
1174,4239310,2562613,3198097
1175,4239306,2562044,3198670
1176,4238278,2561306,3200436
1177,4238542,2560977,3200501
1178,4239683,2561015,3199322
1179,4239019,2560968,3200033
1180,4241296,2560513,3198211
1181,4240119,2560626,3199275
1182,4240913,2561604,3197503
1183,4241018,2562176,3196826
1184,4242015,2561377,3196628
1185,4243014,2561738,3195268
1186,4244983,2561276,3193761
1187,4243866,2561208,3194946
1188,4243017,2562252,3194751
1189,4243856,2562468,3193696
1190,4241761,2563713,3194546
1191,4240685,2563288,3196047
1192,4241001,2562793,3196226
1193,4240569,2563172,3196279
1194,4241083,2562966,3195971
1195,4241753,2563479,3194788
1196,4243096,2563413,3193511
1197,4242346,2563967,3193707
1198,4241385,2563117,3195518
1199,4243561,2562049,3194410
1200,4243102,2562581,3194337
1201,4243956,2561985,3194079
1202,4242368,2562578,3195074
1203,4243283,2562882,3193855
1204,4242805,2562507,3194708
1205,4241811,2562181,3196028
1206,4241253,2561304,3197463
1207,4241757,2561651,3196612
1208,4241697,2562167,3196156
1209,4241326,2562796,3195898
1210,4243012,2562391,3194617
1211,4244242,2562317,3193461
1212,4246266,2561923,3191831
1213,4245892,2561986,3192142
1214,4244128,2561881,3194011
1215,4242833,2562590,3194597
1216,4243451,2563323,3193246
1217,4245730,2563314,3190976
1218,4243366,2563620,3193034
1219,4242788,2563755,3193477
1220,4241520,2563271,3195229
1221,4240241,2562663,3197116
1222,4240404,2561785,3197831
1223,4242766,2560991,3196263
1224,4241610,2560820,3197590
1225,4242402,2561345,3196273
1226,4244206,2560947,3194867
1227,4246263,2560530,3193227
1228,4245232,2559669,3195119
1229,4244266,2559399,3196355
1230,4241839,2560529,3197652
1231,4241812,2561133,3197075
1232,4241337,2561683,3197000
1233,4239465,2561833,3198722
1234,4238833,2561198,3199989
1235,4238927,2561042,3200051
1236,4240612,2560648,3198760
1237,4239292,2560470,3200258
1238,4241476,2559886,3198658
1239,4240772,2559410,3199838
1240,4240105,2558840,3201075
1241,4240195,2558581,3201244
1242,4238387,2558805,3202828
1243,4237083,2558545,3204392
1244,4238940,2558478,3202602
1245,4238222,2557675,3204123
1246,4236515,2558388,3205117
1247,4238026,2558672,3203322
1248,4237706,2559092,3203222
1249,4236716,2558925,3204379
1250,4237207,2559393,3203420
1251,4239734,2558592,3201694
1252,4240586,2559491,3199943
1253,4240106,2559999,3199915
1254,4238295,2560352,3201373
1255,4238232,2559447,3202341
1256,4239484,2559834,3200702
1257,4238261,2559315,3202444
1258,4236619,2559732,3203669
1259,4236271,2558890,3204859
1260,4238275,2558276,3203469
1261,4238826,2558466,3202728
1262,4239875,2558499,3201646
1263,4239149,2558012,3202859
1264,4239550,2557485,3202985
1265,4241026,2557937,3201057
1266,4241754,2557842,3200424
1267,4239614,2558260,3202146
1268,4240857,2557307,3201856
1269,4241352,2557267,3201401
1270,4243800,2556401,3199819
1271,4242669,2556359,3200992
1272,4243349,2556979,3199692
1273,4243807,2556664,3199549
1274,4246034,2556702,3197284
1275,4248194,2556446,3195380
1276,4250041,2555328,3194651
1277,4248408,2555849,3195763
1278,4248137,2556148,3195735
1279,4249566,2555965,3194489
1280,4250928,2556341,3192751
1281,4251105,2556351,3192564
1282,4249974,2556496,3193550
1283,4249085,2556071,3194864
1284,4249273,2556525,3194222
1285,4249452,2556036,3194532
1286,4250690,2556847,3192483
1287,4251418,2555929,3192673
1288,4251268,2555908,3192844
1289,4252570,2555995,3191455
1290,4254147,2556319,3189554
1291,4254476,2555920,3189624
1292,4253456,2555336,3191228
1293,4255245,2554896,3189879
1294,4257334,2554433,3188253
1295,4256417,2553970,3189633
1296,4257390,2554523,3188107
1297,4254800,2555781,3189439
1298,4254470,2556292,3189258
1299,4252113,2556585,3191322
1300,4253495,2556244,3190281
1301,4255385,2556034,3188601
1302,4256742,2556347,3186931
1303,4258143,2555623,3186254
1304,4258852,2556961,3184207
1305,4257708,2556294,3186018
1306,4258293,2557055,3184672
1307,4260100,2556847,3183073
1308,4261729,2556029,3182262
1309,4263061,2555679,3181280
1310,4260557,2556692,3182771
1311,4258569,2557256,3184195
1312,4257436,2556866,3185718
1313,4258372,2556984,3184664
1314,4258731,2556237,3185052
1315,4258745,2555755,3185520
1316,4258989,2556688,3184343
1317,4259473,2557782,3182765
1318,4259775,2557676,3182569
1319,4258453,2558977,3182590
1320,4259267,2559980,3180773
1321,4257914,2560354,3181752
1322,4255141,2561263,3183616
1323,4254247,2561452,3184321
1324,4254701,2562042,3183277
1325,4255754,2561958,3182308
1326,4257437,2560686,3181897
1327,4257908,2561171,3180941
1328,4258385,2560232,3181403
1329,4259342,2560094,3180584
1330,4258674,2560674,3180672
1331,4256252,2561781,3181987
1332,4258160,2561441,3180419
1333,4257555,2562447,3180018
1334,4257857,2563291,3178872
1335,4257662,2564325,3178033
1336,4259260,2563488,3177272
1337,4257444,2563490,3179086
1338,4254846,2563876,3181298
1339,4254632,2563728,3181660
1340,4255583,2564098,3180339
1341,4256788,2563811,3179421
1342,4254351,2564327,3181342
1343,4253079,2564297,3182644
1344,4252128,2564900,3182992
1345,4253834,2564958,3181228
1346,4253382,2565173,3181465
1347,4253486,2565365,3181169
1348,4252415,2566243,3181362
1349,4253708,2565917,3180395
1350,4255031,2565434,3179555
1351,4253666,2564422,3181932
1352,4254048,2564726,3181246
1353,4254827,2565253,3179940
1354,4255090,2565627,3179303
1355,4255744,2566218,3178058
1356,4254253,2565801,3179966
1357,4252997,2565329,3181694
1358,4252464,2566324,3181232
1359,4252990,2566041,3180989
1360,4252556,2566019,3181445
1361,4250369,2566174,3183477
1362,4248707,2566152,3185161
1363,4247675,2565502,3186843
1364,4246686,2566240,3187094
1365,4246568,2566994,3186458
1366,4247742,2566699,3185579
1367,4247425,2565957,3186638
1368,4248584,2565546,3185890
1369,4250128,2564726,3185166
1370,4249309,2565490,3185221
1371,4249361,2565330,3185329
1372,4247054,2565961,3187005
1373,4246773,2566104,3187143
1374,4246985,2566974,3186061
1375,4244326,2567161,3188533
1376,4245789,2567435,3186796
1377,4244710,2567500,3187810
1378,4245218,2567011,3187791
1379,4244909,2567359,3187752
1380,4246331,2567174,3186515
1381,4244934,2566772,3188314
1382,4244870,2566125,3189025
1383,4244860,2566150,3189010
1384,4245787,2566947,3187286
1385,4247524,2566379,3186117
1386,4247829,2566004,3186187
1387,4246707,2565876,3187437
1388,4246498,2566255,3187267
1389,4247930,2565988,3186102
1390,4247615,2565803,3186602
1391,4248248,2565939,3185833
1392,4246340,2566284,3187396
1393,4247198,2566623,3186199
1394,4248668,2566656,3184696
1395,4246205,2567291,3186524
1396,4246672,2567783,3185565
1397,4246705,2568644,3184671
1398,4244823,2568587,3186610
1399,4244116,2569543,3186361
1400,4244408,2568619,3186993
1401,4245546,2568114,3186360
1402,4243480,2568262,3188278
1403,4245108,2567646,3187266
1404,4244381,2567847,3187792
1405,4244137,2567644,3188239
1406,4241746,2567906,3190368
1407,4243460,2567967,3188593
1408,4242117,2567446,3190457
1409,4242665,2567848,3189507
1410,4240479,2568473,3191068
1411,4241045,2568079,3190896
1412,4241345,2567183,3191492
1413,4239990,2567087,3192943
1414,4241889,2566646,3191485
1415,4243642,2565820,3190558
1416,4245759,2565194,3189067
1417,4246072,2565633,3188315
1418,4243800,2565800,3190420
1419,4245062,2565355,3189603
1420,4245077,2565066,3189877
1421,4245369,2564640,3190011
1422,4243582,2565196,3191242
1423,4243219,2564517,3192284
1424,4244862,2564356,3190802
1425,4244417,2565372,3190231
1426,4244806,2565768,3189446
1427,4244506,2566460,3189054
1428,4246664,2565314,3188042
1429,4245209,2565551,3189260
1430,4244074,2566222,3189724
1431,4242652,2565973,3191395
1432,4241216,2565638,3193166
1433,4242755,2565872,3191393
1434,4240756,2566209,3193055
1435,4240211,2566578,3193231
1436,4238466,2566678,3194876
1437,4240650,2565850,3193520
1438,4240457,2566588,3192975
1439,4239481,2566173,3194366
1440,4237232,2566610,3196178
1441,4237711,2567190,3195119
1442,4237641,2567392,3194987
1443,4237534,2567037,3195449
1444,4238693,2566123,3195204
1445,4240440,2565355,3194225
1446,4242116,2564687,3193217
1447,4242877,2565056,3192087
1448,4243576,2564478,3191966
1449,4243313,2564494,3192213
1450,4240905,2565654,3193461
1451,4241332,2566533,3192155
1452,4239071,2566663,3194286
1453,4237622,2566036,3196362
1454,4236569,2565223,3198228
1455,4236222,2565529,3198269
1456,4236314,2565133,3198573
1457,4235916,2565463,3198641
1458,4236216,2564642,3199162
1459,4234824,2564616,3200580
1460,4235917,2564862,3199241
1461,4238234,2563709,3198077
1462,4236705,2564418,3198897
1463,4238816,2563106,3198098
1464,4238181,2562415,3199424
1465,4237063,2562055,3200902
1466,4238281,2561946,3199793
1467,4238135,2561913,3199972
1468,4239616,2562343,3198061
1469,4239072,2563053,3197895
1470,4239309,2563278,3197433
1471,4241468,2562946,3195606
1472,4243424,2562210,3194386
1473,4244923,2562056,3193041
1474,4245579,2562492,3191949
1475,4245184,2563226,3191610
1476,4245853,2564330,3189837
1477,4244726,2564467,3190827
1478,4244983,2564057,3190980
1479,4245646,2563307,3191067
1480,4245130,2562800,3192090
1481,4244388,2561873,3193759
1482,4242991,2562830,3194199
1483,4243808,2563054,3193158
1484,4242867,2562213,3194940
1485,4244789,2561481,3193750
1486,4243054,2560935,3196031
1487,4242692,2560708,3196620
1488,4240154,2561986,3197880
1489,4239545,2561310,3199165
1490,4240163,2562262,3197595
1491,4239735,2563035,3197250
1492,4238585,2562650,3198785
1493,4240350,2562201,3197469
1494,4239791,2562973,3197256
1495,4239630,2562703,3197687
1496,4237951,2563346,3198723
1497,4237539,2564005,3198476
1498,4236964,2563504,3199552
1499,4237385,2563186,3199449
1500,4238057,2563515,3198448
1501,4238894,2564339,3196787
1502,4240476,2564094,3195450
1503,4242130,2564174,3193716
1504,4244670,2563250,3192100
1505,4245054,2563473,3191493
1506,4245597,2563972,3190451
1507,4246221,2563758,3190041
1508,4247840,2563334,3188846
1509,4249173,2563673,3187174
1510,4248698,2564837,3186485
1511,4247997,2564618,3187405
1512,4247080,2565321,3187619
1513,4247837,2566010,3186173
1514,4247532,2566328,3186160
1515,4245273,2566621,3188126
1516,4243902,2565796,3190322
1517,4241574,2566181,3192265
1518,4243264,2566200,3190556
1519,4242709,2565552,3191759
1520,4242076,2564871,3193073
1521,4241451,2565429,3193140
1522,4241787,2565065,3193168
1523,4240812,2564255,3194953
1524,4240302,2563426,3196292
1525,4239445,2564400,3196175
1526,4237871,2564395,3197754
1527,4237817,2564786,3197417
1528,4237965,2564886,3197169
1529,4239147,2564987,3195886
1530,4238009,2564994,3197017
1531,4237325,2564334,3198361
1532,4238500,2564441,3197079
1533,4236715,2564787,3198518
1534,4235640,2563794,3200586
1535,4233732,2564284,3202004
1536,4235013,2564052,3200955
1537,4235062,2564377,3200581
1538,4234368,2564158,3201494
1539,4233900,2564662,3201458
1540,4236129,2563885,3200006
1541,4236936,2563171,3199913
1542,4237449,2562628,3199943
1543,4236093,2562642,3201285
1544,4237277,2561614,3201129
1545,4238425,2562443,3199152
1546,4239270,2562497,3198253
1547,4237917,2562842,3199261
1548,4238705,2563353,3197962
1549,4238435,2563000,3198585
1550,4236520,2563187,3200313
1551,4239363,2561610,3199047
1552,4240574,2562046,3197400
1553,4240892,2561315,3197813
1554,4241577,2560322,3198121
1555,4241335,2560641,3198044
1556,4240572,2560598,3198850
1557,4240318,2560073,3199629
1558,4238316,2561153,3200551
1559,4239566,2561711,3198743
1560,4239126,2561053,3199841
1561,4240715,2560772,3198533
1562,4239511,2560842,3199667
1563,4239697,2560020,3200303
1564,4241554,2559146,3199320
1565,4239576,2560120,3200324
1566,4239692,2560816,3199512
1567,4238301,2561081,3200638
1568,4238580,2561200,3200240
1569,4240724,2560633,3198663
1570,4239797,2559595,3200628
1571,4238441,2559607,3201972
1572,4238152,2558900,3202968
1573,4239572,2559242,3201206
1574,4239184,2559748,3201088
1575,4237519,2560402,3202099
1576,4238976,2560484,3200560
1577,4238859,2560841,3200320
1578,4238841,2560214,3200965
1579,4238711,2560403,3200906
1580,4239495,2560525,3200000
1581,4239775,2559985,3200260
1582,4240412,2560684,3198924
1583,4239861,2560054,3200105
1584,4240700,2559779,3199541
1585,4240863,2559730,3199427
1586,4242917,2559482,3197621
1587,4242800,2558954,3198266
1588,4242944,2558434,3198642
1589,4240871,2559120,3200029
1590,4239169,2559775,3201076
1591,4239232,2560506,3200282
1592,4239926,2561441,3198653
1593,4239019,2561501,3199500
1594,4241068,2561256,3197696
1595,4242094,2560411,3197515
1596,4240558,2560134,3199328
1597,4241177,2559457,3199386
1598,4240840,2560262,3198918
1599,4239475,2560159,3200386
1600,4238148,2560610,3201262
1601,4239522,2561057,3199441
1602,4238508,2561074,3200438
1603,4238288,2561776,3199956
1604,4240788,2560508,3198724
1605,4241809,2560491,3197720
1606,4242253,2559934,3197833
1607,4242288,2559652,3198080
1608,4243105,2558506,3198409
1609,4244011,2558701,3197308
1610,4242846,2558777,3198397
1611,4242674,2558666,3198680
1612,4244595,2558102,3197323
1613,4243971,2557812,3198237
1614,4245494,2557773,3196753
1615,4247333,2557047,3195640
1616,4249146,2556816,3194058
1617,4247965,2556245,3195810
1618,4247906,2556660,3195454
1619,4249064,2557179,3193777
1620,4248711,2558265,3193044
1621,4249884,2558510,3191626
1622,4251808,2558171,3190041
1623,4251220,2558808,3189992
1624,4251556,2558006,3190458
1625,4250487,2557578,3191955
1626,4250842,2557987,3191191
1627,4249920,2557804,3192296
1628,4250410,2558539,3191071
1629,4249093,2558423,3192504
1630,4247363,2558897,3193760
1631,4246005,2558715,3195300
1632,4244655,2558852,3196513
1633,4242929,2559165,3197926
1634,4243201,2559108,3197711
1635,4240736,2560202,3199082
1636,4240297,2560159,3199564
1637,4239220,2559453,3201347
1638,4239759,2558535,3201726
1639,4241416,2558502,3200102
1640,4243598,2558206,3198216
1641,4242950,2557620,3199450
1642,4243985,2558424,3197611
1643,4245818,2558088,3196114
1644,4247209,2558650,3194161
1645,4248975,2558534,3192511
1646,4248220,2557542,3194258
1647,4249591,2557692,3192737
1648,4248666,2558842,3192512
1649,4248405,2558837,3192778
1650,4246931,2558952,3194137
1651,4245364,2559423,3195233
1652,4244803,2559764,3195453
1653,4245364,2558459,3196197
1654,4245280,2558540,3196200
1655,4244606,2558059,3197355
1656,4244133,2557541,3198346
1657,4244890,2557006,3198124
1658,4245671,2556935,3197414
1659,4243881,2557145,3198994
1660,4243167,2556780,3200073
1661,4244476,2556148,3199396
1662,4243551,2555408,3201061
1663,4244832,2555572,3199616
1664,4243581,2556467,3199972
1665,4242130,2556760,3201130
1666,4240421,2557618,3201981
1667,4242891,2556984,3200145
1668,4243074,2557366,3199580
1669,4241484,2557456,3201080
1670,4241920,2558118,3199982
1671,4243795,2557832,3198393
1672,4245343,2558130,3196547
1673,4245185,2556778,3198057
1674,4243168,2557384,3199468
1675,4243432,2556571,3200017
1676,4241743,2557762,3200515
1677,4242170,2557952,3199898
1678,4242801,2557601,3199618
1679,4243931,2558246,3197843
1680,4246199,2557019,3196802
1681,4244160,2557392,3198468
1682,4245505,2557872,3196643
1683,4247190,2557472,3195358
1684,4245550,2557939,3196531
1685,4247456,2557050,3195514
1686,4247101,2558159,3194760
1687,4245347,2558621,3196052
1688,4246636,2558805,3194579
1689,4247248,2559618,3193154
1690,4248443,2560289,3191288
1691,4248169,2561247,3190604
1692,4246866,2560846,3192308
1693,4248760,2560574,3190686
1694,4249687,2560577,3189756
1695,4249335,2561363,3189322
1696,4249512,2560561,3189947
1697,4248116,2560238,3191666
1698,4246037,2560567,3193416
1699,4246431,2560240,3193349
1700,4247011,2559352,3193657
1701,4246476,2559255,3194289
1702,4245707,2558527,3195786
1703,4247801,2558694,3193525
1704,4245535,2559039,3195446
1705,4247253,2559623,3193144
1706,4248409,2560388,3191223
1707,4248083,2560703,3191234
1708,4250526,2559671,3189823
1709,4248047,2560305,3191668
1710,4250501,2559714,3189805
1711,4249668,2559280,3191072
1712,4249449,2559656,3190915
1713,4248924,2559472,3191624
1714,4250038,2559332,3190650
1715,4249787,2559442,3190791
1716,4250942,2559832,3189246
1717,4249025,2560833,3190162
1718,4249160,2560839,3190021
1719,4248812,2561181,3190027
1720,4249524,2560522,3189974
1721,4248811,2561491,3189718
1722,4249440,2561240,3189340
1723,4249359,2561501,3189160
1724,4249044,2562046,3188930
1725,4249111,2562464,3188445
1726,4249765,2561842,3188413
1727,4249307,2562221,3188492
1728,4249755,2562805,3187460
1729,4249958,2562637,3187425
1730,4248873,2562922,3188225
1731,4248446,2563296,3188278
1732,4248640,2563330,3188050
1733,4248745,2562976,3188299
1734,4247751,2562152,3190117
1735,4248297,2562788,3188935
1736,4246970,2562483,3190567
1737,4245181,2563074,3191765
1738,4245132,2562277,3192611
1739,4247230,2561591,3191199
1740,4247858,2561703,3190459
1741,4249179,2561515,3189326
1742,4248606,2560673,3190741
1743,4248199,2559980,3191841
1744,4246857,2560055,3193108
1745,4244640,2560241,3195139
1746,4242404,2560861,3196755
1747,4243571,2561304,3195145
1748,4244960,2561464,3193596
1749,4245785,2561622,3192613
1750,4246737,2561672,3191611
1751,4245955,2561998,3192067
1752,4247048,2561952,3191020
1753,4247651,2561307,3191062
1754,4248482,2561722,3189816
1755,4248853,2562379,3188788
1756,4246369,2563161,3190490
1757,4248490,2562250,3189280
1758,4248382,2561815,3189823
1759,4246554,2562023,3191443
1760,4246270,2562336,3191414
1761,4248230,2561747,3190043
1762,4248568,2562709,3188743
1763,4246302,2563062,3190656
1764,4244026,2564090,3191904
1765,4243109,2563188,3193723
1766,4242181,2562616,3195223
1767,4243074,2563107,3193839
1768,4242347,2563705,3193968
1769,4242385,2562894,3194741
1770,4244106,2562756,3193158
1771,4241912,2563911,3194197
1772,4241996,2563592,3194432
1773,4240950,2563480,3195590
1774,4241185,2562968,3195867
1775,4243126,2562109,3194785
1776,4242495,2562625,3194900
1777,4244480,2561985,3193555
1778,4244436,2561101,3194483
1779,4244941,2561616,3193463
1780,4245291,2562449,3192280
1781,4246423,2562668,3190929
1782,4246177,2562533,3191310
1783,4247940,2561958,3190122
1784,4248973,2562061,3188986
1785,4246966,2562234,3190820
1786,4246340,2562812,3190868
1787,4243876,2563697,3192447
1788,4244153,2562901,3192966
1789,4242248,2563360,3194412
1790,4241431,2564122,3194467
1791,4242471,2564529,3193020
1792,4241839,2563263,3194918
1793,4243786,2562582,3193652
1794,4242834,2562233,3194953
1795,4244181,2561943,3193896
1796,4243082,2561513,3195425
1797,4244674,2561351,3193995
1798,4242930,2561146,3195944
1799,4244932,2560595,3194493
1800,4245890,2561089,3193041
1801,4244097,2561742,3194181
1802,4244126,2561153,3194741
1803,4245162,2560740,3194118
1804,4244902,2561149,3193969
1805,4244867,2561263,3193890
1806,4243884,2560697,3195439
1807,4243754,2559933,3196333
1808,4244545,2560185,3195290
1809,4243896,2559585,3196539
1810,4243457,2560179,3196384
1811,4243001,2560755,3196264
1812,4242518,2560355,3197147
1813,4244097,2560856,3195067
1814,4244283,2560517,3195220
1815,4245681,2560916,3193423
1816,4246740,2560963,3192317
1817,4247095,2561122,3191803
1818,4247350,2562371,3190299
1819,4247192,2563005,3189823
1820,4245691,2563322,3191007
1821,4243610,2563495,3192915
1822,4244128,2563910,3191982
1823,4242805,2563628,3193587
1824,4242434,2563529,3194057
1825,4243536,2562888,3193596
1826,4244405,2564006,3191609
1827,4243563,2563210,3193247
1828,4244915,2563075,3192030
1829,4244591,2563614,3191815
1830,4245507,2564391,3190122
1831,4244742,2563453,3191825
1832,4242774,2563653,3193593
1833,4242840,2562863,3194317
1834,4242036,2563234,3194750
1835,4242624,2562114,3195282
1836,4240876,2562269,3196875
1837,4239279,2562501,3198240
1838,4237443,2563024,3199553
1839,4239242,2563311,3197467
1840,4240835,2563163,3196022
1841,4242675,2562131,3195214
1842,4241973,2562886,3195161
1843,4242640,2563223,3194157
1844,4240413,2563986,3195621
1845,4241195,2564058,3194767
1846,4240126,2563338,3196556
1847,4241290,2563526,3195204
1848,4239385,2563883,3196752
1849,4239664,2563175,3197181
1850,4240453,2563622,3195945
1851,4242456,2563166,3194398
1852,4240769,2563448,3195803
1853,4241843,2562539,3195638
1854,4240561,2562264,3197195
1855,4241346,2562822,3195852
1856,4240346,2562201,3197473
1857,4240490,2561882,3197648
1858,4238471,2562669,3198880
1859,4237825,2562878,3199317
1860,4236468,2562780,3200772
1861,4236991,2564156,3198873
1862,4237344,2564207,3198469
1863,4237446,2565075,3197499
1864,4236556,2564273,3199191
1865,4235835,2564743,3199442
1866,4236742,2563798,3199480
1867,4238305,2563624,3198091
1868,4239345,2563726,3196949
1869,4237715,2564070,3198235
1870,4239756,2563389,3196875
1871,4239948,2564112,3195960
1872,4237971,2564841,3197208
1873,4236322,2565212,3198486
1874,4235020,2565221,3199779
1875,4232960,2565842,3201218
1876,4232574,2565348,3202098
1877,4234925,2564660,3200435
1878,4236135,2565095,3198790
1879,4234974,2564541,3200505
1880,4234573,2563793,3201654
1881,4232467,2564251,3203302
1882,4234805,2563795,3201420
1883,4235272,2564059,3200689
1884,4235336,2564003,3200681
1885,4235895,2563979,3200146
1886,4237851,2563230,3198939
1887,4237139,2562466,3200415
1888,4236035,2562891,3201094
1889,4237960,2562886,3199174
1890,4237327,2563542,3199151
1891,4236092,2562958,3200970
1892,4235868,2563109,3201043
1893,4235279,2563566,3201175
1894,4236942,2562897,3200181
1895,4235250,2563097,3201673
1896,4234856,2561960,3203204
1897,4234775,2562482,3202763
1898,4234414,2562883,3202723
1899,4233945,2562494,3203581
1900,4233202,2561957,3204861
1901,4234820,2562515,3202685
1902,4235733,2562981,3201306
1903,4234545,2562785,3202690
1904,4232166,2563723,3204131
1905,4234231,2562923,3202866
1906,4236446,2562077,3201497
1907,4237378,2561581,3201061
1908,4238452,2560469,3201099
1909,4236497,2561497,3202026
1910,4237468,2562302,3200250
1911,4237489,2563148,3199383
1912,4235949,2563127,3200944
1913,4236282,2563325,3200413
1914,4236528,2562807,3200685
1915,4236625,2561780,3201615
1916,4235963,2561156,3202901
1917,4237296,2561605,3201119
1918,4236761,2561253,3202006
1919,4235798,2560989,3203233
1920,4234886,2560880,3204254
1921,4237145,2560316,3202559
1922,4235538,2559956,3204526
1923,4237525,2559494,3203001
1924,4237721,2558582,3203717
1925,4239140,2558607,3202273
1926,4238706,2559442,3201872
1927,4239374,2559992,3200654
1928,4240403,2559469,3200148
1929,4240504,2560228,3199288
1930,4241702,2560670,3197648
1931,4241340,2561014,3197666
1932,4242909,2560293,3196818
1933,4242865,2560804,3196351
1934,4241846,2560943,3197231
1935,4242450,2561392,3196178
1936,4240768,2561562,3197690
1937,4240654,2560761,3198605
1938,4239522,2560318,3200180
1939,4240109,2559925,3199986
1940,4238170,2560818,3201032
1941,4239049,2561207,3199764
1942,4238482,2560884,3200654
1943,4238674,2561009,3200337
1944,4240211,2561052,3198757
1945,4238357,2561896,3199767
1946,4237486,2561455,3201079
1947,4238866,2560384,3200770
1948,4238373,2561307,3200340
1949,4238189,2562296,3199535
1950,4240110,2561842,3198068
1951,4239213,2561358,3199449
1952,4237745,2561293,3200982
1953,4240128,2561043,3198849
1954,4240875,2561274,3197871
1955,4242910,2560306,3196804
1956,4243988,2560699,3195333
1957,4243603,2561658,3194759
1958,4243795,2561193,3195032
1959,4242344,2561427,3196249
1960,4242328,2561402,3196290
1961,4244330,2560963,3194727
1962,4244595,2561177,3194248
1963,4245527,2560434,3194059
1964,4247237,2559990,3192793
1965,4246761,2559815,3193444
1966,4245118,2560449,3194453
1967,4244797,2560636,3194587
1968,4246194,2560350,3193476
1969,4246130,2560535,3193355
1970,4246383,2561154,3192483
1971,4245272,2561130,3193618
1972,4243525,2561087,3195408
1973,4242253,2561050,3196717
1974,4244080,2560938,3195002
1975,4246349,2559861,3193810
1976,4248468,2558867,3192685
1977,4249469,2559472,3191079
1978,4250291,2560669,3189060
1979,4249752,2560558,3189710
1980,4248110,2560678,3191232
1981,4247030,2560476,3192514
1982,4247000,2559944,3193076
1983,4244725,2560700,3194595
1984,4245202,2561765,3193053
1985,4244900,2562219,3192901
1986,4244719,2562168,3193133
1987,4246238,2562222,3191560
1988,4243838,2562875,3193307
1989,4242905,2562573,3194542
1990,4242769,2562110,3195141
1991,4240689,2562617,3196714
1992,4240705,2562009,3197306
1993,4241452,2562654,3195914
1994,4242026,2564009,3193985
1995,4242578,2564763,3192679
1996,4241643,2564551,3193826
1997,4242298,2564903,3192819
1998,4242618,2564625,3192777
1999,4241257,2564646,3194117
2000,4241481,2563735,3194804
