Time,S,I,R
292,9881845,79066,39109
293,9878344,81332,40344
294,9874660,83818,41542
295,9870894,86209,42917
296,9867062,88747,44211
297,9863204,91391,45425
298,9859093,94087,46840
299,9854708,96866,48446
300,9850369,99687,49964
301,9845948,102558,51514
302,9841444,105645,52931
303,9836688,108859,54473
304,9831940,112067,56013
305,9826665,115551,57804
306,9821486,119055,59479
307,9815998,122594,61428
308,9810341,126256,63423
309,9804779,129952,65289
310,9799068,133734,67218
311,9793245,137817,68958
312,9787197,141864,70959
313,9781022,145952,73046
314,9774590,150321,75109
315,9767863,154665,77492
316,9761089,158978,79953
317,9754048,163855,82117
318,9746805,168684,84531
319,9739506,173545,86969
320,9731801,178507,89712
321,9723796,183726,92498
322,9715418,189155,95447
323,9706960,194551,98509
324,9698532,200277,101211
325,9689620,206147,104253
326,9680325,212095,107600
327,9670820,218216,110984
328,9660923,224715,114382
329,9651046,231142,117832
330,9640802,237707,121511
331,9629957,244691,125372
332,9619465,251730,128825
333,9608333,258943,132744
334,9597152,266585,136283
335,9585767,274191,140062
336,9574085,281939,143996
337,9562173,290089,147758
338,9549120,298465,152435
339,9536039,306898,157083
340,9523055,315479,161486
341,9509057,324625,166338
342,9495377,333912,170731
343,9480733,343563,175724
344,9466286,353127,180607
345,9451200,362836,185984
346,9435625,373296,191099
347,9419952,383859,196209
348,9403540,394736,201744
349,9387155,405861,207004
350,9369738,416835,213447
351,9352250,428555,219215
352,9334213,440462,225345
353,9315947,452205,231868
354,9296946,464750,238324
355,9277281,477305,245434
356,9257296,490421,252303
357,9236237,503923,259860
358,9215644,517438,266938
359,9194045,531277,274698
360,9172491,545505,282024
361,9149762,560121,290137
362,9126417,574799,298804
363,9103602,589624,306794
364,9079008,604874,316138
365,9054705,620896,324419
366,9028950,637108,333962
367,9004111,653340,342569
368,8977430,670151,352439
369,8950399,686935,362686
370,8923600,704557,371863
371,8894975,722465,382580
372,8865694,740567,393759
373,8836599,759153,404268
374,8806662,778191,415167
375,8776742,797604,425674
376,8746619,816990,436411
377,8715816,837001,447203
378,8683101,857333,459586
379,8650470,877922,471628
380,8616374,898721,484925
381,8582758,920029,497233
382,8548050,941223,510747
383,8513218,963490,523312
384,8477621,986138,536261
385,8440123,1008925,550972
386,8402398,1031880,565742
387,8364714,1054923,580383
388,8327125,1078535,594360
389,8289262,1102693,608065
390,8248835,1127056,624129
391,8208469,1151440,640111
392,8168537,1176146,655337
393,8126343,1201335,672342
394,8085753,1226460,687807
395,8044389,1252259,703372
396,8002391,1278235,719394
397,7958082,1303947,737991
398,7914341,1330479,755200
399,7870156,1357223,772641
400,7824286,1383638,792096
401,7778429,1410715,810876
402,7731622,1437686,830712
403,7686680,1464533,848807
404,7640077,1492038,867905
405,7592109,1519519,888392
406,7546125,1546624,907271
407,7497533,1574443,928044
408,7450218,1602019,947783
409,7402687,1629844,967489
410,7353554,1657456,989010
411,7305620,1685158,1009242
412,7256895,1713399,1029726
413,7204944,1741848,1053228
414,7155867,1769766,1074387
415,7104134,1797758,1098128
416,7054098,1825757,1120165
417,7003269,1853955,1142796
418,6953196,1882168,1164656
419,6903405,1909777,1186838
420,6850727,1937612,1211681
421,6799336,1964377,1236307
422,6747493,1991002,1261525
423,6696057,2017886,1286077
424,6645025,2044791,1310204
425,6591648,2071729,1336643
426,6539760,2098589,1361671
427,6490284,2124905,1384831
428,6440307,2150698,1409015
429,6387376,2177220,1435424
430,6337697,2202456,1459867
431,6285556,2227248,1487216
432,6233136,2252884,1514000
433,6181177,2277197,1541646
434,6132709,2301588,1565723
435,6081414,2325244,1593362
436,6032253,2349138,1618629
437,5984929,2371935,1643156
438,5938004,2394502,1667514
439,5891250,2416764,1692006
440,5845048,2438678,1716294
441,5795735,2460514,1743771
442,5750217,2481448,1768355
443,5701786,2501977,1796257
444,5655222,2521137,1823661
445,5607651,2541113,1851256
446,5564213,2560071,1875736
447,5519916,2578260,1901844
448,5474643,2595738,1929639
449,5430976,2613558,1955486
450,5386277,2630967,1982776
451,5344874,2647516,2007630
452,5301987,2663409,2034624
453,5262156,2679630,2058234
454,5224153,2693921,2081946
455,5186540,2708522,2104958
456,5148823,2723327,2127870
457,5110155,2737307,2152558
458,5069808,2750788,2179424
459,5030568,2763151,2206301
460,4994130,2774491,2231399
461,4958224,2785762,2256034
462,4921353,2796879,2281788
463,4886501,2808018,2305501
464,4852930,2817218,2329872
465,4821711,2827228,2351081
466,4789347,2836679,2373994
467,4757944,2846028,2396048
468,4726802,2853888,2419330
469,4696952,2861418,2441650
470,4666213,2868386,2465421
471,4639622,2874425,2485973
472,4610997,2880249,2508774
473,4583063,2885212,2531745
474,4556060,2891159,2552801
475,4530450,2896002,2573568
476,4504976,2900938,2594106
477,4480072,2905610,2614338
478,4456419,2909438,2634163
479,4434451,2911557,2654012
480,4412242,2915562,2672216
481,4390474,2918874,2690672
482,4369142,2920594,2710284
483,4350603,2922364,2727053
484,4332107,2923986,2743927
485,4310760,2926093,2763167
486,4294745,2926424,2778851
487,4279160,2927231,2793629
488,4259639,2928288,2812093
489,4242778,2929115,2828127
490,4226765,2929695,2843560
491,4209851,2929166,2861003
492,4194501,2929518,2876001
493,4179565,2930283,2890172
494,4166317,2930025,2903678
495,4154219,2929345,2916456
496,4138891,2928143,2932986
497,4128619,2926699,2944702
498,4117513,2924699,2957808
499,4107295,2921630,2971095
500,4093953,2920328,2985739
501,4082531,2917101,3000388
502,4074063,2915169,3010788
503,4065091,2911660,3023269
504,4056623,2907632,3035765
505,4045601,2905484,3048935
506,4036793,2901804,3061423
507,4027807,2898587,3073626
508,4018533,2896015,3085472
509,4012237,2892340,3095443
510,4004256,2889012,3106752
511,3996710,2885353,3117957
512,3990544,2882009,3127467
513,3987671,2877474,3134875
514,3981103,2873861,3145056
515,3978051,2870064,3151905
516,3974725,2866508,3158787
517,3971921,2861072,3167027
518,3967342,2857298,3175380
519,3962711,2852966,3184343
520,3961018,2848512,3190490
521,3958704,2844307,3197009
522,3957262,2839463,3203295
523,3956928,2834717,3208375
524,3955856,2829732,3214432
525,3956065,2825024,3218931
526,3953582,2820006,3226432
527,3951310,2815266,3233444
528,3952323,2810433,3237264
529,3951295,2806603,3242122
530,3950275,2803267,3246478
531,3949524,2799277,3251219
532,3946996,2795289,3257735
533,3946982,2790657,3262381
534,3949888,2784792,3265340
535,3950978,2779891,3269151
536,3950013,2775536,3274471
537,3953293,2770032,3276695
538,3952722,2765829,3281469
539,3954684,2760317,3285019
540,3954929,2756239,3288852
541,3954059,2752835,3293126
542,3957722,2748022,3294276
