Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989100624,9997321,9997321,0,0,1000,0,0,0,9998997945,10001002055,10001002055,10000000000,0,0,99999899627,0,101373,101373,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900590,0,100410,100410,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900361,0,100639,100639,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10396980,1253387,20000000,120000000,20000,120000,9998965128451,94070406,107078776,787,9603020,1000,88,2071404,19204466,9240721057,10759278943,10901554243,9989076056,10923944,13022,100010862117,33657800,152363,8832903,36200,292001200,27688124,41730974,17078880,6461336,61284000,993538664,999999896,104,1446421660,996987480,3012520,22769620,2756500,6820,5704220,999993340,6660,999881360,118640,5690740,1000,1000,1000,1000,1000,1000,1000,100010772229,33646000,162843,8876227,97500,291820800,25111523,39144573,17132028,6441299,61277700,993558701,999987123,12877,1446144724,996899796,3100204,22842704,2743700,4,5710680,1000000000,0,999869224,130776,5710676,1000,1000,1000,1000,1000,1000,1000,100010823087,33612000,117082,8536393,396800,291498400,23853828,37870978,17101894,6321409,61204500,993678591,999993232,6768,1445914523,996889029,3110971,22800271,2767300,0,5705140,999993237,6763,999879323,120677,5698377,1000,1000,1000,1000,1000,1000,1000
3000,20462550,1248079,40000000,240000000,20000,120000,9998092335345,93571800,110155622,1454,19537450,1000,125102,2101730,39071992,8638320445,11361679555,11722115255,9985559310,14440690,41402,100031061128,80247200,136118,13910609,37200,704943200,44018081,78046131,36872953,11773184,150236400,988226816,999999866,134,1368290782,998488029,1511971,49159571,8217400,3,12299720,999986901,13099,999904482,95518,12286618,1000,1000,1000,1000,1000,1000,1000,100031121394,80261100,74449,13799266,58400,705084600,47062624,81097774,36888718,11774313,150335700,988225687,999999294,706,1367911081,998521863,1478137,49180537,8177100,0,12305080,999986739,13261,999898981,101019,12291819,1000,1000,1000,1000,1000,1000,1000,100031053659,80373800,157801,13588981,406600,706046000,45401764,79482914,36951840,11816666,150411300,988183334,999999186,814,1367996620,998486280,1513720,49269120,8195400,6780,12324060,1000000000,0,999894220,105780,12317280,1000,1000,1000,1000,1000,1000,1000
4000,30502450,1271929,60000000,360000000,20000,120000,9997275541934,94025696,111730350,10074,29497550,1000,115139,2088602,58974952,8100609430,11899390570,12485330270,9984459618,15540382,75670,100051025895,126773200,149331,19790045,357200,1117100800,66647568,120619718,56770076,13964967,238640700,986035033,999986209,13791,1291643342,998932066,1067934,75693434,14489900,6620,18929980,999999998,2,999905542,94458,18923358,1000,1000,1000,1000,1000,1000,1000,100051062154,126741800,80666,19657466,404000,1116754800,68767129,122721579,56767080,14067407,238845900,985932593,999999347,653,1290201540,998948060,1051940,75689440,14438500,6500,18928860,1000000000,0,999910540,89460,18922360,1000,1000,1000,1000,1000,1000,1000,100051056771,126840800,124189,19708104,417500,1117630400,61274835,115271635,56827595,14101125,239026200,985898875,999993345,6655,1290060820,998950425,1049575,75765475,14430500,5,18951840,999986045,13955,999909320,90680,18937880,1000,1000,1000,1000,1000,1000,1000
5000,40530730,1254293,80000000,480000000,20000,120000,9996511337925,93052694,111254766,1524,39469270,1000,110,2099380,78935492,7616595319,12383404681,13198193881,9984009180,15990820,111872,100071016076,173276900,118287,26174483,378800,1529002600,88487258,162390308,76672737,15693223,327461400,984306777,999998644,1356,1212934421,999129684,870316,102230316,20975300,7101,25564680,1000000000,0,999913221,86779,25557579,1000,1000,1000,1000,1000,1000,1000,100070940155,173190600,112065,26479465,90200,1528158000,89622329,163483379,76670880,15613156,327453000,984386844,999998096,1904,1212434840,999106160,893840,102227840,20919600,6800,25563760,1000000000,0,999911540,88460,25556960,1000,1000,1000,1000,1000,1000,1000,100070989475,173403100,130331,26234424,403500,1530055800,78918810,152871910,76787395,15635367,327638400,984364633,999986569,13431,1212883102,999088207,911793,102383193,20937900,1,25595800,999999999,1,999901102,98898,25595798,1000,1000,1000,1000,1000,1000,1000
6000,50552370,1252924,100000000,600000000,20000,120000,9995791376665,93781753,112156840,10092,49447630,1000,125935,2092511,98875076,7179951118,12820048882,13864691182,9983865649,16134351,148225,100090941482,219735500,130718,32728756,379000,1940495000,108746348,202560348,96563818,16577698,415934400,983422302,999998798,1202,1135613400,999222382,777618,128749418,27548700,6802,32199420,999992982,7018,999921900,78100,32185600,1000,1000,1000,1000,1000,1000,1000,100090917023,219727000,112097,33033096,85200,1940365200,109099636,202906586,96592579,16857228,416211900,983142772,999999868,132,1134346640,999195861,804139,128787839,27517100,1,32202060,999993201,6799,999917840,82160,32195260,1000,1000,1000,1000,1000,1000,1000,100091064155,219938400,51991,32736425,330000,1942236800,99256707,193154207,96679856,16744470,416320800,983255530,999998852,1148,1135215782,999218426,781574,128906474,27526700,6240,32232860,999999998,2,999916782,83218,32226618,1000,1000,1000,1000,1000,1000,1000
7000,60570710,1255989,120000000,720000000,20000,120000,9995117464444,90032714,108443257,10035,59429290,1000,100,2090633,118838510,6785777958,13214222042,14490075842,9983864967,16135033,184877,100111040557,266351300,28623,39253183,344400,2353442600,127803113,241599363,116524320,17706252,504886800,982293748,999993712,6288,1057269960,999279140,720860,155365760,34188800,6660,38848100,1000000000,0,999917360,82640,38841440,1000,1000,1000,1000,1000,1000,1000,100110934768,266256300,105272,39325288,337300,2352577400,129392332,243146382,116482216,17635614,504875700,982364386,999999894,106,1056549380,999278864,721136,155305236,34175800,4,38836180,999986844,13156,999925180,74820,38823020,1000,1000,1000,1000,1000,1000,1000,100111062234,266492000,25312,39568404,64900,2354600000,120147166,233998166,116615454,17691864,505128600,982308136,999993546,6454,1057280282,999270728,729272,155487272,34154000,6902,38878720,1000000000,0,999918182,81818,38871818,1000,1000,1000,1000,1000,1000,1000
8000,70586180,1261152,140000000,840000000,20000,120000,9994477057527,90308895,108809141,805,69413820,1000,126082,2106116,138826030,6429853122,13570146878,15076744178,9983827624,16172376,221754,100130932860,312957300,121909,45956597,372600,2766277000,147326935,281099585,136491531,18361924,593613000,981638076,999991947,8053,979870223,999289892,710108,181988708,40854700,3,45497180,1000000000,0,999914823,85177,45497177,1000,1000,1000,1000,1000,1000,1000,100130876698,312713100,24354,45889940,345000,2764058200,151801914,285466414,136428950,17952236,593279400,982047764,999980020,19980,979535284,999265734,734266,181905266,40773900,2,45476320,999999998,2,999907784,92216,45476316,1000,1000,1000,1000,1000,1000,1000,100130974048,313070200,105272,45946472,365000,2767190800,138231117,272046767,136552980,18323085,593868600,981676915,999999825,175,979331740,999318460,681540,182070640,40803300,7000,45524660,1000000000,0,999921240,78760,45517660,1000,1000,1000,1000,1000,1000,1000
9000,80599510,1272822,160000000,960000000,20000,120000,9993870687888,90412170,108940459,10767,79400490,1000,127312,2097043,158779446,6108183258,13891816742,15629938242,9983827797,16172203,259043,100151025683,359545300,33183,52792715,53100,3178951400,166755151,320496451,156424734,18939202,682450200,981060798,999998224,1776,902129522,999335888,664112,208566312,47517700,6942,52148520,1000000000,0,999921122,78878,52141578,1000,1000,1000,1000,1000,1000,1000,100150826215,359203700,19208,52760804,44100,3175809000,173851250,327438850,156330777,18449753,681911700,981550247,999998694,1306,901925141,999331564,668436,208441036,47374100,7001,52117260,1000000000,0,999918241,81759,52110259,1000,1000,1000,1000,1000,1000,1000,100150916980,359549600,105566,52516120,407300,3178903200,156926815,310664565,156453956,18602529,682414500,981397471,999998211,1789,901827482,999339726,660274,208605274,47456400,6260,52157580,999999998,2,999922782,77218,52151318,1000,1000,1000,1000,1000,1000,1000
