Time,A,B,S
0,10000,1,100000000
10,10016,1,99999984
20,9995,2,100000004
30,10033,2,99999966
40,10073,3,99999925
50,10079,3,99999919
60,10041,4,99999956
70,9997,6,99999998
80,10030,7,99999964
90,10004,8,99999989
100,9998,7,99999996
110,9941,9,100000051
120,9866,9,100000126
130,9873,10,100000118
140,9780,10,100000211
150,9731,9,100000261
160,9678,10,100000313
170,9679,11,100000311
180,9595,12,100000394
190,9598,10,100000393
200,9666,11,100000324
210,9635,11,100000355
220,9607,15,100000379
230,9585,14,100000402
240,9598,14,100000389
250,9553,14,100000434
260,9496,14,100000491
270,9455,11,100000535
280,9482,16,100000503
290,9498,18,100000485
300,9547,23,100000431
310,9495,24,100000482
320,9401,26,100000574
330,9457,30,100000514
340,9437,34,100000530
350,9433,43,100000525
360,9342,41,100000618
370,9317,49,100000635
380,9273,50,100000678
390,9315,64,100000622
400,9379,73,100000549
410,9355,89,100000557
420,9433,93,100000475
430,9354,101,100000546
440,9311,114,100000576
450,9293,122,100000586
460,9299,135,100000567
470,9258,151,100000592
480,9283,182,100000536
490,9304,195,100000502
500,9324,210,100000467
510,9304,240,100000457
520,9355,261,100000385
530,9383,277,100000341
540,9406,320,100000275
550,9357,348,100000296
560,9403,387,100000211
570,9418,429,100000154
580,9378,472,100000151
590,9430,508,100000063
600,9469,580,99999952
610,9466,610,99999925
620,9463,674,99999864
630,9449,750,99999802
640,9465,829,99999707
650,9530,899,99999572
660,9498,979,99999524
670,9470,1087,99999444
680,9476,1186,99999339
690,9406,1313,99999282
700,9407,1436,99999158
710,9439,1579,99998983
720,9407,1689,99998905
730,9446,1852,99998703
740,9452,2001,99998548
750,9552,2217,99998232
760,9544,2473,99997984
770,9534,2747,99997720
780,9493,2964,99997544
790,9431,3226,99997344
800,9450,3548,99997003
810,9419,3843,99996739
820,9437,4238,99996326
830,9292,4656,99996053
840,9279,5126,99995596
850,9224,5615,99995162
860,9195,6178,99994628
870,9214,6768,99994019
880,9161,7375,99993465
890,9184,8200,99992617
900,9198,9069,99991734
910,9181,9982,99990838
920,9162,10993,99989846
930,9234,12008,99988759
940,9220,13241,99987540
950,9299,14608,99986094
960,9254,16179,99984568
970,9250,17731,99983020
980,9216,19562,99981223
990,9273,21487,99979241
1000,9288,23468,99977245
1010,9255,25656,99975090
1020,9308,28144,99972549
1030,9342,30920,99969739
1040,9309,33938,99966754
1050,9275,37338,99963388
1060,9209,41025,99959767
1070,9211,45075,99955715
1080,9150,49381,99951470
1090,9130,54284,99946587
1100,9105,59458,99941438
1110,9087,65117,99935797
1120,9067,71908,99929026
1130,9096,79112,99921793
1140,9069,86804,99914128
1150,9066,95586,99905349
1160,9152,104909,99895940
1170,9243,115389,99885369
1180,9290,126732,99873979
1190,9327,139167,99861507
1200,9271,152668,99848062
1210,9204,167997,99832800
1220,9152,184786,99816063
1230,9135,203438,99797428
1240,9087,223677,99777237
1250,9081,245956,99754964
1260,9050,269990,99730961
1270,9046,296452,99704503
1280,9021,325431,99675549
1290,9041,357449,99643511
1300,9090,393748,99607163
1310,9105,432018,99568878
1320,9045,474466,99526490
1330,9058,521121,99479822
1340,8996,573131,99427874
1350,8960,629534,99371507
1360,8951,691172,99309878
1370,8916,759105,99241980
1380,8872,833508,99167621
1390,8818,914701,99086482
1400,8775,1003275,98997951
1410,8785,1101723,98899493
1420,8825,1208884,98792292
1430,8794,1326085,98675122
1440,8776,1454537,98546688
1450,8733,1594621,98406647
1460,8783,1747617,98253601
1470,8779,1915180,98086042
1480,8736,2097617,97903648
1490,8762,2296970,97704269
1500,8793,2514239,97486969
1510,8733,2749839,97251429
1520,8720,3005445,96995836
1530,8733,3284957,96716311
1540,8668,3586367,96414966
1550,8647,3915652,96085702
1560,8740,4271543,95729718
1570,8646,4655708,95345647
1580,8656,5071275,94930070
1590,8579,5519835,94481587
1600,8556,6001522,93999923
1610,8532,6521191,93480278
1620,8411,7077827,92923763
1630,8329,7672881,92328791
1640,8344,8309862,91691795
1650,8343,8986682,91014976
1660,8262,9705502,90296237
1670,8107,10468955,89532939
1680,7992,11277994,88724015
1690,7893,12128889,87873219
1700,7819,13024548,86977634
1710,7676,13961942,86040383
1720,7511,14936626,85065864
1730,7397,15952604,84050000
1740,7273,17003806,82998922
1750,7164,18087761,81915076
1760,6970,19194965,80808066
1770,6833,20328909,79674259
1780,6715,21487465,78515821
1790,6572,22656231,77347198
1800,6418,23842143,76161440
1810,6291,25024534,74979176
1820,6164,26212521,73791316
1830,5934,27398203,72605864
1840,5763,28567736,71436502
1850,5577,29724716,70279708
1860,5415,30857913,69146673
1870,5257,31964032,68040712
1880,5087,33046694,66958220
1890,4952,34089257,65915792
1900,4765,35106657,64898579
1910,4575,36074454,63930972
1920,4425,37005798,62999778
1930,4235,37898561,62107205
1940,4079,38738686,61267236
1950,3918,39538218,60467865
1960,3776,40293620,59712605
1970,3672,41012879,58993450
1980,3533,41675655,58330813
1990,3397,42307086,57699518
2000,3257,42891112,57115632
2010,3132,43447491,56559378
2020,2981,43950767,56056253
2030,2878,44416121,55591002
2040,2663,44863436,55143902
2050,2536,45283670,54723795
2060,2441,45667800,54339760
2070,2326,46006662,54001013
2080,2251,46325240,53682510
2090,2137,46613013,53394851
2100,2019,46882297,53125685
2110,1940,47132609,52875452
2120,1838,47362671,52645492
2130,1755,47578058,52430188
2140,1660,47775753,52232588
2150,1608,47951527,52056866
2160,1521,48114568,51893912
2170,1421,48256739,51751841
2180,1353,48393947,51614701
2190,1281,48504429,51504291
2200,1215,48610259,51398527
2210,1161,48720783,51288057
2220,1133,48814668,51194200
2230,1092,48890567,51118342
2240,1039,48969476,51039486
2250,992,49052057,50956952
2260,949,49108139,50900913
2270,944,49170083,50838974
2280,900,49220576,50788525
2290,852,49260566,50748583
2300,814,49309102,50700085
2310,759,49347226,50662016
2320,732,49380152,50629117
2330,703,49404767,50604531
2340,675,49443538,50565788
2350,643,49469643,50539715
2360,605,49480971,50528425
2370,565,49496623,50512813
2380,545,49531153,50478303
2390,518,49551115,50458368
2400,488,49577706,50431807
2410,462,49598156,50411383
2420,440,49592429,50417132
2430,397,49602174,50407430
2440,388,49621480,50388133
2450,360,49632082,50377559
2460,336,49641905,50367760
2470,320,49654799,50354882
2480,309,49663209,50346483
2490,299,49691046,50318656
2500,290,49697511,50312200
2510,279,49712172,50297550
2520,265,49706013,50303723
2530,255,49716160,50293586
2540,239,49717885,50291877
2550,237,49731804,50277960
2560,216,49727362,50282423
2570,210,49730378,50279413
2580,201,49742126,50267674
2590,185,49749587,50260229
2600,186,49756836,50252979
2610,170,49759700,50250131
2620,167,49755410,50254424
2630,159,49757552,50252290
2640,151,49746319,50263531
2650,143,49737927,50271931
2660,134,49728101,50281766
2670,128,49736656,50273217
2680,128,49745659,50264214
2690,121,49754593,50255287
2700,117,49757234,50252650
2710,117,49752580,50257304
2720,118,49747251,50262632
2730,116,49741610,50268275
2740,112,49749151,50260738
2750,105,49758397,50251499
2760,93,49745336,50264572
2770,85,49745232,50264684
2780,84,49749973,50259944
2790,79,49738548,50271374
2800,76,49748045,50261880
2810,75,49748563,50261363
2820,69,49746650,50263282
2830,64,49745809,50264128
2840,55,49750175,50259771
2850,52,49758954,50250995
2860,47,49762561,50247393
2870,44,49764271,50245686
2880,42,49754458,50255501
2890,40,49740492,50269469
2900,37,49744256,50265708
2910,33,49735954,50274014
2920,34,49752310,50257657
2930,33,49754402,50255566
2940,30,49761543,50248428
2950,31,49765963,50244007
2960,25,49756441,50253535
2970,24,49743634,50266343
2980,21,49757032,50252948
2990,20,49745314,50264667
3000,21,49739262,50270718
3010,19,49746061,50263921
3020,17,49751471,50258513
3030,16,49750046,50259939
3040,15,49737819,50272167
3050,16,49750382,50259603
3060,14,49738548,50271439
3070,12,49738733,50271256
3080,10,49742602,50267389
3090,10,49737612,50272379
3100,9,49744141,50265851
3110,9,49745818,50264174
3120,9,49741474,50268518
3130,9,49739345,50270647
3140,8,49737595,50272398
3150,7,49722562,50287432
3160,9,49719002,50290990
3170,8,49728508,50281485
3180,8,49741292,50268701
3190,12,49739676,50270313
3200,14,49747981,50262006
3210,14,49748319,50261668
3220,12,49756206,50253783
3230,12,49757901,50252088
3240,12,49758523,50251466
3250,10,49758608,50251383
3260,10,49761187,50248804
3270,10,49761437,50248554
3280,11,49758182,50251808
3290,9,49748876,50261116
3300,9,49755729,50254263
3310,8,49735553,50274440
3320,7,49736938,50273056
3330,8,49718340,50291653
3340,8,49713895,50296098
3350,8,49720950,50289043
3360,9,49711506,50298486
3370,9,49706421,50303571
3380,10,49720109,50289882
3390,10,49726936,50283055
3400,10,49737687,50272304
3410,9,49740059,50269933
3420,8,49726159,50283834
3430,8,49734384,50275609
3440,8,49735529,50274464
3450,10,49729774,50280217
3460,8,49732909,50277084
3470,8,49732281,50277712
3480,7,49728578,50281416
3490,7,49723578,50286416
3500,7,49731897,50278097
3510,7,49740478,50269516
3520,7,49743278,50266716
3530,7,49742144,50267850
3540,6,49747729,50262266
3550,6,49745443,50264552
3560,6,49742359,50267636
3570,7,49728171,50281823
3580,5,49728081,50281915
3590,4,49732761,50277236
3600,2,49739811,50270188
3610,2,49734423,50275576
3620,2,49722315,50287684
3630,2,49721254,50288745
3640,2,49731251,50278748
3650,2,49725967,50284032
3660,2,49722623,50287376
3670,1,49710652,50299348
3680,1,49705295,50304705
3690,1,49708515,50301485
3700,1,49721976,50288024
3710,1,49716990,50293010
3720,1,49712287,50297713
3730,1,49705913,50304087
3740,1,49702556,50307444
3750,1,49699037,50310963
3760,1,49694352,50315648
3770,1,49696603,50313397
3780,0,49700681,50309320
3790,0,49698955,50311046
3800,0,49704351,50305650
3810,0,49706770,50303231
3820,0,49702028,50307973
3830,0,49700199,50309802
3840,0,49723271,50286730
3850,0,49737190,50272811
3860,0,49745101,50264900
3870,0,49740760,50269241
3880,0,49752600,50257401
3890,0,49749308,50260693
3900,0,49742989,50267012
3910,0,49737342,50272659
3920,0,49739912,50270089
3930,0,49737272,50272729
3940,0,49736844,50273157
3950,0,49745174,50264827
3960,0,49751455,50258546
3970,0,49751675,50258326
3980,0,49760837,50249164
3990,0,49755839,50254162
4000,0,49763732,50246269
4010,0,49773794,50236207
4020,0,49772881,50237120
4030,0,49782372,50227629
4040,0,49779117,50230884
4050,0,49779960,50230041
4060,0,49777986,50232015
4070,0,49776347,50233654
4080,0,49771477,50238524
4090,0,49765589,50244412
4100,0,49751425,50258576
4110,0,49753837,50256164
4120,0,49743238,50266763
4130,0,49745231,50264770
4140,0,49755064,50254937
4150,0,49758037,50251964
4160,0,49757512,50252489
4170,0,49751383,50258618
4180,0,49752800,50257201
4190,0,49763678,50246323
4200,0,49774523,50235478
4210,0,49773080,50236921
4220,0,49778711,50231290
4230,0,49774210,50235791
4240,0,49769928,50240073
4250,0,49769427,50240574
4260,0,49764029,50245972
4270,0,49759046,50250955
4280,0,49766904,50243097
4290,0,49765179,50244822
4300,0,49761833,50248168
4310,0,49759044,50250957
4320,0,49754647,50255354
4330,0,49762489,50247512
4340,0,49763744,50246257
4350,0,49776499,50233502
4360,0,49781128,50228873
4370,0,49776759,50233242
4380,0,49783547,50226454
4390,0,49780162,50229839
4400,0,49788084,50221917
4410,0,49780290,50229711
4420,0,49772691,50237310
4430,0,49778020,50231981
4440,0,49783231,50226770
4450,0,49785826,50224175
4460,0,49788238,50221763
4470,0,49788392,50221609
4480,0,49777936,50232065
4490,0,49773147,50236854
4500,0,49777368,50232633
4510,0,49782908,50227093
4520,0,49769409,50240592
4530,0,49763128,50246873
4540,0,49767575,50242426
4550,0,49761446,50248555
4560,0,49758612,50251389
4570,0,49753442,50256559
4580,0,49756762,50253239
4590,0,49759623,50250378
4600,0,49770336,50239665
4610,0,49774817,50235184
4620,0,49760799,50249202
4630,0,49758736,50251265
4640,0,49764648,50245353
4650,0,49764564,50245437
4660,0,49751025,50258976
4670,0,49731391,50278610
4680,0,49741684,50268317
4690,0,49737997,50272004
4700,0,49731854,50278147
4710,0,49736393,50273608
4720,0,49740292,50269709
4730,0,49756431,50253570
4740,0,49767658,50242343
4750,0,49768780,50241221
4760,0,49760079,50249922
4770,0,49756600,50253401
4780,0,49755358,50254643
4790,0,49761868,50248133
4800,0,49742452,50267549
4810,0,49748147,50261854
4820,0,49748065,50261936
4830,0,49750723,50259278
4840,0,49761341,50248660
4850,0,49757215,50252786
4860,0,49760462,50249539
4870,0,49768608,50241393
4880,0,49766890,50243111
4890,0,49758255,50251746
4900,0,49764992,50245009
4910,0,49758312,50251689
4920,0,49752659,50257342
4930,0,49755071,50254930
4940,0,49757655,50252346
4950,0,49766208,50243793
4960,0,49760925,50249076
4970,0,49759959,50250042
4980,0,49769393,50240608
4990,0,49768798,50241203
5000,0,49764095,50245906
5010,0,49762924,50247077
5020,0,49757780,50252221
5030,0,49768365,50241636
5040,0,49775919,50234082
5050,0,49777827,50232174
5060,0,49781300,50228701
5070,0,49771807,50238194
5080,0,49760734,50249267
5090,0,49767168,50242833
5100,0,49776855,50233146
5110,0,49786653,50223348
5120,0,49787540,50222461
5130,0,49775895,50234106
5140,0,49773310,50236691
5150,0,49777925,50232076
5160,0,49771409,50238592
5170,0,49764318,50245683
5180,0,49757620,50252381
5190,0,49761424,50248577
5200,0,49768497,50241504
5210,0,49771026,50238975
5220,0,49758483,50251518
5230,0,49755562,50254439
5240,0,49754793,50255208
5250,0,49760414,50249587
5260,0,49766707,50243294
5270,0,49775679,50234322
5280,0,49770710,50239291
5290,0,49770865,50239136
5300,0,49778655,50231346
5310,0,49781972,50228029
5320,0,49772986,50237015
5330,0,49774232,50235769
5340,0,49765807,50244194
5350,0,49754202,50255799
5360,0,49745447,50264554
5370,0,49732807,50277194
5380,0,49738830,50271171
5390,0,49738817,50271184
5400,0,49726161,50283840
5410,0,49729223,50280778
5420,0,49726697,50283304
5430,0,49726845,50283156
5440,0,49713454,50296547
5450,0,49720723,50289278
5460,0,49732211,50277790
5470,0,49723386,50286615
5480,0,49721032,50288969
5490,0,49731715,50278286
5500,0,49732172,50277829
5510,0,49730836,50279165
5520,0,49732682,50277319
5530,0,49732369,50277632
5540,0,49739590,50270411
5550,0,49722654,50287347
5560,0,49716644,50293357
5570,0,49707654,50302347
5580,0,49702644,50307357
5590,0,49701348,50308653
5600,0,49715691,50294310
5610,0,49714098,50295903
5620,0,49716785,50293216
5630,0,49729424,50280577
5640,0,49734154,50275847
5650,0,49750797,50259204
5660,0,49740877,50269124
5670,0,49737727,50272274
5680,0,49731963,50278038
5690,0,49725932,50284069
5700,0,49733270,50276731
5710,0,49735406,50274595
5720,0,49732289,50277712
5730,0,49737632,50272369
5740,0,49761164,50248837
5750,0,49747759,50262242
5760,0,49734445,50275556
5770,0,49737573,50272428
5780,0,49734592,50275409
5790,0,49738987,50271014
5800,0,49753489,50256512
5810,0,49755050,50254951
5820,0,49759656,50250345
5830,0,49755432,50254569
5840,0,49743720,50266281
5850,0,49745334,50264667
5860,0,49735984,50274017
5870,0,49738670,50271331
5880,0,49742245,50267756
5890,0,49752809,50257192
5900,0,49752317,50257684
5910,0,49747862,50262139
5920,0,49736155,50273846
5930,0,49734123,50275878
5940,0,49732501,50277500
5950,0,49739689,50270312
5960,0,49745458,50264543
5970,0,49746568,50263433
5980,0,49746896,50263105
5990,0,49735487,50274514
6000,0,49720601,50289400
6010,0,49734134,50275867
6020,0,49730739,50279262
6030,0,49739650,50270351
6040,0,49745953,50264048
6050,0,49734086,50275915
6060,0,49729523,50280478
6070,0,49721746,50288255
6080,0,49725174,50284827
6090,0,49732505,50277496
6100,0,49737174,50272827
6110,0,49748508,50261493
6120,0,49742301,50267700
6130,0,49756445,50253556
6140,0,49762339,50247662
6150,0,49765067,50244934
6160,0,49763965,50246036
6170,0,49762453,50247548
6180,0,49771403,50238598
6190,0,49777920,50232081
6200,0,49780999,50229002
6210,0,49778047,50231954
6220,0,49779082,50230919
6230,0,49774078,50235923
6240,0,49762032,50247969
6250,0,49760902,50249099
6260,0,49764104,50245897
6270,0,49769533,50240468
6280,0,49764466,50245535
6290,0,49762342,50247659
6300,0,49764348,50245653
6310,0,49772962,50237039
6320,0,49783014,50226987
6330,0,49804527,50205474
6340,0,49810076,50199925
6350,0,49804657,50205344
6360,0,49793943,50216058
6370,0,49792387,50217614
6380,0,49792927,50217074
6390,0,49798460,50211541
6400,0,49795266,50214735
6410,0,49776924,50233077
6420,0,49764316,50245685
6430,0,49764960,50245041
6440,0,49770140,50239861
6450,0,49766973,50243028
6460,0,49750234,50259767
6470,0,49741341,50268660
6480,0,49755151,50254850
6490,0,49736407,50273594
6500,0,49734438,50275563
6510,0,49748469,50261532
6520,0,49753201,50256800
6530,0,49748851,50261150
6540,0,49747257,50262744
6550,0,49756460,50253541
6560,0,49763890,50246111
6570,0,49768341,50241660
6580,0,49756242,50253759
6590,0,49761294,50248707
6600,0,49756929,50253072
6610,0,49745742,50264259
6620,0,49744950,50265051
6630,0,49754958,50255043
6640,0,49762527,50247474
6650,0,49775669,50234332
6660,0,49782837,50227164
6670,0,49780266,50229735
6680,0,49775981,50234020
6690,0,49778633,50231368
6700,0,49773967,50236034
6710,0,49782481,50227520
6720,0,49789949,50220052
6730,0,49773112,50236889
6740,0,49753747,50256254
6750,0,49767579,50242422
6760,0,49768897,50241104
6770,0,49775032,50234969
6780,0,49784202,50225799
6790,0,49781813,50228188
6800,0,49779438,50230563
6810,0,49774311,50235690
6820,0,49767066,50242935
6830,0,49771448,50238553
6840,0,49766830,50243171
6850,0,49770329,50239672
6860,0,49762032,50247969
6870,0,49753589,50256412
6880,0,49764322,50245679
6890,0,49767152,50242849
6900,0,49764001,50246000
6910,0,49755683,50254318
6920,0,49742134,50267867
6930,0,49740828,50269173
6940,0,49749504,50260497
6950,0,49747100,50262901
6960,0,49742055,50267946
6970,0,49744666,50265335
6980,0,49749862,50260139
6990,0,49760635,50249366
7000,0,49751497,50258504
7010,0,49750428,50259573
7020,0,49745737,50264264
7030,0,49739423,50270578
7040,0,49744977,50265024
7050,0,49760099,50249902
7060,0,49761225,50248776
7070,0,49745409,50264592
7080,0,49751243,50258758
7090,0,49754141,50255860
7100,0,49755174,50254827
7110,0,49766508,50243493
7120,0,49760993,50249008
7130,0,49748783,50261218
7140,0,49743656,50266345
7150,0,49728430,50281571
7160,0,49717157,50292844
7170,0,49724499,50285502
7180,0,49728924,50281077
7190,0,49723820,50286181
7200,0,49741766,50268235
7210,0,49755667,50254334
7220,0,49760051,50249950
7230,0,49764864,50245137
7240,0,49747578,50262423
7250,0,49753493,50256508
7260,0,49757830,50252171
7270,0,49766613,50243388
7280,0,49768642,50241359
7290,0,49759458,50250543
7300,0,49761581,50248420
7310,0,49755077,50254924
7320,0,49749677,50260324
7330,0,49743624,50266377
7340,0,49750372,50259629
7350,0,49762732,50247269
7360,0,49750170,50259831
7370,0,49753122,50256879
7380,0,49760707,50249294
7390,0,49749869,50260132
7400,0,49754498,50255503
7410,0,49755469,50254532
7420,0,49767124,50242877
7430,0,49766918,50243083
7440,0,49755963,50254038
7450,0,49749818,50260183
7460,0,49739769,50270232
7470,0,49740668,50269333
7480,0,49742782,50267219
7490,0,49752949,50257052
7500,0,49754080,50255921
7510,0,49754266,50255735
7520,0,49761694,50248307
7530,0,49744954,50265047
7540,0,49749109,50260892
7550,0,49750582,50259419
7560,0,49744003,50265998
7570,0,49751806,50258195
7580,0,49761980,50248021
7590,0,49751343,50258658
7600,0,49738282,50271719
7610,0,49733593,50276408
7620,0,49741287,50268714
7630,0,49744535,50265466
7640,0,49753427,50256574
7650,0,49761497,50248504
7660,0,49767312,50242689
7670,0,49770757,50239244
7680,0,49767093,50242908
7690,0,49773129,50236872
7700,0,49757974,50252027
7710,0,49753377,50256624
7720,0,49752841,50257160
7730,0,49753783,50256218
7740,0,49754040,50255961
7750,0,49756216,50253785
7760,0,49764525,50245476
7770,0,49753659,50256342
7780,0,49765029,50244972
7790,0,49761152,50248849
7800,0,49761407,50248594
7810,0,49756902,50253099
7820,0,49751963,50258038
7830,0,49762778,50247223
7840,0,49761873,50248128
7850,0,49770749,50239252
7860,0,49779347,50230654
7870,0,49781031,50228970
7880,0,49780919,50229082
7890,0,49780773,50229228
7900,0,49781464,50228537
7910,0,49777404,50232597
7920,0,49779397,50230604
7930,0,49770751,50239250
7940,0,49769148,50240853
7950,0,49759555,50250446
7960,0,49752196,50257805
7970,0,49764735,50245266
7980,0,49755768,50254233
7990,0,49752048,50257953
8000,0,49739515,50270486
8010,0,49740745,50269256
8020,0,49740887,50269114
8030,0,49736141,50273860
8040,0,49744947,50265054
8050,0,49748687,50261314
8060,0,49750010,50259991
8070,0,49748420,50261581
8080,0,49748992,50261009
8090,0,49740323,50269678
8100,0,49727252,50282749
8110,0,49721820,50288181
8120,0,49723826,50286175
8130,0,49730340,50279661
8140,0,49732442,50277559
8150,0,49736840,50273161
8160,0,49763360,50246641
8170,0,49771042,50238959
8180,0,49768300,50241701
8190,0,49778150,50231851
8200,0,49769879,50240122
8210,0,49765296,50244705
8220,0,49760613,50249388
8230,0,49770652,50239349
8240,0,49769240,50240761
8250,0,49771778,50238223
8260,0,49757044,50252957
8270,0,49763908,50246093
8280,0,49765930,50244071
8290,0,49758231,50251770
8300,0,49756574,50253427
8310,0,49773279,50236722
8320,0,49773260,50236741
8330,0,49770108,50239893
8340,0,49774280,50235721
8350,0,49767942,50242059
8360,0,49768001,50242000
8370,0,49771947,50238054
8380,0,49766454,50243547
8390,0,49762477,50247524
8400,0,49758952,50251049
8410,0,49750308,50259693
8420,0,49750818,50259183
8430,0,49764940,50245061
8440,0,49758758,50251243
8450,0,49762013,50247988
8460,0,49764544,50245457
8470,0,49755426,50254575
8480,0,49732797,50277204
8490,0,49727430,50282571
8500,0,49734351,50275650
8510,0,49744240,50265761
8520,0,49753794,50256207
8530,0,49739800,50270201
8540,0,49739712,50270289
8550,0,49737252,50272749
8560,0,49737286,50272715
8570,0,49723763,50286238
8580,0,49718379,50291622
8590,0,49721707,50288294
8600,0,49727287,50282714
8610,0,49728861,50281140
8620,0,49719060,50290941
8630,0,49710940,50299061
8640,0,49719237,50290764
8650,0,49716143,50293858
8660,0,49713020,50296981
8670,0,49703417,50306584
8680,0,49688142,50321859
8690,0,49704589,50305412
8700,0,49721996,50288005
8710,0,49719938,50290063
8720,0,49730420,50279581
8730,0,49738934,50271067
8740,0,49739369,50270632
8750,0,49735188,50274813
8760,0,49731303,50278698
8770,0,49734727,50275274
8780,0,49742300,50267701
8790,0,49753890,50256111
8800,0,49753678,50256323
8810,0,49756038,50253963
8820,0,49756949,50253052
8830,0,49751893,50258108
8840,0,49749004,50260997
8850,0,49745181,50264820
8860,0,49740474,50269527
8870,0,49748945,50261056
8880,0,49748910,50261091
8890,0,49754795,50255206
8900,0,49754908,50255093
8910,0,49756241,50253760
8920,0,49753717,50256284
8930,0,49749994,50260007
8940,0,49742652,50267349
8950,0,49732526,50277475
8960,0,49730540,50279461
8970,0,49731126,50278875
8980,0,49734086,50275915
8990,0,49732798,50277203
9000,0,49751360,50258641
9010,0,49739866,50270135
9020,0,49747824,50262177
9030,0,49750220,50259781
9040,0,49757797,50252204
9050,0,49765163,50244838
9060,0,49761678,50248323
9070,0,49753980,50256021
9080,0,49756117,50253884
9090,0,49761729,50248272
9100,0,49754540,50255461
9110,0,49761811,50248190
9120,0,49766416,50243585
9130,0,49779015,50230986
9140,0,49773557,50236444
9150,0,49787891,50222110
9160,0,49784028,50225973
9170,0,49779309,50230692
9180,0,49781551,50228450
9190,0,49772800,50237201
9200,0,49772868,50237133
9210,0,49768765,50241236
9220,0,49765561,50244440
9230,0,49758969,50251032
9240,0,49751320,50258681
9250,0,49751106,50258895
9260,0,49754536,50255465
9270,0,49749551,50260450
9280,0,49753598,50256403
9290,0,49758769,50251232
9300,0,49755666,50254335
9310,0,49754775,50255226
9320,0,49758449,50251552
9330,0,49757738,50252263
9340,0,49761001,50249000
9350,0,49744433,50265568
9360,0,49743660,50266341
9370,0,49737635,50272366
9380,0,49745936,50264065
9390,0,49754671,50255330
9400,0,49746914,50263087
9410,0,49742499,50267502
9420,0,49748859,50261142
9430,0,49757968,50252033
9440,0,49756065,50253936
9450,0,49758414,50251587
9460,0,49747960,50262041
9470,0,49752399,50257602
9480,0,49748335,50261666
9490,0,49754074,50255927
9500,0,49749170,50260831
9510,0,49751361,50258640
9520,0,49740877,50269124
9530,0,49728541,50281460
9540,0,49717705,50292296
9550,0,49732871,50277130
9560,0,49739378,50270623
9570,0,49740762,50269239
9580,0,49731082,50278919
9590,0,49725355,50284646
9600,0,49741213,50268788
9610,0,49736048,50273953
9620,0,49738575,50271426
9630,0,49739765,50270236
9640,0,49750293,50259708
9650,0,49747860,50262141
9660,0,49744495,50265506
9670,0,49745953,50264048
9680,0,49728078,50281923
9690,0,49729898,50280103
9700,0,49729896,50280105
9710,0,49733909,50276092
9720,0,49734381,50275620
9730,0,49726263,50283738
9740,0,49737335,50272666
9750,0,49745286,50264715
9760,0,49740163,50269838
9770,0,49743087,50266914
9780,0,49738427,50271574
9790,0,49748053,50261948
9800,0,49746961,50263040
9810,0,49762516,50247485
9820,0,49766803,50243198
9830,0,49769069,50240932
