Time,N,P
0,1000000000,10000000
100,1000009023,10000056
200,1000908777,9999506
300,1001809388,9999421
400,1002710591,9999025
500,1003613579,9998521
600,1004517710,9998221
700,1005423719,9999248
800,1006329294,10000333
900,1007235568,10000894
1000,1008144065,10001478
1100,1009052775,10002345
1200,1009961372,10002237
1300,1010870810,10002588
1400,1011781066,10003688
1500,1012693496,10005149
1600,1013607424,10006278
1700,1014520931,10006951
1800,1015434694,10008468
1900,1016348617,10010103
2000,1017262647,10012689
2100,1018179339,10014202
2200,1019096664,10015797
2300,1020013458,10018257
2400,1020933320,10019467
2500,1021853591,10021415
2600,1022772448,10022858
2700,1023691772,10025604
2800,1024613628,10027241
2900,1025535415,10029857
3000,1026457352,10032892
3100,1027381929,10035617
3200,1028306804,10038443
3300,1029233100,10041032
3400,1030157911,10044640
3500,1031086078,10047880
3600,1032013266,10050872
3700,1032943540,10053416
3800,1033873620,10056815
3900,1034803399,10060670
4000,1035734815,10064021
4100,1036666923,10067916
4200,1037599450,10072301
4300,1038532686,10076837
4400,1039466956,10079410
4500,1040399810,10083923
4600,1041335896,10087765
4700,1042273365,10091097
4800,1043210411,10095639
4900,1044150217,10100547
5000,1045089747,10105086
5100,1046029905,10109402
5200,1046970986,10114964
5300,1047910446,10119623
5400,1048852768,10124506
5500,1049796321,10129666
5600,1050738706,10134345
5700,1051683587,10139670
5800,1052630866,10144893
5900,1053576103,10149943
6000,1054523159,10154885
6100,1055472563,10159922
6200,1056418645,10165418
6300,1057368791,10171128
6400,1058317613,10177467
6500,1059267698,10183471
6600,1060220321,10189374
6700,1061171357,10195765
6800,1062124176,10201915
6900,1063076933,10208104
7000,1064032801,10214084
7100,1064989585,10220530
7200,1065946132,10227308
7300,1066904637,10234289
7400,1067862374,10240977
7500,1068821782,10247445
7600,1069781406,10255246
7700,1070741413,10261371
7800,1071702221,10267820
7900,1072664804,10275772
8000,1073628485,10283217
8100,1074593340,10291407
8200,1075558464,10298550
8300,1076522598,10306520
8400,1077488133,10314155
8500,1078453098,10322750
8600,1079421492,10330149
8700,1080389436,10338831
8800,1081359104,10347396
8900,1082329014,10356785
9000,1083299276,10364858
9100,1084270446,10373851
9200,1085243674,10382643
9300,1086217106,10391679
9400,1087192054,10400125
9500,1088166884,10408757
9600,1089142413,10417451
9700,1090118496,10427642
9800,1091096265,10437516
9900,1092073403,10446942
10000,1093051021,10457516
10100,1094028614,10467345
10200,1095007975,10477520
10300,1095987979,10487230
10400,1096969829,10497621
10500,1097952090,10508268
10600,1098933839,10518789
10700,1099920451,10529174
10800,1100904630,10539380
10900,1101889818,10549627
11000,1102876688,10560682
11100,1103865186,10571610
11200,1104851836,10583205
11300,1105840243,10593783
11400,1106829856,10605090
11500,1107819357,10616318
11600,1108806688,10627462
11700,1109798658,10639352
11800,1110791143,10650903
11900,1111783558,10662812
12000,1112777787,10674417
12100,1113772540,10686204
12200,1114768711,10698615
12300,1115764761,10710705
12400,1116761889,10723680
12500,1117756540,10737187
12600,1118754706,10750593
12700,1119752284,10763170
12800,1120752823,10775758
12900,1121751179,10788589
13000,1122752531,10801546
13100,1123753342,10815111
13200,1124757509,10827863
13300,1125759371,10840878
13400,1126764193,10854818
13500,1127770015,10868427
13600,1128776601,10882796
13700,1129782264,10896962
13800,1130791129,10911652
13900,1131799116,10926119
14000,1132808017,10940558
14100,1133817820,10955173
14200,1134828324,10970313
14300,1135838518,10985197
14400,1136849456,11001024
14500,1137862466,11015695
14600,1138874749,11030904
14700,1139888146,11046637
14800,1140901540,11062396
14900,1141915803,11077684
15000,1142933545,11092894
15100,1143950020,11110043
15200,1144967219,11126177
15300,1145985033,11143010
15400,1147005141,11159437
15500,1148026089,11176351
15600,1149045910,11192700
15700,1150065192,11209121
15800,1151086240,11225944
15900,1152108257,11242231
16000,1153128438,11259495
16100,1154152227,11277452
16200,1155175754,11295033
16300,1156200517,11312373
16400,1157227392,11330120
16500,1158253248,11348636
16600,1159279746,11367346
16700,1160308143,11386017
16800,1161338436,11403471
16900,1162366814,11422737
17000,1163395873,11442126
17100,1164427444,11461482
17200,1165459247,11481018
17300,1166492896,11500439
17400,1167526029,11520087
17500,1168559755,11538790
17600,1169594276,11558499
17700,1170629781,11577952
17800,1171665003,11598452
17900,1172701249,11618510
18000,1173737416,11638944
18100,1174775128,11659557
18200,1175813532,11680070
18300,1176851160,11701189
18400,1177891375,11721823
18500,1178930453,11743317
18600,1179970894,11763610
18700,1181011219,11785129
18800,1182053225,11806138
18900,1183094969,11827681
19000,1184137683,11849530
19100,1185181975,11872027
19200,1186226353,11893025
19300,1187270610,11913881
19400,1188317693,11935615
19500,1189365338,11958583
19600,1190411731,11981255
19700,1191459535,12004242
19800,1192509188,12027010
19900,1193557090,12050679
20000,1194605992,12073838
20100,1195655462,12096802
20200,1196705363,12121021
20300,1197755906,12144583
20400,1198808479,12168584
20500,1199863190,12193145
20600,1200918053,12216869
20700,1201973559,12241297
20800,1203028873,12266730
20900,1204085055,12291866
21000,1205141309,12316990
21100,1206199268,12341923
21200,1207257590,12366315
21300,1208315440,12392744
21400,1209375263,12418519
21500,1210434879,12444627
21600,1211491953,12470402
21700,1212551361,12496819
21800,1213612438,12524420
21900,1214673237,12550684
22000,1215735581,12577230
22100,1216798502,12604512
22200,1217861071,12631947
22300,1218924404,12659622
22400,1219988593,12686416
22500,1221054582,12714778
22600,1222120250,12743267
22700,1223187479,12770502
22800,1224256911,12798573
22900,1225325159,12827444
23000,1226393660,12856558
23100,1227463472,12885770
23200,1228532119,12913955
23300,1229603472,12943917
23400,1230672159,12974971
23500,1231743436,13004562
23600,1232814639,13034574
23700,1233888963,13064723
23800,1234962987,13094656
23900,1236035783,13125481
24000,1237109742,13155493
24100,1238182347,13187497
24200,1239257395,13219339
24300,1240333808,13250925
24400,1241411291,13283311
24500,1242486002,13316475
24600,1243564673,13348504
24700,1244644342,13381184
24800,1245722784,13413386
24900,1246800237,13447073
25000,1247880201,13480884
25100,1248957797,13514598
25200,1250037380,13547862
25300,1251117208,13582363
25400,1252197629,13617279
25500,1253277616,13652157
25600,1254361003,13686165
25700,1255443101,13720904
25800,1256527780,13754974
25900,1257612651,13790058
26000,1258695317,13825896
26100,1259780791,13861975
26200,1260867674,13898251
26300,1261953579,13934051
26400,1263038524,13971289
26500,1264123509,14008147
26600,1265210393,14045257
26700,1266298349,14082114
26800,1267387590,14118500
26900,1268476279,14156458
27000,1269566890,14194254
27100,1270655831,14232588
27200,1271745840,14271999
27300,1272836468,14310806
27400,1273928251,14349807
27500,1275020125,14389260
27600,1276112040,14428329
27700,1277204596,14468856
27800,1278297476,14508770
27900,1279390577,14548664
28000,1280485212,14588911
28100,1281578430,14630863
28200,1282673020,14672226
28300,1283767718,14713070
28400,1284864260,14755393
28500,1285959125,14798179
28600,1287054581,14840404
28700,1288152022,14882442
28800,1289248756,14925435
28900,1290346246,14968344
29000,1291443012,15012339
29100,1292541564,15055809
29200,1293638530,15099941
29300,1294736680,15144023
29400,1295835571,15188334
29500,1296935671,15232451
29600,1298037472,15278425
29700,1299139214,15323448
29800,1300238835,15370039
29900,1301337256,15416729
30000,1302437409,15463553
30100,1303539835,15509735
30200,1304640345,15556526
30300,1305741294,15604130
30400,1306843657,15651708
30500,1307945808,15699939
30600,1309046335,15748411
30700,1310147855,15797174
30800,1311251525,15846912
30900,1312356621,15895099
31000,1313460548,15944836
31100,1314565487,15994296
31200,1315668025,16045107
31300,1316774927,16094899
31400,1317879738,16146025
31500,1318984687,16198790
31600,1320090929,16249884
31700,1321195801,16302079
31800,1322300716,16354620
31900,1323406374,16408410
32000,1324511422,16461458
32100,1325617203,16515405
32200,1326724347,16569254
32300,1327831970,16624118
32400,1328939379,16679220
32500,1330047838,16735671
32600,1331155008,16789499
32700,1332262056,16845133
32800,1333367883,16900893
32900,1334474749,16957602
33000,1335581552,17014478
33100,1336692646,17071583
33200,1337801981,17128199
33300,1338910906,17186369
33400,1340021255,17244427
33500,1341132116,17302749
33600,1342242352,17362715
33700,1343350848,17423659
33800,1344460082,17484428
33900,1345567580,17544863
34000,1346678528,17605907
34100,1347788678,17665630
34200,1348899650,17727892
34300,1350007747,17790241
34400,1351120834,17852866
34500,1352230989,17915433
34600,1353342781,17979287
34700,1354452080,18042869
34800,1355562396,18107137
34900,1356673816,18171718
35000,1357785921,18236771
35100,1358895023,18302723
35200,1360005604,18368139
35300,1361116162,18433205
35400,1362226772,18500450
35500,1363338273,18566897
35600,1364450256,18634688
35700,1365561347,18703428
35800,1366670227,18772291
35900,1367778978,18841240
36000,1368889370,18909686
36100,1369995890,18979158
36200,1371105203,19050289
36300,1372214892,19121039
36400,1373326144,19192421
36500,1374436201,19263829
36600,1375545211,19336953
36700,1376654371,19410865
36800,1377765300,19484060
36900,1378874171,19557142
37000,1379981709,19630921
37100,1381090979,19705132
37200,1382198491,19780762
37300,1383306719,19856375
37400,1384415694,19933983
37500,1385526017,20011121
37600,1386633464,20088740
37700,1387742113,20166286
37800,1388849962,20245105
37900,1389958278,20323129
38000,1391066598,20401870
38100,1392175992,20481977
38200,1393281971,20563334
38300,1394386659,20644828
38400,1395492969,20726949
38500,1396599553,20808811
38600,1397705011,20891033
38700,1398809074,20973423
38800,1399914403,21057635
38900,1401020950,21142546
39000,1402123608,21228243
39100,1403228546,21314303
39200,1404331667,21400122
39300,1405436436,21486309
39400,1406541910,21573881
39500,1407644984,21662142
39600,1408747353,21750891
39700,1409850419,21839914
39800,1410952603,21929581
39900,1412054972,22018837
40000,1413154712,22109613
40100,1414253703,22202480
40200,1415352591,22294302
40300,1416454006,22387669
40400,1417552981,22481517
40500,1418652229,22577135
40600,1419749780,22671384
40700,1420845908,22766143
40800,1421942449,22863645
40900,1423042267,22959965
