Name,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
H2O,10000000000000,10000000000974,10000000001948,10000000002875,10000000003866,10000000004755,10000000005670,10000000006547,10000000007407,10000000008290,10000000009112,10000000009924,10000000010749,10000000011534,10000000012348,10000000013076,10000000013831,10000000014578,10000000015295,10000000016048,10000000016797,10000000017461,10000000018155,10000000018809,10000000019481,10000000020155,10000000020750,10000000021357,10000000021981,10000000022568,10000000023195,10000000023777,10000000024379,10000000024967,10000000025489,10000000026066,10000000026626,10000000027186,10000000027696,10000000028194,10000000028695,10000000029179,10000000029691,10000000030143,10000000030640,10000000031112,10000000031594,10000000032052,10000000032531,10000000032970,10000000033430,10000000033857,10000000034299,10000000034717,10000000035127,10000000035527,10000000035962,10000000036375,10000000036771,10000000037167,10000000037562,10000000037932,10000000038332,10000000038734,10000000039102,10000000039454,10000000039858,10000000040215,10000000040581,10000000040923,10000000041247,10000000041580,10000000041904,10000000042247,10000000042600,10000000042948,10000000043242,10000000043536,10000000043874,10000000044183,10000000044484,10000000044788,10000000045090,10000000045418,10000000045717,10000000046016,10000000046311,10000000046603,10000000046895,10000000047177,10000000047453,10000000047685,10000000047943,10000000048204,10000000048487,10000000048755,10000000049032,10000000049301,10000000049537,10000000049812,10000000050071
OH-,100000,99026,98052,97125,96134,95245,94330,93453,92593,91710,90888,90076,89251,88466,87652,86924,86169,85422,84705,83952,83203,82539,81845,81191,80519,79845,79250,78643,78019,77432,76805,76223,75621,75033,74511,73934,73374,72814,72304,71806,71305,70821,70309,69857,69360,68888,68406,67948,67469,67030,66570,66143,65701,65283,64873,64473,64038,63625,63229,62833,62438,62068,61668,61266,60898,60546,60142,59785,59419,59077,58753,58420,58096,57753,57400,57052,56758,56464,56126,55817,55516,55212,54910,54582,54283,53984,53689,53397,53105,52823,52547,52315,52057,51796,51513,51245,50968,50699,50463,50188,49929
H+,100000,99026,98052,97125,96134,95245,94330,93453,92593,91710,90888,90076,89251,88466,87652,86924,86169,85422,84705,83952,83203,82539,81845,81191,80519,79845,79250,78643,78019,77432,76805,76223,75621,75033,74511,73934,73374,72814,72304,71806,71305,70821,70309,69857,69360,68888,68406,67948,67469,67030,66570,66143,65701,65283,64873,64473,64038,63625,63229,62833,62438,62068,61668,61266,60898,60546,60142,59785,59419,59077,58753,58420,58096,57753,57400,57052,56758,56464,56126,55817,55516,55212,54910,54582,54283,53984,53689,53397,53105,52823,52547,52315,52057,51796,51513,51245,50968,50699,50463,50188,49929
a,1000000,995056,990129,985290,980499,975717,970934,966106,961348,956543,951814,947234,942452,937901,933169,928463,923694,919234,914731,910242,905851,901514,897086,892649,888255,883845,879419,875136,870931,866564,862314,858117,853849,849551,845305,841191,836947,832858,828599,824518,820407,816399,812288,808205,804167,800195,796290,792362,788545,784688,780759,776774,772909,769120,765323,761437,757677,753852,750224,746554,742863,739123,735457,731829,728228,724616,720988,717361,713749,710200,706629,703150,699776,696263,692734,689316,685925,682502,679145,675764,672332,669066,665690,662380,659073,655840,652527,649332,646128,642910,639675,636472,633282,630179,627036,623974,620961,617920,614923,611906,608780
b,100000,3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,4,38,143,315,536,797,1055,1342,1618,1858,2102,2340,2571,2780,3014,3239,3454,3665,3875,4052,4219,4390,4561,4739,4888,5042,5197,5335,5461,5605,5737,5855,5959,6096,6212,6331,6449,6555,6659,6777,6865,6943,7030,7119,7211,7294,7363,7447,7527,7590,7653,7730,7783,7859,7914,7969,8018,8088,8129,8196,8244,8304,8362,8416,8470,8521,8555,8599,8640,8679,8720,8766,8803,8835,8866,8902,8944,8972,8996,9026,9052,9078,9104,9142,9166,9192,9219,9239,9262,9291,9312,9330,9354,9377,9395,9415,9431,9449,9473,9488
H2O:=C1_1,10000000000,9999962823,9999961492,9999961492,9999961492,9999961492,9999961495,9999961496,9999961498,9999961501,9999961501,9999961501,9999961501,9999961501,9999961502,9999961502,9999961503,9999961503,9999961503,9999961504,9999961505,9999961505,9999961506,9999961506,9999961506,9999961507,9999961508,9999961508,9999961510,9999961510,9999961511,9999961513,9999961513,9999961513,9999961514,9999961514,9999961515,9999961515,9999961517,9999961518,9999961518,9999961518,9999961518,9999961518,9999961518,9999961519,9999961520,9999961520,9999961520,9999961520,9999961521,9999961521,9999961521,9999961521,9999961522,9999961522,9999961523,9999961523,9999961523,9999961523,9999961523,9999961523,9999961523,9999961523,9999961524,9999961525,9999961525,9999961525,9999961525,9999961525,9999961525,9999961526,9999961526,9999961526,9999961527,9999961527,9999961528,9999961530,9999961531,9999961531,9999961532,9999961532,9999961532,9999961534,9999961534,9999961535,9999961535,9999961535,9999961535,9999961535,9999961537,9999961538,9999961538,9999961538,9999961539,9999961539,9999961539,9999961539,9999961539,9999961539,9999961539
OH-:=C1_1,100,100,98,98,98,98,95,94,92,89,89,89,89,89,88,88,87,87,87,86,85,85,84,84,84,83,82,82,80,80,79,77,77,77,76,76,75,75,73,72,72,72,72,72,72,71,70,70,70,70,69,69,69,69,68,68,67,67,67,67,67,67,67,67,66,65,65,65,65,65,65,64,64,64,63,63,62,60,59,59,58,58,58,56,56,55,55,55,55,55,53,52,52,52,51,51,51,51,51,51,51
H+:=C1_1,100,100,98,98,98,98,95,94,92,89,89,89,89,89,88,88,87,87,87,86,85,85,84,84,84,83,82,82,80,80,79,77,77,77,76,76,75,75,73,72,72,72,72,72,72,71,70,70,70,70,69,69,69,69,68,68,67,67,67,67,67,67,67,67,66,65,65,65,65,65,65,64,64,64,63,63,62,60,59,59,58,58,58,56,56,55,55,55,55,55,53,52,52,52,51,51,51,51,51,51,51
