Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,DHO:=Cell_1,OD-:=Cell_1,D+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,DHO::Cell_1::Mitochondria_1,DHO_created::Cell_1::Mitochondria_1,OD-::Cell_1::Mitochondria_1,D+::Cell_1::Mitochondria_1,D+_inter::Cell_1::Mitochondria_1,D+_inter_by_D+::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ATP_created_by_D+::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,Pi_in::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
10000,10650,62530,9000000,54000000,1000,6000,9997986921410,91225133,108478065,1339972857,12485,14678,88140,8989350,1000,529,1436585,17802420,419427915,1580572085,1581918631,995569949,1004430051,11388489,99986544377,3128490,371096,2970567,22615098,25153656,1339711,18,7,26,276,288,52372687,53936941,14891253,4123376,622266,3,95876624,99939038,60962,194469116,49494,79762482,20237518,19849362,1983880,2311,4977346,99983074,16926,96574675,3425325,4958109,1000,1000,1000,1000,1000,1000,1000
11000,11110,61845,10000000,60000000,1000,6000,9997948064056,92060452,111078406,1339971581,12970,15469,92658,9988890,1000,640,1422089,19792464,381706239,1618293761,1619927081,995211362,1004788638,12809726,99985208126,3592562,422084,2983521,25565578,28792852,1339659,18,7,42,312,324,58141225,59937515,16640799,4573564,790851,3,95426436,99938662,61338,193731778,63870,77433287,22566713,22182037,2194100,2326,5560649,99982915,17085,96241918,3758082,5541238,1000,1000,1000,1000,1000,1000,1000
12000,10640,61903,11000000,66000000,1000,6000,9997917325160,88363187,109149085,1339972466,12352,15202,98407,10989360,1000,6680,1408397,21781906,347592396,1652407604,1654346646,994851626,1005148374,14231977,99983978226,4063724,382955,2922250,28483025,32475632,1339657,18,5,34,324,348,63899546,65931417,18381665,5018911,978102,6,94981089,99938741,61259,192980788,80199,75118859,24881141,24502968,2401555,2473,6141532,99982244,17756,95919057,4080943,6121303,1000,1000,1000,1000,1000,1000,1000
13000,10360,61815,12000000,72000000,1000,6000,9997884652543,89847199,112407398,1339971919,12423,15678,104595,11989640,1000,1246,1399746,23770090,316744591,1683255409,1685517751,994485632,1005514368,15649340,99982711984,4539512,387594,2924358,31372801,36186196,1339641,20,6,29,344,380,69667173,71936939,20119453,5457227,1178805,9,94542773,99938491,61509,192218922,98175,72811072,27188928,26819892,2606382,2429,6721004,99981864,18136,95601747,4398253,6700439,1000,1000,1000,1000,1000,1000,1000
14000,10420,63656,13000000,78000000,1000,6000,9997856621935,89622296,113958116,1339971453,12836,15731,111099,12989580,1000,553,1389702,25756962,288849320,1711150680,1713753202,994120779,1005879221,17069792,99981466652,5024118,390287,2922037,34244168,39954852,1339635,20,7,34,344,392,75423722,77935791,21847287,5892435,1398099,12,94107565,99938945,61055,191443988,118288,70521179,29478821,29123476,2807949,2559,7297468,99981280,18720,95295345,4704655,7276189,1000,1000,1000,1000,1000,1000,1000
15000,10700,62934,14000000,84000000,1000,6000,9997833672994,86963773,113075332,1339971549,12598,15873,117891,13989300,1000,1119,1378304,27742818,263618257,1736381743,1739339076,993755345,1006244655,18491875,99980251678,5515538,372190,2905657,37098296,43772484,1339630,20,4,42,344,416,81178168,83935947,23572084,6325516,1633542,18,93674484,99938287,61713,190655438,140020,68240494,31759506,31423106,3006288,2599,7872639,99980982,19018,94994648,5005352,7851022,1000,1000,1000,1000,1000,1000,1000
16000,10350,63473,15000000,90000000,1000,6000,9997809681872,87733303,115616743,1339971456,12365,16199,126516,14989650,1000,5912,1362530,29726268,240789203,1759210797,1762537461,993393835,1006606165,19918579,99979029468,6013066,376511,2907147,39937931,47633536,1339605,22,6,33,376,472,86924071,89930615,25288321,6754071,1883013,24,93245929,99938415,61585,189857680,163553,65976189,34023811,33711157,3201524,2510,8445159,99980187,19813,94701382,5298618,8422836,1000,1000,1000,1000,1000,1000,1000
17000,10610,63142,16000000,96000000,1000,6000,9997786239771,90141086,119796994,1339971479,12283,16258,135430,15989390,1000,1156,1346002,31707920,220163383,1779836617,1783546776,993032870,1006967130,21346751,99977788049,6516184,412723,2947763,42754901,51529624,1339576,24,3,33,408,504,92677598,95935702,26997104,7178698,2146527,24,92821302,99938632,61368,189049775,188615,63724788,36275212,35989393,3394039,2641,9015167,99979763,20237,94415699,5584301,8992289,1000,1000,1000,1000,1000,1000,1000
18000,10590,63559,17000000,102000000,1000,6000,9997771267691,86029537,117467658,1339971764,12127,16129,144856,16989410,1000,6460,1336051,33689108,201501931,1798498069,1802602865,992664176,1007335824,22770248,99976611832,7025898,397967,2939241,45552094,55474008,1339534,26,4,42,440,536,98417019,101929981,28698552,7603409,2426472,24,92396591,99938536,61464,188230331,216026,61488963,38511037,38257751,3583036,2655,9582809,99979045,20955,94136975,5863025,9559199,1000,1000,1000,1000,1000,1000,1000
19000,10590,62977,18000000,108000000,1000,6000,9997754328565,85663166,118881412,1339971797,11954,16269,155310,17989410,1000,6117,1322778,35668200,184631932,1815368068,1819879796,992296814,1007703186,24196597,99975462117,7540654,366337,2916622,48333872,59452668,1339544,26,6,30,440,548,104160566,107930906,30395101,8024669,2718516,27,91975331,99938024,61976,187401627,244732,59264204,40735796,40519663,3768417,2848,10148825,99978585,21415,93863834,6136166,10124562,1000,1000,1000,1000,1000,1000,1000
20000,10330,62467,19000000,114000000,1000,6000,9997739234821,85054665,120057001,1339971279,11913,16828,166728,18989670,1000,1176,1311681,37645884,169378320,1830621680,1835551819,991925413,1008074587,25620983,99974267233,8061240,390716,2953062,51100015,63471168,1339556,26,6,42,416,548,109905724,113936357,32087054,8444729,3023910,33,91555271,99938183,61817,186563315,275513,57050407,42949593,42775309,3950314,2676,10713220,99977711,22289,93596981,6403019,10688255,1000,1000,1000,1000,1000,1000,1000
