Time\ number,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1,Time\ Probability,r1_2_100,r2_1_110,r1_2_100:=Cell_1,r2_1_110:=Cell_1,r2_3_300:=Cell_1,r1_2_400:=Cell_1,rM_500:=Cell_1,r3_2_700:=Cell_1,r2_2_800:=Cell_1,r1_2_100::Cell_1::Mito_1,r2_1_110::Cell_1::Mito_1,rM_300::Cell_1::Mito_1,rM_400::Cell_1::Mito_1,rM_500::Cell_1::Mito_1,r2_2_510::Cell_1::Mito_1,rM_600::Cell_1::Mito_1,rM_610::Cell_1::Mito_1,rM_620::Cell_1::Mito_1,rM_700::Cell_1::Mito_1,rM_710::Cell_1::Mito_1,r3_3_800::Cell_1::Mito_1,r3_3_810::Cell_1::Mito_1,rM_900::Cell_1::Mito_1,r1_1_1100::Cell_1::Mito_1
0,10000000001039.0,1000000,9999999949663.0,100000,0,0.0,0,0,100000000,100000000496.0,1000,0,0,0,0,0,0,0,0,0,1003,499,0,0.0,0,9.999999999e-11,0.0009990009990009992,9.99999000001e-07,0.5,0.09090909090909091,0.999000999000999,0.7553563831844375,0.0,0.0009990010039946067,9.99999000001e-07,0.5,0.7947019867549668,0.9998000299960005,0.9994501874426225,0.999999000001,0.0,0.0,0.9944281391841289,0.9999490025508724,0.9999490025508724,0.9999999499001028,3.9207844705568695e-06,0.9999949900250499,0.9999999999999
100,9999999999758.0,1001237,9999993851712.0,10060812,115,200.0,22067,97,96115510,100001046688.0,100508,3,30,0,70,353,0,287,9,0,0,2000,1,0.0,100,9.999999999e-11,0.0010002355271814714,9.99999000001e-07,0.9919692118857592,0.09090909090909091,0.999000999000999,0.7569492093852731,0.8775905099368575,0.0009990003864358415,9.99999000001e-07,0.9996952471971885,0.9522692802850675,0.9998000295961189,0.9994489918752928,0.9999989999919999,0.986008371787576,0.9839244377868785,0.9944276158532563,0.9999490025496726,0.9999490024568685,0.9999999499038211,4.628494063028945e-05,0.9999949904020857,0.9999999999999
200,9999999999995.0,1000972,9999988289430.0,66643,101,201.0,28757,2302,93033289,100001894145.0,98603,200,2001,2002,3999,0,10,317,23,0,0,2000,1336,400.0,200,9.999999999e-11,0.0009999710569711614,9.99999000001e-07,0.9804178402091844,0.09090909090909091,0.999000999000999,0.75808418497155,0.924990729579829,0.0009989988317792053,9.99999000001e-07,0.9998509841158009,0.9989472085373817,0.9998000260770242,0.9994500306606484,0.9999989999961,0.9881188187401897,0.9873429392779619,0.9944285376245025,0.9999490025506724,0.999949002511873,0.99999994990656,0.00028803649835197484,0.9999949906880057,0.9999999999999
300,10000000000850.0,1000120,9999983038871.0,10074704,102,200.0,5705,45457,90086827,100002286572.0,100411,200,0,0,100,0,1,0,0,24,0,2000,580,400.0,300,9.999999999e-11,0.0009991207593461626,9.99999000001e-07,0.9944878222212423,0.09090909090909091,0.999000999000999,0.7583645949384873,0.9436338479139728,0.000998998308558068,9.99999000001e-07,0.9999061479740492,0.9989645289789492,0.9998000293961768,0.9994517752088162,0.999998999997,0.9888637698620177,0.988371828888788,0.9944321568716813,0.9999489979846521,0.9999490025448727,0.9999999499084731,0.00035869908668836946,0.9999949909317534,0.9999999999999
400,10000000001435.0,999584,9999977907708.0,10114313,107,201.0,22377,24608,87234076,100003002096.0,99737,0,1,2000,1,138,9,5,2,651,0,2000,21,201.0,400,9.999999999e-11,0.0009985858295821228,9.99999000001e-07,0.9951548047160999,0.09090909090909091,0.999000999000999,0.7590835462542127,0.4170340468736179,0.000998998804319452,9.99999000001e-07,0.9999284725009311,0.9523527065282026,0.9997999309792763,0.9994520087488069,0.9999989997910563,0.9891534732728835,0.9887663075325624,0.9944363441458952,0.9999489949890072,0.9999490025414728,0.9999999499106407,0.00021177498528126345,0.9999949911639605,0.9999999999999
500,9999999999556.0,1001448,9999973080732.0,10075943,108,200.0,10824,1179,84990847,100004180700.0,10,0,0,0,4000,141,20,0,2,0,0,2000,56,200.0,500,9.999999999e-11,0.001000446105248791,9.99999000001e-07,0.9956750583077827,0.09090909090909091,0.999000999000999,0.7602165320162685,0.9576282845758695,0.000998998320898874,9.99999000001e-07,0.9999418073812681,0.9523582278349124,0.9998000299960005,0.9994514417426619,0.9999989998409747,0.9893352507533115,0.9890239781001764,0.9944350732677322,0.9999490025454726,0.999949002530873,0.9999999499125584,0.00045701524392525474,0.9999949913364788,0.9999999999999
600,10000000000702.0,1000362,9999968836178.0,54664,118,200.0,19539,8106,83035367,100004284516.0,11,0,221,1999,1997,0,0,0,80,303,1,2000,20,401.0,600,9.999999999e-11,0.0009993622759549012,9.99999000001e-07,0.9939526475369557,0.09090909090909091,0.999000999000999,0.7604412189002138,0.961680757191829,0.0009989968937884125,9.99999000001e-07,0.9999535531427755,0.9523625005672779,0.999800029476154,0.9994540198048841,0.9999989999919999,0.989486445732691,0.9892415523744956,0.9944436183776912,0.9999490025402729,0.9999490025237731,0.9999999499133148,0.0005456566553845574,0.9999949914814847,0.9999999999999
700,9999999999790.0,1001217,9999964260753.0,10042422,114,200.0,8338,609,80603963,100003639297.0,199174,200,1990,2092,2092,415,10,373,6,331,0,2000,40,200.0,700,9.999999999e-11,0.0010002155671704842,9.99999000001e-07,0.9966747850680825,0.09090909090909091,0.999000999000999,0.760376278328677,0.9641622318695737,0.0009989964413168043,9.99999000001e-07,0.9999609559970963,0.9989886613014453,0.9997996950647992,0.9994558594462162,0.9999989999964,0.989591587439122,0.9893723454396658,0.9944548333892358,0.9999490025499724,0.999949002532073,0.9999999499140634,0.0006574091154196124,0.999994991649835,0.9999999999999
800,10000000000317.0,1000693,9999960389259.0,9998705,115,200.0,3016,4597,78995063,100004587890.0,0,1,200,200,0,410,0,340,4,5,998,2000,1352,400.0,800,9.999999999e-11,0.0009996926145984196,9.99999000001e-07,0.9969574325647635,0.09090909090909091,0.999000999000999,0.7608423623416987,0.9664241757053631,0.0009989960589114933,9.99999000001e-07,0.9999662355851272,0.9523671731970456,0.9997996196412535,0.9994576074656362,0.999998999994,0.9896525574221029,0.9894735351763141,0.9944579901626517,0.999949002536073,0.9999490025428728,0.9999999499149331,0.0007273280466291722,0.9999949917663263,0.9999999999999
900,10000000000498.0,1000523,9999956368852.0,10072870,109,200.0,5563,14062,77270073,100005185893.0,99566,0,0,200,200,6,2,5,0,308,0,2000,1,0.0,900,9.999999999e-11,0.0009995229542951996,9.99999000001e-07,0.9971762538308352,0.09090909090909091,0.999000999000999,0.7608072353506659,0.19782543189584129,0.0009989966501102105,9.99999000001e-07,0.9999697647388281,0.9523686142706852,0.9998000299960005,0.999458015891488,0.999999000001,0.9896997255145764,0.9895384169294634,0.994459289568988,0.9999489994597063,0.9999490025508724,0.9999999499160328,0.0005709776956115419,0.9999949918776414,0.9999999999999
