Time,H2O,OH-,H+,glucose,O2,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_channel:=Cell_1,glucose_in:=Cell_1,O2:=Cell_1,O2_in:=Cell_1,Pyruvate:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,Pi-:=Cell_1,Pi_total:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic:=Cell_1,H2O::Cell_1::Mito_1,OH-::Cell_1::Mito_1,H+::Cell_1::Mito_1,H+_inter::Cell_1::Mito_1,O2::Cell_1::Mito_1,O2_in::Cell_1::Mito_1,CO2::Cell_1::Mito_1,ATP::Cell_1::Mito_1,ATP_created::Cell_1::Mito_1,ADP::Cell_1::Mito_1,Pi::Cell_1::Mito_1,Pi-::Cell_1::Mito_1,Pi_total::Cell_1::Mito_1,NAD+::Cell_1::Mito_1,NADH::Cell_1::Mito_1,NADH_created::Cell_1::Mito_1,Pyruvate::Cell_1::Mito_1,Pyruvate-::Cell_1::Mito_1,Pyruvate_trans::Cell_1::Mito_1,Pyruvate-_in::Cell_1::Mito_1,CoA-SH::Cell_1::Mito_1,Acetyl_CoA::Cell_1::Mito_1,FAD::Cell_1::Mito_1,GDP::Cell_1::Mito_1,GTP::Cell_1::Mito_1,FADH2::Cell_1::Mito_1,FADH2_created::Cell_1::Mito_1,ATP_ase::Cell_1::Mito_1,ADP_ATP_trans::Cell_1::Mito_1,NADH_shuttle::Cell_1::Mito_1,Pi_trans::Cell_1::Mito_1,Commp1::Cell_1::Mito_1,Commp2::Cell_1::Mito_1
0,10000000000000,1000000,1000000,0,0,10000000000000,100000,100000,0,1000,0,0,0,0,0,0,100000000,100000000,100000000,0,0,10000000,0,0,100000000000,1000,1000,1000,0,0,0,0,0,10000000,20000000,0,0,10000000,0,0,0,0,200,0,10000000,0,10000000,10000000,0,0,0,2000,2000,2000,2000,1000,1000
100,9999999999758,1000242,1000242,115000,20000,9999993851712,2349044,57978,11067,1000,875000,0,1960000,0,852737,1727866,96081896,103918104,103970204,0,0,9999903,97,804169,100000911812,100508,3280348,400,1338550,0,283840,90,4048800,9999910,19947740,0,0,9964660,35340,0,0,0,200,70960,10000000,0,9999840,9999930,70,160,70960,2000,2000,2000,2000,1000,1000
200,9999999999995,1000005,1000005,101000,20100,9999988224050,5006689,66643,15757,1000,1889000,19900,3959900,0,1671252,3746486,92899689,107100311,107017711,0,0,9999998,2,1926784,100001894145,11,6232302,380400,2660250,0,593790,8049,8210000,9991951,20072553,0,0,9999610,390,0,0,1,200,148450,9999998,2,9997953,9998002,1998,2047,148447,2000,2000,2000,2000,1000,1000
300,9999999999880,1000120,1000120,102000,20000,9999973011307,18041650,10074704,5705,1000,2888000,20000,5960000,0,2549207,5764590,90020217,109979783,109263083,0,0,9963153,36847,2999343,100002186169,100411,10654071,400,4035850,0,864160,58040,12406800,9941960,20658560,0,0,9999940,60,0,0,0,200,216040,10000000,0,9999760,9999900,100,240,216040,2000,2000,2000,2000,1000,1000
400,10000000000416,999584,999584,107000,20100,9999977907708,10541548,49018,6377,1000,3883000,0,7959900,0,3337735,7753246,87200156,112799844,111938544,0,0,9958865,41135,4127711,100003002096,4,13873904,6400,5456150,0,1145199,99,16308800,9999901,20861200,0,0,9992101,7899,0,0,1,200,287800,9998001,1999,10000000,9999999,1,0,285800,2000,2000,2000,2000,1000,1000
500,9999999999556,1000444,1000444,108000,20000,9999973165390,13020457,43915,10824,1000,4882000,20000,9960000,0,4190879,9742352,84990847,115009153,114274053,0,0,9998821,1179,5191573,100004162790,10,17183310,400,6774550,0,1439600,1600,20628800,9998400,20729500,0,0,9985900,14100,0,0,0,200,359900,10000000,0,9995900,9996000,4000,4100,359900,2000,2000,2000,2000,1000,1000
600,9999999999638,1000362,1000362,118000,20000,9999968781849,16436162,54664,8539,1000,5872000,20100,11960000,0,5139096,11726922,83005301,116994699,115303899,0,0,9999894,106,6165916,100004288499,11,21522991,1000,8110300,0,1680759,90,24971200,9999910,21690710,0,0,9997941,2059,0,0,221,200,421910,9998001,1999,9999910,10000000,0,90,419690,2000,2000,2000,2000,1000,1000
700,9999999999790,1000210,1000210,114000,20000,9999954319195,29971354,10016894,8338,1000,6876000,20000,13960000,0,5905095,13735324,80587199,119412801,116294001,0,0,9979655,20345,7345679,100003639297,100461,25954149,27400,9544300,0,1937888,4046,28650000,9995954,23114754,0,0,9999812,188,0,0,0,200,484550,9999896,104,9999954,10000000,0,46,484446,2000,2000,2000,2000,1000,1000
800,9999999999307,1000693,1000693,115000,20000,9999950495658,32667269,9998411,3016,1000,7875000,20000,15960000,0,6907041,15743968,78990467,121009533,117476333,0,0,9999999,1,8297667,100004412090,10,29615980,2000,10889650,0,2156280,70,32950000,9999930,23533130,0,0,9959120,40880,0,0,190,200,539260,10000000,0,9999930,10000000,0,70,539070,2000,2000,2000,2000,1000,1000
900,9999999999477,1000523,1000523,109000,20000,9999956368852,25315895,74817,5563,1000,8881000,0,17960000,0,7713161,17750874,77261447,122738553,119022053,0,0,9974939,25061,9430913,100005185893,7,32979507,800,12296050,0,2426600,100,36951200,9999900,23716400,0,0,10000000,0,0,0,0,200,606800,9999800,200,9999800,10000000,0,200,606600,2000,2000,2000,2000,1000,1000
1000,9999999999581,1000419,1000419,112000,20000,9999942721116,38536638,10058424,16598,1000,9878000,0,19960000,0,8640963,19722804,76037794,123962206,119520006,0,0,9983077,16923,10404081,100005483557,98323,37236623,800,13619750,0,2705100,47680,41367600,9952320,24394520,0,0,9998000,2000,0,0,0,200,677760,9998020,1980,9999820,10000000,0,180,675780,2000,2000,2000,2000,1000,1000
1100,9999999999545,1000455,1000455,106000,20000,9999938598552,41233173,10026511,6424,1000,10884000,0,21960000,0,9221369,21755152,73879125,126120875,121007875,0,0,9997931,2069,11794183,100005486251,100249,40528949,2400,15131550,0,2958400,0,44536400,10000000,25113000,0,0,10000000,0,0,0,0,200,739600,10000000,0,10000000,10000000,0,0,739600,2000,2000,2000,2000,1000,1000
1200,9999999999721,1000279,1000279,110000,20000,9999945476069,34111016,42726,11103,1000,11880000,20000,23960000,0,10275325,23737794,73374425,126625575,121327775,0,0,9967615,32385,12647609,100006571739,81,44378921,200,16379000,0,3251440,60,49323200,9999940,25297740,0,0,9999960,40,0,0,2000,200,814860,10000000,0,9999940,10000000,0,60,812860,2000,2000,2000,2000,1000,1000
1300,10000000000375,999625,999625,109000,20000,9999942621939,37290299,35195,11293,1000,12881000,20100,25960000,0,11419773,25739414,73421388,126578612,121079812,0,0,9964977,35023,13427591,100007575397,99953,48810253,600,17571500,0,3568200,4550,54600400,9995450,25494250,0,0,10000000,0,0,0,0,200,892050,10000000,0,9999750,10000000,0,250,892050,2000,2000,2000,2000,1000,1000
1400,10000000000214,999786,999786,109000,20000,9999938964571,41746615,32849,2943,1000,13881000,0,27960000,0,12122842,27756114,72182136,127817864,120362064,0,0,9981508,18492,14660022,100006594490,0,53854790,2200,18989800,0,3890720,80,58504400,9999920,27455620,0,0,9999680,320,0,0,570,200,973250,10000000,0,9999720,9999900,100,280,972680,2000,2000,2000,2000,1000,1000
1500,10000000000279,999721,999721,96000,20000,9999925994002,54479612,10056364,4237,1000,14894000,0,29960000,0,13166896,29779526,71428454,128571546,120658846,0,0,9971744,28256,15580170,100007513820,0,57614240,5200,20293350,0,4129840,222060,63066400,9777940,27690640,0,0,9999960,40,0,0,0,200,1032460,10000000,0,9999940,10000000,0,60,1032460,2000,2000,2000,2000,1000,1000
1600,10000000000166,999834,999834,113000,20000,9999922627410,58358317,10090429,5587,1000,15877000,0,31960000,0,13993726,31742826,70365567,129634433,120205433,0,0,9952414,47586,16657940,100006696221,1,62314538,1800,21717600,0,4364637,2060,66830400,9997940,29424941,0,0,9993863,6137,0,0,0,200,1091160,9999999,1,9997841,9998001,1999,2159,1091159,2000,2000,2000,2000,1000,1000
1700,10000000000456,999544,999544,108000,20000,9999929500160,51927253,16089,3099,1000,16882000,20000,33960000,0,14813658,33757802,69398593,130601407,119824907,0,0,9999922,78,17791824,100006391240,0,66729480,1400,23086800,0,4597280,57620,70823600,9942380,30718880,0,0,9995020,4980,0,0,0,200,1152320,9996000,4000,9999880,10000000,0,120,1148320,2000,2000,2000,2000,1000,1000
1800,10000000000982,999018,999018,107000,20000,9999917050103,64827960,10002606,9655,1000,17883000,0,35960000,0,15989203,35746690,69755823,130244177,119449977,0,0,9996057,3943,18529447,100007810780,0,70822460,3600,24287550,0,4912160,171240,76180800,9828760,30622960,0,0,9993440,6560,0,0,0,200,1228040,10000000,0,9997960,10000000,0,2040,1228040,2000,2000,2000,2000,1000,1000
1900,10000000001593,998407,998407,118000,20000,9999924163248,58046915,69037,5432,1000,18872000,0,37960000,0,16985541,37733136,69905123,130094877,119204577,0,0,9971719,28281,19432855,100008699733,7,74979777,13000,25537300,0,5258840,2508,81061200,9997492,30887790,0,0,9999960,40,0,0,30,200,1314740,10000000,0,9999890,9999998,2,110,1314710,2000,2000,2000,2000,1000,1000
2000,10000000000993,999007,999007,107000,20100,9999910563581,71970369,10023643,17990,1000,19883000,0,39959900,0,17528167,39730020,68423510,131576490,118963190,0,0,9992893,7107,20804713,100007614612,100488,79363768,219800,27009200,0,5586879,12880,84403200,9987120,32600420,0,0,9999921,79,0,0,1,200,1397140,9999441,559,9999820,10000000,0,180,1396580,2000,2000,2000,2000,1000,1000
2100,10000000000487,999513,999513,111000,20000,9999907703762,75334200,10018788,12013,1000,20879000,20100,41960000,0,18416169,41733974,68122612,131877388,118540988,0,0,9999981,19,21838855,100008016089,1,83530291,224000,28311150,0,5908090,2080,88816000,9997920,33334320,0,0,9978310,21690,0,0,0,200,1478950,9997430,2570,9999620,10000000,0,380,1476380,2000,2000,2000,2000,1000,1000
2200,10000000000066,999934,999934,110000,20000,9999914796532,68175686,22686,4868,1000,21880000,0,43960000,0,19277340,43750264,67937798,132062202,118692902,0,0,9969440,30560,22907804,100009004540,0,87463180,800,29646350,0,6254480,20,93340400,9999980,33369280,0,0,9997920,2080,0,0,0,200,1565120,9998000,2000,9999880,10000000,0,120,1563120,2000,2000,2000,2000,1000,1000
2300,10000000000305,999695,999695,107000,20000,9999901680620,80733840,10018450,9745,1000,22883000,20000,45960000,0,20025325,45746510,67325700,132674300,119334600,0,0,9999915,85,24072125,100009909980,98146,90703077,139000,30985300,0,6588231,25660,97456000,9974340,33312043,0,0,9999869,131,0,0,2000,200,1649060,9999997,3,9999943,9998003,1997,57,1647057,2000,2000,2000,2000,1000,1000
2400,10000000000845,999155,999155,101000,20000,9999908897433,73827245,8099,10223,1000,23889000,0,47960000,0,20895582,47757554,67190088,132809912,119113112,0,0,9956828,43172,25124182,100010628030,0,94760160,800,32325550,0,6943160,90,101915600,9999910,33696710,0,0,9999940,60,0,0,2000,200,1737790,10000000,0,9999810,10000000,0,190,1735790,2000,2000,2000,2000,1000,1000
