Time,x,y
0,10000000,0
100,9900487,99513
200,9802165,197835
300,9704374,295626
400,9607840,392160
500,9511942,488058
600,9417214,582786
700,9323593,676407
800,9231473,768527
900,9140318,859682
1000,9048926,951074
1100,8958925,1041075
1200,8869524,1130476
1300,8781466,1218534
1400,8694105,1305895
1500,8607684,1392316
1600,8521431,1478569
1700,8436311,1563689
1800,8352384,1647616
1900,8269489,1730511
2000,8187664,1812336
2100,8106465,1893535
2200,8025694,1974306
2300,7946202,2053798
2400,7867757,2132243
2500,7789429,2210571
2600,7712263,2287737
2700,7635236,2364764
2800,7559322,2440678
2900,7483890,2516110
3000,7409887,2590113
3100,7336162,2663838
3200,7263060,2736940
3300,7190648,2809352
3400,7118684,2881316
3500,7048245,2951755
3600,6978424,3021576
3700,6908906,3091094
3800,6840232,3159768
3900,6771903,3228097
4000,6704709,3295291
4100,6637756,3362244
4200,6571182,3428818
4300,6505697,3494303
4400,6440858,3559142
4500,6376568,3623432
4600,6313580,3686420
4700,6250988,3749012
4800,6188786,3811214
4900,6127738,3872262
5000,6066615,3933385
5100,6006209,3993791
5200,5946320,4053680
5300,5886827,4113173
5400,5828061,4171939
5500,5769777,4230223
5600,5712248,4287752
5700,5655786,4344214
5800,5599690,4400310
5900,5544231,4455769
6000,5488970,4511030
6100,5434533,4565467
6200,5380780,4619220
6300,5327318,4672682
6400,5274726,4725274
6500,5221733,4778267
6600,5169851,4830149
6700,5118381,4881619
6800,5067586,4932414
6900,5016852,4983148
7000,4967044,5032956
7100,4917924,5082076
7200,4869160,5130840
7300,4820879,5179121
7400,4773240,5226760
7500,4725668,5274332
7600,4678516,5321484
7700,4631756,5368244
7800,4585677,5414323
7900,4539753,5460247
8000,4494131,5505869
8100,4449716,5550284
8200,4405467,5594533
8300,4361610,5638390
8400,4318372,5681628
8500,4275575,5724425
8600,4233115,5766885
8700,4190731,5809269
8800,4148635,5851365
8900,4107845,5892155
9000,4066829,5933171
9100,4026666,5973334
9200,3986784,6013216
9300,3947472,6052528
9400,3908305,6091695
9500,3869474,6130526
9600,3830964,6169036
9700,3793091,6206909
9800,3755227,6244773
9900,3717695,6282305
10000,3680692,6319308
10100,3644023,6355977
10200,3608023,6391977
10300,3572116,6427884
10400,3536571,6463429
10500,3501522,6498478
10600,3466456,6533544
10700,3432126,6567874
10800,3397960,6602040
10900,3364449,6635551
11000,3330682,6669318
11100,3297128,6702872
11200,3264579,6735421
11300,3231839,6768161
11400,3199743,6800257
11500,3167949,6832051
11600,3136673,6863327
11700,3105217,6894783
11800,3074157,6925843
11900,3043672,6956328
12000,3013541,6986459
12100,2983718,7016282
12200,2953928,7046072
12300,2924793,7075207
12400,2895794,7104206
12500,2867218,7132782
12600,2838724,7161276
12700,2810425,7189575
12800,2782255,7217745
12900,2754591,7245409
13000,2727053,7272947
13100,2699629,7300371
13200,2672890,7327110
13300,2646202,7353798
13400,2619994,7380006
13500,2594040,7405960
13600,2568244,7431756
13700,2542782,7457218
13800,2517521,7482479
13900,2492440,7507560
14000,2467669,7532331
14100,2443231,7556769
14200,2419123,7580877
14300,2395082,7604918
14400,2371148,7628852
14500,2347384,7652616
14600,2324165,7675835
14700,2301016,7698984
14800,2278170,7721830
14900,2255249,7744751
15000,2232737,7767263
15100,2210532,7789468
15200,2188802,7811198
15300,2167239,7832761
15400,2145672,7854328
15500,2124447,7875553
15600,2103319,7896681
15700,2082327,7917673
15800,2061610,7938390
15900,2041041,7958959
16000,2020581,7979419
16100,2000572,7999428
16200,1980579,8019421
16300,1960856,8039144
16400,1941104,8058896
16500,1921828,8078172
16600,1902861,8097139
16700,1883839,8116161
16800,1864874,8135126
16900,1846354,8153646
17000,1828103,8171897
17100,1809919,8190081
17200,1791894,8208106
17300,1773980,8226020
17400,1756348,8243652
17500,1738666,8261334
17600,1721218,8278782
17700,1703947,8296053
17800,1686978,8313022
17900,1670350,8329650
18000,1653900,8346100
18100,1637434,8362566
18200,1621081,8378919
18300,1604847,8395153
18400,1588953,8411047
18500,1573131,8426869
18600,1557575,8442425
18700,1542096,8457904
18800,1526660,8473340
18900,1511302,8488698
19000,1496540,8503460
19100,1481573,8518427
19200,1466754,8533246
19300,1452090,8547910
19400,1437608,8562392
19500,1423244,8576756
19600,1409039,8590961
19700,1394934,8605066
19800,1381177,8618823
19900,1367591,8632409
20000,1354077,8645923
20100,1340528,8659472
20200,1327090,8672910
20300,1314023,8685977
20400,1300870,8699130
20500,1288027,8711973
20600,1275298,8724702
20700,1262602,8737398
20800,1250011,8749989
20900,1237580,8762420
21000,1225435,8774565
21100,1213131,8786869
21200,1201036,8798964
21300,1188962,8811038
21400,1177130,8822870
21500,1165558,8834442
21600,1154211,8845789
21700,1142609,8857391
21800,1131307,8868693
21900,1119963,8880037
22000,1108984,8891016
22100,1097744,8902256
22200,1086841,8913159
22300,1076210,8923790
22400,1065476,8934524
22500,1054824,8945176
22600,1044387,8955613
22700,1033920,8966080
22800,1023778,8976222
22900,1013645,8986355
23000,1003516,8996484
23100,993582,9006418
23200,983831,9016169
23300,974063,9025937
23400,964526,9035474
23500,954881,9045119
23600,945375,9054625
23700,936021,9063979
23800,926632,9073368
23900,917399,9082601
24000,908333,9091667
24100,899394,9100606
24200,890455,9109545
24300,881633,9118367
24400,872715,9127285
24500,864033,9135967
24600,855319,9144681
24700,846780,9153220
24800,838289,9161711
24900,830056,9169944
25000,821750,9178250
25100,813692,9186308
25200,805579,9194421
25300,797546,9202454
25400,789598,9210402
25500,781949,9218051
25600,774195,9225805
25700,766454,9233546
25800,758898,9241102
25900,751405,9248595
26000,743854,9256146
26100,736595,9263405
26200,729146,9270854
26300,721663,9278337
26400,714575,9285425
26500,707469,9292531
26600,700341,9299659
26700,693496,9306504
26800,686622,9313378
26900,679828,9320172
27000,673155,9326845
27100,666479,9333521
27200,659766,9340234
27300,653282,9346718
27400,646758,9353242
27500,640342,9359658
27600,633914,9366086
27700,627515,9372485
27800,621243,9378757
27900,614891,9385109
28000,608763,9391237
28100,602711,9397289
28200,596781,9403219
28300,590852,9409148
28400,584928,9415072
28500,579009,9420991
28600,573224,9426776
28700,567398,9432602
28800,561782,9438218
28900,556400,9443600
29000,550850,9449150
29100,545480,9454520
29200,540142,9459858
29300,534855,9465145
29400,529515,9470485
29500,524347,9475653
29600,519098,9480902
29700,513928,9486072
29800,508682,9491318
29900,503647,9496353
30000,498642,9501358
30100,493643,9506357
30200,488755,9511245
30300,483925,9516075
30400,479154,9520846
30500,474394,9525606
30600,469631,9530369
30700,464960,9535040
30800,460260,9539740
30900,455559,9544441
31000,451022,9548978
31100,446432,9553568
31200,441997,9558003
31300,437568,9562432
31400,433201,9566799
31500,428966,9571034
31600,424749,9575251
31700,420404,9579596
31800,416101,9583899
31900,411990,9588010
32000,407921,9592079
32100,403799,9596201
32200,399699,9600301
32300,395685,9604315
32400,391750,9608250
32500,387818,9612182
32600,383993,9616007
32700,380289,9619711
32800,376425,9623575
32900,372709,9627291
33000,369070,9630930
33100,365479,9634521
