Time,A,B,C
0,100000,10000,0
10,99910,9910,90
20,99793,9793,207
30,99696,9696,304
40,99585,9585,415
50,99485,9485,515
60,99376,9376,624
70,99271,9271,729
80,99178,9178,822
90,99091,9091,909
100,99003,9003,997
110,98917,8917,1083
120,98846,8846,1154
130,98772,8772,1228
140,98670,8670,1330
150,98593,8593,1407
160,98521,8521,1479
170,98438,8438,1562
180,98353,8353,1647
190,98256,8256,1744
200,98167,8167,1833
210,98094,8094,1906
220,98010,8010,1990
230,97916,7916,2084
240,97837,7837,2163
250,97751,7751,2249
260,97679,7679,2321
270,97610,7610,2390
280,97523,7523,2477
290,97457,7457,2543
300,97391,7391,2609
310,97313,7313,2687
320,97229,7229,2771
330,97151,7151,2849
340,97067,7067,2933
350,96992,6992,3008
360,96935,6935,3065
370,96870,6870,3130
380,96802,6802,3198
390,96742,6742,3258
400,96671,6671,3329
410,96599,6599,3401
420,96547,6547,3453
430,96490,6490,3510
440,96420,6420,3580
450,96342,6342,3658
460,96277,6277,3723
470,96218,6218,3782
480,96150,6150,3850
490,96081,6081,3919
500,96021,6021,3979
510,95962,5962,4038
520,95908,5908,4092
530,95846,5846,4154
540,95796,5796,4204
550,95737,5737,4263
560,95680,5680,4320
570,95621,5621,4379
580,95547,5547,4453
590,95495,5495,4505
600,95456,5456,4544
610,95394,5394,4606
620,95336,5336,4664
630,95276,5276,4724
640,95225,5225,4775
650,95166,5166,4834
660,95118,5118,4882
670,95074,5074,4926
680,95039,5039,4961
690,94999,4999,5001
700,94944,4944,5056
710,94889,4889,5111
720,94850,4850,5150
730,94810,4810,5190
740,94759,4759,5241
750,94710,4710,5290
760,94670,4670,5330
770,94627,4627,5373
780,94588,4588,5412
790,94558,4558,5442
800,94522,4522,5478
810,94475,4475,5525
820,94435,4435,5565
830,94402,4402,5598
840,94360,4360,5640
850,94321,4321,5679
860,94274,4274,5726
870,94221,4221,5779
880,94181,4181,5819
890,94145,4145,5855
900,94091,4091,5909
910,94056,4056,5944
920,94015,4015,5985
930,93980,3980,6020
940,93946,3946,6054
950,93916,3916,6084
960,93875,3875,6125
970,93841,3841,6159
980,93804,3804,6196
990,93759,3759,6241
1000,93718,3718,6282
1010,93676,3676,6324
1020,93644,3644,6356
1030,93616,3616,6384
1040,93583,3583,6417
1050,93563,3563,6437
1060,93535,3535,6465
1070,93502,3502,6498
1080,93479,3479,6521
1090,93449,3449,6551
1100,93429,3429,6571
1110,93387,3387,6613
1120,93363,3363,6637
1130,93332,3332,6668
1140,93311,3311,6689
1150,93285,3285,6715
1160,93271,3271,6729
1170,93244,3244,6756
1180,93210,3210,6790
1190,93183,3183,6817
1200,93153,3153,6847
1210,93127,3127,6873
1220,93096,3096,6904
1230,93067,3067,6933
1240,93036,3036,6964
1250,93010,3010,6990
1260,92984,2984,7016
1270,92950,2950,7050
1280,92921,2921,7079
1290,92891,2891,7109
1300,92867,2867,7133
1310,92845,2845,7155
1320,92816,2816,7184
1330,92787,2787,7213
1340,92759,2759,7241
1350,92726,2726,7274
1360,92703,2703,7297
1370,92675,2675,7325
1380,92651,2651,7349
1390,92626,2626,7374
1400,92607,2607,7393
1410,92585,2585,7415
1420,92562,2562,7438
1430,92541,2541,7459
1440,92521,2521,7479
1450,92494,2494,7506
1460,92474,2474,7526
1470,92460,2460,7540
1480,92433,2433,7567
1490,92406,2406,7594
1500,92384,2384,7616
1510,92364,2364,7636
1520,92334,2334,7666
1530,92312,2312,7688
1540,92285,2285,7715
1550,92274,2274,7726
1560,92256,2256,7744
1570,92241,2241,7759
1580,92212,2212,7788
1590,92185,2185,7815
1600,92160,2160,7840
1610,92138,2138,7862
1620,92122,2122,7878
1630,92109,2109,7891
1640,92085,2085,7915
1650,92065,2065,7935
1660,92045,2045,7955
1670,92020,2020,7980
1680,92000,2000,8000
1690,91981,1981,8019
1700,91960,1960,8040
1710,91943,1943,8057
1720,91926,1926,8074
1730,91913,1913,8087
1740,91901,1901,8099
1750,91885,1885,8115
1760,91873,1873,8127
1770,91864,1864,8136
1780,91848,1848,8152
1790,91835,1835,8165
1800,91815,1815,8185
1810,91793,1793,8207
1820,91776,1776,8224
1830,91758,1758,8242
1840,91740,1740,8260
1850,91722,1722,8278
1860,91710,1710,8290
1870,91697,1697,8303
1880,91688,1688,8312
1890,91666,1666,8334
1900,91646,1646,8354
1910,91630,1630,8370
1920,91613,1613,8387
1930,91599,1599,8401
1940,91587,1587,8413
1950,91574,1574,8426
1960,91568,1568,8432
1970,91548,1548,8452
1980,91534,1534,8466
1990,91515,1515,8485
2000,91499,1499,8501
2010,91488,1488,8512
2020,91475,1475,8525
2030,91460,1460,8540
2040,91443,1443,8557
2050,91433,1433,8567
2060,91421,1421,8579
2070,91410,1410,8590
2080,91398,1398,8602
2090,91377,1377,8623
2100,91361,1361,8639
2110,91346,1346,8654
2120,91334,1334,8666
2130,91324,1324,8676
2140,91318,1318,8682
2150,91313,1313,8687
2160,91304,1304,8696
2170,91287,1287,8713
2180,91275,1275,8725
2190,91259,1259,8741
2200,91244,1244,8756
2210,91237,1237,8763
2220,91225,1225,8775
2230,91218,1218,8782
2240,91207,1207,8793
2250,91202,1202,8798
2260,91187,1187,8813
2270,91177,1177,8823
2280,91162,1162,8838
2290,91152,1152,8848
2300,91145,1145,8855
2310,91134,1134,8866
2320,91126,1126,8874
2330,91113,1113,8887
2340,91103,1103,8897
2350,91092,1092,8908
2360,91081,1081,8919
2370,91074,1074,8926
2380,91063,1063,8937
2390,91052,1052,8948
2400,91042,1042,8958
2410,91028,1028,8972
2420,91017,1017,8983
2430,91008,1008,8992
2440,90998,998,9002
2450,90988,988,9012
2460,90977,977,9023
2470,90967,967,9033
2480,90961,961,9039
2490,90953,953,9047
2500,90947,947,9053
2510,90940,940,9060
2520,90934,934,9066
2530,90928,928,9072
2540,90916,916,9084
2550,90907,907,9093
2560,90901,901,9099
2570,90893,893,9107
2580,90885,885,9115
2590,90877,877,9123
2600,90869,869,9131
2610,90860,860,9140
2620,90850,850,9150
2630,90843,843,9157
2640,90834,834,9166
2650,90830,830,9170
2660,90825,825,9175
2670,90814,814,9186
2680,90802,802,9198
2690,90796,796,9204
2700,90785,785,9215
2710,90782,782,9218
2720,90771,771,9229
2730,90761,761,9239
2740,90753,753,9247
2750,90744,744,9256
2760,90739,739,9261
2770,90735,735,9265
2780,90727,727,9273
2790,90720,720,9280
2800,90716,716,9284
2810,90712,712,9288
2820,90701,701,9299
2830,90695,695,9305
2840,90689,689,9311
2850,90681,681,9319
2860,90674,674,9326
2870,90667,667,9333
2880,90663,663,9337
2890,90655,655,9345
2900,90651,651,9349
2910,90645,645,9355
2920,90636,636,9364
2930,90626,626,9374
2940,90620,620,9380
2950,90616,616,9384
2960,90611,611,9389
2970,90603,603,9397
2980,90593,593,9407
2990,90586,586,9414
3000,90579,579,9421
3010,90574,574,9426
3020,90567,567,9433
3030,90563,563,9437
3040,90557,557,9443
3050,90554,554,9446
3060,90548,548,9452
3070,90544,544,9456
3080,90539,539,9461
3090,90538,538,9462
3100,90529,529,9471
3110,90519,519,9481
3120,90513,513,9487
3130,90507,507,9493
3140,90501,501,9499
3150,90491,491,9509
3160,90481,481,9519
3170,90480,480,9520
3180,90477,477,9523
3190,90472,472,9528
3200,90469,469,9531
3210,90464,464,9536
3220,90461,461,9539
3230,90451,451,9549
3240,90447,447,9553
3250,90444,444,9556
3260,90440,440,9560
3270,90437,437,9563
3280,90435,435,9565
3290,90428,428,9572
3300,90423,423,9577
3310,90418,418,9582
3320,90414,414,9586
3330,90408,408,9592
3340,90407,407,9593
3350,90400,400,9600
3360,90399,399,9601
3370,90398,398,9602
3380,90395,395,9605
3390,90393,393,9607
3400,90390,390,9610
3410,90385,385,9615
3420,90383,383,9617
3430,90381,381,9619
