Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989107115,9992449,9992449,0,0,1000,0,0,0,9998999564,10001000436,10001000436,10000000000,0,0,99999899604,0,101396,101396,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10392290,1268939,20000000,120000000,20000,120000,9998975166780,88005984,112835955,1630,9607710,1000,128650,9105011,19212160,9136046464,10863953536,10919607936,9984334329,15665671,59289,100014542560,54484200,57866,18221759,626300,466283600,96270211,118602411,30078075,34401425,97354800,965598575,999998667,1333,1409942842,991257667,8742333,40099733,3487200,13101,10047860,999986899,13101,999798142,201858,10021658,1000,1000,1000,1000,1000,1000,1000
3000,20458920,1245185,40000000,240000000,20000,120000,9998125868760,82182135,123299492,771,19541080,1000,126338,14257339,39080618,8379442395,11620557605,11745260805,9973503741,26496259,363759,100049717294,147368900,49773,35586339,61300,1279894600,177056177,238628477,73378535,124847191,271924800,875152809,999954380,45620,1250403989,988861654,11138346,97838046,12220600,7,24459520,999999998,2,999764789,235211,24459511,1000,1000,1000,1000,1000,1000,1000
4000,30498370,1262013,60000000,360000000,20000,120000,9997343506425,81510889,134378873,10031,29501630,1000,23160,17990586,58983198,7695835014,12304164986,12494283786,9966108874,33891126,986272,100091777874,251638700,119496,52014886,82300,2198213400,252781327,358714827,119970640,238744361,469675500,761255639,999996351,3649,1071133190,988028650,11971350,159960850,24105800,16120,40006340,999999990,10,999781490,218510,39990210,1000,1000,1000,1000,1000,1000,1000
5000,40526740,1268597,80000000,480000000,20000,120000,9996633646405,73448994,135258639,950,39473260,1000,128643,20905725,78944620,7077568299,12922431701,13175465201,9961028975,38971025,1932895,100137479849,361798700,113563,68217548,444600,3170880600,325647560,478602760,168317989,364919625,679391700,635080375,999994829,5171,882041704,987557415,12442585,224423985,38040700,3,56106000,999999999,1,999782304,217696,56105996,1000,1000,1000,1000,1000,1000,1000
6000,50549060,1284962,100000000,600000000,20000,120000,9995977185158,70786593,139503582,10823,49450940,1000,22203,23153255,98880234,6518201451,13481798549,13797797249,9957606185,42393815,3169919,100185543284,475511000,21415,84279256,918400,4176502800,397100285,598692835,217621414,499029080,896824500,500970920,999993813,6187,684966033,987380819,12619181,290161881,53316500,16580,72557060,999999987,13,999785433,214567,72540467,1000,1000,1000,1000,1000,1000,1000
7000,60567450,1271651,120000000,720000000,20000,120000,9995372250837,69893164,144107795,10055,59432550,1000,128856,24941641,118844990,6012189901,13987810099,14364082499,9955378359,44621641,4651349,100234920441,591717500,18989,101140353,1039300,5204990200,467252293,718599493,267755974,638056212,1118984700,361943788,999965422,34578,485636810,987091336,12908664,357007964,69572000,6,89252000,999999996,4,999771110,228890,89251990,1000,1000,1000,1000,1000,1000,1000
8000,70582500,1261458,140000000,840000000,20000,120000,9994813390284,71089637,149859019,10785,69417500,1000,11627,26371952,138813430,5554373521,14445626479,14881814379,9953938708,46061292,6336138,100285576514,709731300,9055,117978903,936100,6250269800,536801465,838726915,318266331,781140046,1345061400,218859954,999983469,16531,282655523,987199392,12800608,424355108,86416000,16563,106105340,1000000000,0,999791623,208377,106088777,1000,1000,1000,1000,1000,1000,1000
9000,80596110,1253461,160000000,960000000,20000,120000,9994303314005,67073891,149749434,838,79403890,1000,115844,27547539,158806104,5140163196,14859836804,15355054604,9953061901,46938099,8189905,100336951053,828901700,7447,134701763,1003700,7306296200,605599895,958630695,369138056,926538524,1573398600,73461476,999980524,19476,78224200,987370644,12629356,492172756,103678100,4,123068660,999966044,33956,999805400,194600,123034700,1000,1000,1000,1000,1000,1000,1000
10000,90607020,1267423,180000000,1080000000,20000,120000,9993829645190,66030171,151991626,10160,89392980,1000,128892,28479415,178765640,4765344061,15234655939,15753317039,9952686125,47313875,10168165,100371240622,931286000,147729,7386294,162531600,8195616800,682788385,1078603685,420262622,981233146,1711011300,18766854,999909463,90537,15217,970347895,29652105,560343705,121283600,17604,140118060,999980627,19373,999574317,425683,140081083,1000,1000,1000,1000,1000,1000,1000
