Time,H2O,OH-,H+,K+,Na+,H2O:=cell_1,OH-:=cell_1,H+:=cell_1,K+:=cell_1,Na+:=cell_1,ATP:=cell_1,ADP:=cell_1,Pi:=cell_1,Na+_channel:=cell_1,K+_channel:=cell_1,Na+_K+_pump:=cell_1
0,10000000000000,1000000,1000000,80000000,80000000,10000000000000,1000000,1000000,120000000,120000000,1000000000000,0,0,200,300,500
10,9999999999542,1000458,1000458,79999400,80025900,9999999999501,1000446,1000446,120000600,119974100,999999994700,5300,5300,200,300,500
20,9999999994367,1005633,1005633,79835600,80141600,9999999993885,1005543,1005543,120164400,119858400,999999942800,57200,57200,200,300,500
30,9999999989537,1010463,1010463,79743000,80345500,9999999988330,1010485,1010485,120257000,119654500,999999881500,118500,118500,200,300,500
40,9999999984566,1015434,1015434,79639400,80530900,9999999982817,1015480,1015480,120360600,119469100,999999829700,170300,170300,200,300,500
50,9999999979633,1020367,1020367,79686600,80720100,9999999977479,1020254,1020254,120313400,119279900,999999773300,226700,226700,200,300,500
60,9999999974934,1025066,1025066,79623800,80859300,9999999972069,1025100,1025100,120376200,119140700,999999716900,283100,283100,200,300,500
70,9999999970285,1029715,1029715,79547200,81019200,9999999966665,1029971,1029971,120452800,118980800,999999663600,336400,336400,200,300,500
80,9999999965650,1034350,1034350,79512800,81200800,9999999961582,1034482,1034482,120487200,118799200,999999606400,393600,393600,200,300,500
90,9999999961048,1038952,1038952,79404800,81412800,9999999956539,1038985,1038985,120595200,118587200,999999552400,447600,447600,200,300,500
100,9999999956412,1043588,1043588,79360800,81578800,9999999951389,1043615,1043615,120639200,118421200,999999500400,499600,499600,200,300,500
110,9999999951726,1048274,1048274,79251000,81713500,9999999946241,1048214,1048214,120749000,118286500,999999445500,554500,554500,200,300,500
120,9999999947307,1052693,1052693,79156400,81905400,9999999941231,1052651,1052651,120843600,118094600,999999388200,611800,611800,200,300,500
130,9999999943117,1056883,1056883,79099000,82106500,9999999936272,1057073,1057073,120901000,117893500,999999334500,665500,665500,200,300,500
140,9999999938925,1061075,1061075,79028400,82292400,9999999931291,1061501,1061501,120971600,117707600,999999279200,720800,720800,200,300,500
150,9999999934420,1065580,1065580,78996800,82479800,9999999926526,1065708,1065708,121003200,117520200,999999223400,776600,776600,200,300,500
160,9999999930059,1069941,1069941,78926600,82655100,9999999921555,1070128,1070128,121073400,117344900,999999168300,831700,831700,200,300,500
170,9999999926066,1073934,1073934,78819000,82756500,9999999917024,1074121,1074121,121181000,117243500,999999114500,885500,885500,200,300,500
180,9999999921755,1078245,1078245,78711400,82947900,9999999912189,1078418,1078418,121288600,117052100,999999060700,939300,939300,200,300,500
190,9999999917796,1082204,1082204,78533200,83090200,9999999907432,1082634,1082634,121466800,116909800,999999006600,993400,993400,200,300,500
200,9999999913525,1086475,1086475,78443000,83270500,9999999903136,1086429,1086429,121557000,116729500,999998956500,1043500,1043500,200,300,500
210,9999999909252,1090748,1090748,78364000,83394000,9999999898555,1090465,1090465,121636000,116606000,999998902000,1098000,1098000,200,300,500
220,9999999905046,1094954,1094954,78300000,83605000,9999999893984,1094466,1094466,121700000,116395000,999998845000,1155000,1155000,200,300,500
230,9999999901014,1098986,1098986,78210400,83789400,9999999889523,1098379,1098379,121789600,116210600,999998790200,1209800,1209800,200,300,500
240,9999999897111,1102889,1102889,78146600,84035100,9999999884967,1102416,1102416,121853400,115964900,999998738300,1261700,1261700,200,300,500
250,9999999892865,1107135,1107135,78105400,84196900,9999999880636,1106241,1106241,121894600,115803100,999998687700,1312300,1312300,200,300,500
