Time,H2O,H+,OH-
0,20000000000000000000,600,600
10,19999999979999956902,20000043698,20000043698
20,19999999960000150049,39999850551,39999850551
30,19999999940000261935,59999738665,59999738665
40,19999999920000160998,79999839602,79999839602
50,19999999900000185258,99999815342,99999815342
60,19999999879999907296,120000093304,120000093304
70,19999999859999853503,140000147097,140000147097
80,19999999839999993317,160000007283,160000007283
90,19999999820000012227,179999988373,179999988373
100,19999999799999615126,200000385474,200000385474
110,19999999779999454047,220000546553,220000546553
120,19999999759999484836,240000515764,240000515764
130,19999999739999483735,260000516865,260000516865
140,19999999719999509918,280000490682,280000490682
150,19999999699999446889,300000553711,300000553711
160,19999999679999399551,320000601049,320000601049
170,19999999659999341444,340000659156,340000659156
180,19999999639999264388,360000736212,360000736212
190,19999999619999188577,380000812023,380000812023
200,19999999599999065374,400000935226,400000935226
210,19999999579998988658,420001011942,420001011942
220,19999999559998641743,440001358857,440001358857
230,19999999539998632313,460001368287,460001368287
240,19999999519998737408,480001263192,480001263192
250,19999999499998836209,500001164391,500001164391
260,19999999479998616522,520001384078,520001384078
270,19999999459998431304,540001569296,540001569296
280,19999999439998453672,560001546928,560001546928
290,19999999419998673085,580001327515,580001327515
300,19999999399998408780,600001591820,600001591820
310,19999999379998302551,620001698049,620001698049
320,19999999359998445742,640001554858,640001554858
330,19999999339998277866,660001722734,660001722734
340,19999999319998282272,680001718328,680001718328
350,19999999299998364368,700001636232,700001636232
360,19999999279998386138,720001614462,720001614462
370,19999999259998835241,740001165359,740001165359
380,19999999239998875968,760001124632,760001124632
390,19999999219998995422,780001005178,780001005178
400,19999999199999139738,800000860862,800000860862
410,19999999179999031247,820000969353,820000969353
420,19999999159999031482,840000969118,840000969118
430,19999999139999320874,860000679726,860000679726
440,19999999119999397211,880000603389,880000603389
450,19999999099999321291,900000679309,900000679309
460,19999999079999272795,920000727805,920000727805
470,19999999059999474162,940000526438,940000526438
480,19999999039999454699,960000545901,960000545901
490,19999999019999541371,980000459229,980000459229
500,19999998999999259000,1000000741600,1000000741600
510,19999998979999205456,1020000795144,1020000795144
520,19999998959999147404,1040000853196,1040000853196
530,19999998939999153303,1060000847297,1060000847297
540,19999998919999006217,1080000994383,1080000994383
550,19999998899998714960,1100001285640,1100001285640
560,19999998879998609923,1120001390677,1120001390677
570,19999998859998621222,1140001379378,1140001379378
580,19999998839998804093,1160001196507,1160001196507
590,19999998819998838647,1180001161953,1180001161953
600,19999998799998972349,1200001028251,1200001028251
610,19999998779999171114,1220000829486,1220000829486
620,19999998759999204984,1240000795616,1240000795616
630,19999998739999122001,1260000878599,1260000878599
640,19999998719999161343,1280000839257,1280000839257
650,19999998699999078235,1300000922365,1300000922365
660,19999998679999292810,1320000707790,1320000707790
670,19999998659999180517,1340000820083,1340000820083
680,19999998639999195950,1360000804650,1360000804650
690,19999998619998922170,1380001078430,1380001078430
700,19999998599998791404,1400001209196,1400001209196
710,19999998579998872508,1420001128092,1420001128092
720,19999998559998684293,1440001316307,1440001316307
730,19999998539998605003,1460001395597,1460001395597
740,19999998519998854806,1480001145794,1480001145794
750,19999998499998959996,1500001040604,1500001040604
760,19999998479999056857,1520000943743,1520000943743
770,19999998459998851823,1540001148777,1540001148777
780,19999998439998857441,1560001143159,1560001143159
790,19999998419999016115,1580000984485,1580000984485
800,19999998399999008574,1600000992026,1600000992026
810,19999998379999141236,1620000859364,1620000859364
820,19999998359999256223,1640000744377,1640000744377
830,19999998339999410846,1660000589754,1660000589754
840,19999998319999559812,1680000440788,1680000440788
850,19999998299999415913,1700000584687,1700000584687
860,19999998279999335682,1720000664918,1720000664918
870,19999998259999434241,1740000566359,1740000566359
880,19999998239999384953,1760000615647,1760000615647
890,19999998219999389903,1780000610697,1780000610697
900,19999998199999495588,1800000505012,1800000505012
910,19999998179999368165,1820000632435,1820000632435
920,19999998159999468879,1840000531721,1840000531721
930,19999998139999468104,1860000532496,1860000532496
940,19999998119999600110,1880000400490,1880000400490
950,19999998099999535591,1900000465009,1900000465009
960,19999998079999412136,1920000588464,1920000588464
970,19999998059999275875,1940000724725,1940000724725
980,19999998039999372259,1960000628341,1960000628341
990,19999998019999370238,1980000630362,1980000630362
1000,19999997999999305991,2000000694609,2000000694609
1010,19999997979999133190,2020000867410,2020000867410
1020,19999997959999141116,2040000859484,2040000859484
1030,19999997939998912723,2060001087877,2060001087877
1040,19999997919999084429,2080000916171,2080000916171
1050,19999997899999123417,2100000877183,2100000877183
1060,19999997879999015581,2120000985019,2120000985019
1070,19999997859999063256,2140000937344,2140000937344
1080,19999997839999009149,2160000991451,2160000991451
1090,19999997819998895891,2180001104709,2180001104709
1100,19999997799998808182,2200001192418,2200001192418
1110,19999997779998749030,2220001251570,2220001251570
1120,19999997759998797353,2240001203247,2240001203247
1130,19999997739999005415,2260000995185,2260000995185
1140,19999997719998920319,2280001080281,2280001080281
1150,19999997699998959214,2300001041386,2300001041386
1160,19999997679999118578,2320000882022,2320000882022
1170,19999997659998987879,2340001012721,2340001012721
1180,19999997639999091620,2360000908980,2360000908980
1190,19999997619999292748,2380000707852,2380000707852
1200,19999997599999307541,2400000693059,2400000693059
1210,19999997579999278943,2420000721657,2420000721657
1220,19999997559998968843,2440001031757,2440001031757
1230,19999997539999038597,2460000962003,2460000962003
1240,19999997519998946497,2480001054103,2480001054103
1250,19999997499998679614,2500001320986,2500001320986
1260,19999997479998735444,2520001265156,2520001265156
1270,19999997459998751537,2540001249063,2540001249063
1280,19999997439998771683,2560001228917,2560001228917
1290,19999997419998982640,2580001017960,2580001017960
1300,19999997399999090496,2600000910104,2600000910104
1310,19999997379999329044,2620000671556,2620000671556
1320,19999997359999638413,2640000362187,2640000362187
1330,19999997339999693230,2660000307370,2660000307370
1340,19999997319999668503,2680000332097,2680000332097
1350,19999997299999768708,2700000231892,2700000231892
1360,19999997279999630457,2720000370143,2720000370143
1370,19999997259999624841,2740000375759,2740000375759
1380,19999997239999803262,2760000197338,2760000197338
1390,19999997219999902736,2780000097864,2780000097864
1400,19999997199999869130,2800000131470,2800000131470
1410,19999997179999838058,2820000162542,2820000162542
1420,19999997159999703388,2840000297212,2840000297212
1430,19999997139999857124,2860000143476,2860000143476
1440,19999997120000049365,2879999951235,2879999951235
1450,19999997099999958666,2900000041934,2900000041934
1460,19999997079999895164,2920000105436,2920000105436
1470,19999997059999907125,2940000093475,2940000093475
1480,19999997039999907718,2960000092882,2960000092882
1490,19999997019999918851,2980000081749,2980000081749
1500,19999996999999728817,3000000271783,3000000271783
1510,19999996979999811059,3020000189541,3020000189541
1520,19999996959999721375,3040000279225,3040000279225
1530,19999996939999669420,3060000331180,3060000331180
1540,19999996919999834781,3080000165819,3080000165819
1550,19999996899999867181,3100000133419,3100000133419
1560,19999996879999958606,3120000041994,3120000041994
1570,19999996859999876742,3140000123858,3140000123858
1580,19999996840000058747,3159999941853,3159999941853
1590,19999996819999909048,3180000091552,3180000091552
1600,19999996799999988633,3200000011967,3200000011967
1610,19999996779999954938,3220000045662,3220000045662
1620,19999996759999765183,3240000235417,3240000235417
1630,19999996739999924211,3260000076389,3260000076389
1640,19999996719999797083,3280000203517,3280000203517
1650,19999996699999825950,3300000174650,3300000174650
1660,19999996679999577823,3320000422777,3320000422777
1670,19999996659999857238,3340000143362,3340000143362
1680,19999996639999797949,3360000202651,3360000202651
1690,19999996619999850683,3380000149917,3380000149917
1700,19999996599999581186,3400000419414,3400000419414
1710,19999996579999602357,3420000398243,3420000398243
1720,19999996559999566383,3440000434217,3440000434217
1730,19999996539999425203,3460000575397,3460000575397
1740,19999996519999554453,3480000446147,3480000446147
1750,19999996499999405798,3500000594802,3500000594802
1760,19999996479999363559,3520000637041,3520000637041
1770,19999996459999566202,3540000434398,3540000434398
1780,19999996439999511256,3560000489344,3560000489344
1790,19999996419999635619,3580000364981,3580000364981
1800,19999996399999903479,3600000097121,3600000097121
1810,19999996379999779429,3620000221171,3620000221171
1820,19999996359999584985,3640000415615,3640000415615
1830,19999996339999378126,3660000622474,3660000622474
1840,19999996319999526009,3680000474591,3680000474591
1850,19999996299999216788,3700000783812,3700000783812
1860,19999996279999214104,3720000786496,3720000786496
1870,19999996259998866608,3740001133992,3740001133992
1880,19999996239999005846,3760000994754,3760000994754
1890,19999996219999093437,3780000907163,3780000907163
1900,19999996199999097969,3800000902631,3800000902631
1910,19999996179999242474,3820000758126,3820000758126
1920,19999996159999003240,3840000997360,3840000997360
1930,19999996139998914207,3860001086393,3860001086393
1940,19999996119998930420,3880001070180,3880001070180
1950,19999996099998936247,3900001064353,3900001064353
1960,19999996079998877127,3920001123473,3920001123473
1970,19999996059998886377,3940001114223,3940001114223
1980,19999996039999121930,3960000878670,3960000878670
1990,19999996019999254950,3980000745650,3980000745650
2000,19999995999999084362,4000000916238,4000000916238
2010,19999995979999020516,4020000980084,4020000980084
2020,19999995959998913310,4040001087290,4040001087290
2030,19999995939998902588,4060001098012,4060001098012
2040,19999995919998978535,4080001022065,4080001022065
2050,19999995899998866860,4100001133740,4100001133740
2060,19999995879998996873,4120001003727,4120001003727
2070,19999995859999289105,4140000711495,4140000711495
2080,19999995839999327826,4160000672774,4160000672774
2090,19999995819999220558,4180000780042,4180000780042
2100,19999995799999195919,4200000804681,4200000804681
2110,19999995779999096211,4220000904389,4220000904389
2120,19999995759999001233,4240000999367,4240000999367
2130,19999995739998795521,4260001205079,4260001205079
2140,19999995719998745032,4280001255568,4280001255568
2150,19999995699998655661,4300001344939,4300001344939
2160,19999995679998729236,4320001271364,4320001271364
2170,19999995659998546855,4340001453745,4340001453745
2180,19999995639998688765,4360001311835,4360001311835
2190,19999995619998738501,4380001262099,4380001262099
2200,19999995599998832606,4400001167994,4400001167994
2210,19999995579998889067,4420001111533,4420001111533
2220,19999995559998827200,4440001173400,4440001173400
2230,19999995539998849776,4460001150824,4460001150824
2240,19999995519998948220,4480001052380,4480001052380
2250,19999995499999154463,4500000846137,4500000846137
2260,19999995479999240356,4520000760244,4520000760244
2270,19999995459999300763,4540000699837,4540000699837
2280,19999995439999296784,4560000703816,4560000703816
2290,19999995419999298739,4580000701861,4580000701861
2300,19999995399999495253,4600000505347,4600000505347
