Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3,H2O::Cell_1::Mitochondria_4,H2O_created::Cell_1::Mitochondria_4,OH-::Cell_1::Mitochondria_4,H+::Cell_1::Mitochondria_4,H+_inter::Cell_1::Mitochondria_4,H+_inter_created::Cell_1::Mitochondria_4,O2::Cell_1::Mitochondria_4,O2_in::Cell_1::Mitochondria_4,CO2::Cell_1::Mitochondria_4,ATP::Cell_1::Mitochondria_4,ATP_created::Cell_1::Mitochondria_4,ADP::Cell_1::Mitochondria_4,GDP::Cell_1::Mitochondria_4,GTP::Cell_1::Mitochondria_4,Pi::Cell_1::Mitochondria_4,NAD+::Cell_1::Mitochondria_4,NADH::Cell_1::Mitochondria_4,NADH_created::Cell_1::Mitochondria_4,NADH_in::Cell_1::Mitochondria_4,Pyruvate-::Cell_1::Mitochondria_4,Pyruvate-_in::Cell_1::Mitochondria_4,CoA-SH::Cell_1::Mitochondria_4,Acetyl_CoA::Cell_1::Mitochondria_4,FAD::Cell_1::Mitochondria_4,FADH2::Cell_1::Mitochondria_4,FADH2_created::Cell_1::Mitochondria_4,Pyruvate_transport::Cell_1::Mitochondria_4,ATP_synthase::Cell_1::Mitochondria_4,ADP_ATP_transport::Cell_1::Mitochondria_4,NADH_shuttle::Cell_1::Mitochondria_4,Pi_transport::Cell_1::Mitochondria_4,Commp1-3-4::Cell_1::Mitochondria_4,Commp2-3-4::Cell_1::Mitochondria_4
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989003627,10096148,10096148,0,0,1000,0,0,0,9998999775,10001000225,10001000225,10000000000,0,0,99999900496,0,100504,100504,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900409,0,100591,100591,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900841,0,100159,100159,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900114,0,100886,100886,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1313790,619728,10000000,60000000,10000,60000,9998961998157,95520660,105293780,758,8686210,1000,5658,1277716,17370904,9238915517,10761084483,10903481383,9991510824,8489176,6228,100007596990,23751100,234210,6264728,279400,206292600,4847968,14772368,12027658,1856189,43209900,998143811,999999189,811,1462543700,997705342,2294658,16033858,2207300,2,4015260,999990942,9058,999896100,103900,4006200,1000,1000,1000,1000,1000,1000,1000,100007555217,23789000,237806,6589263,53400,206556400,4425976,14362126,12080278,1913964,43242300,998086036,999998705,1295,1462764541,997626263,2373737,16107037,2222300,4360,4031120,999999999,1,999889941,110059,4026759,1000,1000,1000,1000,1000,1000,1000,100007640282,23759000,193858,6442798,45600,206387600,5573149,15502499,12025560,2003626,43325700,997996374,999999106,894,1462303180,997718620,2281380,16034080,2205700,4640,4013160,1000000000,0,999891780,108220,4008520,1000,1000,1000,1000,1000,1000,1000,100007655313,23807400,170767,6512547,37200,206766000,4790671,14737621,12068820,1954311,43394700,998045689,999990771,9229,1462251360,997648440,2351560,16091760,2240200,4480,4027420,1000000000,0,999890560,109440,4022940,1000,1000,1000,1000,1000,1000,1000
3000,1897460,630596,20000000,120000000,10000,60000,9998088769178,94492175,106462851,1461,18102540,1000,56,1307018,36202158,8637471253,11362528747,11722079747,9989355842,10644158,19500,100022327660,57162300,136400,10042740,17000,502780600,5467301,29745801,26093940,2178980,107024400,997821020,999999100,900,1407311820,998779380,1220620,34791920,6380400,4740,8702720,1000000000,0,999907320,92680,8697980,1000,1000,1000,1000,1000,1000,1000,100022390681,57302500,105822,10021219,43400,503937800,5295314,29628614,26175798,2185167,106955100,997814833,999999568,432,1408579801,998769603,1230397,34899497,6361600,0,8728400,999995299,4701,999912201,87799,8723699,1000,1000,1000,1000,1000,1000,1000,100022328373,57272500,177627,9832887,279800,503728200,5588458,29912408,26142900,2112903,106994100,997887097,999999203,797,1408016000,998783800,1216200,34857200,6382300,4560,8718860,1000000000,0,999910300,89700,8714300,1000,1000,1000,1000,1000,1000,1000,100022409285,57336600,138718,10034834,50500,504341200,5728275,30082525,26166657,2234739,107195100,997765261,999998640,1360,1407826101,998779044,1220956,34887156,6414200,1,8725660,999994840,5160,999907601,92399,8720499,1000,1000,1000,1000,1000,1000,1000
4000,2345750,631097,30000000,180000000,10000,60000,9997271342507,95069049,107614199,10370,27654250,1000,63203,1314790,55287760,8095325356,11904674644,12484309444,9988804250,11195750,34610,100036862029,90801100,164331,14218951,238700,800945400,6812235,45521185,40392540,2131584,170885700,997868416,999999104,896,1352514820,999175480,824520,53856720,11002500,4620,13468800,1000000000,0,999919020,80980,13464180,1000,1000,1000,1000,1000,1000,1000,100036887557,90912500,155663,14472603,33700,801847400,4762430,43513830,40460580,2188867,170839500,997811133,999999507,493,1353671140,999141460,858540,53947440,11004200,5240,13492100,1000000000,0,999922840,77160,13486860,1000,1000,1000,1000,1000,1000,1000,100036852960,90823200,141969,14234058,263300,801066400,6106201,44819951,40433572,2211495,170886600,997788505,999998638,1362,1352518043,999122471,877529,53911429,10997900,2,13477860,999999999,1,999917843,82157,13477857,1000,1000,1000,1000,1000,1000,1000,100037002438,91033400,131302,14171482,290300,803006800,6641984,45450734,40484760,2128779,171146700,997871221,999994959,5041,1352992680,999169120,830880,53979680,11052800,4680,13499600,1000000000,0,999920980,79020,13494920,1000,1000,1000,1000,1000,1000,1000
5000,2724450,630740,40000000,240000000,10000,60000,9996507252931,94093725,106842017,10301,37275550,1000,7,1321894,74530498,7605657556,12394342444,13194018444,9988624006,11375994,50404,100051414630,124541400,141110,19035529,46000,1099830800,7361053,60532803,54797819,2206531,234870300,997793469,999999911,89,1297982980,999331561,668439,73060739,15753300,1,18271980,999990941,9059,999934980,65020,18262920,1000,1000,1000,1000,1000,1000,1000,100051332254,124598200,148972,19190665,42500,1100263600,3705006,56896706,54903175,2254186,234843900,997745814,999998128,1872,1298411742,999216867,783133,73204233,15747500,1,18301060,999999999,1,999913742,86258,18301058,1000,1000,1000,1000,1000,1000,1000,100051430355,124608100,140368,19041065,71300,1100459400,8343859,61546559,54835678,2239947,235113000,997760053,999989088,10912,1297328341,999306563,693437,73114237,15781900,0,18278560,999999999,1,999924141,75859,18278559,1000,1000,1000,1000,1000,1000,1000,100051565379,124812500,129167,19069620,29100,1102297000,7101185,60393185,54900235,2230316,235388700,997769684,999999498,502,1297656582,999337047,662953,73197053,15821400,1,18306600,999990219,9781,999931682,68318,18296818,1000,1000,1000,1000,1000,1000,1000
6000,3061230,631767,50000000,300000000,10000,60000,9995789079166,93802613,106683095,9806,46938770,1000,4,1330554,93857928,7163670779,12836329221,13857905621,9988516566,11483434,66494,100065947773,158342600,114313,23544486,260500,1399258000,8629204,76290004,69265555,2190853,298948200,997809147,999999915,85,1243043662,999401207,598793,92352393,20547000,1,23091880,999994959,5041,999934162,65838,23086838,1000,1000,1000,1000,1000,1000,1000,100066060751,158563300,48469,23753549,57300,1401154600,5019107,72770857,69395280,2311630,299376900,997688370,999999070,930,1242722240,999373460,626540,92527040,20543200,4080,23135840,1000000000,0,999928040,71960,23131760,1000,1000,1000,1000,1000,1000,1000,100065973864,158436200,136445,23546533,300000,1400151600,8103360,75808310,69300591,2190789,299399100,997809211,999990592,9408,1241598103,999390112,609888,92400788,20592700,3,23100200,1000000000,0,999926103,73897,23100197,1000,1000,1000,1000,1000,1000,1000,100066158595,158647800,63471,23495920,296200,1402008400,6704508,74499058,69378311,2186538,299613600,997813462,999999960,40,1242169322,999404311,595689,92500989,20625100,5,23132960,999989723,10277,999936022,63978,23122678,1000,1000,1000,1000,1000,1000,1000
7000,3362680,639258,60000000,360000000,10000,60000,9995113680175,92847987,105828775,761,56637320,1000,4,1358070,113273118,6764747562,13235252438,14479366738,9988460110,11539890,82828,100080534623,192293400,111203,28557717,28500,1700057200,9138486,91355386,83788976,2244048,363511500,997755952,999990290,9710,1187383942,999459266,540734,111718634,25396300,4620,27934280,999999998,2,999929942,70058,27929658,1000,1000,1000,1000,1000,1000,1000,100080527889,192476600,128737,28623131,46500,1701546800,6489131,88776231,83918576,2238863,363777600,997761137,999990505,9495,1187225042,999431966,568034,111891434,25348400,0,27972860,999999998,2,999929542,70458,27972858,1000,1000,1000,1000,1000,1000,1000,100080678688,192441100,41472,28510072,46600,1701401400,8665932,90948382,83845740,2232352,364031400,997767648,999994772,5228,1185992020,999433380,566620,111794320,25461000,0,27948580,1000000000,0,999927620,72380,27948580,1000,1000,1000,1000,1000,1000,1000,100080638201,192592500,134719,28426359,234300,1702687400,5936839,88280739,83915880,2232448,364148100,997767552,999999888,112,1186312440,999450560,549440,111887840,25444700,4540,27976500,1000000000,0,999932740,67260,27971960,1000,1000,1000,1000,1000,1000,1000
8000,3643000,624237,70000000,420000000,10000,60000,9994474099520,94082064,107061517,762,66357000,1000,5681,1355777,132712476,6404269484,13595730516,15062797316,9988475603,11524397,99279,100095105694,226292500,129729,33357326,64200,2001201000,8925392,105713892,98342578,2284166,428030700,997715834,999999107,893,1131909441,999493663,506337,131123437,30244400,4600,32785460,999999999,1,999934641,65359,32780859,1000,1000,1000,1000,1000,1000,1000,100095203192,226470700,51648,33124328,282300,2002676600,6654732,103513182,98463060,2191895,428249400,997808105,999999475,525,1131803480,999470820,529180,131284080,30208200,4780,32825800,1000000000,0,999932780,67220,32821020,1000,1000,1000,1000,1000,1000,1000,100095269636,226543000,108490,33377182,46500,2003465200,9719091,106617791,98420274,2296008,428841300,997703992,999994950,5050,1129931842,999496668,503332,131227032,30328100,5102,32811860,1000000000,0,999938842,61158,32806758,1000,1000,1000,1000,1000,1000,1000,100095290760,226635300,107700,33392280,53100,2004247400,6589167,103525217,98479300,2305600,428917200,997694400,999999920,80,1130204220,999496620,503380,131304180,30308100,4760,32834300,999995340,4660,999938320,61680,32824880,1000,1000,1000,1000,1000,1000,1000
9000,3901040,615442,80000000,480000000,10000,60000,9993869911610,94329336,107396102,801,76098960,1000,61447,1363148,152196318,6078504346,13921495654,15611008354,9988412132,11587868,115750,100109668690,260281500,122222,38230307,34000,2302223000,9905245,121258995,112917589,2313729,492552900,997686271,999990033,9967,1076341304,999497115,502885,150556785,35079600,3,37639200,999999999,1,999934804,65196,37639196,1000,1000,1000,1000,1000,1000,1000,100109765995,260563300,109851,38064083,243000,2304635400,6422073,117891373,113063754,2205807,493021500,997794193,999995089,4911,1075848782,999495428,504572,150751672,35066800,4742,37692660,1000000000,0,999936782,63218,37687918,1000,1000,1000,1000,1000,1000,1000,100109884153,260649900,109796,38241345,40900,2305566200,9602574,121119224,113040352,2194453,493514700,997805547,999989536,10464,1074572083,999512131,487869,150720469,35184100,4462,37684580,999999999,1,999936483,63517,37680117,1000,1000,1000,1000,1000,1000,1000,100109892903,260715000,105760,38266456,30600,2306110000,7511019,119053519,113087337,2265141,493576800,997734859,999998962,1038,1074719621,999509684,490316,150783116,35162200,5201,37700980,1000000000,0,999934221,65779,37695779,1000,1000,1000,1000,1000,1000,1000
