,Time,E,S,ES,P
0,0,100,100000,0,0
2000,2000,54,76441,46,23513
4000,4000,65,55910,35,44055
6000,6000,71,38602,29,61369
8000,8000,78,25016,22,74962
10000,10000,85,15339,15,84646
12000,12000,85,8805,15,91180
14000,14000,95,4915,5,95080
16000,16000,97,2638,3,97359
18000,18000,99,1400,1,98599
20000,20000,100,764,0,99236
