,Name,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
0,E,100,54,65,71,78,85,85,95,97,99,100
1,S,100000,76441,55910,38602,25016,15339,8805,4915,2638,1400,764
2,ES,0,46,35,29,22,15,15,5,3,1,0
3,P,0,23513,44055,61369,74962,84646,91180,95080,97359,98599,99236
