,Time\ information,r2_1_100,r1_2_200,r1_2_300,Time\ infoAddUp,r2_1_100,r1_2_200,r1_2_300,Time\ entropy,r2_1_100,r1_2_200,r1_2_300
0,0,4.875376655314007,0.0,0.0,0,4.875376655314007,0.0,0.0,0,  - ,  - ,  - 
2000,2000,3.362461288565622,3.7279436299797637,2.9871848553483935,2000,7855.996552459979,6912.484424855936,7172.336702825544,2000,  - ,  - ,  - 
4000,4000,3.3873127353635515,3.303369167194117,2.8681825829268277,4000,15668.39466642785,13760.666892636747,14238.980686803265,4000,  - ,  - ,  - 
6000,6000,3.2441076961304063,3.1941660379894765,2.9213067172889695,6000,23466.376269347365,20266.57077639307,20924.063353420286,6000,  - ,  - ,  - 
8000,8000,2.977238897149169,2.4898739943527763,2.4503794598138438,8000,30932.33308394491,26530.687394472272,27232.87400757861,8000,  - ,  - ,  - 
10000,10000,2.8572271961121767,3.385314771834822,2.648256801970856,10000,37956.21652257002,32027.47323806502,33024.49738645351,10000,  - ,  - ,  - 
12000,12000,2.490407380353051,2.539767069587078,2.089122419427398,12000,44452.618839439216,36642.792695718694,37947.201910132324,12000,  - ,  - ,  - 
14000,14000,2.6021064170560737,0.0,2.0445612097137,14000,49946.37436483047,40146.44580463959,41675.32184869504,14000,  - ,  - ,  - 
16000,16000,1.649209838996728,0.0,0.0,16000,54195.48243016479,42653.97759876447,44297.22757309484,16000,  - ,  - ,  - 
18000,18000,1.4560346533878463,0.0,1.2875379632062394,18000,57332.401584928215,44293.294583330986,46154.78245394689,18000,  - ,  - ,  - 
20000,20000,0.0,1.6438561897747248,0.0,20000,59287.67308778492,45278.38453313779,47174.79206692964,20000,  - ,  - ,  - 
