,Name,0,2000,4000,6000,8000,10000,12000,14000,16000,18000,20000
0,E,100,50,78,65,80,83,91,96,99,98,98
1,S,100000,76720,56207,38849,25259,15455,8961,5066,2811,1442,791
2,ES,0,50,22,35,20,17,9,4,1,2,2
3,P,0,23230,43771,61116,74721,84528,91030,94930,97188,98556,99207
