Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989097737,10000950,10000950,0,0,2000,0,0,0,9998998687,10001001313,10001001313,10000000000,0,0,99999901236,0,99764,99764,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900253,0,100747,100747,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,94330,618847,10000000,60000000,10000,60000,9998969425142,91864434,109178037,9963,9905670,2000,5978,3987089,19791414,9199550176,10800449824,10906689024,9986700971,13299029,27485,100012986465,44439000,150001,13612355,97500,382781200,11197460,29566410,23602436,18801674,80033100,981198326,999998996,1004,1428444122,994317686,5682314,31469914,3249200,10060,7877540,999999998,2,999833622,166378,7867478,1000,1000,1000,1000,1000,1000,1000,100013068050,44538900,88656,13543250,108500,383676200,11396365,29808765,23669096,19002502,80376600,980997498,999998904,1096,1427510402,994336206,5663794,31558794,3215700,9600,7899300,999999998,2,999824402,175598,7889698,1000,1000,1000,1000,1000,1000,1000
3000,96170,645070,20000000,120000000,10000,60000,9998104790230,90888458,114678679,1449,19903830,2000,513,4232359,39804762,8528415588,11471584412,11726276712,9980546461,19453539,104323,100041652709,112482500,136791,20869631,566800,984349000,12161345,59622845,53134500,61046684,209652300,938953316,999997984,2016,1312452200,996422000,3578000,70846000,10095500,10140,17721640,1000000000,0,999848000,152000,17711500,1000,1000,1000,1000,1000,1000,1000,100041698922,112595000,72573,21394154,137400,985268400,12226672,59731572,53239306,61534503,210322800,938465497,999987068,12932,1310259365,996287459,3712541,70985741,10151400,4,17746440,999999999,1,999838765,161235,17746435,1000,1000,1000,1000,1000,1000,1000
4000,96050,632522,30000000,180000000,10000,60000,9997305597488,88228489,115129947,1485,29903950,2000,57328,4243128,59804930,7924113477,12075886523,12481586823,9977546632,22453368,204962,100071354110,181925600,57942,29541249,535800,1599054400,12502529,89702729,82998811,105167999,342605700,894832001,999989683,10317,1192675784,997653473,2346527,110661927,18559800,1,27672580,999990537,9463,999862084,137916,27663116,1000,1000,1000,1000,1000,1000,1000,100071383436,182015300,110550,29961677,140800,1599916200,12364571,89607421,83012729,105580730,343213800,894419270,999999692,308,1190864562,997692333,2307667,110676967,18586800,7,27684260,999979985,20015,999865362,134638,27664238,1000,1000,1000,1000,1000,1000,1000
5000,94900,625469,40000000,240000000,10000,60000,9996560455096,88959055,117481681,786,39905100,2000,56437,4252598,79808628,7378093551,12621906449,13178778849,9976047322,23952678,317350,100100950948,251280000,45658,39413425,98900,2212960800,13264783,120164833,112814369,148551626,475247100,851448374,999998828,1172,1074145502,998155033,1844967,150415867,27749300,10327,37621700,999990125,9875,999878402,121598,37601498,1000,1000,1000,1000,1000,1000,1000,100100959076,251254000,29350,38949061,582700,2212727200,12264561,119153261,112800273,148705943,475593000,851294057,999999885,115,1071723242,998114569,1885431,150396931,27789300,10023,37616980,999989701,10299,999879942,120058,37596658,1000,1000,1000,1000,1000,1000,1000
6000,94940,632284,50000000,300000000,10000,60000,9995870071319,86941679,116326642,1534,49905060,2000,480,4238611,99807052,6884510498,13115489502,13825753002,9975290189,24709811,436541,100130554542,320684300,22858,48662458,635700,2827376600,11966062,148591562,142674600,191891043,608030100,808108957,999997743,2257,954432400,998292900,1707100,190232800,37292000,10000,47568200,1000000000,0,999875100,124900,47558200,1000,1000,1000,1000,1000,1000,1000,100130689457,320764400,22303,48701339,530700,2828248800,14105674,150775674,142649856,192603853,608964600,807396147,999998673,1327,950805620,998353964,1646036,190192936,37368700,4,47563700,999979384,20616,999881320,118680,47543080,1000,1000,1000,1000,1000,1000,1000
7000,93820,626243,60000000,360000000,10000,60000,9995224117688,87481751,117332846,10055,59906180,2000,529,4236945,119792250,6438148939,13561851061,14425107661,9974943235,25056765,557385,100160194860,390118300,117523,58669840,505900,3442320600,11901332,178281582,172449118,235437036,741185400,764562964,999998697,1303,834257861,998434843,1565157,229932157,47035700,10020,57493060,999999999,1,999874761,125239,57483039,1000,1000,1000,1000,1000,1000,1000,100160406659,390320400,31582,58593658,521400,3444255200,14615746,181091646,172514563,236318720,742263900,763681280,999969367,30633,830697847,998421384,1578616,230019416,47142400,3,57504860,999999996,4,999863747,136253,57504853,1000,1000,1000,1000,1000,1000,1000
8000,95010,633572,70000000,420000000,10000,60000,9994620287276,88328489,118489126,11021,69904990,2000,63320,4222899,139787938,6034366265,13965633735,14981983435,9974741941,25258059,679679,100190024774,459668800,113175,68458701,543300,4058333600,12048761,208236011,202257469,279061854,874489200,720938146,999989937,10063,714165983,998543614,1456386,269669986,56866600,5,67432440,999980082,19918,999881783,118217,67412517,1000,1000,1000,1000,1000,1000,1000,100190264976,459943300,27088,68845960,101500,4060857000,14756447,211067097,202339740,280267648,875847600,719732352,999997336,2664,710142088,998532548,1467452,269783152,56983600,4,67452920,999990496,9504,999878588,121412,67443412,1000,1000,1000,1000,1000,1000,1000
9000,93990,632363,80000000,480000000,10000,60000,9994054640908,89474614,119879922,11019,79906010,2000,57283,4226626,159789982,5669195022,14330804978,15500420078,9974625354,25374646,804036,100219929533,529249900,14013,78709926,99100,4674613400,12868697,238875797,232071655,322943712,1008093000,677056288,999989694,10306,593277882,998571727,1428273,309428873,66777900,9521,77366740,999999999,1,999878482,121518,77357218,1000,1000,1000,1000,1000,1000,1000,100219995371,529488100,111992,78321583,564500,4676785800,14321457,240434557,232139132,323641938,1008953400,676358062,999998559,1441,590509621,998618489,1381511,309512411,66833400,6,77392580,999980705,19295,999888621,111379,77373279,1000,1000,1000,1000,1000,1000,1000
10000,93650,640266,90000000,540000000,10000,60000,9993526249720,88125205,118716802,1624,89906350,2000,956,4244545,179809452,5338856625,14661143375,15982479175,9974581475,25418525,928527,100249711187,598864900,111353,88687773,67000,5291293800,13450851,269298601,261873960,366454624,1141364100,633545376,999990004,9996,474098580,998657920,1342080,349165280,76702900,10020,87301340,1000000000,0,999878080,121920,87291320,1000,1000,1000,1000,1000,1000,1000,100249910166,599101900,11463,88143631,572700,5293372600,14112127,270060177,261975471,367192073,1142268300,632807927,999989516,10484,470898443,998630172,1369828,349300628,76759500,9883,87335040,1000000000,0,999880643,119357,87325157,1000,1000,1000,1000,1000,1000,1000
