Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999988994943,10104873,10104873,0,0,2000,0,0,0,9998999816,10001000184,10001000184,10000000000,0,0,99999900140,0,100860,100860,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1889060,1250005,20000000,120000000,20000,120000,9998997792736,81234579,133976998,2880,18110940,2000,127232,22841899,36216120,9158119215,10841880785,10899719785,9970389121,29610879,289641,100017090882,69197600,130121,28050268,167700,589391200,90435513,118622763,39187568,56591012,122733000,943408988,999998413,1587,1385568401,984996733,15003267,52239067,6315600,10,13084580,999966929,33071,999771601,228399,13051499,1000,1000,1000,1000,1000,1000,1000
3000,2713720,1285490,40000000,240000000,20000,120000,9998171839152,67537375,162189743,1626,37286280,2000,11725,41921660,74569308,8417504727,11582495273,11705008873,9949539740,50460260,2270448,100057074763,178337800,118409,54781970,840000,1542415600,164594035,238702785,91043185,178396486,326284800,821603514,999998110,1890,1199088024,974873639,25126361,121384961,21838600,17567,30377200,999982143,17857,999778524,221476,30341776,1000,1000,1000,1000,1000,1000,1000
4000,3351220,1265145,60000000,360000000,20000,120000,9997413984894,56538037,184576830,20830,56648780,2000,21700,57584193,113255900,7748226831,12251773169,12433901869,9936745587,63254413,7200187,100104051030,297690000,111070,83152600,767400,2591094400,233981005,358713155,145340310,321950159,551324400,678049841,999995259,4741,995916400,964662590,35337410,193774710,42801300,10,48471520,999962890,37110,999791300,208700,48434400,1000,1000,1000,1000,1000,1000,1000
5000,3884950,1265628,80000000,480000000,20000,120000,9996712386936,53268099,208408669,20902,76115050,2000,12568,69815474,152188296,7143099935,12856900065,13097066765,9930130106,69869894,15455202,100154583884,422044100,100411,112453672,306800,3687133800,301031454,478721804,200697406,476714966,787367100,523285034,999993631,6369,783111965,954257559,45742441,267596541,66863200,18484,66917620,999999999,1,999764265,235735,66899135,1000,1000,1000,1000,1000,1000,1000
6000,4356310,1260151,100000000,600000000,20000,120000,9996071440442,47060135,224731856,20946,95643690,2000,127780,79016033,191245488,6595757477,13404242523,13701311523,9928016887,71983113,26672575,100207393274,549419600,100730,140850985,772500,4811698400,366558369,598612069,256633143,637865587,1029691200,362134413,999993155,6845,565058568,944034125,55965875,342171275,92589800,1,85556880,999981253,18747,999774068,225932,85538132,1000,1000,1000,1000,1000,1000,1000
7000,4786360,1278592,120000000,720000000,20000,120000,9995479165324,44352434,241614570,21106,115213640,2000,20961,85902868,230385068,6100624658,13899375342,14252457842,9928806992,71193008,40166260,100261642644,678655800,5954,169016033,1060400,5954074800,431402747,718700447,312947805,803201177,1276131900,196798823,999960243,39757,343676566,934245461,65754539,417263739,119025800,3,104315940,999999997,3,999744466,255534,104315934,1000,1000,1000,1000,1000,1000,1000
8000,5178000,1243522,140000000,840000000,20000,120000,9994932190796,43620544,258849270,19859,134822000,2000,13256,91225044,269604282,5652799640,14347200360,14754948160,9931222396,68777604,55226078,100316919470,809228800,5320,197137063,734900,7109068000,495580072,838743222,369402513,971363725,1525394400,28636275,999923455,76545,120811930,925286517,74713483,492536683,145600600,18987,123153160,999999997,3,999768330,231670,123134170,1000,1000,1000,1000,1000,1000,1000
9000,5543390,1261321,160000000,960000000,20000,120000,9994429440875,41250042,273651382,19941,154456610,2000,114438,95485402,308873338,5247572517,14752427483,15170300983,9934418718,65581282,71334656,100349328553,917124200,124639,8560905,239743900,8038694800,570846341,958624241,426122350,999983056,1647608100,16944,987322020,12677980,69465464,893873114,106126886,568156886,171957400,2,142053280,999981258,18742,999533864,466136,142034536,1000,1000,1000,1000,1000,1000,1000
10000,5886800,1238392,180000000,1080000000,20000,120000,9993964259682,39968845,289451692,21233,174113200,2000,135244,99014013,348183934,4881002927,15118997073,15537125473,9937709107,62290893,88177941,100354021599,997600200,179961,8081961,318058000,8692158800,660066464,1078626364,482919240,999985286,1738118100,14714,977768506,22231494,59654820,835031980,164968020,643892320,197715100,18900,160991980,1000000000,0,999507320,492680,160973080,1000,1000,1000,1000,1000,1000,1000
11000,6210160,1254820,200000000,1200000000,20000,120000,9993532267908,40417485,307176561,3358,193789840,2000,136236,102025712,387572964,4549352093,15450647907,15868962107,9940848388,59151612,105581752,100357343797,1076751000,198838,7313197,397541300,9332096400,749946794,1198608944,539820604,999987282,1824885600,12718,971940827,28059173,53639345,775309841,224690159,719748159,222839600,6,179965500,999962061,37939,999499145,500855,179927555,1000,1000,1000,1000,1000,1000,1000
12000,6517640,1288886,220000000,1320000000,20000,120000,9993135832280,36857192,321103532,3632,213482360,2000,128046,104555884,426957456,4249247372,15750752628,16169188428,9943735856,56264144,123426312,100359815000,1155226300,175727,7258606,476570500,9964858200,840182718,1318583068,596849228,999992770,1909878000,7230,967835679,32164321,49407109,715321881,284678119,795786219,247267000,14,198975260,999961745,38255,999488609,511391,198936991,1000,1000,1000,1000,1000,1000,1000
13000,6810980,1256284,240000000,1440000000,20000,120000,9992768634150,32623209,334593142,21514,233189020,2000,137177,106635321,466335012,3977706959,16022293041,16440823141,9946351839,53648161,141686451,100361735349,1233397000,220112,7080309,555653100,10594290800,930637989,1438606539,653982644,999990966,1993964700,9034,964581653,35418347,46060587,655499943,344500057,871976857,271000400,19022,218013240,999999995,5,999465687,534313,217994213,1000,1000,1000,1000,1000,1000,1000
14000,7093200,1282040,260000000,1560000000,20000,120000,9992421297789,34466245,354686577,3709,252906800,2000,22440,108405850,505806182,3732107534,16267892466,16686486066,9948508570,51491430,160323052,100363098702,1311005600,163433,7184953,634376300,11217954400,1021449070,1558695520,711231785,999986259,2076663000,13741,962689504,37310496,44109645,595679460,404320540,948309040,293991700,5,237077280,999999980,20,999435445,564555,237077255,1000,1000,1000,1000,1000,1000,1000
15000,7363670,1247927,280000000,1680000000,20000,120000,9992105726551,27876345,366489162,20078,272636330,2000,127043,109732013,545232504,3509837696,16490162304,16908800104,9950463047,49536953,179343851,100364158941,1388361300,214160,6880137,713184200,11839002600,1112232530,1678625030,768412904,999984532,2158665900,15468,961515799,38484201,42893467,536306463,463693537,1024550537,316351700,19002,256156640,999999995,5,999438667,561333,256137633,1000,1000,1000,1000,1000,1000,1000
16000,7625650,1271895,300000000,1800000000,20000,120000,9991804141770,28455017,385798709,21844,292374350,2000,126713,110694580,584705012,3308729887,16691270113,17109942213,9952108980,47891020,198758092,100364930340,1465470200,217420,6568693,791724400,12457254800,1203206742,1798601392,825661653,999899252,2239971000,100748,960947172,39052828,42375820,477176667,522823333,1100875833,338055900,19047,275252340,999980887,19113,999466720,533280,275214180,1000,1000,1000,1000,1000,1000,1000
17000,7880840,1235788,320000000,1920000000,20000,120000,9991521133709,29631229,406044420,20217,312119160,2000,22715,111274405,624197886,3126794938,16873205062,17291896762,9953420015,46579985,218558801,100365536120,1542544200,197450,6691380,869317700,13075243600,1294356797,1918741497,883036840,999986648,2321459700,13352,960311338,39688662,41632990,418553050,581446950,1177382450,359059100,19060,294364680,999999990,10,999429190,570810,294345610,1000,1000,1000,1000,1000,1000,1000
18000,8127020,1256330,340000000,2040000000,20000,120000,9991260528967,25721686,421546333,20276,331872980,2000,22719,111421839,663705408,2962172553,17037827447,17456523247,9954391021,45608979,238793829,100365930927,1619435800,185485,7009333,946232100,13691091600,1385457201,2038720951,940412112,999991716,2402520900,8284,960022020,39977980,41334504,360433792,639566208,1253882808,379302600,19020,313489740,999999976,24,999437604,562396,313470696,1000,1000,1000,1000,1000,1000,1000
