Time,A,B,S
2400,8119,0,100001882
2410,8091,0,100001910
2420,8064,0,100001937
2430,8058,0,100001943
2440,8013,0,100001988
2450,7974,0,100002027
2460,7886,0,100002115
2470,7895,0,100002106
2480,7885,0,100002116
2490,7841,0,100002160
2500,7807,0,100002194
2510,7792,0,100002209
2520,7830,0,100002171
2530,7723,0,100002278
2540,7750,0,100002251
2550,7797,0,100002204
2560,7825,0,100002176
2570,7812,0,100002189
2580,7860,0,100002141
2590,7850,0,100002151
2600,7847,0,100002154
2610,7868,0,100002133
2620,7869,0,100002132
2630,7856,0,100002145
2640,7875,0,100002126
2650,7859,0,100002142
2660,7835,0,100002166
2670,7866,0,100002135
2680,7814,0,100002187
2690,7816,0,100002185
2700,7788,0,100002213
2710,7759,0,100002242
2720,7805,0,100002196
2730,7806,0,100002195
2740,7835,0,100002166
2750,7849,0,100002152
2760,7871,0,100002130
2770,7901,0,100002100
2780,7930,0,100002071
2790,7909,0,100002092
2800,7856,0,100002145
2810,7862,0,100002139
2820,7845,0,100002156
2830,7758,0,100002243
2840,7696,0,100002305
2850,7657,0,100002344
2860,7648,0,100002353
2870,7592,0,100002409
2880,7570,0,100002431
2890,7482,0,100002519
2900,7516,0,100002485
2910,7496,0,100002505
2920,7412,0,100002589
2930,7482,0,100002519
2940,7400,0,100002601
2950,7362,0,100002639
2960,7348,0,100002653
2970,7287,0,100002714
2980,7270,0,100002731
2990,7291,0,100002710
3000,7266,0,100002735
3010,7306,0,100002695
3020,7311,0,100002690
3030,7331,0,100002670
3040,7332,0,100002669
3050,7317,0,100002684
3060,7341,0,100002660
3070,7322,0,100002679
3080,7360,0,100002641
3090,7351,0,100002650
3100,7300,0,100002701
3110,7286,0,100002715
3120,7280,0,100002721
3130,7237,0,100002764
3140,7188,0,100002813
3150,7193,0,100002808
3160,7165,0,100002836
3170,7163,0,100002838
3180,7195,0,100002806
3190,7246,0,100002755
3200,7268,0,100002733
3210,7249,0,100002752
3220,7205,0,100002796
3230,7168,0,100002833
3240,7136,0,100002865
3250,7093,0,100002908
3260,7072,0,100002929
3270,7082,0,100002919
3280,7103,0,100002898
3290,7114,0,100002887
3300,7138,0,100002863
3310,7148,0,100002853
3320,7185,0,100002816
3330,7193,0,100002808
3340,7175,0,100002826
3350,7144,0,100002857
3360,7100,0,100002901
3370,7027,0,100002974
3380,7024,0,100002977
3390,7043,0,100002958
3400,6998,0,100003003
3410,6981,0,100003020
3420,6979,0,100003022
3430,6928,0,100003073
3440,6931,0,100003070
3450,6952,0,100003049
3460,6981,0,100003020
3470,6980,0,100003021
3480,7020,0,100002981
3490,6982,0,100003019
3500,6927,0,100003074
3510,6942,0,100003059
3520,6897,0,100003104
3530,6856,0,100003145
3540,6820,0,100003181
3550,6735,0,100003266
3560,6720,0,100003281
3570,6683,0,100003318
3580,6675,0,100003326
3590,6618,0,100003383
3600,6612,0,100003389
3610,6630,0,100003371
3620,6603,0,100003398
3630,6604,0,100003397
3640,6625,0,100003376
3650,6621,0,100003380
3660,6687,0,100003314
3670,6700,0,100003301
3680,6661,0,100003340
3690,6631,0,100003370
3700,6544,0,100003457
3710,6531,0,100003470
3720,6534,0,100003467
3730,6518,0,100003483
3740,6516,0,100003485
3750,6500,0,100003501
3760,6472,0,100003529
3770,6486,0,100003515
3780,6456,0,100003545
3790,6487,0,100003514
3800,6535,0,100003466
3810,6633,0,100003368
3820,6608,0,100003393
3830,6605,0,100003396
3840,6577,0,100003424
3850,6563,0,100003438
3860,6575,0,100003426
3870,6624,0,100003377
3880,6650,0,100003351
3890,6671,0,100003330
3900,6675,0,100003326
3910,6707,0,100003294
3920,6680,0,100003321
3930,6620,0,100003381
3940,6612,0,100003389
3950,6626,0,100003375
3960,6613,0,100003388
3970,6704,0,100003297
3980,6665,0,100003336
3990,6604,0,100003397
4000,6550,0,100003451
4010,6497,0,100003504
4020,6481,0,100003520
4030,6464,0,100003537
4040,6451,0,100003550
4050,6451,0,100003550
4060,6408,0,100003593
4070,6358,0,100003643
4080,6339,0,100003662
4090,6309,0,100003692
4100,6287,0,100003714
4110,6247,0,100003754
4120,6205,0,100003796
4130,6213,0,100003788
4140,6240,0,100003761
4150,6205,0,100003796
4160,6221,0,100003780
4170,6244,0,100003757
4180,6205,0,100003796
4190,6209,0,100003792
4200,6208,0,100003793
4210,6173,0,100003828
4220,6175,0,100003826
4230,6240,0,100003761
4240,6271,0,100003730
4250,6203,0,100003798
4260,6204,0,100003797
4270,6210,0,100003791
4280,6175,0,100003826
4290,6208,0,100003793
4300,6198,0,100003803
4310,6158,0,100003843
4320,6138,0,100003863
4330,6066,0,100003935
4340,6071,0,100003930
4350,6062,0,100003939
4360,6044,0,100003957
4370,6055,0,100003946
4380,6078,0,100003923
4390,6058,0,100003943
4400,6074,0,100003927
4410,6109,0,100003892
4420,6111,0,100003890
4430,6045,0,100003956
4440,6039,0,100003962
4450,6049,0,100003952
4460,6066,0,100003935
4470,6063,0,100003938
4480,5988,0,100004013
4490,6000,0,100004001
4500,6065,0,100003936
4510,5998,0,100004003
4520,5978,0,100004023
4530,5967,0,100004034
4540,5918,0,100004083
4550,5881,0,100004120
4560,5904,0,100004097
4570,5855,0,100004146
4580,5836,0,100004165
4590,5856,0,100004145
4600,5816,0,100004185
4610,5815,0,100004186
4620,5826,0,100004175
4630,5884,0,100004117
4640,5858,0,100004143
4650,5861,0,100004140
4660,5821,0,100004180
4670,5828,0,100004173
4680,5839,0,100004162
4690,5883,0,100004118
4700,5882,0,100004119
4710,5857,0,100004144
4720,5834,0,100004167
4730,5824,0,100004177
4740,5896,0,100004105
4750,5892,0,100004109
4760,5844,0,100004157
4770,5842,0,100004159
4780,5825,0,100004176
4790,5843,0,100004158
4800,5892,0,100004109
4810,5929,0,100004072
4820,5898,0,100004103
4830,5898,0,100004103
4840,5901,0,100004100
4850,5884,0,100004117
4860,5901,0,100004100
4870,5886,0,100004115
4880,5927,0,100004074
4890,5975,0,100004026
4900,5925,0,100004076
4910,5900,0,100004101
4920,5814,0,100004187
4930,5810,0,100004191
4940,5820,0,100004181
4950,5756,0,100004245
4960,5743,0,100004258
4970,5753,0,100004248
4980,5684,0,100004317
4990,5643,0,100004358
5000,5628,0,100004373
5010,5597,0,100004404
5020,5610,0,100004391
5030,5602,0,100004399
5040,5556,0,100004445
5050,5548,0,100004453
5060,5555,0,100004446
5070,5500,0,100004501
5080,5516,0,100004485
5090,5481,0,100004520
5100,5447,0,100004554
5110,5438,0,100004563
5120,5446,0,100004555
5130,5452,0,100004549
5140,5480,0,100004521
5150,5496,0,100004505
5160,5485,0,100004516
5170,5493,0,100004508
5180,5513,0,100004488
5190,5541,0,100004460
5200,5529,0,100004472
5210,5548,0,100004453
5220,5545,0,100004456
5230,5546,0,100004455
5240,5598,0,100004403
5250,5521,0,100004480
5260,5476,0,100004525
5270,5407,0,100004594
5280,5407,0,100004594
5290,5407,0,100004594
5300,5406,0,100004595
5310,5393,0,100004608
5320,5432,0,100004569
5330,5481,0,100004520
5340,5512,0,100004489
5350,5504,0,100004497
5360,5486,0,100004515
5370,5453,0,100004548
5380,5447,0,100004554
5390,5367,0,100004634
5400,5357,0,100004644
5410,5356,0,100004645
5420,5378,0,100004623
5430,5407,0,100004594
