Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2,H2O::Cell_1::Mitochondria_3,H2O_created::Cell_1::Mitochondria_3,OH-::Cell_1::Mitochondria_3,H+::Cell_1::Mitochondria_3,H+_inter::Cell_1::Mitochondria_3,H+_inter_created::Cell_1::Mitochondria_3,O2::Cell_1::Mitochondria_3,O2_in::Cell_1::Mitochondria_3,CO2::Cell_1::Mitochondria_3,ATP::Cell_1::Mitochondria_3,ATP_created::Cell_1::Mitochondria_3,ADP::Cell_1::Mitochondria_3,GDP::Cell_1::Mitochondria_3,GTP::Cell_1::Mitochondria_3,Pi::Cell_1::Mitochondria_3,NAD+::Cell_1::Mitochondria_3,NADH::Cell_1::Mitochondria_3,NADH_created::Cell_1::Mitochondria_3,NADH_in::Cell_1::Mitochondria_3,Pyruvate-::Cell_1::Mitochondria_3,Pyruvate-_in::Cell_1::Mitochondria_3,CoA-SH::Cell_1::Mitochondria_3,Acetyl_CoA::Cell_1::Mitochondria_3,FAD::Cell_1::Mitochondria_3,FADH2::Cell_1::Mitochondria_3,FADH2_created::Cell_1::Mitochondria_3,Pyruvate_transport::Cell_1::Mitochondria_3,ATP_synthase::Cell_1::Mitochondria_3,ADP_ATP_transport::Cell_1::Mitochondria_3,NADH_shuttle::Cell_1::Mitochondria_3,Pi_transport::Cell_1::Mitochondria_3,Commp1-3-4::Cell_1::Mitochondria_3,Commp2-3-4::Cell_1::Mitochondria_3
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,10000,60000,9999989000542,10099153,10099153,0,0,2000,0,0,0,9998999695,10001000305,10001000305,10000000000,0,0,99999901468,0,99532,99532,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999901093,0,99907,99907,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900097,0,100903,100903,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,95880,638069,10000000,60000000,10000,60000,9998966515855,93067834,106334564,10520,9904120,2000,46,2104130,19787200,9243764689,10756235311,10901263211,9988851270,11148730,13870,100010688809,34241400,183271,9632190,61700,296495600,5620872,19871672,17637279,6787316,62255400,993212684,999999276,724,1444841260,996372981,3627019,23514119,2874700,1,5883600,999993241,6759,999862960,137040,5876840,1000,1000,1000,1000,1000,1000,1000,100010731976,34347100,195973,9568464,72500,297482200,5213481,19512731,17671554,6771084,62395200,993228916,999980067,19933,1445051583,996445529,3554471,23562071,2842300,0,5890520,999999997,3,999858083,141917,5890517,1000,1000,1000,1000,1000,1000,1000,100010769910,34361200,192893,9656947,25300,297584800,5673582,19977482,17659075,6957739,62524200,993042261,999993640,6360,1444536101,996405726,3594274,23541074,2907600,3,5895080,999986922,13078,999871401,128599,5881999,1000,1000,1000,1000,1000,1000,1000
3000,94590,620599,20000000,120000000,10000,60000,9998095366616,90690359,107471732,862,19905410,2000,49,2110177,39809096,8642999775,11357000225,11722522725,9985372723,14627277,43919,100031453899,81612800,81502,14410076,40000,716689600,5722964,40314464,37648601,13094396,152852400,986905604,999998163,1837,1365259267,998180966,1819034,50198134,8374100,5,12549540,999999998,2,999880267,119733,12549533,1000,1000,1000,1000,1000,1000,1000,100031262019,81485500,142367,14594238,54800,715384600,4193173,38719023,37654953,12829691,152612100,987170309,999986753,13247,1365117062,998049409,1950591,50204391,8364100,3,12556080,999993361,6639,999884362,115638,12549438,1000,1000,1000,1000,1000,1000,1000,100031504960,81620100,79643,14371897,53500,716753800,5751265,40345865,37619775,13000236,152883600,986999764,999999937,63,1365161701,998203626,1796374,50154974,8399700,3,12549380,999985822,14178,999895701,104299,12535199,1000,1000,1000,1000,1000,1000,1000
4000,94390,635432,30000000,180000000,10000,60000,9997275920755,93360450,111234570,9520,29905610,2000,78,2094740,59792180,8106601905,11893398095,12487860995,9984299420,15700580,78800,100051570862,128276400,49404,20510136,43800,1130080800,4081224,58676724,57578254,15278961,241781700,984721039,999998683,1317,1287425522,998692568,1307432,76768832,14644200,2,19197100,999993480,6520,999894822,105178,19190578,1000,1000,1000,1000,1000,1000,1000,100051663020,128430800,49560,20483958,30100,1131417600,5635589,60295339,57614878,15894928,242502000,984105072,999998788,1212,1285007060,998751482,1248518,76817518,14639200,6382,19215980,999993042,6958,999908660,91340,19202640,1000,1000,1000,1000,1000,1000,1000,100051673196,128455400,71630,20524523,38700,1131794800,5712177,60392427,57616675,15600044,242334600,984399956,999980086,19914,1286308142,998713967,1286033,76822233,14729400,1,19205560,999999999,1,999889342,110658,19205558,1000,1000,1000,1000,1000,1000,1000
5000,93990,638727,40000000,240000000,10000,60000,9996511532529,91964575,110236530,821,39906010,2000,63628,2118377,79810378,7623502704,12376497296,13201477496,9983961803,16038197,115381,100071659842,175032200,58124,26596798,394600,1544281200,4371066,79009616,77560136,17038377,331064700,982961623,999999399,601,1208179122,998926286,1073714,103413514,21182200,6180,25859560,999999998,2,999901722,98278,25853378,1000,1000,1000,1000,1000,1000,1000,100071550294,174967900,110426,26716046,359900,1543675000,4063610,78672310,77557680,16881442,331103100,983118558,999998082,1918,1207444040,998893160,1106840,103410240,21163500,6120,25858680,1000000000,0,999897940,102060,25852560,1000,1000,1000,1000,1000,1000,1000,100071802864,175235400,117736,26938716,41500,1546266000,6878519,81615719,77554800,17197969,331507500,982802031,999993069,6931,1208269400,998995900,1004100,103406400,21311100,6780,25858380,1000000000,0,999909400,90600,25851600,1000,1000,1000,1000,1000,1000,1000
6000,98160,635685,50000000,300000000,10000,60000,9995793475539,90199361,108639168,1471,49901840,2000,5835,2099869,99800738,7187582200,12812417800,13867964400,9983812071,16187929,152009,100091561389,221616100,129757,33575670,49500,1956885800,3704662,98308012,97516555,17799914,419770500,982200086,999992196,7804,1131021882,999016927,983073,130022073,27758300,6821,32512340,999999999,1,999903882,96118,32505518,1000,1000,1000,1000,1000,1000,1000,100091624380,221737500,125106,33263798,383600,1957999000,4120474,98778224,97567014,18130149,420311700,981869851,999992511,7489,1129002562,999000048,999952,130089352,27804100,2,32522340,1000000000,0,999899662,100338,32522338,1000,1000,1000,1000,1000,1000,1000,100091831138,221880000,107500,33117118,398000,1959452000,7541494,102272244,97530084,17963417,420304200,982036583,999993863,6137,1130514046,999106562,893438,130038038,27898400,4,32514180,999993778,6222,999910546,89454,32507954,1000,1000,1000,1000,1000,1000,1000
7000,94690,628363,60000000,360000000,10000,60000,9995114087926,91191775,109713592,864,59905310,2000,62393,2112425,119808892,6793677201,13206322799,14493881499,9983779535,16220465,188927,100111739946,268316700,41534,39723732,389400,2370600600,3692686,118315636,117471918,18679330,508805700,981320670,999999990,10,1052602760,999096642,903358,156627058,34451400,6602,39168240,999993502,6498,999915660,84340,39155140,1000,1000,1000,1000,1000,1000,1000,100111747209,268462100,108677,39806051,349500,2371933000,4377885,119065935,117521216,18996565,509394900,981003435,999999827,173,1050919262,999133346,866654,156694954,34461800,6480,39180220,999999998,2,999912262,87738,39173738,1000,1000,1000,1000,1000,1000,1000,100111834977,268414000,40786,39656582,375900,2371644000,7251673,121927673,117477237,18515228,509002200,981484772,999998049,1951,1052726021,999167384,832616,156636316,34486300,1,39159080,1000000000,0,999902921,97079,39159079,1000,1000,1000,1000,1000,1000,1000
8000,93330,637284,70000000,420000000,10000,60000,9994471894167,92461719,111006808,10761,69906670,2000,5218,2102071,139791818,6437716686,13562283314,15082331114,9983782909,16217091,225927,100131541584,314726000,36111,46804492,69200,2781568800,2436199,136943499,137437906,18792977,597229200,981207023,999979742,20258,975272565,998975059,1024941,183250541,41077600,4,45812640,999999999,1,999898765,101235,45812635,1000,1000,1000,1000,1000,1000,1000,100131855000,315072600,38669,46559119,98300,2784865200,4807188,139477188,137461613,19717474,598533300,980282526,999999297,703,971889023,999211310,788690,183277390,41118700,1,45830060,999985718,14282,999916823,83177,45815777,1000,1000,1000,1000,1000,1000,1000,100131848888,315119600,118252,46604750,72700,2785351200,8242311,142936811,137436358,19213709,598008600,980786291,999998789,1211,975044280,999261922,738078,183243978,41152500,2,45821120,999986502,13498,999922980,77020,45807620,1000,1000,1000,1000,1000,1000,1000
9000,95350,635812,80000000,480000000,10000,60000,9993866964837,90404106,108985107,1590,79904650,2000,57345,2114781,159806120,6116124043,13883875957,15636739857,9983796819,16203181,263039,100151655698,361513200,117322,53049958,350500,3196126400,3388869,157957619,157378796,19620468,686520600,980379532,999999408,592,896463540,999185344,814656,209833956,47742500,4,52468480,999986684,13316,999920540,79460,52455160,1000,1000,1000,1000,1000,1000,1000,100151742286,361598300,34446,53020232,360100,3196928600,3642110,158250360,157440770,19665921,687020100,980334079,999979565,20435,894696944,999134374,865626,209921026,47779300,2,52480260,999999998,2,999901544,98456,52480256,1000,1000,1000,1000,1000,1000,1000,100151917956,361767600,20676,53171960,79600,3198545600,8410714,163098864,157438668,19732811,686940900,980267189,999998755,1245,896934144,999248676,751324,209918224,47818100,4,52479560,1000000000,0,999911744,88256,52479556,1000,1000,1000,1000,1000,1000,1000
