Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,2000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989106479,9994147,9994147,0,0,2000,0,0,0,9999000626,10000999374,10000999374,10000000000,0,0,99999899795,0,101205,101205,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900268,0,100732,100732,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,1896990,1258823,20000000,120000000,20000,120000,9998993506324,82459807,120189023,1637,18103010,2000,113696,12752470,36202746,9230733031,10769266969,10883146669,9975170510,24829490,147256,100016506453,62932400,136565,23201520,682400,538032000,32911514,58671964,34908421,46161969,111967800,953838031,999998475,1525,1397415306,987908485,12091515,46534715,5666200,7,11655840,999970461,29539,999785206,214794,11626294,1000,1000,1000,1000,1000,1000,1000,100016496706,62882300,122417,23003773,751000,537531000,34220117,59955517,34867117,46263033,112083300,953736967,999998474,1526,1396276941,988014824,11985176,46484676,5559800,15181,11647180,999985560,14440,999793941,206059,11617559,1000,1000,1000,1000,1000,1000,1000
3000,2724490,1241110,40000000,240000000,20000,120000,9998148020018,76652462,134634697,19412,37275510,2000,2037,19330939,74512196,8577113380,11422886620,11669592820,9962168021,37831979,819317,100055009219,163496100,42167,43703761,585000,1419404200,50469104,118744854,81501116,151681564,300794700,848318436,999996526,3474,1226011062,982936346,17063654,108668154,18002400,15900,27182940,999999998,2,999777562,222438,27167038,1000,1000,1000,1000,1000,1000,1000,100054914338,163382500,38811,43654782,573500,1418297000,51791249,120011999,81489354,151920604,301053900,848079396,999967787,32213,1223644883,982989529,17010471,108652471,17858500,15880,27179000,999999997,3,999777883,222117,27163117,1000,1000,1000,1000,1000,1000,1000
4000,3359470,1249440,60000000,360000000,20000,120000,9997363020441,72906685,143353499,1666,56640530,2000,125860,24018486,113277728,7987381226,12012618774,12385313774,9955632314,44367686,2060642,100100144948,274324900,113964,63745964,188100,2396287400,61747978,177225328,130730044,279178694,511399200,720821306,999997898,2102,1035316504,979778760,20221240,174295640,33510100,8,43598860,999966744,33256,999804604,195396,43565596,1000,1000,1000,1000,1000,1000,1000,100100128788,274211200,27361,63173284,594800,2395255200,65972322,181399372,130732366,279279179,511485000,720720821,999997962,2038,1033526483,979859017,20140983,174298683,33339300,8,43599740,999966585,33415,999790783,209217,43566317,1000,1000,1000,1000,1000,1000,1000
5000,3896630,1279028,80000000,480000000,20000,120000,9996632556785,70945205,149794225,1588,76103370,2000,117154,27526956,152203564,7454363690,12545636310,13039761510,9952449684,47550316,3771748,100148689968,390289300,112532,82324367,627000,3421173800,70485259,235522459,181307715,417412510,732475500,582587490,999997310,2690,836455600,977620285,22379715,241732015,50507200,5,60459120,999965185,34815,999790600,209400,60424300,1000,1000,1000,1000,1000,1000,1000,100148824645,390338000,13319,82097715,542700,3421656000,78020109,243081359,181285544,418035362,733084800,581964638,999999150,850,833967788,977818644,22181356,241714056,50374300,17220,60445740,999999992,8,999786988,213012,60428512,1000,1000,1000,1000,1000,1000,1000
6000,4365820,1276396,100000000,600000000,20000,120000,9995953762343,68200085,153271516,2970,95634180,2000,988,30276211,191262420,6972399128,13027600872,13641169972,9951051109,48948891,5846329,100199540145,509524800,19058,100451503,777800,4476523200,77016346,293108446,232660466,562815052,960567600,437184948,999982253,17747,631321801,976366235,23633765,310202465,68274900,12,77576480,999965531,34469,999798601,201399,77541999,1000,1000,1000,1000,1000,1000,1000,100199598723,509576000,10003,100101736,932600,4477116800,89491370,305614170,232637875,563447902,961166400,436552098,999995444,4556,628823842,976539067,23460933,310183833,68192300,17441,77563400,999999999,1,999784442,215558,77545958,1000,1000,1000,1000,1000,1000,1000
7000,4796500,1249105,120000000,720000000,20000,120000,9995319545623,66730973,156702936,21049,115203500,2000,11454,32431561,230364902,6536385396,13463614604,14194747704,9950651639,49348361,8192041,100251530698,630832700,101942,118395202,909900,5551289400,86730402,354831902,284571360,712625898,1192889100,287374102,999990578,9422,423298680,975671120,24328880,379428480,86473700,17160,94874280,1000000000,0,999772580,227420,94857120,1000,1000,1000,1000,1000,1000,1000,100251689612,630972700,101569,118091986,920200,5552661400,95737789,363907539,284549324,713694500,1193977800,286305500,999964827,35173,419203227,975956403,24043597,379399097,86350800,17242,94867020,999999995,5,999783427,216573,94849773,1000,1000,1000,1000,1000,1000,1000
8000,5190780,1248074,140000000,840000000,20000,120000,9994727979176,64302706,158588594,19694,134809220,2000,1952,34251236,269579052,6142129182,13857870818,14705912218,9950720524,49279476,10755176,100304729096,753596600,7374,135839920,885100,6639612400,96440341,417216541,336834576,865927250,1428648600,134072750,999980840,19160,210946790,975572314,24427686,449106886,104829000,4,112289960,999982354,17646,999771890,228110,112272310,1000,1000,1000,1000,1000,1000,1000,100304930615,753734300,7377,135604336,800000,6640917400,100692883,421533433,336778743,866704838,1429440000,133295162,999989602,10398,208350164,975885721,24114279,449026779,104715400,9,112282680,999965365,34635,999805164,194836,112248036,1000,1000,1000,1000,1000,1000,1000
9000,5555430,1242632,160000000,960000000,20000,120000,9994174236014,61582928,159713347,19780,154444570,2000,11352,35750539,308849580,5785437842,14214562158,15163520158,9951096721,48903279,13476601,100358265104,877231600,20716,87618776,66617400,7735801600,103718462,477552112,389382480,999979527,1647829200,20473,997212967,2787033,22858240,975596160,24403840,519176640,123330200,17460,129811620,1000000000,0,999770140,229860,129794160,1000,1000,1000,1000,1000,1000,1000,100358240653,877288000,102469,86445407,67624700,7736350400,107333004,481193904,389379692,999897606,1647762300,102394,997204180,2795820,22723774,975843182,24156818,519172918,123139500,17580,129810820,999999986,14,999772974,227026,129793226,1000,1000,1000,1000,1000,1000,1000
