Time,glucose,O2,glucose_total,O2_total,glucose_in,O2_in,H2O:=Cell_1,OH-:=Cell_1,H+:=Cell_1,glucose:=Cell_1,glucose_in:=Cell_1,glucose_transport:=Cell_1,O2:=Cell_1,Pyruvate-:=Cell_1,Pyruvate_created:=Cell_1,ATP:=Cell_1,ADP:=Cell_1,Pi:=Cell_1,NAD+:=Cell_1,NADH:=Cell_1,Lactic-:=Cell_1,H2O::Cell_1::Mitochondria_1,H2O_created::Cell_1::Mitochondria_1,OH-::Cell_1::Mitochondria_1,H+::Cell_1::Mitochondria_1,H+_inter::Cell_1::Mitochondria_1,H+_inter_created::Cell_1::Mitochondria_1,O2::Cell_1::Mitochondria_1,O2_in::Cell_1::Mitochondria_1,CO2::Cell_1::Mitochondria_1,ATP::Cell_1::Mitochondria_1,ATP_created::Cell_1::Mitochondria_1,ADP::Cell_1::Mitochondria_1,GDP::Cell_1::Mitochondria_1,GTP::Cell_1::Mitochondria_1,Pi::Cell_1::Mitochondria_1,NAD+::Cell_1::Mitochondria_1,NADH::Cell_1::Mitochondria_1,NADH_created::Cell_1::Mitochondria_1,NADH_in::Cell_1::Mitochondria_1,Pyruvate-::Cell_1::Mitochondria_1,Pyruvate-_in::Cell_1::Mitochondria_1,CoA-SH::Cell_1::Mitochondria_1,Acetyl_CoA::Cell_1::Mitochondria_1,FAD::Cell_1::Mitochondria_1,FADH2::Cell_1::Mitochondria_1,FADH2_created::Cell_1::Mitochondria_1,Pyruvate_transport::Cell_1::Mitochondria_1,ATP_synthase::Cell_1::Mitochondria_1,ADP_ATP_transport::Cell_1::Mitochondria_1,NADH_shuttle::Cell_1::Mitochondria_1,Pi_transport::Cell_1::Mitochondria_1,Commp1-3-4::Cell_1::Mitochondria_1,Commp2-3-4::Cell_1::Mitochondria_1,H2O::Cell_1::Mitochondria_2,H2O_created::Cell_1::Mitochondria_2,OH-::Cell_1::Mitochondria_2,H+::Cell_1::Mitochondria_2,H+_inter::Cell_1::Mitochondria_2,H+_inter_created::Cell_1::Mitochondria_2,O2::Cell_1::Mitochondria_2,O2_in::Cell_1::Mitochondria_2,CO2::Cell_1::Mitochondria_2,ATP::Cell_1::Mitochondria_2,ATP_created::Cell_1::Mitochondria_2,ADP::Cell_1::Mitochondria_2,GDP::Cell_1::Mitochondria_2,GTP::Cell_1::Mitochondria_2,Pi::Cell_1::Mitochondria_2,NAD+::Cell_1::Mitochondria_2,NADH::Cell_1::Mitochondria_2,NADH_created::Cell_1::Mitochondria_2,NADH_in::Cell_1::Mitochondria_2,Pyruvate-::Cell_1::Mitochondria_2,Pyruvate-_in::Cell_1::Mitochondria_2,CoA-SH::Cell_1::Mitochondria_2,Acetyl_CoA::Cell_1::Mitochondria_2,FAD::Cell_1::Mitochondria_2,FADH2::Cell_1::Mitochondria_2,FADH2_created::Cell_1::Mitochondria_2,Pyruvate_transport::Cell_1::Mitochondria_2,ATP_synthase::Cell_1::Mitochondria_2,ADP_ATP_transport::Cell_1::Mitochondria_2,NADH_shuttle::Cell_1::Mitochondria_2,Pi_transport::Cell_1::Mitochondria_2,Commp1-3-4::Cell_1::Mitochondria_2,Commp2-3-4::Cell_1::Mitochondria_2
0,0,0,0,0,0,0,10000000000000,100000,100000,0,0,1000,0,0,0,10000000000,10000000000,10000000000,10000000000,0,0,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,100000000000,0,1000,1000,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
1000,0,0,0,0,20000,120000,9999989002282,10098613,10098613,0,0,1000,0,0,0,9999000895,10000999105,10000999105,10000000000,0,0,99999899998,0,101002,101002,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000,99999900177,0,100823,100823,0,0,0,0,0,0,0,1000000000,1000000000,0,1500000000,1000000000,0,0,0,0,0,1000000000,0,1000000000,0,0,1000,1000,1000,1000,1000,1000,1000
2000,10396920,1279443,20000000,120000000,20000,120000,9998970450571,90323902,107230705,1548,9603080,1000,1067,3892839,19203064,9196985273,10803014727,10908245127,9987011541,12988459,25505,100012928520,43411300,106983,12444536,501600,374357800,42182668,60153618,22917074,17867884,78411900,982132116,999998985,1015,1429344501,994806327,5193673,30552873,3113300,4,7645480,999990323,9677,999833601,166399,7635799,1000,1000,1000,1000,1000,1000,1000,100012947410,43404700,104270,12385570,478200,374321400,40596372,58565872,22888320,17835120,78340200,982164880,999997480,2520,1429718560,994879740,5120260,30517760,3075800,9800,7639240,1000000000,0,999836260,163740,7629440,1000,1000,1000,1000,1000,1000,1000
3000,20461730,1253551,40000000,240000000,20000,120000,9998101846449,93444191,116961969,10073,19538270,1000,938,4164284,39056394,8525745940,11474254060,11729120860,9980746516,19253484,100010,100041253227,110779100,126868,20550373,74500,969846200,73623668,120391668,52156910,59125112,207047400,940874888,999998077,1923,1313690465,996897655,3102345,69542545,9852700,10020,17395660,999999995,5,999857465,142535,17385635,1000,1000,1000,1000,1000,1000,1000,100041144461,110721400,149928,20647117,91200,969304400,71612493,118353843,52189312,59180397,207054000,940819603,999979260,20740,1313114563,996808051,3191949,69585749,9850200,2,17396440,999999999,1,999842263,157737,17396437,1000,1000,1000,1000,1000,1000,1000
4000,30501370,1252841,60000000,360000000,20000,120000,9997306135683,87467531,114139936,10783,29498630,1000,112700,4188811,58975694,7921556114,12078443886,12485442386,9977715989,22284011,199583,100070483011,179538000,39398,29349786,106000,1578204800,104747161,180942711,81869691,101920138,338681100,898079862,999996841,3159,1194522003,997873512,2126488,109159588,18211100,3,27289900,1000000000,0,999857003,142997,27289897,1000,1000,1000,1000,1000,1000,1000,100070525469,179639600,132931,28894627,610000,1579169600,101448598,177691748,81849996,102040586,338769600,897959414,999999886,114,1194515500,997925704,2074296,109126296,18281000,4,27297400,999978904,21096,999877000,123000,27276300,1000,1000,1000,1000,1000,1000,1000
5000,40529220,1255184,80000000,480000000,20000,120000,9996561567854,87863091,116179033,1635,39470780,1000,113433,4209152,78938290,7375748245,12624251755,13182325055,9976203368,23796632,310158,100099788178,248534700,126514,38529599,521400,2188870200,134609205,240346755,111571509,144411315,470451300,855588685,999999579,421,1076547564,998272755,1727245,148758645,27384100,3,37197240,999989899,10101,999872464,127536,37187136,1000,1000,1000,1000,1000,1000,1000,100099917397,248733200,125983,38528878,530000,2190656800,132460228,238284628,111626015,144876901,470865600,855123099,999999761,239,1076090260,998288845,1711155,148828155,27447400,5,37221740,999980405,19595,999882260,117740,37202140,1000,1000,1000,1000,1000,1000,1000
6000,50551680,1254762,100000000,600000000,20000,120000,9995871431609,85791327,114962602,10051,49448320,1000,113807,4208937,98876538,6882313436,13117686564,13828324564,9975465023,24534977,427361,100129351055,317765100,106200,48207101,546600,2801739000,166116205,301504255,141319846,187395454,602909100,812604546,999989839,10161,957606285,998468939,1531061,188426461,36891700,9824,47116440,999999999,1,999882385,117615,47106615,1000,1000,1000,1000,1000,1000,1000,100129550871,317920400,37255,48607889,94100,2803270400,161662826,297127176,141341576,188096141,603573900,811903859,999988783,11217,956242742,998459066,1540934,188455434,37022500,9940,47123800,999999998,2,999877842,122158,47113858,1000,1000,1000,1000,1000,1000,1000
7000,60568880,1276055,120000000,720000000,20000,120000,9995224430947,87527703,117223452,10821,59431120,1000,10611,4208151,118840598,6436087650,13563912350,14428360650,9975060169,24939831,547767,100159152726,387189800,19349,58346251,130000,3416566000,192978446,358115096,171102227,231149122,736250100,768850878,999997647,2353,836652425,998587298,1412702,228136302,46633200,10123,57044200,999999998,2,999882425,117575,57034075,1000,1000,1000,1000,1000,1000,1000,100159223382,387211000,19078,57963174,522100,3416854800,195446188,360598238,171082236,231186220,736261800,768813780,999999840,160,836561420,998574284,1425716,228103116,46719800,4,57040480,999980404,19596,999886020,113980,57020880,1000,1000,1000,1000,1000,1000,1000
8000,70583600,1266025,140000000,840000000,20000,120000,9994623893740,85292593,115322507,10760,69416400,1000,969,4195134,138811280,6032510433,13967489567,14984592667,9974834786,25165214,669566,100188892445,456648500,27495,68217971,114700,4031686600,220374825,415274175,200899996,274509068,869280300,725490932,999999948,52,717111680,998674984,1325016,267859916,56414000,4,66980160,999979764,20236,999889880,110120,66959920,1000,1000,1000,1000,1000,1000,1000,100189005678,456694100,16225,67763159,561500,4032269000,228528781,423458831,200859215,274685742,869433600,725314258,999998743,1257,716589101,998657986,1342014,267805614,56562500,3,66966420,999979982,20018,999887601,112399,66946399,1000,1000,1000,1000,1000,1000,1000
9000,80596410,1260103,160000000,960000000,20000,120000,9994057839213,87008440,117286587,1524,79403590,1000,1057,4215915,158804132,5667473153,14332526847,15502413747,9974729525,25270475,791757,100218581541,526101300,112054,77657137,594900,4646854600,248474401,473140151,230648708,317633109,1002132600,682366891,999998474,1526,598098265,998759257,1240743,307528343,66274100,9802,76899240,999990197,9803,999890165,109835,76879635,1000,1000,1000,1000,1000,1000,1000,100218834649,526262200,24031,78118786,82900,4648437200,260854139,485598689,230651495,318525592,1002996900,681474408,999999452,548,595854060,998719565,1280435,307528635,66467800,5,76897220,999979925,20075,999895960,104040,76877140,1000,1000,1000,1000,1000,1000,1000
