Time,N,P
23300,1230657630,12978414
23400,1231730341,13007799
23500,1232801654,13038336
23600,1233874002,13068753
23700,1234944747,13099788
23800,1236017303,13131102
23900,1237091386,13162180
24000,1238164584,13194029
24100,1239241554,13225136
24200,1240318614,13255726
24300,1241395121,13287817
24400,1242470356,13320152
24500,1243550412,13352090
24600,1244628756,13384366
24700,1245707267,13417854
24800,1246787000,13450507
24900,1247864954,13484764
25000,1248943435,13518594
25100,1250022352,13552905
25200,1251103700,13586528
25300,1252185123,13620602
25400,1253267577,13655690
25500,1254349574,13689396
25600,1255433163,13724493
25700,1256517795,13758888
25800,1257603083,13794394
25900,1258687481,13830331
26000,1259773363,13866182
26100,1260859324,13902144
26200,1261946383,13938006
26300,1263030131,13974850
26400,1264118169,14011427
26500,1265205042,14049852
26600,1266291272,14088012
26700,1267379899,14125456
26800,1268469973,14164060
26900,1269560784,14202507
27000,1270649114,14241671
27100,1271739663,14280083
27200,1272832972,14318291
27300,1273923104,14357939
27400,1275013068,14397134
27500,1276104184,14436543
27600,1277196087,14476076
27700,1278289181,14516453
27800,1279381708,14557586
27900,1280475347,14598051
28000,1281569599,14639241
28100,1282666909,14681466
28200,1283762853,14722443
28300,1284858832,14763699
28400,1285954566,14806801
28500,1287050341,14849238
28600,1288146492,14891747
28700,1289242974,14934262
28800,1290338277,14978186
28900,1291436644,15021312
29000,1292533959,15065423
29100,1293633266,15109215
29200,1294732679,15153090
29300,1295832839,15197347
29400,1296932013,15242134
29500,1298030527,15287381
29600,1299129868,15334163
29700,1300229303,15379464
29800,1301330273,15425473
29900,1302428547,15472570
30000,1303528181,15520114
30100,1304631600,15567670
30200,1305733180,15614394
30300,1306833974,15662695
30400,1307935860,15710743
30500,1309035730,15758627
30600,1310138737,15807368
30700,1311241028,15856907
30800,1312344600,15907050
30900,1313449047,15957633
31000,1314551831,16007678
31100,1315653748,16059470
31200,1316758312,16110504
31300,1317863196,16161568
31400,1318968906,16212890
31500,1320072891,16264691
31600,1321179206,16316012
31700,1322286678,16367830
31800,1323392852,16421749
31900,1324499657,16474468
32000,1325607872,16527729
32100,1326715580,16580906
32200,1327823613,16635253
32300,1328929737,16690987
32400,1330035994,16746177
32500,1331143039,16801261
32600,1332250595,16858376
32700,1333359200,16914739
32800,1334465986,16972106
32900,1335573933,17029675
33000,1336682998,17086004
33100,1337790835,17143963
33200,1338898736,17202054
33300,1340005568,17261312
33400,1341114484,17319996
33500,1342222396,17379570
33600,1343333848,17437727
33700,1344442939,17498922
33800,1345551876,17559530
33900,1346663072,17618545
34000,1347771789,17680353
34100,1348881847,17742323
34200,1349992654,17803203
34300,1351102583,17865841
34400,1352212050,17928630
34500,1353321598,17991633
34600,1354429184,18055879
34700,1355535885,18120854
34800,1356646210,18185368
34900,1357757556,18249824
35000,1358868485,18314742
35100,1359977767,18380650
35200,1361087090,18446250
35300,1362197548,18512507
35400,1363307481,18579752
35500,1364415951,18647818
35600,1365526629,18716021
35700,1366635506,18785276
35800,1367742775,18855436
35900,1368853143,18924212
36000,1369964592,18994217
36100,1371074424,19065082
36200,1372182736,19136384
36300,1373293694,19208214
36400,1374403643,19280891
36500,1375513958,19353338
36600,1376624297,19426590
36700,1377731471,19500281
36800,1378839340,19574385
36900,1379949394,19649025
37000,1381060183,19722982
37100,1382169123,19797625
37200,1383277272,19874173
37300,1384385410,19951687
37400,1385493326,20029050
37500,1386603008,20106239
37600,1387709895,20184732
37700,1388817993,20264108
37800,1389926267,20343006
37900,1391031789,20423653
38000,1392138470,20504894
38100,1393242855,20586327
38200,1394351009,20667471
38300,1395459622,20747599
38400,1396567770,20828376
38500,1397672919,20911943
38600,1398775725,20996140
38700,1399879283,21080087
38800,1400983604,21164353
38900,1402087397,21249233
39000,1403190825,21334041
39100,1404294765,21420481
39200,1405397893,21507546
39300,1406501897,21595863
39400,1407606528,21683090
39500,1408707626,21771505
39600,1409810070,21861090
39700,1410912051,21950479
39800,1412012793,22041503
39900,1413114210,22133149
40000,1414214945,22225697
40100,1415312995,22318172
40200,1416411687,22411312
40300,1417512505,22503193
40400,1418610199,22597449
40500,1419708855,22690908
40600,1420805209,22787882
40700,1421900512,22884712
40800,1422996929,22982015
40900,1424092677,23077857
41000,1425187000,23175138
41100,1426280328,23274995
41200,1427373448,23375099
41300,1428468579,23474945
41400,1429560678,23575407
41500,1430654157,23676488
41600,1431743655,23779186
41700,1432833709,23881542
41800,1433924770,23985860
41900,1435016037,24089854
42000,1436101976,24196008
42100,1437190867,24301378
42200,1438279986,24408842
42300,1439366499,24516046
42400,1440452636,24622714
42500,1441538636,24731421
42600,1442623081,24840860
42700,1443707785,24949230
42800,1444789980,25060450
42900,1445872646,25171741
43000,1446956821,25283561
43100,1448037145,25397576
43200,1449115894,25512590
43300,1450195813,25628042
43400,1451273682,25744690
43500,1452348153,25861269
43600,1453424077,25977788
43700,1454501814,26096025
43800,1455575409,26215114
43900,1456647302,26335749
44000,1457719292,26456926
44100,1458790289,26579173
44200,1459861280,26700860
44300,1460928207,26825206
44400,1461994622,26948471
44500,1463060437,27073348
44600,1464126220,27199120
44700,1465191668,27327066
44800,1466255573,27455649
44900,1467317565,27583878
45000,1468379657,27713827
45100,1469441293,27844487
45200,1470501403,27976689
45300,1471558995,28109051
45400,1472616920,28243637
