,Name,0,10000,20000,30000,40000,50000
0,pX,100,80,91,99,100,100
1,pY,0,23,41,38,38,24
2,pZ,0,7,30,41,46,50
3,pX*,0,20,9,1,0,0
4,pY*,0,0,2,10,12,26
5,amino,1000000,999330,998240,997810,997620,997500
6,Sx,100,50,18,10,4,0
7,Sy,100,93,68,49,42,24
8,DNA-Y,1,1,1,1,1,1
9,DNA-Z,1,1,1,1,1,1
10,DNA-Z_X*,0,0,0,0,0,0
11,DNA-Z_X*_Y*,0,0,0,0,0,0
12,DNA-Y_X*,0,0,0,0,0,0
