Time,S,S1,S1_sum,E,I,I_d,R
1120,6821476,102,111198,1616994,203912,1279153,189683
1121,6800958,100,111300,1625471,204838,1289272,190781
1122,6780475,2,111498,1633411,206202,1299121,192309
1123,6760370,100,111500,1640939,207834,1308808,193569
1124,6738913,100,111600,1650100,208094,1319517,194996
1125,6716950,1,111799,1660016,208330,1329937,196586
1126,6694311,100,111800,1670046,208805,1340491,198167
1127,6673606,103,111897,1678159,209540,1351090,199522
1128,6651297,1,112099,1688040,210280,1361673,200829
1129,6630578,1,112199,1696332,211263,1372135,201911
1130,6609041,2,112298,1705373,212458,1382208,203238
1131,6588968,2,112398,1712464,213725,1392867,204394
1132,6569032,0,112500,1719579,215870,1402737,205302
1133,6546180,100,112500,1729451,216397,1413594,206898
1134,6523857,100,112600,1738815,217397,1424517,208034
1135,6503217,1,112799,1746354,218451,1435407,209390
1136,6482085,1,112899,1754136,219121,1446722,210855
1137,6460900,100,112900,1761761,220863,1457168,212228
1138,6438025,1,113099,1771594,221405,1468269,213826
1139,6416032,100,113100,1780214,223034,1478703,215137
1140,6395154,102,113198,1787460,223997,1489916,216691
1141,6373500,2,113398,1796087,225189,1500603,218039
1142,6352402,100,113400,1803713,226039,1512122,219144
1143,6331576,2,113598,1810930,228094,1522654,220364
1144,6310503,0,113700,1818389,229116,1534126,221586
1145,6289201,100,113700,1825804,230626,1545109,222980
1146,6268253,2,113898,1833382,231003,1557002,224278
1147,6247190,1,113999,1840686,232177,1568569,225397
1148,6226641,3,114097,1847148,233449,1580278,226601
1149,6203156,2,114198,1856917,233705,1592208,228232
1150,6181813,0,114300,1864395,234902,1603393,229817
1151,6160580,4,114396,1872055,235610,1615180,230991
1152,6139283,2,114498,1879350,236981,1626469,232435
1153,6116693,0,114600,1888203,237288,1638236,234200
1154,6096704,1,114699,1893902,239018,1649413,235682
1155,6076681,1,114799,1899541,241214,1660658,236725
1156,6055193,100,114800,1906789,242576,1672178,238084
1157,6035404,2,114998,1912424,244382,1683766,239042
1158,6012770,0,115100,1920933,244542,1696098,240777
1159,5991356,1,115199,1927810,245417,1708567,242069
1160,5967774,100,115200,1937057,245848,1720729,243812
1161,5946677,2,115398,1943772,247997,1732239,244733
1162,5925330,1,115499,1950496,248484,1744977,246232
1163,5903603,100,115500,1957862,250105,1756480,247470
1164,5882247,4,115696,1964671,251613,1768426,248759
1165,5860824,0,115800,1971873,253179,1780156,249788
1166,5839285,1,115899,1978988,253175,1793289,251182
1167,5817913,1,115999,1985531,253664,1805987,252924
1168,5795624,100,116000,1992969,254996,1817988,254443
1169,5774374,0,116200,1999666,255819,1830751,255610
1170,5752907,100,116200,2006573,255768,1843696,257276
1171,5731602,2,116398,2013463,256003,1856797,258553
1172,5710183,3,116497,2019851,257919,1868937,259627
1173,5688937,100,116500,2026147,258306,1882134,260996
1174,5665878,3,116697,2034502,258458,1895341,262538
1175,5644729,1,116799,2040758,258723,1908582,264027
1176,5625728,100,116800,2044651,260696,1920726,265019
1177,5603199,100,116900,2052192,261245,1933653,266631
1178,5582231,2,117098,2058244,261889,1947024,267730
1179,5562396,100,117100,2062712,263599,1959464,268949
1180,5541591,1,117299,2068457,265572,1971976,269723
1181,5521567,100,117300,2073088,267398,1984694,270573
1182,5500243,100,117400,2079378,267480,1997990,272329
1183,5478869,103,117497,2085553,268649,2010682,273764
1184,5456659,4,117696,2092805,268672,2024109,275471
1185,5435899,0,117800,2098266,269857,2037152,276646
1186,5415192,0,117900,2103418,271922,2049678,277710
1187,5393042,100,117900,2110263,273073,2062409,279133
1188,5373717,102,117998,2114203,274319,2075399,280380
1189,5352286,3,118197,2120388,274343,2089591,281609
1190,5331318,100,118200,2125692,275146,2103370,282694
1191,5308400,101,118299,2133340,275347,2116899,284333
1192,5287667,101,118399,2138273,276667,2130215,285597
1193,5266917,0,118600,2143562,278435,2143102,286604
1194,5245950,100,118600,2149098,278829,2157063,287680
1195,5223201,2,118798,2156437,278972,2170905,289303
1196,5201007,2,118898,2162757,279249,2184986,290919
1197,5181949,100,118900,2165969,281046,2198316,291640
1198,5161320,1,119099,2170844,283092,2211218,292645
1199,5142775,0,119200,2173978,284268,2224526,293673
1200,5122232,1,119299,2178863,284159,2238651,295414
1201,5101745,0,119400,2183525,286027,2251989,296134
1202,5081574,1,119499,2188159,286733,2266131,296922
1203,5060687,1,119599,2193134,286849,2280603,298346
1204,5042174,3,119697,2195858,288316,2293999,299370
1205,5023630,0,119800,2198519,289839,2307797,300035
1206,5001193,0,119900,2205345,289396,2322687,301299
1207,4979112,2,119998,2211710,289325,2336948,302923
1208,4960376,1,120099,2214346,290466,2350754,304177
1209,4940106,0,120200,2218602,291315,2364664,305533
1210,4920009,100,120200,2222770,291676,2379299,306466
1211,4900368,1,120399,2226295,292177,2393906,307673
1212,4880230,100,120400,2230005,293948,2407561,308676
1213,4860342,101,120499,2234146,294333,2422167,309531
1214,4842230,1,120699,2236113,295748,2436354,310274
1215,4820988,0,120800,2241204,295139,2451361,312128
1216,4801220,100,120800,2244916,295272,2466307,313105
1217,4782352,2,120998,2247909,295679,2481199,313879
1218,4762689,2,121098,2251233,295796,2495957,315443
1219,4745144,100,121100,2252508,297444,2509907,316117
1220,4724715,3,121297,2257212,297772,2524642,316976
1221,4705426,1,121399,2260235,298211,2539570,317977
1222,4685342,0,121500,2264089,297846,2554939,319304
1223,4667161,2,121598,2266340,299387,2568631,320099
1224,4647703,100,121600,2269811,300519,2582455,321132
1225,4628820,2,121798,2272448,301047,2597488,322015
1226,4611234,1,121899,2274200,302042,2611660,322783
1227,4593418,1,121999,2276126,302865,2625974,323636
1228,4575279,100,122000,2278098,303370,2640375,324898
1229,4556782,3,122197,2280770,304121,2654777,325767
1230,4538551,0,122300,2282963,304188,2669987,326631
1231,4519927,2,122398,2285248,305715,2684043,327485
1232,4499776,2,122498,2289272,305021,2699278,329171
1233,4482679,1,122599,2290240,306435,2713370,329895
1234,4462034,100,122600,2294564,305804,2728768,331450
1235,4443264,2,122798,2297440,306532,2743509,332073
1236,4424341,1,122899,2299603,306718,2758949,333308
1237,4405845,100,122900,2301672,307449,2773478,334476
1238,4386307,2,123098,2305422,307406,2788732,335251
1239,4366147,100,123100,2309367,306930,2803915,336761
1240,4348277,1,123299,2311192,307557,2818461,337832
1241,4331090,100,123300,2311903,307722,2834038,338567
1242,4313120,100,123400,2313347,307493,2849908,339552
1243,4296024,101,123499,2314057,308889,2864274,340275
1244,4278472,101,123599,2315568,308112,2879683,341784
1245,4262415,4,123796,2315413,309494,2894332,342162
1246,4244631,100,123800,2316842,309870,2909108,343369
1247,4227598,101,123899,2317569,311250,2923406,344096
1248,4209394,3,124097,2319822,311295,2938277,345329
1249,4191678,0,124200,2321310,310629,2954149,346454
1250,4174619,100,124200,2322507,311258,2969142,346694
1251,4158278,100,124300,2322530,311544,2984822,347146
1252,4140587,100,124400,2323777,312006,2999845,348205
1253,4124833,101,124499,2323350,312767,3014583,348986
1254,4108228,3,124697,2323958,312202,3030274,350055
1255,4090976,100,124700,2324601,312960,3045174,351009
1256,4074691,2,124898,2325064,312075,3060886,352202
1257,4059154,1,124999,2324557,312004,3076573,352731
1258,4042823,100,125000,2324969,312829,3091511,352888
1259,4026388,103,125097,2325133,313859,3106390,353347
1260,4010010,100,125200,2325296,314199,3121352,354363
1261,3992280,3,125397,2327497,313309,3137366,354965
1262,3976772,0,125500,2326923,314018,3152119,355688
1263,3961794,1,125599,2325551,314910,3167250,356114
1264,3945804,100,125600,2325729,313875,3183226,356986
1265,3929682,3,125797,2326079,312977,3199369,357710
1266,3913814,0,125900,2325770,312347,3215578,358411
1267,3897388,2,125998,2326348,312170,3231173,358939
1268,3883804,100,126000,2324132,312779,3245885,359420
1269,3868522,100,126100,2323315,313788,3260366,360129
1270,3853054,103,126197,2322795,314037,3275386,360945
1271,3838769,100,126300,2321017,314868,3290285,361381
1272,3823738,2,126498,2320044,314521,3305748,362467
1273,3808623,100,126500,2319543,314832,3320998,362524
1274,3794040,1,126699,2319031,315180,3335704,362764
1275,3778819,100,126700,2318152,315948,3350765,363036
1276,3763771,103,126797,2316968,315733,3366604,363741
1277,3748138,1,126999,2317381,315125,3382288,364087
1278,3733926,1,127099,2315740,314857,3397962,364634
1279,3720154,100,127100,2313636,315524,3412916,364890
1280,3705538,0,127300,2312719,316307,3427768,364988
1281,3690085,100,127300,2312313,316564,3442655,365703
1282,3675748,1,127499,2311228,315311,3458830,366402
1283,3661264,0,127600,2309674,316439,3473407,366836
1284,3646470,100,127600,2308661,315635,3489518,367336
1285,3632347,103,127697,2307380,316082,3504118,367790
1286,3618675,1,127899,2305717,315362,3519901,368264
1287,3604793,100,127900,2303835,314790,3535763,368739
1288,3590963,3,128097,2302339,313999,3551664,369152
1289,3575598,0,128200,2302345,312562,3567876,369839
1290,3561758,0,128300,2300712,311628,3583964,370258
1291,3548511,2,128398,2298745,311904,3598747,370511
1292,3535525,0,128500,2296356,312771,3613660,370208
1293,3523226,100,128500,2293016,313079,3628529,370670
1294,3509988,100,128600,2290976,312577,3644128,370951
1295,3495761,1,128799,2289868,312385,3659675,371130
1296,3483184,100,128800,2287423,311599,3675416,371198
1297,3468700,101,128899,2286572,310551,3690933,372163
1298,3454629,2,129098,2285436,309518,3706867,372668
1299,3442658,3,129197,2282132,310367,3721208,372852
1300,3429349,100,129200,2280387,310172,3736600,372712
1301,3417189,102,129298,2277325,309698,3752148,372958
1302,3403372,100,129400,2276058,308487,3768014,373489
1303,3391497,1,129599,2272946,307496,3783866,373814
1304,3379123,100,129600,2270133,307223,3798811,374330
1305,3366423,102,129698,2267740,307492,3813482,374581
1306,3354484,2,129898,2264749,307368,3828172,375145
1307,3342076,3,129997,2261843,307984,3843043,375071
1308,3330056,100,130000,2258979,308625,3857730,374630
1309,3318253,101,130099,2256017,307620,3872990,375239
1310,3306955,100,130200,2252762,306419,3888289,375795
1311,3296739,5,130395,2248444,307209,3902902,375121
1312,3285100,0,130500,2244882,306380,3918169,375989
1313,3274052,1,130599,2240901,307187,3932378,376101
1314,3262051,100,130600,2237806,307365,3946938,376460
1315,3251024,3,130797,2234478,307049,3961463,376803
1316,3239840,0,130800,2230672,307041,3976666,376601
1317,3228201,100,130800,2227827,305877,3992236,376679
1318,3217318,101,130899,2224444,305854,4006887,376416
1319,3205652,3,131097,2221816,305244,4022097,376308
1320,3195945,100,131100,2216729,305364,4036890,376192
1321,3184978,102,131198,2213587,305138,4051464,376051
1322,3174239,102,131298,2209749,304370,4066839,376121
1323,3162278,101,131399,2206875,303479,4081990,376797
1324,3151086,102,131498,2203687,302409,4097198,377138
1325,3140312,102,131598,2200267,302879,4111140,377020
1326,3129678,2,131798,2196702,301800,4126628,377010
1327,3119561,3,131897,2192793,301007,4141325,377231
1328,3109416,4,131996,2188413,301713,4155329,377145
1329,3100353,100,132000,2182961,302406,4169335,376965
1330,3090243,100,132100,2178830,302598,4183441,377008
1331,3080126,2,132298,2174708,302055,4198392,377037
1332,3069933,100,132300,2170755,300812,4213805,377015
1333,3060252,1,132499,2166274,301261,4228068,376664
1334,3050429,1,132599,2162184,299693,4243271,377042
1335,3040288,1,132699,2158506,298264,4258774,376887
1336,3030928,1,132799,2154120,297301,4273949,376521
1337,3021459,100,132800,2149741,296893,4288240,376487
1338,3012017,100,132900,2144727,295990,4303394,376792
1339,3002931,1,133099,2140163,294936,4318445,376644
1340,2993576,0,133200,2135656,293816,4333187,376985
1341,2984398,100,133200,2130773,294368,4347114,376567
1342,2975131,2,133398,2126356,294326,4360937,376668
1343,2966069,100,133400,2121738,294634,4375060,375919
1344,2957436,0,133600,2117170,294102,4389269,375643
1345,2949517,100,133600,2111753,294053,4403203,375094
1346,2940454,101,133699,2107408,292931,4418101,374825
1347,2931835,102,133798,2102872,292619,4432402,374090
1348,2923186,101,133899,2098191,292848,4445933,373761
1349,2913737,100,134000,2094163,291525,4460611,373984
1350,2904421,1,134199,2090267,290119,4475130,374282
1351,2895875,3,134297,2085222,290072,4489052,374096
1352,2887317,100,134300,2080396,290228,4502897,373482
1353,2879113,1,134499,2075693,290402,4516389,372922
1354,2870783,100,134500,2071002,288709,4531329,372697
1355,2862652,102,134598,2066191,288672,4545011,372092
1356,2854211,1,134799,2061912,286830,4559847,372019
1357,2845949,100,134800,2056773,287366,4573001,371731
1358,2837492,2,134998,2052261,285906,4587396,371963
1359,2829699,0,135100,2046756,286402,4600993,371270
1360,2821015,1,135199,2042514,285643,4614850,371197
1361,2812549,2,135298,2037802,285091,4628670,371206
1362,2804178,100,135300,2033069,283790,4643255,371028
1363,2796742,0,135500,2028065,283649,4656514,370550
1364,2788027,100,135500,2024139,282610,4670737,370007
1365,2780895,3,135697,2018907,282076,4684116,369723
1366,2772925,100,135700,2014509,280952,4698293,369041
1367,2765672,2,135898,2009279,279903,4712365,368699
1368,2758985,100,135900,2003090,279910,4725630,368305
1369,2751557,101,135999,1998038,280124,4738532,367768
1370,2743523,0,136200,1993774,279099,4752149,367675
1371,2736205,100,136200,1988666,277612,4766378,367359
1372,2728095,6,136394,1984560,276263,4780392,367104
1373,2719833,0,136500,1980237,274975,4794226,367249
1374,2712960,1,136599,1974863,275071,4807438,366287
1375,2707004,100,136600,1968280,275490,4820435,365411
1376,2699521,100,136700,1963692,274294,4834187,365026
1377,2692897,1,136899,1957880,274708,4847302,364132
1378,2685398,100,136900,1953289,273268,4861091,363874
1379,2677769,100,137000,1948644,271830,4875184,363593
1380,2671469,100,137100,1943312,270488,4888789,363062
1381,2664646,0,137300,1938144,270198,4901761,362571
1382,2657843,0,137400,1932857,269950,4914532,362238
1383,2651777,100,137400,1926850,269100,4928132,361561
1384,2645660,4,137596,1921174,267696,4941522,361564
1385,2640167,100,137600,1914725,267130,4954495,361103
1386,2634019,100,137700,1908877,267624,4966754,360446
1387,2628346,0,137800,1903124,267494,4979127,359729
1388,2622162,100,137800,1897683,267336,4991911,358728
1389,2616946,100,137900,1891318,267378,5004557,357721
1390,2610831,100,138000,1885911,267069,5017076,357133
1391,2605123,100,138100,1880406,266235,5029836,356520
1392,2598616,1,138299,1875704,264359,5043076,356564
1393,2593241,100,138300,1868989,264634,5055678,355778
1394,2586492,101,138399,1864444,263365,5068885,355233
1395,2581013,2,138598,1858738,262912,5081320,354635
1396,2575239,0,138700,1853095,261366,5094783,354237
1397,2568810,1,138799,1847759,261074,5107191,353985
1398,2562923,100,138800,1842301,260092,5120117,353387
1399,2557448,0,139000,1836885,259731,5132566,352390
1400,2551681,100,139000,1830930,258635,5145406,352368
1401,2546576,3,139197,1825248,257376,5158221,351796
1402,2540422,100,139200,1820359,255930,5170949,351560
1403,2534847,3,139397,1814752,255955,5182808,351055
1404,2530105,1,139499,1808324,255759,5194849,350482
1405,2525322,3,139597,1802070,255592,5206842,349791
1406,2519143,0,139700,1797531,254131,5219534,349381
1407,2513395,100,139700,1792300,253061,5232172,348792
1408,2507583,100,139800,1787469,251709,5244966,348093
1409,2502516,3,139997,1781785,251876,5256780,347060
1410,2496478,100,140000,1777070,250480,5269706,346286
1411,2490579,101,140099,1772485,248802,5282141,346112
1412,2485679,1,140299,1766539,248519,5294072,345510
1413,2480617,100,140300,1760917,248269,5305996,344521
1414,2475689,101,140399,1755029,246987,5318702,344012
1415,2471668,100,140500,1748532,246532,5330404,343384
1416,2466962,1,140699,1742912,246001,5342226,342618
1417,2462995,100,140700,1736288,246198,5353801,341438
1418,2458578,100,140800,1730342,246140,5365160,340600
1419,2454009,1,140999,1724448,244916,5377752,339894
1420,2449888,100,141000,1718352,244403,5389523,338854
1421,2446094,101,141099,1711960,244132,5400789,338144
1422,2440833,1,141299,1707223,242480,5413272,337511
1423,2435580,2,141398,1702327,240883,5425307,337321
1424,2431071,100,141400,1696259,241154,5436702,336234
1425,2426789,3,141597,1690500,240225,5448769,335334
1426,2421923,100,141600,1685119,238689,5461176,334713
1427,2417124,1,141699,1679703,238049,5472595,334248
1428,2412734,100,141700,1673605,237858,5483828,333695
1429,2408354,101,141799,1668128,237146,5495084,333107
1430,2404070,102,141898,1662403,236925,5506468,332052
1431,2399258,100,142000,1657426,235532,5518585,331219
1432,2395197,100,142100,1651744,234223,5530606,330350
1433,2391539,100,142200,1645724,233082,5542211,329664
1434,2387121,1,142399,1640597,232170,5553756,328775
1435,2383004,100,142400,1634740,231421,5565273,327982
1436,2379235,1,142599,1629093,230998,5576105,327188
1437,2375353,0,142700,1623094,230618,5587172,326483
1438,2371493,1,142799,1617272,229384,5598682,325988
1439,2368053,100,142800,1610786,229460,5609284,325237
1440,2364535,2,142998,1605050,228127,5620623,324683
1441,2360352,0,143100,1600125,226864,5631934,323845
1442,2356608,2,143198,1594361,226357,5642725,323167
1443,2353487,100,143200,1588037,226287,5653486,321923
1444,2349768,3,143397,1582119,226386,5664298,320846
1445,2346510,1,143499,1576085,225648,5675126,320150
1446,2342156,1,143599,1571065,224434,5686342,319622
1447,2338167,100,143600,1565683,222862,5697905,319003
1448,2334778,102,143698,1559945,222592,5708097,318306
1449,2331363,100,143800,1554229,222205,5718939,317084
1450,2327603,2,143998,1549073,221050,5730171,316121
1451,2323838,100,144000,1543916,219507,5741511,315248
1452,2320194,100,144100,1538451,218787,5752160,314528
1453,2317002,5,144295,1533029,218385,5762430,313469
1454,2313800,0,144400,1527192,218168,5772755,312505
1455,2310533,0,144500,1521190,217135,5783800,311862
1456,2307244,2,144598,1515523,216498,5794151,311202
1457,2304785,0,144700,1509150,216372,5804182,310231
1458,2301228,100,144700,1503793,215878,5814259,309562
1459,2297455,1,144899,1498926,214862,5824921,308755
1460,2294287,100,144900,1493441,213416,5835878,307898
1461,2291286,0,145100,1488154,211722,5846522,307436
1462,2288439,0,145200,1482178,210881,5856965,306757
1463,2285512,0,145300,1476501,209942,5867428,305937
1464,2282833,100,145300,1470563,209871,5877335,304718
1465,2279858,102,145398,1465219,208687,5887970,303684
1466,2276557,2,145598,1460150,207209,5898715,302987
1467,2272949,100,145600,1455400,205806,5909356,302109
1468,2270051,102,145698,1449816,204575,5919726,301550
1469,2267331,100,145800,1444257,204555,5929464,300213
1470,2265140,1,145999,1438118,204365,5939023,299373
1471,2262052,1,146099,1433091,203725,5948654,298597
1472,2259045,0,146200,1428023,203131,5958283,297738
1473,2255459,0,146300,1423134,201942,5968397,297388
1474,2252612,100,146300,1417872,200661,5978496,296679
1475,2250015,101,146399,1412176,199678,5988655,295895
1476,2247523,101,146499,1406637,199062,5998420,294877
1477,2245033,3,146697,1401352,198627,6007903,293802
1478,2242375,1,146799,1396043,198347,6017433,292621
1479,2239529,1,146899,1390944,197695,6027185,291566
1480,2236846,0,147000,1385825,196761,6037009,290579
1481,2234132,100,147000,1380276,195792,6047055,289765
1482,2231618,103,147097,1375260,194531,6057047,288661
1483,2228591,100,147200,1370408,193696,6066819,287706
1484,2226203,2,147398,1365057,192649,6076670,286839
1485,2223764,0,147500,1359798,192540,6085579,285839
1486,2221389,0,147600,1354411,191879,6094897,285044
1487,2218853,0,147700,1349330,190805,6104627,284105
1488,2216464,2,147798,1344292,190108,6113857,283097
1489,2214050,100,147800,1338918,190062,6122650,282140
1490,2211752,1,147999,1333735,189414,6131885,281233
1491,2209380,100,148000,1328624,188010,6141427,280579
1492,2207105,0,148200,1323171,187159,6151097,279688
1493,2204309,100,148200,1318182,186204,6160493,279032
1494,2201812,101,148299,1313218,185666,6169417,278206
1495,2198972,100,148400,1308554,184749,6178514,277631
1496,2196452,102,148498,1303660,184107,6187690,276609
1497,2193873,100,148600,1299232,182736,6196817,275962
1498,2191807,100,148700,1293726,182389,6205946,274852
1499,2190171,3,148897,1287912,182019,6214727,274088
1500,2188371,100,148900,1282396,181661,6223397,273095
1501,2185637,3,149097,1277901,180453,6232652,272474
1502,2183722,2,149198,1272525,180552,6241278,271141
1503,2181490,100,149200,1267561,180192,6249779,270198
1504,2178750,101,149299,1263247,178894,6258988,269440
1505,2176973,100,149400,1257980,178702,6267494,268271
1506,2174448,100,149500,1253517,177832,6276283,267440
1507,2172466,4,149696,1248699,177155,6284621,266775
1508,2170088,100,149700,1243930,176777,6293127,265798
1509,2167403,100,149800,1239570,175807,6302069,264971
1510,2165883,100,149900,1233927,175827,6310478,263805
1511,2163854,100,150000,1228843,175604,6318784,262935
1512,2161672,100,150100,1224374,174658,6327223,262193
1513,2159772,102,150198,1219700,174180,6335313,261253
1514,2157818,100,150300,1214779,173996,6343592,260135
1515,2156376,2,150498,1209381,173796,6351888,259077
1516,2155166,0,150600,1203740,173704,6359895,258115
1517,2153529,0,150700,1198606,173341,6367923,257321
1518,2151485,100,150700,1193778,172304,6376580,256573
1519,2149485,100,150800,1189064,171902,6384881,255488
1520,2147632,2,150998,1184275,170864,6393615,254632
1521,2145712,1,151099,1179702,169837,6401975,253893
1522,2143346,100,151100,1175360,168512,6410514,253388
1523,2141523,3,151297,1170574,167512,6419109,252599
1524,2139220,0,151400,1166315,166345,6427453,252087
1525,2137408,1,151499,1161632,165942,6435239,251298
1526,2135685,0,151600,1156603,165364,6443598,250370
1527,2133471,1,151699,1152577,164289,6451820,249562
1528,2131333,3,151797,1148446,163430,6460073,248535
1529,2129614,100,151800,1143819,162425,6468389,247573
1530,2128267,102,151898,1138866,162257,6476022,246506
1531,2126200,2,152098,1134655,161275,6484333,245655
1532,2123988,100,152100,1130490,160030,6492664,244948
1533,2122473,1,152299,1126081,159527,6500249,243989
1534,2121052,0,152400,1121282,159415,6507850,242821
1535,2120065,1,152499,1115943,159215,6515440,241856
1536,2118649,100,152500,1110920,159046,6522854,241051
1537,2117051,1,152699,1106672,157856,6530843,240297
1538,2115111,100,152700,1102303,157012,6538823,239471
1539,2113538,2,152898,1097670,156796,6546324,238590
1540,2111623,100,152900,1093325,155682,6554146,238144
1541,2110667,1,153099,1088336,155542,6561539,237035
1542,2109102,3,153197,1084094,154509,6569360,236152
1543,2107505,1,153299,1079623,154185,6576690,235316
1544,2105871,100,153300,1075330,153080,6584359,234680
1545,2104776,102,153398,1070435,152886,6591713,233608
1546,2103386,1,153599,1066061,152521,6598926,232725
1547,2101793,0,153700,1061821,151895,6606326,231885
1548,2100922,2,153798,1056860,151531,6613492,231013
1549,2099606,0,153900,1052259,150878,6621064,230113
1550,2098228,100,153900,1047892,150208,6628407,229185
1551,2096848,102,153998,1043679,149457,6635844,228190
1552,2095347,100,154100,1039570,149162,6642731,227310
1553,2093819,100,154200,1035398,148923,6649893,226187
1554,2092772,0,154400,1030592,148675,6657009,225372
1555,2091232,100,154400,1026209,147864,6664538,224577
1556,2090368,1,154599,1021558,147782,6671517,223394
1557,2088617,0,154700,1017735,146930,6678837,222601
1558,2087123,0,154800,1013676,145837,6686337,221847
1559,2085588,100,154800,1009420,145001,6693704,221107
1560,2084052,3,154997,1005458,143976,6701162,220369
1561,2083117,0,155100,1000799,143983,6707988,219233
1562,2081968,0,155200,996440,143328,6715058,218426
1563,2081032,2,155298,992053,142754,6721853,217626
1564,2079354,1,155399,988345,141793,6729042,216885
1565,2077851,100,155400,984482,140834,6736119,216134
1566,2076762,1,155599,980454,140417,6742754,215232
1567,2075939,2,155698,975914,140361,6749436,214068
1568,2074514,3,155797,971985,139661,6756263,213394
1569,2072744,100,155800,968356,138763,6763259,212698
1570,2071752,1,155999,964171,138234,6770026,211836
1571,2070722,2,156098,959854,137811,6776660,211071
1572,2069541,100,156100,955832,136977,6783626,210144
1573,2068198,1,156299,952222,135996,6790345,209558
1574,2067080,1,156399,947959,136188,6796726,208466
1575,2065878,3,156497,943922,135933,6803188,207596
1576,2064673,1,156599,940079,135527,6809553,206787
1577,2063456,2,156698,936204,134855,6816262,205941
1578,2062046,101,156699,932265,134420,6822588,205400
1579,2061539,1,156899,927859,134017,6828958,204546
1580,2060563,100,156900,923673,133628,6835258,203798
1581,2059448,103,156997,919805,133038,6841630,203096
1582,2057955,102,157098,916557,131574,6848416,202616
1583,2057016,3,157297,912759,131264,6854639,201639
1584,2055642,100,157300,909014,130376,6861261,201027
1585,2054519,1,157499,905282,129452,6867841,200425
1586,2053008,100,157500,901746,128624,6874330,199812
1587,2051845,102,157598,898071,127740,6880877,199085
1588,2050675,100,157700,894341,127495,6886784,198425
1589,2049739,5,157895,890507,127107,6892809,197753
1590,2048688,3,157997,886583,126804,6898790,197152
1591,2047591,100,158000,882751,126648,6904585,196445
1592,2046768,4,158196,878942,126348,6910513,195645
1593,2045623,100,158200,875194,125675,6916714,195014
1594,2044821,0,158400,871522,125028,6922894,194155
1595,2043661,100,158400,867794,124256,6929257,193452
1596,2042880,2,158598,864142,124010,6935021,192565
1597,2041830,1,158699,860596,123220,6941169,191904
1598,2041034,0,158800,856706,122872,6946981,191227
1599,2040233,2,158898,852875,122228,6953218,190364
1600,2039033,3,158997,849443,121487,6959247,189807
1601,2038306,2,159098,845577,121218,6965089,188928
1602,2037303,2,159198,841937,120257,6971364,188357
1603,2036280,100,159200,838350,119624,6977360,187606
1604,2035424,102,159298,834622,119668,6983009,186595
1605,2034622,101,159399,831099,118991,6989010,185697
1606,2033921,101,159499,827105,118980,6994659,184854
1607,2032548,100,159600,824090,118106,7000700,184176
1608,2031375,2,159798,820990,117197,7006438,183818
1609,2030433,0,159900,817525,116846,7011945,183171
1610,2029562,100,159900,813832,116042,7017885,182599
1611,2028873,101,159999,810201,115848,7023417,181680
1612,2028506,3,160197,806378,115668,7028919,180746
1613,2027470,100,160200,802874,115150,7034585,180141
1614,2026797,4,160396,799343,114991,7040158,179127
1615,2025867,0,160500,795690,114292,7045964,178707
1616,2024837,0,160600,792552,113503,7051623,178105
1617,2024086,2,160698,789123,112740,7057346,177423
1618,2023526,1,160799,785322,112670,7062733,176568
1619,2022731,100,160800,781791,112547,7067909,175842
1620,2021897,101,160899,778418,112197,7073205,175202
1621,2021160,102,160998,775081,111761,7078676,174340
1622,2020655,1,161199,771595,111149,7084274,173546
1623,2019845,101,161199,768218,110823,7089459,172874
1624,2018909,100,161300,764986,109924,7095062,172439
1625,2018269,100,161400,761740,109004,7100576,171831
1626,2017647,101,161499,758360,108874,7105601,171037
1627,2016899,100,161600,754989,108026,7111318,170388
1628,2016262,2,161798,751701,107893,7116392,169570
1629,2015547,100,161800,748396,107659,7121435,168783
1630,2014708,3,161997,745390,106830,7126908,168181
1631,2013924,1,162099,742074,106617,7132117,167387
1632,2013277,100,162100,738787,105766,7137489,166801
1633,2012611,100,162200,735561,105459,7142480,166109
1634,2011826,100,162300,732261,104668,7147936,165629
1635,2011049,101,162399,729178,104282,7152961,164949
1636,2010430,2,162598,726013,103751,7158151,164273
1637,2009808,0,162700,722738,103506,7163106,163562
1638,2008706,0,162800,719925,102938,7168184,163067
1639,2007675,2,162898,717234,101962,7173666,162381
1640,2006905,100,162900,714170,101261,7178753,161831
1641,2006449,5,163095,710912,100840,7183795,161119
1642,2005926,100,163100,707564,100804,7188344,160482
1643,2005238,5,163295,704604,100347,7193380,159746
1644,2004597,100,163300,701341,99904,7198334,159144
1645,2004109,102,163398,698357,99074,7203480,158398
1646,2003414,100,163500,695440,98506,7208493,157667
1647,2003042,3,163697,692211,98487,7213109,156868
1648,2002470,2,163798,689174,97992,7217895,156287
1649,2001777,0,163900,686085,98108,7222319,155631
1650,2001376,1,163999,683054,97533,7227187,154869
1651,2001068,0,164100,679858,97326,7231759,154109
1652,2000120,100,164100,677022,96629,7236662,153687
1653,1999319,102,164198,674219,96108,7241434,153138
1654,1998676,0,164400,671377,95390,7246278,152699
1655,1998291,100,164400,668231,95047,7250812,152039
1656,1997971,1,164599,665363,94806,7255342,151137
1657,1997175,100,164600,662432,94475,7260046,150492
1658,1996534,100,164700,659645,93849,7264834,149858
1659,1996412,2,164898,656467,93676,7269184,149179
1660,1995906,0,165000,653542,93041,7273975,148556
